"Feature","MS51-01","MS51-02","MS51-03","MS51-04","MS51-05","MS51-06","MS51-07","MS51-08","MS51-09","MS51-10","MS51-11","MS51-12","MS51-13","MS51-14","MS51-15","MS51-16","MS51-17","MS51-18","MS51-19","MS51-20","MS51-21","MS51-23","MS51-24","MS51-25","MS51-26","MS51-27","MS51-28","MS51-29","MS51-30","MS51-31","MS51-32","MS51-33","MS51-34","MS51-35","MS51-36","MS51-37","MS51-38","MS51-39","MS51-40","POOL2","POOL3","POOL4","POOL5","POOL6"
"arginine",3944670488,5340677097,5983983374,4744109260,4292455176,1498239499,3879343173,4372206817,2850886301,2962954824,3506551939,3727423144,3528586840,2499911375,3105172243,3780340084,3617736801,2484304995,3449591492,4014834006,2525877805,3815022333,4183411743,3968216620,4088669280,4520258189,4887626876,4636720271,4340555081,3008098815,4430532327,4867380776,4718688515,4750549012,3777294713,4012600766,2801782577,3755929222,3312438731,3261076151,4106241182,4475381184,3932291386,4313810608
"asparagine",192111544.4,187585153.6,204256682.9,212588566.2,199972392,167296774.7,172372005.1,179569916.7,151628812.1,178335775.8,155020311,153558006.1,154719396.9,148694666.1,145040920.8,161542965.3,164769986.8,161693252.8,156494489.4,168282438.5,176298432.1,201947702.4,209265313.5,195393961.8,182501118.1,189833535.4,199920578.2,204018560.8,192340021.3,189699625.8,200182783.7,206130542.1,194490759.7,212493791.9,143565827,161808550.5,151987964.8,158812768.3,171680608.5,171998280.5,176933820.2,177277729.1,173745937.9,179338278.6
"aspartate",143598431.7,152566879.2,163615186.5,195890135,165417780.9,293012346,240045864.2,262373457,232289786.1,246694680.4,177708059.6,181462817.2,167844328.3,174295683.4,155644314.5,155702600.7,151756205.7,140841620.8,144560985.8,160839038.4,116837731.2,143467142.1,153338998.8,145935806.9,158200011.4,175035917.4,190698780.9,190622478,164591729.9,185075660.2,215585041.1,226887494.6,215612088.7,226574472,101993264.7,96064860.3,76685882.6,85407424.4,102205585.6,178604791.8,173412373.6,183893906.7,164218976.1,181235426.8
"betaine",38033394163,37855491112,39718265952,41197778937,38885303836,39412051227,40364595952,42188539087,38997794233,43150016097,38838125160,37706922367,38566699053,36951237705,36673534103,38586423381,39299440548,37489201868,37704291764,39210576997,36721707751,39966285152,41111664477,38954574372,38826241515,40187530284,41271340956,41283050207,40034341797,39882609339,40349292210,41215907995,39876969924,41983255564,38558635091,40213381498,40514264467,40218950600,42310787132,39266195008,40086355540,38968710605,38528690672,39370822046
"butyryl-carnitine",70901186.3,70840584,73394442.9,79095436.3,76221559.9,131569271.6,136986545.2,152682066.2,156241362.1,155388389.3,112544150.4,102703197.8,109504914.4,105315752.1,102734773.4,110895977.6,118507848.4,105820211.3,108082743.4,105435803.3,92768743.7,105334488.1,111659455.5,104363364.4,94898806.9,108148810.1,110834892.4,112717413.4,104954245,146152462.8,151719938,163925877.3,147121443.7,169302303.5,90504030,98015472.3,96468608.6,95914311.5,109566883.8,111724679.2,112117438.6,112390430.9,111441032.1,110857709.8
"carbamoyl phosphate",91359322.8,90804052.9,91476725.1,97199758.1,93964828,88579131,93982657.5,98313622.8,99040113.7,97429796.2,89608496.5,85847131.1,87274090.2,85979149.7,86435590.4,87788453.9,91117171.4,89822044.5,86350597.5,90352774.3,86239503.9,90094063.6,92308760.2,89866924.4,92824230.9,90962548.7,95957944.4,94883489.3,90302597.8,93403678.1,91371849.7,94972666,91034487.6,97920556.5,88611910,94646329.6,91465451.1,90228034.6,97820412.2,91241863.28,91512976.9,91113550.69,90741078.4,92263514.45
"carnitine",10728959214,10203163695,11202759575,11540885654,11149648183,11018240799,11449165943,12775041529,12177406927,12748889808,11773504413,10842695356,10995767594,10486271985,10311579650,10924265616,11227152554,10380031539,10356869331,11286509541,9945161849,11439698362,12121106943,11181348126,11541906983,12033031322,12661041846,12490580243,12301249406,13545649396,14219947670,15347851463,13924160847,15540213582,10353561860,11643834500,11125100948,11074963166,12528088383,11406254217,11707290709,11548725525,11441163299,11677473080
"citrulline",2305209376,2255874339,2370299918,2505875960,2288559576,2334499135,2435965248,2784601775,2654327417,2642021698,2389828746,2255688646,2241377485,2165494044,2027442082,2107063030,2251679838,1976525172,1969206993,2183746254,1870272646,2150898615,2217696706,2079667371,2367874082,2494522832,2679136463,2614422607,2412049546,2399094572,2539147956,2589604856,2476018755,2547474436,2309170992,2423555416,2283757130,2328088540,2564241380,2329015865,2292313305,2307479679,2201607850,2282713582
"creatine",24973958548,24515930103,26321202617,27260611727,25459680509,24847788373,25960158537,28240146918,26635642516,27741946103,26477949712,26294975878,25895112020,24988629169,23608328145,25045218347,26064301017,25399376557,25095919321,26968481823,24873827474,26839426533,27385107022,25632153417,24966879270,26092339767,28205105757,27221610854,26847188031,25236293619,26625202663,27250408570,26462694600,27950369230,25088607907,26246827360,26862281600,27923435827,28932702727,26080475039,26641495219,25449145899,24978983847,25457264500
"creatinine",19167838361,18845866884,19922496362,20535572643,19379264970,18780555872,19406466883,20514476565,19671152946,20799080722,19269293056,18070923937,18551795541,18134448426,16973586595,17824211910,18537614654,18213863319,17669949563,18984662914,17809447262,19015601132,19583049859,18023478366,18515625277,19126091434,20146923584,19826956291,19582949134,19613097124,19333151788,20181152765,19255746107,20870231450,18072304577,19547431346,19423217508,19679298757,20969672379,19122336315,19410319741,18962811892,18508787539,18722486643
"cystine",256322867.8,248848188.9,284166746.4,349536457.6,307125906.4,355704687.9,265707616.2,283534200.5,360745784.1,275992415.7,251386490,237685074.1,226510286.2,228096740.9,215976478.2,249099024.1,239893518.6,221321919.6,229461240,250604055.1,220272229.9,252083133.9,270221979.7,260676240.5,229018301,243614311.2,267971575.4,256185038.1,230096113.2,260474266.8,292613052.5,308127563.2,290186664.8,307193894.3,182540806.3,189321800.2,168758502.4,169135107.2,206128760.1,257075560.6,245133814.3,256705907.6,238816274,256147883
"dihydroorotate",0,0,0,70239.9,0,1139253.4,912064.7,986659.6,953187,1319266.2,1190391.1,1192619.4,1306953.1,1077073.6,1199223.1,1309853.8,1162463.1,1339403.9,1108413.7,1373550.6,834058.9,935370,871025,962766.3,729256.2,751209.7,624097.3,560981.1,516433.2,377263.9,524132.2,576631.6,526166.7,652527.5,1867187.9,2132997.3,1875783,1983651.2,2172769.8,1044427.724,1021377.382,995655.9779,1090462.526,973745.0171
"fumarate",17796110.4,20718101.2,23680767.2,43188054.1,35860433.9,131512804.2,52290882.9,60336727.7,24559583.2,47323262,38760035.5,37287183.1,34302403.7,34262503,30443143.6,43600653.2,41562913,37441459.4,36975098.9,46072000.3,32361822,41215227.6,42841086.4,38306806.8,22410155.7,26451054,35080051.6,31014085.8,23996532.7,19254753.1,26371678.7,28146196.8,28436893.9,27150801,33811932.4,29050206.5,23693097,27930607.4,31079566.7,38683337.54,36491213.3,38415736.88,31719344.14,34813945
"gluconate",255610803.6,225400139.6,311796674.4,342661153,296909443.2,641093572.3,301076804.9,327816553.6,290758407,327454491.2,464901305.5,229140704.1,203237175.4,198257954.5,178684851.5,243260995.7,211903364.3,212373777,181369068.2,390277975.5,181976576.7,228987003,223929713.7,203699751.3,347784773.9,240073415.8,276733326.1,270088238.4,238292126.3,228954392.3,310734533.5,261937881.8,250132075.6,263630816.7,266179698.4,261181383.7,261734682.9,280017175.3,299458423.1,276856816.6,260109195.5,264188911.7,249646660.5,242008685.5
"glucose",1112472626,1135364663,1140800422,1198102648,1113280462,668896272.6,715252191,791681947.8,796912405.7,767360622.4,639387353,613247406.4,585832863.9,603194400.9,575238481.2,542845212.6,570749294.9,536380186.3,532007226.5,570010315.6,554867909.8,624557296.3,617602679.8,591444606.1,654986358.6,697769018.9,736225732,740752808,716564696.9,812453354,820026770.3,828743503.1,810500190.7,825460705,549773137.1,613487517.7,608292380,586097470.6,649380546.6,719145256.8,729901220.6,711931494.6,689958832.4,687874897.2
"glutamate",1478132586,1470089182,1594872759,1668311047,1558742270,2306000638,2282253912,2444381506,2212296297,2324835155,2214431444,2133938060,2139546081,2088547978,2048173808,2065630821,2122212796,2002448347,2041571771,2152582870,1989345980,2328696871,2407558814,2270108145,1952689510,2098495996,2188728011,2187315215,2088319557,1989313169,2154009231,2222937633,2099137896,2257312295,1710033832,1916119542,1780104500,1874747046,2044034238,2051726489,2065921670,2082084776,2019290974,2095234779
"glutamine",4290913673,4166284607,4489884285,4646887376,4412860812,1228630673,1420518040,1445989429,1319743300,1398934440,2205809072,2207685458,2149690250,2104362978,2079516399,2078127142,2174725174,2035627539,2044601678,2145128519,1846146821,2225669815,2259602400,2164433498,3048146703,3264833170,3390843129,3422143259,3303123009,3329497638,3496333200,3575650013,3431817268,3651389159,2835666323,3203910773,2952742735,3077868135,3314744244,2704799868,2795402011,2753324535,2712313143,2779045910
"glycerylphosphorylcholine",310816585.5,299457400.3,323468708.6,341024419.8,297450855.5,354950363.5,348014352.1,413332115.4,381745660.9,395363945,374587670.2,351474112.6,342492878.2,341280666.2,304494543.5,318967568.7,343515758.4,326429147.3,304863104.9,341258954,392423796.6,412355334,423687003.1,386916851.3,336851835.8,355417653.4,401199662.6,377775444.5,359462008.7,319698955.2,343925849.9,355703570.5,326360024.3,344168020.1,330995045.2,349706680.6,352815867.2,368795101.4,393169997.5,351504038.6,359125910.7,338511037,329378850.4,337884709
"glycine",17165395.5,16480728.9,19447125.6,20048407.6,18866422.8,18766182.8,18968504.2,20602672.8,19083750.2,20434728.5,17732830.7,17362598.7,16616608.5,16953118.3,16207764,16340977.3,17164619.7,17680842.3,16258969.7,17673571.4,16046275.9,16815505.4,17348286.1,15053900.2,16031454.9,17554560.8,18457971.5,17191243.9,18278263.9,16995820,18819962,19077946,18099885.9,18769423.5,16334330.3,17884888.9,16687852.8,16124441.2,18641437.2,17077791.28,18287002.26,17851923.73,15370061.94,16209895.17
"histidine",15910015185,15530693401,17050621370,17713915659,16415969270,14570268473,15106131962,15826527241,14935916482,15819213599,14012092505,13868930005,13508033939,13178386091,12669477722,13340062361,13664980117,13089646876,12951546021,13969809103,12379204813,14026731402,14620037893,13760916843,14096733201,14874765379,15820956884,15550653737,15211240544,14437770618,15413696861,15930835895,15351687530,16088845058,13704229969,14503068596,13901076678,14459577002,15401270588,14596257360,14573152735,14508346887,14207579268,14648644136
"hydroxyphenyllactic acid",23076913,22501712.1,24819930,25719281.9,24619366.4,22880347,23738961.8,26309463.7,25178558.2,26704817.7,22772798.4,20911344.7,20725516.3,21216355.8,20302877.2,20072262.5,20517977.2,20898755.3,21843783.8,21291806.6,21014372.5,22359102.2,24265764.5,22800102.3,23733976.9,26190840.6,27721799.6,26254785.3,25495443.9,25567132.6,24680171.1,27004765.7,24960304.6,27706393.6,22495262.3,24527384.9,23496939.6,23611427.1,27049136.5,23345812.55,23420915.08,21051217.26,23131085.14,22181730.54
"hydroxyphenylpyruvate",0,0,0,0,0,1785590.5,1571598.7,1823988,1944010,1866460.4,902188.7,899008.8,922086.8,926441.5,861511.9,771926.3,912499.3,832858.6,781458.4,759551.4,1008169.3,1062451.3,795544,934991.5,949789.7,976873.6,947401.4,1076874.9,911545,869527.1,1020515.2,1084472.4,1002471.9,953260,812391.6,772684.7,816212.8,780568.2,674830.6,934751.0375,943951.4481,923689.6071,829822.412,928054.962
"hydroxyproline",1552568381,1541336653,1650855227,1642719104,1637137516,1216383578,1346180997,1365892376,1381529085,1463985782,1160228639,1182798017,1130253598,1173990129,1077501458,1125742749,1154354641,1158563573,1025984987,1197877380,1115566560,1261053790,1146622671,1170116118,1211861110,1277496401,1406076879,1321850478,1339889355,1416759489,1491002792,1519545541,1423412468,1506409310,1201235412,1266756766,1295148435,1291817456,1305657282,1265863409,1295104854,1253697049,1188621752,1275682209
"hypotaurine",181580.8,157258.9,247020.7,282781,259863.9,183255.7,204033.6,213940.8,139521.6,273114.2,170302.2,147722.3,211514.2,130116.5,228488.7,132301.9,107936.3,180553.8,193016.8,145920,99716.3,169225.9,243708.8,0,170204,145996.5,226791.1,199442.1,224977.1,200462,201209.3,272190,237684.2,180238.1,89924.8,127245.7,133184.5,191554.1,126658.3,137510.4898,213883.1081,243518.5749,228937.2831,233647.342
"hypoxanthine",741406691.4,744918929.4,755399001.6,776921616.4,723190722.6,3069743.2,2754310,2880626.8,3722028,3764521.5,3258249.6,3658103.2,3234948.2,3075319.6,2791067,1569739,1206282.6,1392823.7,1598800.8,1192468.4,2291899.1,2822131.8,3332097.9,2907348.4,2395396.2,2175970.6,2637919.4,2273120.9,2364026.5,3867689.9,3808243.6,3763894.8,3588909.2,3999981.1,3273590.1,4153962.7,3929920.7,3436489,4025467.3,109004428.7,109671947.3,107503573,104193730.3,109798446
"isovalerylcarnitine",26770734.2,26254533.6,27242378.2,29691294.2,28996102.7,25244945.9,27703409.2,30404404.1,31563538.8,30199665.5,21939658.1,23050144.5,24621373.3,25136000,23058728.6,24401264.1,27086445.6,24486766.1,23414353.1,21441036.2,25289836.8,27916460.7,29787521.5,27070874.1,21564716,27363176.2,30471654.1,30117557.3,27709453.3,26869611.3,24994627.8,29503511.3,27169055.3,27856534.3,26263875.6,29199549.3,27589258.3,27682611.3,32864561.3,28153153.14,27322201.95,27273847.34,27415679.59,27986175.74
"KMV+KIC",5580540.5,5901533.5,3627544.3,7070256,22349689.5,122339722.1,129407209.2,142450050.3,180715377.5,139559513.6,150932216.2,132378677.7,139004915.4,134576792.9,134993105.1,131612115.7,129756419.8,124366435.3,124342265.2,136168028.7,175790187.2,188622207.7,200215676,185621722.6,86566524.6,87469388.7,89719196.4,89715377.1,86425684.1,67759327.8,73181950.1,80153117.8,71463107.4,76502874.4,127556955.1,133422337.9,133743900,128930096,139369287.7,116644775.5,114426591.5,112966768.8,115059636.1,113620433
"lactate",2443304873,2395122744,2510921596,2672971128,2659033513,11979038635,12308920746,13651466081,16343109765,13904583451,12227091612,11035459612,11245841576,11302957075,10745793653,12744358021,13533920380,12689715546,12434211788,13211934190,12374668241,12823439956,13268051583,12396758325,12269920803,12442080257,12456849057,12587497904,11724867278,9005579329,9777891298,10414366765,9420831978,10349643384,14186243808,15309398195,15750691954,15584573874,16622257303,11112960460,11335256356,11091705347,10937120988,11075556630
"leucine+isoleucine",8230182424,8130664875,8668739836,9035469746,8607847474,5992996788,6216336828,6759779708,7273417161,6691230212,5558374223,5333547413,5222610545,5075854614,5023098036,5170582030,5402566433,4934141194,4972918735,5359862676,4871463567,5418713263,5578104227,5345672785,6290604767,6702270107,7002005672,6947483502,6592263339,6843896634,7042893061,7278479144,7049653282,7398376035,5772607587,6407405025,6180639865,6183511937,6786794490,6185412261,6353952743,6261097951,6139466595,6246517298
"linoleic acid",5888280.4,5312425.2,5744964.5,6067014.8,5649820.9,729381.4,933893.5,1007465.4,1107985,1089241,618907,677407.1,624440.5,628132.7,586203.4,361976.6,491543.7,323387.1,388311.4,459486.3,375337,442429.3,482996.9,524499.6,883582.1,846279.1,1011255.2,983657.8,1044278.9,741759.6,793825.4,876230.5,814128.7,884939.1,1000816.5,1062017.2,1037676,964429.6,1163127.4,1489831.882,1733825.884,1490087.897,1474169.903,1428211.835
"lysine",1580568176,1795359420,2008521265,1601743743,1373298239,906663913.9,1502455179,1789629423,1393651103,1527164498,1506733849,1464986547,1346268484,1218590111,1281443544,1416907812,1459914828,1160719337,1365902826,1574928649,1136559466,1502988534,1573478783,1527238408,1575317799,1748374046,1937664707,1867376775,1671797617,1427352774,1715735999,1871952361,1770792493,1888211038,1540750377,1635781256,1396289646,1551817580,1642936710,1419063957,1595720996,1664998049,1513798760,1629497887
"malate",242817279.1,296821524.8,320363113.9,606259250,495359272.5,1827918710,706022745.2,801434320,361913657.9,625085226.8,520291962.2,497030459.1,460051774.2,453126010.9,394429788.1,581744434.2,562919862.8,497807870.8,486620800.2,614242968.2,426584001.5,557764439.6,568225805.1,513274569.4,311073567.9,365712626.7,481617698.7,421960478.6,324087351,262362373.5,360247053.1,386694378.9,390258343.4,369083170.4,473343576.1,389093668.8,317072012.1,369246566.1,423620264.2,541777477.7,493329052.6,521796508.3,427097334.3,471525465.7
"methionine",1779789324,1778867588,1913498235,1987017240,1876558435,978799600.8,1040161829,1148112708,1159091139,1121210520,833939988.1,797453445.9,784753219.3,757982785.8,753983842.1,740784853.4,785526411.6,698452910.1,701523939.4,769533814.9,756227167.5,864465653.5,908167949.7,864152279.8,825118295.5,907221061,993662197,1003015965,965944149.8,1061951751,1052655716,1098453835,1070561631,1100978742,756848909.8,883966527.8,804499240.2,818306535.6,934958054.4,975443948.6,1029435090,1007562238,985558086.3,1005860558
"methylarginine",66638500,98193216.7,113525146.8,68324508.5,66231652.8,42040627.5,100744755.3,121631030.3,47633583.6,75011253,101353836.9,110674855.1,102715956.1,68430382.4,89323819.3,105819113.2,98065661.5,65465184.1,95307443.9,108936162.1,57958815.4,97203954.4,109329503.3,100133204.1,103292351.5,115934811.6,121774353.7,121621102.1,107926538,65609668.1,109607703,123516389.9,114120934.4,114776720.4,99189270.8,107854586.4,68227598.1,100323757.4,85208266.1,75619393.04,97540188.92,111837391.3,98010091.16,109613158.2
"methylaspartate",1487032387,1479205007,1609695297,1685314272,1572185170,2318709914,2297734998,2459718667,2229706002,2335899676,2232803605,2150826048,2156216235,2101112268,2062109483,2077776378,2144696079,2014621227,2054220374,2171118411,2001491389,2349894062,2425683239,2284597095,1964466089,2110932568,2205997191,2205474402,2104052253,2001086019,2170896090,2240475423,2116617496,2272420725,1724521575,1934132144,1792061445,1896115984,2060388704,2063470829,2085296510,2097839005,2033874635,2107322222
"myo-inositol",202530975.3,199144574.5,214168344.8,194639581.2,193537528.8,128830737.4,181708496.8,182278489.6,81592160.2,189094355.8,163639053.7,168046368.3,169410344.9,160544721.6,168255717.6,154272245.4,171391225,165635647.9,174243057.7,167553007.2,155708087.1,164877324.4,173676437.4,167261449.4,189298522.7,179995294.9,168315911.7,185354963.4,194835933.7,177421095.2,176015429.3,178484213,166027526.6,182832670,145280855.1,200992998.7,202376892.2,212369332.8,206628927.8,168222623.7,178888784.7,169649351.8,177614806.8,176197033.2
"N-acetylaspartate",7042795.1,6922902,7195780.2,8697477.1,7567083.1,307355322,245092193.1,292623253.2,304683409.6,277801958.2,19893757.8,17480496,17147134.3,17201243.3,14827459.3,11517659,10653072.6,9138061.8,9181825.8,10859315.8,8821943,11763520.4,11627243.5,11192591.5,9198193.6,11102816.9,12510936.5,11612881.9,9841284.3,9074233,11509979.7,12353842.5,11529294.3,11826724.5,48855818.5,40779850.5,33166118.2,35579630.5,40249320.1,48103770.92,46391528.38,47394540.32,43081002.75,47289491.04
"N-acetylaspartylglutamate",0,0,0,180838.2,74619.3,2383839,1166087.7,1339854.4,1534533,920238.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453622.1,172336.5,165441.9,183243.6,250664,178748.2445,91646.94398,51285.48402,50302.57742,35559.62671
"N-acetylglutamate",2769452.8,2411632.2,2655859.2,2687007.9,2531944.4,11742840.7,11540044.7,13147486.8,11676316.2,12677831,7123106.1,5965770.2,5603213.8,4537987.2,5140676.1,5071210.2,5702205.2,4485840.7,4761903,5420390.7,4484634.1,6775176.4,6452781,5576865.4,3533648.1,4774616.7,5416759.7,5825006.7,5190402.7,4192835.1,5789029,5814804.4,5586295.2,6026110.7,6490146,7639706.3,7023428.9,7812433.2,8663527.8,6379096.437,6056876.017,6946989.994,6213268.905,6897670.004
"N-acetylneuramic acid",49635128.4,54200907.6,49082764.3,53038401.3,48808527.6,36413269.5,34211563.3,40419592.7,41583422.7,38346135.3,38188252.5,34551648.6,32747261.8,35210770.8,31920482.3,34832776.9,33221232.7,32791102.6,31372880.8,33056330,31648172.8,36893103.7,36513591.9,34485595.8,37036815.3,38782555.5,44544657.3,43317881.7,41629110.6,41976370.3,43969930.8,44098194.9,43548834.9,46231851.2,38316919,39135403.6,39565446.7,39221733.3,43772024.8,40954918.76,39003799,38528011.49,37739100.13,37697669.78
"oleic acid",37401338,44799645,42326515.9,39888597.3,35764835,18082832.7,20089608.2,22110245.4,31448495.1,26411914.6,11411527.2,11977253.9,14431978.4,11110895.6,10412779.3,8451766.7,14309106.9,7594840.8,7941062.8,8332801.8,9319179.9,10744219,9673318.1,7780882,13333462.9,15946834.1,16935978.4,15249065.5,15004293.7,13859207.2,14113536.1,15784634.8,14733216.6,15739736,13806506.2,17460760.4,13090962.2,14696886.2,18512706.5,17843271.06,17099932.49,17555796.19,17597315.03,16704820
"ornithine",64911293.7,122876277.2,137169541.9,37947901.4,30800145.9,60916965.4,139403856.5,254415933.6,207230675.2,158433641.5,88696982.1,96074420.2,88221498.3,60710418.8,75204483.8,100914880.2,93922906.3,59634658.4,88936843.1,110654921.1,45920964.2,92969963.2,94734942.1,80786736.2,107637578.1,132170467.6,179410422.2,160154263.6,123044409.6,49374789.7,109091986,118718533.6,121971649,106586879.6,104298053.8,106237314.2,63190685.9,110603296.1,96638205.6,73666047.02,128967626.3,158149138.8,114696129.7,132098719.7
"orotate",690709.5,884493.5,563478.8,636513,549118.2,10090578.7,9400699.8,9846673,10928836.8,10363828.2,16754494.4,16995348.3,16110273.2,15750356.4,16342462.8,21369789.1,21565327.8,19505325.7,20328288.7,21237377.5,13976211.3,14811879.7,15398239.7,14565773.7,5822133.3,6212768.5,5785267.7,5722426,5302897.1,8876163.7,9916624.1,9411322.4,9679152,9886982.7,7326492.4,7494433.4,6787381.6,7393706.8,7458714.7,10599681.18,11126397.75,11132715.17,10703731.68,10820001.11
"palmitate",74557555.1,52482562.1,64627654,63946335.1,53337277.7,44462160.5,43827083.1,45428554.6,64847265.1,52921310.1,29009993.2,28687639.2,31976599.9,17302155,19272307.4,17206539.2,22048366.4,17531185.7,15068206.9,26392885.6,19218641.1,23033861.9,16355253.1,14986799.2,38485221,34742290.8,33974994.8,33726286.6,29606123.5,33881565,40522626.6,35464706.3,33060452.3,34470816,38653287.1,46509606.4,37954296.9,41407867.9,52580743.4,74594998.8,75497727.88,72514511.59,71986652.11,70851390.86
