gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000037579	77.24810535	0.2655581780	1.31928829	0.2012889683	8.404726e-01	NA
ENSMUSG00000045174	22.62173142	-0.1321704585	0.93934300	-0.1407052145	8.881028e-01	NA
ENSMUSG00000007944	61.31096725	0.0145112910	0.90928081	0.0159590864	9.872670e-01	NA
ENSMUSG00000046182	43.42553752	-0.1510240723	0.94607694	-0.1596319137	8.731710e-01	NA
ENSMUSG00000041708	123.56416237	-0.0199731132	0.78991659	-0.0252850914	9.798276e-01	NA
ENSMUSG00000027834	139.40796085	-0.2238617378	0.83134544	-0.2692764357	7.877170e-01	NA
ENSMUSG00000022212	116.14522775	-0.3319518901	0.86911868	-0.3819408058	7.025053e-01	NA
ENSMUSG00000050164	15.11656315	0.1653286592	1.01996245	0.1620928878	8.712327e-01	NA
ENSMUSG00000045903	27.51848842	-0.9914768519	0.91678077	-1.0814764977	2.794852e-01	NA
ENSMUSG00000040794	67.61425662	0.0874237568	0.84892044	0.1029822728	9.179770e-01	NA
ENSMUSG00000009216	104.89876985	0.3159179850	1.30783495	0.2415579926	8.091227e-01	NA
ENSMUSG00000029420	155.33542678	-0.8069911575	0.65780332	-1.2267970236	2.198989e-01	NA
ENSMUSG00000062593	112.91115083	-1.5796968420	1.22285290	-1.2918126512	1.964220e-01	NA
ENSMUSG00000025576	154.39215704	-0.3698387570	0.85967784	-0.4302062220	6.670456e-01	NA
ENSMUSG00000035653	61.70622174	-0.5686229316	0.72645372	-0.7827379999	4.337810e-01	NA
ENSMUSG00000024064	24.90759508	-0.7327429695	0.80516497	-0.9100532097	3.627944e-01	NA
ENSMUSG00000046093	644.08984387	-0.3278691563	0.70997770	-0.4618020518	6.442233e-01	9.987681e-01
ENSMUSG00000022454	511.52185129	-0.4518513233	0.62136224	-0.7271946967	4.671067e-01	9.987681e-01
ENSMUSG00000031376	76.61371099	-0.3956359788	0.72320652	-0.5470580929	5.843388e-01	NA
ENSMUSG00000044933	29.77156342	0.0113594954	0.80273124	0.0141510568	9.887095e-01	NA
ENSMUSG00000006711	36.91002300	-0.5665320493	0.75159484	-0.7537732006	4.509854e-01	NA
ENSMUSG00000028785	140.02489923	-0.5784745922	0.84872100	-0.6815839253	4.955021e-01	NA
ENSMUSG00000024041	6.22179789	-1.3453691749	1.57021599	-0.8568051665	3.915526e-01	NA
ENSMUSG00000039809	237.92493963	-0.8375032874	0.66002616	-1.2688940825	2.044788e-01	NA
ENSMUSG00000086719	9.50318357	-1.7039678385	1.48203300	-1.1497502695	2.502467e-01	NA
ENSMUSG00000034997	26.45535444	-0.3497579038	0.76588430	-0.4566719839	6.479068e-01	NA
ENSMUSG00000025189	83.57678999	-0.3085294118	0.80005883	-0.3856334042	6.997682e-01	NA
ENSMUSG00000040125	298.58512798	0.6302043048	1.21864368	0.5171358240	6.050613e-01	NA
ENSMUSG00000032452	91.35379266	-0.7128792889	0.62804075	-1.1350844416	2.563399e-01	NA
ENSMUSG00000021680	14.99814443	-1.3214350683	1.13077996	-1.1686049544	2.425628e-01	NA
ENSMUSG00000028289	113.29293592	-0.4546419857	0.65711180	-0.6918791966	4.890132e-01	NA
ENSMUSG00000037428	119.36834408	-0.3050140361	0.93501689	-0.3262123274	7.442637e-01	NA
ENSMUSG00000028033	73.74204221	-0.6910217627	0.74610731	-0.9261693982	3.543580e-01	NA
ENSMUSG00000042078	103.82014966	-0.4151385638	0.71228337	-0.5828278217	5.600092e-01	NA
ENSMUSG00000030134	201.67596123	-0.2656871902	0.68892745	-0.3856533667	6.997534e-01	NA
ENSMUSG00000024672	81.42716001	-1.8669335785	1.15401418	-1.6177735163	1.057114e-01	NA
ENSMUSG00000022357	13.67099958	-1.3684086719	1.35758579	-1.0079721547	3.134678e-01	NA
ENSMUSG00000032355	50.09288084	0.3150771635	0.98025480	0.3214237387	7.478893e-01	NA
ENSMUSG00000036264	22.53301568	-0.1856953205	1.04379694	-0.1779036829	8.587986e-01	NA
ENSMUSG00000039059	79.00781205	-0.5880570772	0.80939429	-0.7265396915	4.675080e-01	NA
ENSMUSG00000000632	287.40929935	-0.6715719163	0.69309358	-0.9689483983	3.325709e-01	NA
ENSMUSG00000000861	81.19104663	-0.1332712727	0.92708853	-0.1437524768	8.856959e-01	NA
ENSMUSG00000000560	49.03346434	-0.3505532862	0.69934255	-0.5012611992	6.161873e-01	NA
ENSMUSG00000017740	417.23197208	-0.2249123765	0.69286866	-0.3246104030	7.454760e-01	9.987681e-01
ENSMUSG00000027489	34.91082285	-0.1872533673	0.86436051	-0.2166380409	8.284904e-01	NA
ENSMUSG00000026959	305.92468495	-0.3372376554	0.73272551	-0.4602510122	6.453361e-01	NA
ENSMUSG00000068696	66.61368942	0.8383038029	1.00549337	0.8337238457	4.044366e-01	NA
ENSMUSG00000064193	262.37978942	0.3513411190	1.63253203	0.2152123890	NA	NA
ENSMUSG00000065922	29.02752206	3.4567715989	1.33693568	2.5855930542	9.721163e-03	NA
ENSMUSG00000004961	87.77649417	-0.0928855315	0.80590500	-0.1152561799	9.082421e-01	NA
ENSMUSG00000029878	60.10109337	-0.6716051926	0.84499115	-0.7948073668	4.267256e-01	NA
ENSMUSG00000042388	279.29053980	0.2220338042	0.94568817	0.2347854316	8.143753e-01	NA
ENSMUSG00000064065	109.20364894	-0.7708192510	0.57590053	-1.3384590082	1.807469e-01	NA
ENSMUSG00000007653	127.40958222	-0.2090548715	0.75530397	-0.2767824360	7.819472e-01	NA
ENSMUSG00000054013	71.17314836	-0.4177888591	0.81367291	-0.5134604482	6.076293e-01	NA
ENSMUSG00000056972	19.18672424	-2.7694549728	1.18083941	-2.3453273608	1.901038e-02	NA
ENSMUSG00000040907	1758.97538825	-0.1410870319	0.73407855	-0.1921960969	8.475886e-01	9.987681e-01
ENSMUSG00000096146	8.36612557	0.1646085465	1.10951364	0.1483609943	8.820579e-01	NA
ENSMUSG00000023033	406.76188305	-0.2835429621	0.68946601	-0.4112500971	6.808892e-01	9.987681e-01
ENSMUSG00000052087	55.54883246	0.2255198577	0.76710951	0.2939865248	7.687682e-01	NA
ENSMUSG00000030137	11.96903399	-0.3268104593	0.92591781	-0.3529583894	7.241196e-01	NA
ENSMUSG00000028176	177.99424619	-0.1391022368	0.84914767	-0.1638139532	8.698776e-01	NA
ENSMUSG00000022577	102.12258673	-0.9706501097	0.57535129	-1.6870564620	9.159250e-02	NA
ENSMUSG00000018865	197.54685660	-0.0633221143	0.74568089	-0.0849185155	9.323262e-01	NA
ENSMUSG00000059040	303.49313074	0.3353705432	1.59618108	0.2101080810	NA	NA
ENSMUSG00000061751	453.60691743	-0.1563293610	0.74820928	-0.2089380148	8.344966e-01	9.987681e-01
ENSMUSG00000069227	142.79792085	-0.1321988199	0.76183712	-0.1735263579	8.622377e-01	NA
ENSMUSG00000034145	33.87801514	-0.4215166487	0.70221932	-0.6002635342	5.483306e-01	NA
ENSMUSG00000062296	475.12568455	-0.4636890289	0.87824181	-0.5279742122	5.975172e-01	9.987681e-01
ENSMUSG00000058624	314.85876058	0.1524221795	0.68720287	0.2218008494	8.244689e-01	NA
ENSMUSG00000031932	21.63116244	0.0015477050	0.93231526	0.0016600661	9.986755e-01	NA
ENSMUSG00000058360	3.21008117	-1.6082358842	1.68684558	-0.9533984016	3.403883e-01	NA
ENSMUSG00000039037	121.78640280	-0.1642139729	0.68112205	-0.2410933154	8.094828e-01	NA
ENSMUSG00000046699	70.82496527	-0.8997337502	0.67223389	-1.3384236721	1.807584e-01	NA
ENSMUSG00000084890	41.40460418	0.3791165457	1.14409059	0.3313693432	7.403655e-01	NA
ENSMUSG00000055958	3.72739182	0.0410579209	1.30708329	0.0314118626	9.749411e-01	NA
ENSMUSG00000016150	106.36807004	-0.7233075088	0.66314456	-1.0907237324	2.753945e-01	NA
ENSMUSG00000045349	65.13868444	-0.5272815031	0.69899818	-0.7543388835	4.506458e-01	NA
ENSMUSG00000078591	26.00486584	-0.0772974044	1.03296362	-0.0748307134	9.403494e-01	NA
ENSMUSG00000094626	63.42085402	-0.2272639632	0.67712431	-0.3356310781	7.371491e-01	NA
ENSMUSG00000090061	37.16091042	0.3012858080	1.04093915	0.2894365215	7.722474e-01	NA
ENSMUSG00000089672	44.27706341	-1.6966891755	1.18887050	-1.4271438055	NA	NA
ENSMUSG00000078307	90.05649755	-0.1488195993	0.90497639	-0.1644458367	8.693802e-01	NA
ENSMUSG00000032532	142.20530210	0.1343686196	0.73076632	0.1838735792	8.541126e-01	NA
ENSMUSG00000022416	116.40256928	0.6208335354	0.95807269	0.6480025354	5.169833e-01	NA
ENSMUSG00000071567	51.84775784	0.0985990132	0.74500601	0.1323466018	8.947101e-01	NA
ENSMUSG00000008658	186.15183956	-0.2740345876	0.67371077	-0.4067540527	6.841886e-01	NA
ENSMUSG00000060257	16.18336606	0.4383850643	1.07218370	0.4088712259	6.826342e-01	NA
ENSMUSG00000090071	240.69983020	0.5056237719	0.83022201	0.6090223674	5.425096e-01	NA
ENSMUSG00000060212	124.65220673	-0.2678326853	0.62803943	-0.4264583927	6.697739e-01	NA
ENSMUSG00000016346	338.75613778	-0.2181371121	0.80616501	-0.2705861812	7.867093e-01	9.987681e-01
ENSMUSG00000027220	185.43807522	-0.6103642124	0.56770791	-1.0751377566	2.823131e-01	NA
ENSMUSG00000041380	35.62948236	-0.0899005051	1.03520313	-0.0868433473	9.307960e-01	NA
ENSMUSG00000040424	41.29457666	-0.2228955652	0.75860452	-0.2938231445	7.688930e-01	NA
ENSMUSG00000057897	762.05282569	-0.1866477553	0.67865614	-0.2750255146	7.832966e-01	9.987681e-01
ENSMUSG00000035226	56.07900114	-0.2640721507	0.98215716	-0.2688695476	7.880301e-01	NA
ENSMUSG00000063193	28.97166603	-1.5955173455	1.21937845	-1.3084677211	1.907147e-01	NA
ENSMUSG00000024873	142.36640983	0.0507736498	0.65554603	0.0774524561	9.382636e-01	NA
ENSMUSG00000053395	78.82862213	0.0254185133	0.68816735	0.0369365290	9.705356e-01	NA
ENSMUSG00000044071	89.32588466	-0.5709984792	0.64945111	-0.8792016351	3.792920e-01	NA
ENSMUSG00000027895	68.26462073	0.1961699242	0.74324054	0.2639386762	7.918272e-01	NA
ENSMUSG00000019146	29.18230209	-0.0759460348	0.91948706	-0.0825960888	9.341727e-01	NA
ENSMUSG00000028965	41.80284449	-0.7443574392	1.36856165	-0.5438976296	5.865119e-01	NA
ENSMUSG00000049583	258.11401278	-0.2156568339	0.58474245	-0.3688065301	7.122719e-01	NA
ENSMUSG00000026141	18.51614537	0.5728463310	0.90195509	0.6351162481	5.253526e-01	NA
ENSMUSG00000104597	162.06898703	-0.4176621091	0.76900929	-0.5431171172	5.870492e-01	NA
ENSMUSG00000041710	21.87239719	-1.3436177209	0.70735752	-1.8994888551	5.750023e-02	NA
ENSMUSG00000052373	47.50207405	-0.0307405068	0.76222538	-0.0403299441	9.678301e-01	NA
ENSMUSG00000027419	259.37431686	-0.1252350853	0.62063316	-0.2017860034	8.400840e-01	NA
ENSMUSG00000052981	158.94179354	-0.1073376548	0.62978560	-0.1704352322	8.646679e-01	NA
ENSMUSG00000045912	17.17325426	-0.8987171082	0.78331517	-1.1473250348	2.512473e-01	NA
ENSMUSG00000055409	40.41357394	-0.6918613538	0.92820361	-0.7453767132	4.560440e-01	NA
ENSMUSG00000046550	3.91051102	-0.4304458596	1.22892708	-0.3502615150	7.261424e-01	NA
ENSMUSG00000021062	133.84894801	-0.2059950601	0.93677880	-0.2198972266	8.259512e-01	NA
ENSMUSG00000036306	158.37486161	0.1669567210	0.73736432	0.2264236502	8.208719e-01	NA
ENSMUSG00000074923	93.70018743	0.1041828799	0.78570417	0.1325980995	8.945112e-01	NA
ENSMUSG00000027965	15.24797196	-0.4877262255	0.96849433	-0.5035922339	6.145480e-01	NA
ENSMUSG00000047658	54.60775653	0.0450660166	0.66147439	0.0681296466	9.456824e-01	NA
ENSMUSG00000076613	738.23514196	10.9110894753	1.24499478	8.7639640377	1.885020e-18	2.016971e-16
ENSMUSG00000064293	67.45294802	-0.6654611869	0.55049157	-1.2088490094	2.267209e-01	NA
ENSMUSG00000020990	10.20285378	-0.0248912426	0.95998926	-0.0259286678	9.793142e-01	NA
ENSMUSG00000038738	1152.38696500	-0.1329061753	0.68683985	-0.1935038779	8.465644e-01	9.987681e-01
ENSMUSG00000051062	16.09776731	0.3788554958	1.04157622	0.3637328568	7.160575e-01	NA
ENSMUSG00000027273	1041.11701895	-0.2033455282	0.58795533	-0.3458520040	7.294539e-01	9.987681e-01
ENSMUSG00000030302	655.74823014	0.0913992580	0.76227556	0.1199031721	9.045599e-01	9.987681e-01
ENSMUSG00000032564	32.88230580	0.5169944944	1.06270400	0.4864896454	6.266200e-01	NA
ENSMUSG00000030789	289.81990973	-1.0835499710	1.19733143	-0.9049707890	3.654809e-01	NA
ENSMUSG00000040452	15.26695275	-0.0009242770	1.07914503	-0.0008564901	9.993166e-01	NA
ENSMUSG00000021478	36.96767725	0.7903978620	0.84324042	0.9373339405	3.485868e-01	NA
ENSMUSG00000034891	219.48400845	0.0413025524	0.65059842	0.0634839423	9.493811e-01	NA
ENSMUSG00000030350	91.60592927	0.4413922687	0.83984386	0.5255646775	5.991907e-01	NA
ENSMUSG00000107226	6.23904494	-1.8377128595	1.06564221	-1.7245120837	8.461544e-02	NA
ENSMUSG00000034818	256.54604167	-0.4420629693	0.67523139	-0.6546836726	5.126714e-01	NA
ENSMUSG00000050069	45.65566808	-0.8020116729	0.57630385	-1.3916472644	1.640292e-01	NA
ENSMUSG00000105983	14.62147949	0.9058134694	1.13377253	0.7989375703	4.243266e-01	NA
ENSMUSG00000020684	368.84342589	0.5028836914	0.82372611	0.6104986692	5.415315e-01	9.987681e-01
ENSMUSG00000036800	63.43767634	-0.2680077714	0.61808557	-0.4336094975	6.645720e-01	NA
ENSMUSG00000027347	428.70772104	-0.6067078416	0.66486913	-0.9125221987	3.614939e-01	9.987681e-01
ENSMUSG00000061298	14.01938458	-1.0111099406	0.85423245	-1.1836473140	2.365527e-01	NA
ENSMUSG00000078235	15.46211108	-0.5019275832	0.82429480	-0.6089175668	5.425791e-01	NA
ENSMUSG00000107105	6.04886210	-2.4806028988	1.43752758	-1.7256036877	8.441874e-02	NA
ENSMUSG00000086040	254.09691220	0.0115972134	0.65655303	0.0176637878	9.859071e-01	NA
ENSMUSG00000038179	82.07770420	-1.4187091742	1.15530264	-1.2279978632	2.194478e-01	NA
ENSMUSG00000020848	69.36657754	-0.3469179335	0.59421698	-0.5838236638	5.593390e-01	NA
ENSMUSG00000020297	355.49767978	-0.1361170784	0.61526059	-0.2212348393	8.249096e-01	9.987681e-01
ENSMUSG00000029754	5.97998421	0.7982506855	1.16229736	0.6867869746	4.922170e-01	NA
ENSMUSG00000027500	205.12078524	-0.1797426143	0.58498192	-0.3072618257	7.586441e-01	NA
ENSMUSG00000106775	23.93002612	-1.7138948951	1.29288761	-1.3256333193	1.849612e-01	NA
ENSMUSG00000022288	5.38775773	-2.8384725893	1.54025781	-1.8428555055	6.535011e-02	NA
ENSMUSG00000036422	71.45882739	-0.5610971196	0.72106932	-0.7781458752	4.364830e-01	NA
ENSMUSG00000050963	24.91730201	0.0711180881	0.92681456	0.0767338921	9.388352e-01	NA
ENSMUSG00000036185	13.65443039	-0.6353298439	1.45148196	-0.4377111550	6.615957e-01	NA
ENSMUSG00000051401	30.32424991	0.5460145339	0.85671024	0.6373386332	5.239043e-01	NA
ENSMUSG00000102697	70.33968943	0.4516722210	0.71639477	0.6304795076	5.283809e-01	NA
ENSMUSG00000075318	502.86992508	-0.2917685607	0.57845432	-0.5043934327	6.139849e-01	9.987681e-01
ENSMUSG00000090063	35.60682055	0.4563344963	0.98961472	0.4611233907	6.447101e-01	NA
ENSMUSG00000085800	7.78799880	-0.9511063351	1.47252273	-0.6459026517	5.183424e-01	NA
ENSMUSG00000021647	290.61024061	0.8105244068	1.14070043	0.7105497532	4.773633e-01	NA
ENSMUSG00000066108	22.20386634	-0.9016173004	1.30099173	-0.6930230826	4.882951e-01	NA
ENSMUSG00000058153	285.31869553	-0.1994253862	0.54743101	-0.3642931864	7.156391e-01	NA
ENSMUSG00000106106	50651.43642500	3.3411695672	1.14492738	2.9182371011	3.520166e-03	6.436760e-02
ENSMUSG00000032739	6.86434342	1.8701688894	0.99903920	1.8719674767	6.121110e-02	NA
ENSMUSG00000029211	93.64281698	-0.3907490549	0.54913058	-0.7115776572	4.767263e-01	NA
ENSMUSG00000024245	52.47319725	0.0415356560	0.84298587	0.0492720669	9.607025e-01	NA
ENSMUSG00000063354	22.66343843	-1.0185142674	1.26375715	-0.8059414464	4.202766e-01	NA
ENSMUSG00000068129	134.44119939	-0.9634379965	1.24181360	-0.7758314095	NA	NA
ENSMUSG00000025468	67.63977963	-0.1293178528	0.63336105	-0.2041771482	8.382151e-01	NA
ENSMUSG00000032589	1158.95389568	-0.0736407304	0.57109738	-0.1289460126	8.974004e-01	9.987681e-01
ENSMUSG00000031293	205.59804886	2.6453399006	1.23722735	2.1381194887	3.250705e-02	NA
ENSMUSG00000031883	13.51940653	0.0361823117	0.80139960	0.0451489017	9.639886e-01	NA
