gene_id	gene_name	SRX8042381	SRX8042382	SRX8042383	SRX8042384	SRX8042385	SRX8042386
ENSMUSG00000061751	Kalrn	4358	4983	4800	4508	4409	4321
ENSMUSG00000069227	Gprin1	8081	8343	7948	8003	7782	7948
ENSMUSG00000034145	Tmem63c	8072	8327	8112	7854	7560	7867
ENSMUSG00000062296	Trank1	3452	3239	3048	3129	3848	3107
ENSMUSG00000058624	Gda	8133	8584	8174	8213	8602	8279
ENSMUSG00000031932	Gpr83	7629	7107	7696	7082	7331	7844
ENSMUSG00000058360	Gm10040	4446	4573	3896	4773	4243	3880
ENSMUSG00000039037	St6galnac5	4982	4420	5225	4525	4706	4392
ENSMUSG00000046699	Slitrk4	3578	3965	3644	3967	3428	4061
ENSMUSG00000084890	A830036E02Rik	9659	9181	9679	9788	9794	9251
ENSMUSG00000055958	Gm9987	7709	7295	7887	7953	7768	7921
ENSMUSG00000016150	Tenm1	10417	10217	10421	9905	10059	9930
ENSMUSG00000045349	Sh2d5	8791	9252	9018	8751	8876	8803
ENSMUSG00000078591	Hs3st4	1235	1244	1357	1549	1194	1487
ENSMUSG00000094626	Cecr6	759	681	1421	1054	1312	843
ENSMUSG00000090061	Nwd2	7567	7939	7222	7460	7193	7343
ENSMUSG00000089672	Gp49a	2796	3080	2263	2989	2502	2506
ENSMUSG00000078307	AI593442	9746	10194	9612	9541	9309	9814
ENSMUSG00000032532	Cck	1420	1603	1308	1440	2116	1763
ENSMUSG00000022416	Cacna1i	6356	7021	6370	6421	6852	6910
ENSMUSG00000071567	A830039N20Rik	5755	5965	6316	5829	5696	5929
ENSMUSG00000008658	Rbfox1	7027	6864	6380	6180	6448	7091
ENSMUSG00000060257	Scrt2	1694	2156	2192	2426	2133	1733
ENSMUSG00000090071	Cdk5r2	7757	7723	7702	7372	7339	7335
ENSMUSG00000060212	Pcnxl2	4551	5296	5233	4607	4873	5355
ENSMUSG00000016346	Kcnq2	4448	4624	4075	4834	4434	4569
ENSMUSG00000027220	Syt13	7003	7944	7147	7218	7464	7188
ENSMUSG00000041380	Htr2c	3458	3489	2883	3554	2958	2925
ENSMUSG00000040424	Hipk4	7733	8194	8545	7916	8248	8178
ENSMUSG00000057897	Camk2b	4524	4099	4592	4248	4322	4415
ENSMUSG00000035226	Rims4	8619	8719	8337	8349	8307	8086
ENSMUSG00000063193	Cd300lb	3074	3247	3173	2546	2621	3195
ENSMUSG00000024873	Cnih2	7547	7516	7584	8193	8046	7968
ENSMUSG00000053395	Cacng8	1364	1153	1132	1043	1484	655
ENSMUSG00000044071	Fam19a2	2888	3155	2774	2616	3489	3249
ENSMUSG00000027895	Kcnc4	6615	7071	7113	7100	6939	7056
ENSMUSG00000019146	Cacng2	5349	5880	5974	6046	5368	5189
ENSMUSG00000028965	Tnfrsf9	9303	9679	9324	9228	9371	9632
ENSMUSG00000049583	Grm5	8661	8964	8543	8508	9197	8383
ENSMUSG00000026141	Col19a1	9106	9146	9370	9421	8796	9602
ENSMUSG00000104597	RP24-68G17.4	3524	3032	2785	3626	2808	3149
ENSMUSG00000041710	Trpc5	1890	2535	1963	2552	2689	2545
ENSMUSG00000052373	Mpp3	9221	9423	9350	9630	8856	8878
ENSMUSG00000027419	Pcsk2	3499	2903	3442	3057	3025	3287
ENSMUSG00000052981	Ube2ql1	3315	3181	3593	3610	2781	3301
ENSMUSG00000045912	C2cd4c	1465	1536	1293	1426	1392	1242
ENSMUSG00000055409	Nell1	1688	932	1275	1375	873	1383
ENSMUSG00000046550	Spin2c	9433	9581	9360	9097	9164	8926
ENSMUSG00000021062	Rab15	2055	1930	2408	2201	2510	1985
ENSMUSG00000036306	Lzts1	6488	5982	6077	6650	5744	5897
ENSMUSG00000074923	Pak6	1449	1870	1892	2111	1382	1478
ENSMUSG00000027965	Olfm3	8412	8471	8403	8401	7959	7994
ENSMUSG00000047658	Gal3st3	6825	6304	6450	6155	6502	6725
ENSMUSG00000076613	Ighg2b	9398	10088	9984	9493	9700	9361
ENSMUSG00000064293	Cntn4	9188	8608	8571	8793	8592	8558
ENSMUSG00000020990	Cdkl1	5167	4868	4533	4267	5039	4262
ENSMUSG00000038738	Shank1	7146	6830	6583	6290	7064	7095
ENSMUSG00000051062	Fbll1	4506	4492	4192	4413	4366	4228
ENSMUSG00000027273	Snap25	6632	6691	6652	6305	6278	5896
ENSMUSG00000030302	Atp2b2	8117	7475	7751	7749	8028	7958
ENSMUSG00000032564	Cpne4	8857	8122	8658	9023	8205	8498
ENSMUSG00000030789	Itgax	7069	6897	7406	7035	7530	7783
ENSMUSG00000040452	Cdh12	9780	9670	9636	9071	9001	9257
ENSMUSG00000021478	Drd1	5249	5237	5229	4569	4641	5357
ENSMUSG00000034891	Sncb	1839	1685	1777	1032	1620	1666
ENSMUSG00000030350	Prmt8	3992	3337	3694	4206	4142	3869
ENSMUSG00000107226	RP24-248M2.5	2833	2841	2666	2925	2351	2827
ENSMUSG00000034818	Celf5	1414	1504	1981	1911	1906	1541
ENSMUSG00000050069	Grem2	1586	1900	1856	983	1454	1037
ENSMUSG00000105983	RP23-140B23.1	6670	7058	6525	6840	6612	6890
ENSMUSG00000020684	Rasl10b	6495	7082	7100	6743	6674	6605
ENSMUSG00000036800	Fam135b	9533	8968	8581	8884	9109	9488
ENSMUSG00000027347	Rasgrp1	5785	5702	6222	5257	6013	5766
ENSMUSG00000061298	Agbl4	5755	5502	4838	5265	5203	5537
ENSMUSG00000078235	Fam43b	2879	2820	2973	2518	2487	2745
ENSMUSG00000107105	Gm15820	1321	1758	1757	1656	1780	1855
ENSMUSG00000086040	Wipf3	5949	6027	5459	6027	5788	5775
ENSMUSG00000038179	Slamf7	6470	6929	7070	6331	6288	6193
ENSMUSG00000020848	Doc2b	6721	6888	6862	6843	6145	6497
ENSMUSG00000020297	Nsg2	9926	10125	9590	9395	10167	10117
ENSMUSG00000029754	Dlx6	3345	3873	3772	3846	3016	3605
ENSMUSG00000027500	Stmn2	1917	1498	2314	1691	1710	1637
ENSMUSG00000106775	RP23-124H2.4	5637	5813	6108	5720	5922	5748
ENSMUSG00000022288	4930447A16Rik	3286	4092	3429	3867	3329	3737
ENSMUSG00000036422	Pcdh8	2910	3512	2570	3532	3299	3052
ENSMUSG00000050963	Kcns2	5485	5346	4912	4791	5282	5678
ENSMUSG00000036185	Sapcd1	7729	8416	8294	7622	7986	7617
ENSMUSG00000051401	Kctd16	2210	2190	1697	2129	1648	2500
ENSMUSG00000102697	Pcdhac2	9403	9571	9312	9375	9149	9528
ENSMUSG00000075318	Scn2a1	7893	7939	7912	7634	8059	8418
ENSMUSG00000090063	Dlx6os1	6062	5358	5644	5633	5661	5419
ENSMUSG00000085800	1700066O22Rik	6301	6829	6908	6549	6917	6252
ENSMUSG00000021647	Cartpt	1365	1120	756	1400	1273	1315
ENSMUSG00000066108	Muc5b	7162	7268	7765	6830	7368	7727
ENSMUSG00000058153	Sez6l	7895	7872	8061	8067	8022	7477
ENSMUSG00000106106	Rn18s-rs5	1127	1298	1720	919	1453	956
ENSMUSG00000032739	Pram1	6949	7023	6815	6326	7055	7059
ENSMUSG00000029211	Gabra4	5167	5495	4829	4863	4771	5549
ENSMUSG00000024245	Tmem178	7459	7966	7838	7622	8141	8110
ENSMUSG00000063354	Slc39a4	8751	8388	8783	8693	8696	8588
ENSMUSG00000068129	Cst7	3125	2337	2313	2596	3090	2211
ENSMUSG00000025468	Caly	8140	7895	8453	7769	7749	7938
ENSMUSG00000032589	Bsn	6959	6670	6427	6649	6365	6839
ENSMUSG00000031293	Rs1	1459	935	886	1459	1086	1074
ENSMUSG00000031883	Car7	8431	8287	8277	8326	8035	8350
ENSMUSG00000042532	Golga7b	1725	1605	1492	1978	1711	1258
ENSMUSG00000097914	Gm26838	5395	5901	5084	5467	5545	6003
ENSMUSG00000007207	Stx1a	9185	9089	9130	9626	9932	9402
ENSMUSG00000043301	Kcnj6	6418	6485	6609	7148	6527	7101
ENSMUSG00000029544	Cabp1	9839	9401	9679	10307	10218	10222
ENSMUSG00000026204	Ptprn	1237	1317	1841	1043	1698	1565
ENSMUSG00000076609	Igkc	5422	5692	5151	5615	5157	5419
ENSMUSG00000067149	Jchain	6038	5576	5681	5643	6429	5652
ENSMUSG00000023828	Slc22a3	9100	9035	9111	9160	9118	8425
ENSMUSG00000015568	Lpl	9057	9856	9581	9720	9775	9727
ENSMUSG00000102876	Gm37136	7816	7028	7196	7663	7443	7676
ENSMUSG00000025885	Myo5b	1938	2429	2034	2688	2127	2062
ENSMUSG00000096847	Tmem151b	5110	5492	5500	5034	5576	5040
ENSMUSG00000104159	Gm38099	9934	9444	9908	9135	9751	9898
ENSMUSG00000048251	Bcl11b	8418	8009	7892	8500	8452	8034
ENSMUSG00000030162	Olr1	8926	9809	9667	9215	9729	9861
ENSMUSG00000045038	Prkce	1870	2336	2483	2140	2298	1917
ENSMUSG00000047013	Fbxo41	8548	8177	8740	8355	8948	8684
ENSMUSG00000085830	Grin1os	3196	3499	3278	2767	3265	2793
ENSMUSG00000021708	Rasgrf2	9332	8983	9813	9774	9062	9087
ENSMUSG00000020431	Adcy1	8129	7867	8090	7969	7850	8360
ENSMUSG00000025422	Agap2	7218	7064	7555	7576	7345	6815
ENSMUSG00000024261	Syt4	3054	3677	2753	2916	3481	2858
ENSMUSG00000103201	Gm37329	1159	1721	1436	1011	859	1237
ENSMUSG00000032988	Slc16a8	2231	1834	2331	1914	2449	1569
ENSMUSG00000080736	Gm15617	3621	4195	4110	4204	3334	3673
ENSMUSG00000047842	Diras2	1835	1747	2002	2307	2019	2158
ENSMUSG00000045036	Tmem232	5379	5008	5267	5560	5514	5155
ENSMUSG00000071265	1700086L19Rik	7438	7284	7717	8074	7523	7448
ENSMUSG00000040035	Disp2	6916	7217	6949	6977	6877	7210
ENSMUSG00000030000	Add2	1030	1262	1479	1556	1518	1767
ENSMUSG00000044667	Lppr4	1053	1190	1532	1290	1486	1615
ENSMUSG00000019785	Clvs2	9113	8708	9504	8678	9174	9508
ENSMUSG00000079657	Rab26	7894	7887	7964	8032	7353	7113
ENSMUSG00000044912	Syt16	9049	9807	9797	9033	9292	9318
ENSMUSG00000025427	Rnf165	2595	3104	2146	2270	3043	2641
ENSMUSG00000024268	Celf4	6185	5240	5203	5588	5548	5363
ENSMUSG00000020734	Grin2c	10195	9633	9647	9661	10281	10425
ENSMUSG00000032503	Arpp21	3759	3800	3352	4069	4003	4060
ENSMUSG00000039628	Hs3st6	6846	5902	6372	6859	6787	6518
ENSMUSG00000095079	Igha	7067	7253	7268	7672	7310	7358
ENSMUSG00000036815	Dpp10	4274	3528	3645	3516	3452	4184
ENSMUSG00000019906	Lin7a	7867	7765	8290	7971	7534	7788
ENSMUSG00000031097	Tnni2	886	1672	1317	725	1423	1119
ENSMUSG00000033981	Gria2	3469	3336	3342	4160	3648	3839
ENSMUSG00000085599	Gm13449	599	608	1355	1507	674	1146
ENSMUSG00000102958	Gm37016	3716	3075	3608	3724	3307	3725
ENSMUSG00000086503	Xist	1361	1379	1514	1868	1635	1273
ENSMUSG00000106018	RP24-176M3.1	5506	4703	4934	5084	4783	5108
ENSMUSG00000000982	Ccl3	7133	7191	7476	7638	7733	7418
ENSMUSG00000027748	Trpc4	2522	2998	2527	2332	2563	2471
ENSMUSG00000087516	Tbx3os1	5124	4590	4431	4846	4678	4592
ENSMUSG00000040026	Saa3	2485	1888	1912	2536	2169	2010
ENSMUSG00000027438	Napb	9407	10003	10011	10183	9870	10282
ENSMUSG00000030222	Rerg	4665	4424	5008	4712	5271	5200
ENSMUSG00000078117	Gm16485	7889	7543	7011	7449	7800	7775
ENSMUSG00000090291	Lrrc10b	1445	2028	1699	1325	2084	1729
ENSMUSG00000032511	Scn5a	7383	7886	7047	7670	7411	7558
ENSMUSG00000052581	Lrrtm4	8234	8242	8417	8554	8489	8231
ENSMUSG00000086712	AI427809	5928	5663	5263	6103	5525	5501
ENSMUSG00000082163	Gm14276	3480	3203	3621	3321	3482	3368
ENSMUSG00000049741	Rxfp4	1583	2281	2363	1646	1564	2123
ENSMUSG00000067219	Nipal1	6122	6208	6468	5861	6117	6383
ENSMUSG00000045034	Ankrd34b	7599	8262	7984	7839	7948	8309
ENSMUSG00000095134	Gm21857	4265	4047	4045	4022	4537	4275
ENSMUSG00000088576	Gm24532	3246	3655	3805	3622	3689	3292
ENSMUSG00000008489	Elavl2	2571	2210	2332	2518	2342	1916
ENSMUSG00000020950	Foxg1	3428	3484	3440	3505	3302	3809
ENSMUSG00000051054	1700014D04Rik	3558	3224	3085	3641	3623	3358
ENSMUSG00000040640	Erc2	5952	6031	5562	5919	5340	6040
ENSMUSG00000028003	Lrat	7989	8081	7466	8118	7360	7548
ENSMUSG00000036564	Ndrg4	9708	9056	9262	9428	8865	9651
ENSMUSG00000105526	RP24-220P21.4	7419	7423	7230	6974	6902	7563
ENSMUSG00000097072	Foxl2os	7056	7101	7673	7184	7225	7015
ENSMUSG00000031144	Syp	7635	8051	7319	7918	8215	7376
ENSMUSG00000009394	Syn2	2924	3516	3528	3568	3640	3876
ENSMUSG00000021700	Rab3c	9081	9685	9769	9634	9686	9181
ENSMUSG00000045573	Penk	9025	9185	9617	9661	9541	9084
ENSMUSG00000024479	Mal2	6745	7470	6694	6668	6776	7571
ENSMUSG00000054976	Nyap2	7269	7172	6925	6758	6543	7125
ENSMUSG00000006435	Neurl1a	8292	8513	8628	8174	8597	8413
ENSMUSG00000084235	Gm15421	5191	4409	4822	4811	5094	5163
ENSMUSG00000031137	Fgf13	2575	2652	2296	2718	2683	1948
ENSMUSG00000030518	Fam189a1	1769	1580	1791	1092	1821	1451
ENSMUSG00000102902	Gm38263	7821	7875	7412	7647	7924	7899
ENSMUSG00000047485	Klhl34	7405	7156	7736	7272	8076	7532
ENSMUSG00000036062	N28178	4213	3758	3885	3361	4245	3691
ENSMUSG00000025658	Cnksr2	2581	2524	2336	2264	2160	2440
ENSMUSG00000019992	Mtfr2	8003	8454	8597	8067	8238	8816
ENSMUSG00000023903	Mmp25	9316	9378	9474	9217	9298	9085
ENSMUSG00000061911	Myt1l	3700	4018	3838	3628	3774	4337
ENSMUSG00000063388	BC023105	3320	2923	3838	2923	3342	3255
ENSMUSG00000032500	Dclk3	7786	7311	7488	7710	7452	8051
ENSMUSG00000075478	Slitrk1	2619	2460	2684	3147	2412	2457
ENSMUSG00000052479	A330008L17Rik	2271	2110	1569	2029	2001	1632
ENSMUSG00000105663	RP24-296L6.1	648	1497	1029	1186	1331	1388
ENSMUSG00000029055	Plch2	9264	9239	8642	9486	9017	9105
ENSMUSG00000024353	Mzb1	7084	6987	6540	7082	6288	6891
ENSMUSG00000031870	Pgr	831	816	1093	1442	902	865
ENSMUSG00000104851	RP24-496C22.5	4189	4687	4543	5149	5157	4701
ENSMUSG00000027297	Ltk	6177	6163	6396	6671	6516	6315
ENSMUSG00000037771	Slc32a1	7507	6911	7402	7297	6669	6758
ENSMUSG00000105620	RP23-187D22.11	6174	5420	5976	6010	5708	5891
ENSMUSG00000057060	Slc35f3	6673	6777	7011	6516	7235	7181
ENSMUSG00000021268	Meg3	2867	2820	2969	3346	2939	2691
ENSMUSG00000056553	Ptprn2	7273	7563	6993	7068	6910	6993
ENSMUSG00000102241	Gm37716	7852	7851	7798	7356	7954	7174
ENSMUSG00000070880	Gad1	9284	8657	8482	8815	8516	8711
ENSMUSG00000021301	Hecw1	5251	4681	5441	5468	4836	5001
