gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
ENSMUSG00000027022	28.09971	-5.164541	0.39191759	2.059142e-41	3.572867e-39
ENSMUSG00000034780	3.927292	-3.176727	0.54411541	8.950706e-10	1.994905e-08
ENSMUSG00000027030	187.0985	-1.182848	0.13259423	4.911816e-21	3.060047e-19
ENSMUSG00000042155	121.9279	-1.171131	0.14130815	1.209924e-18	6.318993000000001e-17
ENSMUSG00000075302	54.88811	1.025539	0.23456109	1.112552e-07	1.824845e-06
ENSMUSG00000056486	442.5325	-1.085373	0.08340709	1.063479e-40	1.7720439999999998e-38
ENSMUSG00000027004	1.913926	-1.542641	1.05039199	0.0003412637	0.002707797
ENSMUSG00000048388	34.54874	-2.145695	0.26864775	1.532311e-16	6.948352e-15
ENSMUSG00000027075	3.41164	-2.419705	0.54914655	5.008529e-07	7.35047e-06
ENSMUSG00000075028	76.6101	-1.13853	0.14585286	6.141756e-17	2.846494e-15
ENSMUSG00000068735	5.38253	-3.305991	0.57559696	1.450739e-09	3.156296e-08
ENSMUSG00000027188	1776.839	-1.928302	0.35277768	1.879531e-09	4.01024e-08
ENSMUSG00000016458	2.651446	-1.102329	0.79000161	0.0004720378	0.003598559
ENSMUSG00000005973	142.2832	-2.282454	0.13494643	7.160380999999999e-65	2.637407e-62
ENSMUSG00000016386	3.077686	-2.678416	0.6095936	6.391445e-07	9.216236e-06
ENSMUSG00000027317	3.428467	-1.647665	0.89818579	0.0001555774	0.00135595
ENSMUSG00000027315	46.21553	-1.041201	0.18977478	4.631461e-10	1.072078e-08
ENSMUSG00000027204	4.250676	-2.588844	0.48786245	1.322108e-08	2.493949e-07
ENSMUSG00000037902	16.10168	-4.217414	0.39182782	3.844208e-28	3.861682e-26
ENSMUSG00000027261	10.29073	-4.235928	0.59097257	5.17291e-14	1.872504e-12
ENSMUSG00000027452	4.194761	-2.103809	0.53717743	1.686725e-06	2.238482e-05
ENSMUSG00000027457	4.091696	-1.623121	0.49249662	5.728683e-06	6.825977e-05
ENSMUSG00000074682	18.57643	-4.611571	0.38500295	1.9409e-34	2.599684e-32
ENSMUSG00000067818	10.86368	-2.896878	0.32976344	3.9931649999999995e-19	2.1775720000000003e-17
ENSMUSG00000017943	8.243501	-3.663565	0.42059265	4.49818e-19	2.4466140000000002e-17
ENSMUSG00000027656	18.77331	-1.948797	0.27042409	3.567101e-14	1.302457e-12
ENSMUSG00000017002	18.08576	1.324978	0.29715293	7.487188e-08	1.265648e-06
ENSMUSG00000039621	3.970416	-1.249197	0.7407027	0.0002272865	0.001893844
ENSMUSG00000049999	3.359497	-4.126333	0.69786144	2.421293e-10	5.770152e-09
ENSMUSG00000070476	14.91259	-4.167331	0.3712888	2.51721e-30	2.856693e-28
ENSMUSG00000015627	133.1603	-1.843074	0.22647156	2.0554090000000002e-17	9.897549e-16
ENSMUSG00000037347	12.67867	-2.319378	0.34451587	2.1774e-12	6.762502e-11
ENSMUSG00000031101	8.101715	1.079604	0.30902273	2.607566e-06	3.319942e-05
ENSMUSG00000031119	190.0677	-2.363839	0.10484553	3.505324e-113	2.725714e-110
ENSMUSG00000051851	1.105415	-2.511764	1.12535931	6.784041e-05	0.0006427389
ENSMUSG00000002006	121.4683	-1.69625	0.17255936	3.095462e-24	2.3981260000000003e-22
ENSMUSG00000031391	34.67443	-2.690672	0.19139982	2.001906e-45	4.080584e-43
ENSMUSG00000085066	7.721423	-5.561446	0.61519476	1.4438029999999999e-21	9.269919999999999e-20
ENSMUSG00000045103	37.18895	-2.505784	0.17613442	1.640421e-46	3.5505819999999996e-44
ENSMUSG00000035045	26.37011	-1.762734	0.18335288	3.110059e-23	2.267211e-21
ENSMUSG00000031209	11.78676	-5.741066	0.67005027	7.443946e-20	4.2468930000000004e-18
ENSMUSG00000031216	1.527295	-2.629579	0.89998893	2.082949e-05	0.000222213
ENSMUSG00000033965	56.84033	1.32898	0.13042534	3.0890829999999996e-26	2.594212e-24
ENSMUSG00000047242	38.97075	-1.926483	0.15685921	8.939592999999999e-36	1.2512450000000001e-33
ENSMUSG00000025665	3.249396	-2.947672	0.61390966	1.575536e-07	2.510944e-06
ENSMUSG00000034607	56.02033	1.575381	0.11152981	7.676022e-47	1.714448e-44
ENSMUSG00000034755	1.908489	-2.598105	1.10867565	5.53572e-05	0.0005335672
ENSMUSG00000051323	91.59906	-3.907753	0.22403494	4.6300870000000004e-69	1.906053e-66
ENSMUSG00000067377	118.1548	-2.718064	0.14131084	5.789422e-83	3.198656e-80
ENSMUSG00000031255	9.617169	-3.726482	0.48681787	2.59034e-15	1.057545e-13
ENSMUSG00000049804	486.743	-1.994922	0.22713569	1.3058149999999998e-19	7.369782e-18
ENSMUSG00000050394	7.086784	-2.463832	0.38002445	1.373594e-11	3.865764e-10
ENSMUSG00000033436	690.8671	-1.519029	0.03905368	0.0	0.0
ENSMUSG00000072964	111.9534	-5.073282	0.17586788	1.1331919999999999e-184	1.9826130000000003e-181
ENSMUSG00000050071	45.06212	-2.964705	0.1712162	1.041252e-67	4.204053e-65
ENSMUSG00000049536	11.84109	-3.233581	0.3291959	2.053501e-23	1.523436e-21
ENSMUSG00000031428	13.15844	-1.894985	0.25266651	3.554893e-15	1.413541e-13
ENSMUSG00000095597	494.8127	-3.011317	0.05962004	0.0	0.0
ENSMUSG00000041649	38.43311	-1.965161	0.18078211	1.34345e-28	1.4102869999999999e-26
ENSMUSG00000041552	19.29674	-2.34948	0.26948818	4.952888999999999e-19	2.6800490000000003e-17
ENSMUSG00000047485	12.90337	-2.81069	0.28328385	8.996172e-24	6.7697e-22
ENSMUSG00000025658	71.89462	-2.054311	0.12250827	4.979455e-64	1.7719260000000002e-61
ENSMUSG00000040808	220.1803	1.257203	0.14296704	1.6887669999999998e-20	1.010133e-18
ENSMUSG00000017688	9.775268	-5.163078	0.6225346	1.847485e-18	9.530209000000001e-17
ENSMUSG00000086224	11.55567	-1.985295	0.31889666	2.765831e-11	7.473438e-10
ENSMUSG00000027750	2.823625	-3.233151	0.6923765	2.606747e-07	3.994984e-06
ENSMUSG00000033831	120.7772	1.05845	0.2028011	1.924417e-09	4.097681e-08
ENSMUSG00000028078	46.33156	-1.755919	0.14694912	3.086589e-34	4.075656e-32
ENSMUSG00000004891	2373.7	-1.833273	0.12969437	1.420324e-46	3.1062189999999997e-44
ENSMUSG00000068923	239.2465	-1.270105	0.20511586	6.505384e-12	1.912893e-10
ENSMUSG00000000794	296.3884	-1.378065	0.12186066	1.932304e-31	2.318212e-29
ENSMUSG00000027875	7.079542	-4.252344	0.70122243	8.18451e-11	2.092982e-09
ENSMUSG00000094613	3.169892	-2.873292	0.92247494	1.438263e-05	0.0001590955
ENSMUSG00000068696	1.370098	-3.0378	0.84251379	5.449608e-06	6.530509e-05
ENSMUSG00000053965	85.22203	-3.921316	0.16053148	1.0333909999999999e-132	9.861839e-130
ENSMUSG00000032826	14.03545	-1.362466	0.23333016	6.358456e-11	1.639997e-09
ENSMUSG00000019232	3.768042	-2.269232	0.50774168	3.351503e-07	5.040459e-06
ENSMUSG00000028031	4.789874	-1.812608	0.50499097	3.088809e-06	3.890195e-05
ENSMUSG00000056025	52.93307	-3.854994	0.2309326	1.854687e-63	6.280509e-61
ENSMUSG00000039103	48.12956	-1.334179	0.15350933	4.841766e-20	2.815869e-18
ENSMUSG00000003282	53.85946	-2.265897	0.14308066	3.3574219999999996e-57	9.79015e-55
ENSMUSG00000041261	67.55273	-2.720646	0.49299529	4.952442e-09	9.978552e-08
ENSMUSG00000028214	93.46471	-3.052902	0.2450145	3.2993879999999997e-36	4.7122889999999995e-34
ENSMUSG00000040387	8.451969	-1.257206	0.39189682	5.934146e-06	7.054779e-05
ENSMUSG00000040270	7.815478	-1.007911	0.55509492	0.0001948369	0.001647443
ENSMUSG00000028278	15.99477	-1.423848	0.63306151	6.373558e-05	0.0006076878
ENSMUSG00000054659	6.876562	-1.35302	0.39642035	3.385606e-06	4.23352e-05
ENSMUSG00000045083	2.987353	-1.491388	0.97891895	0.0003070989	0.002463714
ENSMUSG00000028287	6.247411	-4.116116	0.66629952	4.889946e-11	1.281703e-09
ENSMUSG00000028476	16.62277	-3.395032	0.30941615	1.057679e-28	1.132958e-26
ENSMUSG00000035615	8.356708	-1.838482	0.30118244	3.982819e-11	1.051815e-09
ENSMUSG00000028347	14.89981	-3.960101	0.37878218	1.4841089999999998e-26	1.271791e-24
ENSMUSG00000028359	4.000565	-3.993383	0.63920305	3.700431e-11	9.871734e-10
ENSMUSG00000028364	353.1026	-2.960534	0.1662109	1.663689e-71	7.431736000000001e-69
ENSMUSG00000028370	0.9688318	-2.623156	1.01868368	3.774831e-05	0.0003779331
ENSMUSG00000038070	117.1692	-2.603216	0.2382522	2.25001e-28	2.327043e-26
ENSMUSG00000038007	5.183907	-2.937932	0.54197999	8.94293e-09	1.730478e-07
ENSMUSG00000086035	22.77243	-2.974259	0.25330435	2.1340560000000002e-32	2.6511539999999997e-30
ENSMUSG00000080808	10.0775	-1.182202	0.2569118	3.716463e-08	6.579016e-07
ENSMUSG00000043753	181.6493	-7.614604	0.31477043	3.5585089999999997e-132	3.2483e-129
ENSMUSG00000008489	9.938492	-4.11207	0.45095246	6.481763e-21	3.9790819999999997e-19
ENSMUSG00000052520	3.155146	-4.048219	0.68426273	2.626643e-10	6.224194e-09
ENSMUSG00000034853	8.838232	-3.169929	0.44778162	3.002943e-13	1.023487e-11
ENSMUSG00000033948	1.746308	-1.120852	1.02134133	0.0009406945	0.006616376
ENSMUSG00000050854	10.72011	-3.468107	0.38346506	2.7710659999999996e-20	1.6296510000000001e-18
ENSMUSG00000046093	4.117511	-4.100328	0.63497333	8.364199e-12	2.412175e-10
ENSMUSG00000090125	2.078261	-1.062205	0.89871964	0.0007989123	0.005738338
ENSMUSG00000042500	4.611488	-3.399181	0.61997002	5.74845e-09	1.140725e-07
ENSMUSG00000042388	1.964512	-3.444503	0.68788402	5.860228e-08	1.003552e-06
ENSMUSG00000028785	1.846178	-2.414628	0.92427008	3.617818e-05	0.0003634262
ENSMUSG00000000409	22.6444	-1.225404	0.24727844	6.925964e-09	1.352657e-07
ENSMUSG00000056596	11.09041	-1.002792	0.53784663	0.0001754382	0.001507089
ENSMUSG00000043924	15.7239	-1.236774	0.29270306	1.886414e-07	2.962248e-06
ENSMUSG00000037188	188.2017	-1.588319	0.2820856	3.343262e-10	7.860223e-09
ENSMUSG00000070687	26.16004	-1.167175	0.22273334	1.586649e-09	3.413084e-08
ENSMUSG00000041120	84.20876	-3.396687	0.16941225	4.305853999999999e-90	2.582897e-87
ENSMUSG00000078497	2.625103	1.208735	1.29085674	0.001262461	0.008541854
ENSMUSG00000078496	8.635259	-1.857603	0.34902708	3.371026e-09	6.938696e-08
ENSMUSG00000029019	8.091547	-1.730373	0.79321374	7.645527e-05	0.0007159583
ENSMUSG00000042804	3.798645	-1.56989	0.55191446	1.712527e-05	0.0001862928
ENSMUSG00000028931	223.2223	-1.234328	0.16613285	1.191752e-15	4.964453e-14
ENSMUSG00000057751	123.8157	-2.961293	0.18654923	2.76198e-57	8.167293000000001e-55
ENSMUSG00000029074	4.579612	-1.617188	0.80570859	0.0001085722	0.0009863581
ENSMUSG00000044674	532.0857	-1.127404	0.07446741	9.159164e-54	2.434135e-51
ENSMUSG00000028926	159.4002	-2.879163	0.18064577	1.019551e-57	3.1022440000000003e-55
ENSMUSG00000073234	19.66988	-1.276199	0.23000371	3.052969e-10	7.193836e-09
ENSMUSG00000056004	1.348306	-2.087602	1.22396639	0.0001854893	0.001579857
ENSMUSG00000040254	17.95403	-3.103678	0.29038138	2.923184e-27	2.656807e-25
ENSMUSG00000028883	519.1301	-1.887478	0.16454192	1.2661390000000002e-31	1.527735e-29
ENSMUSG00000105366	19.24688	-2.405937	0.23333569	1.3183830000000001e-25	1.0854690000000001e-23
ENSMUSG00000043833	10.61706	-4.053991	0.52166474	6.938335e-16	2.972864e-14
ENSMUSG00000056367	5.159	-1.295248	0.59532307	7.545017e-05	0.0007074928
ENSMUSG00000029168	13.49168	-1.871383	0.24043438	3.795586e-16	1.66712e-14
ENSMUSG00000006642	33.61352	-1.210335	0.27366794	8.225048e-08	1.382585e-06
ENSMUSG00000038552	147.9198	-1.038675	0.07940557	4.61228e-41	7.872749e-39
ENSMUSG00000054252	265.2794	-1.321551	0.6333304	9.171777e-05	0.0008438276
ENSMUSG00000070858	14.6678	-3.549928	0.30880368	2.435426e-31	2.905214e-29
ENSMUSG00000048142	14.8811	-6.389675	0.6100799	3.62317e-28	3.657137e-26
ENSMUSG00000044716	54.62245	-2.476584	0.23465227	1.121426e-26	9.689025e-25
ENSMUSG00000029121	17.69045	-1.750877	0.22052762	7.86067e-17	3.619184e-15
ENSMUSG00000107134	23.19186	-1.334671	0.26771612	6.481663e-09	1.271799e-07
ENSMUSG00000029223	790.3945	-2.868292	0.0543827	0.0	0.0
ENSMUSG00000037605	449.446	-1.947365	0.14080051	1.4343249999999999e-44	2.895543e-42
ENSMUSG00000106746	1.465171	-2.423399	0.91987927	3.479702e-05	0.0003510636
ENSMUSG00000034384	19.52421	1.232278	0.29840015	2.755525e-07	4.207437e-06
ENSMUSG00000070576	0.9419969	-1.059979	1.26587509	0.001761911	0.01131233
ENSMUSG00000029348	2.731049	-2.607902	0.67153537	2.745341e-06	3.480582e-05
ENSMUSG00000014158	337.0642	-1.421338	0.06060967	2.637892e-123	2.307606e-120
ENSMUSG00000029522	5.311765	2.913828	0.45352136	2.645594e-11	7.185544e-10
ENSMUSG00000029602	7.159537	-3.190473	0.84160666	3.521252e-06	4.379661e-05
ENSMUSG00000045502	39.38144	1.529828	0.20690339	2.859026e-15	1.154332e-13
ENSMUSG00000044017	1.580242	-1.076525	1.07326994	0.001211097	0.008252835
ENSMUSG00000029436	13.19323	-2.489882	0.31626724	6.786875e-16	2.913915e-14
ENSMUSG00000070473	594.1561	1.060885	0.07613499	4.103998e-46	8.703378e-44
ENSMUSG00000005373	12.5752	-1.231547	0.48906513	3.468163e-05	0.0003502361
ENSMUSG00000004951	337.9752	-1.933737	0.25185671	1.020523e-15	4.293763e-14
ENSMUSG00000001739	37.12645	-1.177661	0.2448647	1.4065e-08	2.638915e-07
ENSMUSG00000029541	1.115324	-1.861732	1.17790938	0.0002498841	0.002056893
ENSMUSG00000029576	11.69929	-1.337738	0.42018605	6.47937e-06	7.64238e-05
ENSMUSG00000050822	28.55219	-3.936331	0.37294941	5.3234830000000005e-27	4.756022e-25
ENSMUSG00000029581	778.257	-8.746161	0.25099031	2.744932e-269	9.604975e-266
ENSMUSG00000056602	81.51359	-1.511344	0.16507853	1.157738e-21	7.478984999999999e-20
ENSMUSG00000032766	18.19206	-4.067773	0.32263145	1.788533e-37	2.761047e-35
ENSMUSG00000092035	21.85484	-1.1813	0.24611494	1.472933e-08	2.74882e-07
ENSMUSG00000032827	39.61687	-2.330138	0.25959551	4.8676849999999995e-20	2.823123e-18
ENSMUSG00000041301	47.33633	-2.250613	0.27266756	2.169055e-17	1.04209e-15
ENSMUSG00000000416	601.6151	-3.802486	0.25777567	4.051073e-50	1.0372230000000001e-47
ENSMUSG00000106944	13.3785	-3.475126	0.32975729	1.0781889999999999e-26	9.353959000000001e-25
ENSMUSG00000106709	1.754406	1.446903	1.0568981	0.0004353994	0.003350884
ENSMUSG00000062980	9.487373	-1.836579	0.29349895	1.54682e-11	4.3243e-10
ENSMUSG00000029771	30.62057	-1.430731	0.26782833	1.175586e-09	2.58174e-08
ENSMUSG00000052131	5.085637	-1.373658	0.81966598	0.0002253031	0.001879316
ENSMUSG00000029923	12.16489	-3.623704	0.39837734	1.467004e-20	8.799926e-19
ENSMUSG00000038456	5.98939	-4.778894	0.6559562	9.642294e-15	3.728176e-13
ENSMUSG00000068587	202.6335	-1.966833	0.28295476	2.276921e-13	7.836716e-12
ENSMUSG00000029851	12.7313	-1.294571	0.26395039	9.293866e-09	1.791779e-07
ENSMUSG00000007216	2.756411	-3.12052	0.68990948	4.531422e-07	6.709252e-06
ENSMUSG00000029816	5.593459	-2.032327	0.67448961	1.511576e-05	0.0001667658
ENSMUSG00000038253	15.86905	-2.058659	0.22663861	1.039062e-20	6.250748e-19
ENSMUSG00000038236	45.87824	-1.859898	0.13971773	1.30436e-41	2.282086e-39
ENSMUSG00000038227	5.594077	-1.457147	0.37854627	9.112217e-07	1.277963e-05
ENSMUSG00000000938	39.41069	-1.393027	0.12914194	6.610291e-29	7.190832e-27
ENSMUSG00000038210	3.236414	-4.840158	0.67853496	2.663973e-14	9.881645e-13
ENSMUSG00000086427	1.321693	-3.469361	0.78632761	5.902485e-07	8.570032e-06
ENSMUSG00000102373	7.215075	-5.413667	0.63552003	1.8511429999999997e-19	1.025455e-17
ENSMUSG00000038203	67.86215	-6.535695	0.38865956	5.274714e-66	2.013502e-63
ENSMUSG00000055408	1.902548	-3.744328	0.67437804	2.980563e-09	6.189607e-08
ENSMUSG00000005503	0.9573728	-2.350329	1.16456281	0.0001006554	0.0009216139
ENSMUSG00000004655	421.3805	-3.006347	0.09652068	1.6164750000000002e-213	3.393789e-210
ENSMUSG00000056091	306.6807	-1.720244	0.12210837	1.980313e-46	4.2425179999999997e-44
ENSMUSG00000000627	45.70528	-1.219033	0.22835821	9.422954e-10	2.095709e-08
ENSMUSG00000044927	35.56001	-3.079484	0.22555957	5.201694e-43	9.928142e-41
ENSMUSG00000084950	10.94786	-3.448541	0.4249716	8.834024e-17	4.042056e-15
ENSMUSG00000108049	7.684346	-2.971433	0.41207557	1.24361e-13	4.410405e-12
ENSMUSG00000030319	4.663147	-1.336645	0.52453808	3.215136e-05	0.0003270435
ENSMUSG00000030110	205.9005	-2.695834	0.30274001	1.33229e-19	7.49904e-18
ENSMUSG00000041477	51.4021	-2.40454	0.24048187	3.1820029999999998e-24	2.447112e-22
ENSMUSG00000032718	53.57476	-1.032786	0.1388605	1.206843e-15	5.017362e-14
ENSMUSG00000030268	1.898053	-2.687612	0.82451394	1.114303e-05	0.0001261175
ENSMUSG00000070802	4.141766	-2.0833	1.14256172	0.000150771	0.001317285
ENSMUSG00000074272	105.3636	-1.060162	0.28642525	1.345777e-06	1.82996e-05
ENSMUSG00000040488	1706.713	-1.771664	0.054451	1.77601e-233	4.660916e-230
ENSMUSG00000037463	2.489529	-4.11077	0.66271965	4.204525e-11	1.10897e-09
ENSMUSG00000046410	4.219339	-1.579261	0.55224603	1.659421e-05	0.0001811416
ENSMUSG00000057092	30.26636	1.281898	0.17540559	3.148138e-15	1.266191e-13
ENSMUSG00000060402	247.1417	1.163389	0.13944268	7.55876e-19	4.0176240000000006e-17
ENSMUSG00000001802	1.598609	-1.981341	1.26796774	0.0002479285	0.002043095
ENSMUSG00000097178	1.947422	-1.967265	1.06621133	0.0001481714	0.001296732
ENSMUSG00000064023	2.892284	-1.557912	0.77593163	0.0001081895	0.0009833068
ENSMUSG00000062785	21.18898	-1.027995	0.25744063	4.934509e-07	7.249827e-06
ENSMUSG00000019539	1.786715	-1.927538	1.11417491	0.0001852672	0.001579239
ENSMUSG00000030838	8.901208	-2.999788	0.53339322	3.063708e-09	6.349708e-08
ENSMUSG00000100826	117.1556	-1.20389	0.14128512	1.7063959999999999e-19	9.477718e-18
ENSMUSG00000000948	64.25551	-1.516511	0.15366425	1.266633e-24	1.003508e-22
ENSMUSG00000056972	2.728059	-1.524096	1.37613863	0.0007179738	0.005219481
ENSMUSG00000015134	57.50987	-4.595261	0.24137506	3.6477140000000004e-82	1.963686e-79
ENSMUSG00000070509	31.55232	-1.246642	0.27072611	3.71637e-08	6.579016e-07
ENSMUSG00000025586	49.08972	-1.884169	0.23533546	6.722832e-17	3.10894e-15
ENSMUSG00000070469	25.40232	-2.19332	0.24327862	2.6310639999999998e-20	1.556034e-18
ENSMUSG00000015709	340.3477	-2.000004	0.17274978	5.085378e-32	6.2074129999999996e-30
ENSMUSG00000097789	582.6772	-1.127743	0.12069786	9.644411e-23	6.772054e-21
ENSMUSG00000015957	2.416512	-3.684299	0.67923973	6.288981e-09	1.237462e-07
ENSMUSG00000062542	28.40997	-3.660523	0.29301603	1.2851289999999999e-36	1.860778e-34
ENSMUSG00000036111	0.9988229	-2.143737	1.43266788	0.0002559719	0.00209845
ENSMUSG00000038296	664.0676	-4.824508	0.07508715	0.0	0.0
ENSMUSG00000030866	4.575602	-4.894744	0.79429364	1.709319e-11	4.764701e-10
ENSMUSG00000045928	36.52596	-2.464955	0.2546653	8.084701000000001e-23	5.695916e-21
ENSMUSG00000051457	19.21576	-1.14145	0.31299013	1.559414e-06	2.085344e-05
ENSMUSG00000045639	184.1783	-5.645156	0.21601209	1.2760010000000001e-152	1.488314e-149
ENSMUSG00000030800	37.81689	1.02084	0.23212401	1.004362e-07	1.661669e-06
ENSMUSG00000047517	60.65772	-5.201956	0.32622288	5.024689e-59	1.551373e-56
ENSMUSG00000054555	120.944	-1.000085	0.16849972	3.714092e-11	9.895606e-10
ENSMUSG00000025469	2.574986	-3.567059	0.6542848	6.012665e-09	1.189782e-07
ENSMUSG00000009545	3.218706	-2.090075	0.64666417	9.657427e-06	0.0001103143
ENSMUSG00000019768	3.149675	-3.11078	0.63262317	9.774864e-08	1.61848e-06
ENSMUSG00000019852	27.58196	-3.262473	0.28515639	5.996572e-31	7.033409e-29
ENSMUSG00000019982	6.21263	-2.708319	0.50804606	1.287229e-08	2.434718e-07
ENSMUSG00000010461	8.311613	-4.987525	0.64924236	3.428252e-16	1.515287e-14
ENSMUSG00000020010	25.79366	1.111106	0.1989616	2.440891e-10	5.810262e-09
ENSMUSG00000049420	1.740219	-1.462346	1.11510129	0.0004908232	0.003716809
ENSMUSG00000019789	2.46698	-1.029015	0.857368	0.0007827239	0.005635558
ENSMUSG00000069670	9.626092	-1.828509	0.27349634	9.574972e-13	3.111866e-11
ENSMUSG00000019843	105.0616	-4.052676	0.14447999	3.932171e-174	5.8968529999999995e-171
ENSMUSG00000019823	149.0085	-3.271492	0.18301972	4.375981e-72	2.0416380000000002e-69
ENSMUSG00000019872	12.82098	-3.167852	0.37237823	4.070162e-18	2.049234e-16
ENSMUSG00000085456	3.71543	1.578984	0.6235224	3.505219e-05	0.0003531289
ENSMUSG00000046807	24.17542	-1.162612	0.21666361	8.061166e-10	1.802387e-08
ENSMUSG00000020241	44.97065	-1.221888	0.12474337	1.325484e-24	1.0461860000000001e-22
ENSMUSG00000020312	172.7215	-3.969845	0.14062104	2.700547e-176	4.361383e-173
ENSMUSG00000111977	26.64563	-3.886987	0.30786752	1.821518e-37	2.791444e-35
ENSMUSG00000045518	18.79251	-3.923167	0.33663402	2.473003e-32	3.036298e-30
ENSMUSG00000034872	1.775378	-1.809167	1.04648211	0.0001897338	0.00160818
ENSMUSG00000020256	55.24623	-1.705354	0.18226955	3.074089e-22	2.075257e-20
ENSMUSG00000019888	1.231226	-2.927524	0.97387221	1.717221e-05	0.0001867066
ENSMUSG00000034813	81.20973	-1.363304	0.11021202	6.083677e-37	8.994846e-35
ENSMUSG00000020227	47.21482	-1.48513	0.15148321	2.216818e-24	1.7237820000000002e-22
ENSMUSG00000051236	562.8951	-1.243949	0.10088577	7.515159999999999e-37	1.103362e-34
ENSMUSG00000052302	14.00108	-3.09087	0.30552468	1.173243e-24	9.330396000000001e-23
ENSMUSG00000034613	35.5428	-1.957442	0.30655558	9.505577e-12	2.707864e-10
ENSMUSG00000025407	5.264267	-1.475218	0.570796	3.025566e-05	0.000310468
ENSMUSG00000031442	21.07304	-1.324858	0.27129944	1.060612e-08	2.03171e-07
ENSMUSG00000031451	308.3436	-2.791717	0.31382372	1.4827939999999998e-19	8.25763e-18
ENSMUSG00000055675	42.8059	-4.476314	0.36396117	4.752355e-36	6.741601e-34
ENSMUSG00000102615	3.23801	-4.080853	0.72355294	1.246253e-09	2.728372e-08
ENSMUSG00000031461	137.5985	-2.588511	0.47113069	5.080618e-09	1.018793e-07
ENSMUSG00000039814	13.14984	-2.255489	0.28665735	4.941015e-16	2.147756e-14
ENSMUSG00000031565	6.755541	-5.030979	0.63224869	3.6187860000000006e-17	1.707335e-15
ENSMUSG00000031576	5.775499	-1.131968	0.43185977	2.784709e-05	0.0002887158
ENSMUSG00000031595	2.728029	-1.330021	0.78594005	0.0002193497	0.001835491
ENSMUSG00000031561	581.1654	-1.797025	0.17450184	3.643402e-26	3.047538e-24
ENSMUSG00000100706	8.912002	-2.699199	0.36516765	3.168927e-14	1.167221e-12
ENSMUSG00000039375	3.127734	-3.598393	0.65462798	4.608149e-09	9.347641e-08
