gene_id	gene_name
ENSMUSG00000020963	Tshr
ENSMUSG00000020990	Cdkl1
ENSMUSG00000021057	Akap5
ENSMUSG00000021062	Rab15
ENSMUSG00000021071	Trim9
ENSMUSG00000021194	Chga
ENSMUSG00000021211	Akr1c12
ENSMUSG00000021255	Esrrb
ENSMUSG00000021268	Meg3
ENSMUSG00000021301	Hecw1
ENSMUSG00000021313	Ryr2
ENSMUSG00000021478	Drd1
ENSMUSG00000021534	1700001L19Rik
ENSMUSG00000021596	Mctp1
ENSMUSG00000021613	Hapln1
ENSMUSG00000021647	Cartpt
ENSMUSG00000021680	Crhbp
ENSMUSG00000021700	Rab3c
ENSMUSG00000021701	Plk2
ENSMUSG00000021708	Rasgrf2
ENSMUSG00000021719	Rgs7bp
ENSMUSG00000021730	Hcn1
ENSMUSG00000021848	Otx2
ENSMUSG00000021852	Slc35f4
ENSMUSG00000022015	Tnfsf11
ENSMUSG00000022041	Chrna2
ENSMUSG00000022054	Nefm
ENSMUSG00000022129	Dct
ENSMUSG00000022212	Cpne6
ENSMUSG00000022218	Tgm1
ENSMUSG00000022221	Ripk3
ENSMUSG00000022269	March11
ENSMUSG00000022288	4930447A16Rik
ENSMUSG00000022296	Baalc
ENSMUSG00000022357	Klhl38
ENSMUSG00000022362	Gm29394
ENSMUSG00000022375	Lrrc6
ENSMUSG00000022416	Cacna1i
ENSMUSG00000022421	Nptxr
ENSMUSG00000022422	Dscc1
ENSMUSG00000022454	Nell2
ENSMUSG00000022479	Vdr
ENSMUSG00000022518	4930562C15Rik
ENSMUSG00000022577	Ly6h
ENSMUSG00000022696	Sidt1
ENSMUSG00000022756	Slc7a4
ENSMUSG00000022829	Stxbp5l
ENSMUSG00000023033	Scn8a
ENSMUSG00000023043	Krt18
ENSMUSG00000023045	Soat2
ENSMUSG00000023047	Amhr2
ENSMUSG00000023216	Epb4.2
ENSMUSG00000023345	Poc1a
ENSMUSG00000023473	Celsr3
ENSMUSG00000023828	Slc22a3
ENSMUSG00000023903	Mmp25
ENSMUSG00000023978	Prph2
ENSMUSG00000024008	Cpne5
ENSMUSG00000024041	Cryaa
ENSMUSG00000024064	Galnt14
ENSMUSG00000024172	St6gal2
ENSMUSG00000024245	Tmem178
ENSMUSG00000024261	Syt4
ENSMUSG00000024268	Celf4
ENSMUSG00000024274	Zscan30
ENSMUSG00000024353	Mzb1
ENSMUSG00000024403	Atp6v1g2
ENSMUSG00000024479	Mal2
ENSMUSG00000024521	Pmaip1
ENSMUSG00000024524	Gnal
ENSMUSG00000024575	Pde6a
ENSMUSG00000024617	Camk2a
ENSMUSG00000024672	Ms4a7
ENSMUSG00000024673	Ms4a1
ENSMUSG00000024675	Ms4a4c
ENSMUSG00000024793	Tnfrsf25
ENSMUSG00000024846	Cst6
ENSMUSG00000024873	Cnih2
ENSMUSG00000025020	Slit1
ENSMUSG00000025170	Rab40b
ENSMUSG00000025189	Cnnm1
ENSMUSG00000025221	Kcnip2
ENSMUSG00000025318	Jph3
ENSMUSG00000025372	Baiap2
ENSMUSG00000025386	Pde6g
ENSMUSG00000025422	Agap2
ENSMUSG00000025427	Rnf165
ENSMUSG00000025468	Caly
ENSMUSG00000025473	Adam8
ENSMUSG00000025576	Rbfox3
ENSMUSG00000025582	Nptx1
ENSMUSG00000025658	Cnksr2
ENSMUSG00000025738	Fbxl16
ENSMUSG00000025739	Gng13
ENSMUSG00000025855	Prkar1b
ENSMUSG00000025867	Cplx2
ENSMUSG00000025876	Unc5a
ENSMUSG00000025885	Myo5b
ENSMUSG00000025900	Rp1
ENSMUSG00000025916	Ppp1r42
ENSMUSG00000025938	Slco5a1
ENSMUSG00000025983	Ccdc150
ENSMUSG00000026090	2010300C02Rik
ENSMUSG00000026141	Col19a1
ENSMUSG00000026163	Sphkap
ENSMUSG00000026175	Vil1
ENSMUSG00000026202	Tuba4a
ENSMUSG00000026204	Ptprn
ENSMUSG00000026312	Cdh7
ENSMUSG00000026344	Lypd1
ENSMUSG00000026358	Rgs1
ENSMUSG00000026514	Cnih3
ENSMUSG00000026527	Rgs7
ENSMUSG00000026610	Esrrg
ENSMUSG00000026611	Spata17
ENSMUSG00000026697	Myoc
ENSMUSG00000026715	Serpinc1
ENSMUSG00000026725	Tnn
ENSMUSG00000026787	Gad2
ENSMUSG00000026825	Dnm1
ENSMUSG00000026834	Acvr1c
ENSMUSG00000026841	Fibcd1
ENSMUSG00000026959	Grin1
ENSMUSG00000027016	Zfp385b
ENSMUSG00000027073	Prg2
ENSMUSG00000027220	Syt13
ENSMUSG00000027221	Chst1
ENSMUSG00000027270	Lamp5
ENSMUSG00000027273	Snap25
ENSMUSG00000027296	Itpka
ENSMUSG00000027297	Ltk
ENSMUSG00000027335	Adra1d
ENSMUSG00000027347	Rasgrp1
ENSMUSG00000027350	Chgb
ENSMUSG00000027419	Pcsk2
ENSMUSG00000027438	Napb
ENSMUSG00000027456	Sdcbp2
ENSMUSG00000027489	Necab3
ENSMUSG00000027500	Stmn2
ENSMUSG00000027559	Car3
ENSMUSG00000027568	Ntsr1
ENSMUSG00000027584	Oprl1
ENSMUSG00000027606	Dnajc5b
ENSMUSG00000027748	Trpc4
ENSMUSG00000027820	Mme
ENSMUSG00000027834	Serpini1
ENSMUSG00000027849	Syt6
ENSMUSG00000027867	Spag17
ENSMUSG00000027895	Kcnc4
ENSMUSG00000027965	Olfm3
ENSMUSG00000027971	Ndst4
ENSMUSG00000027978	Prss12
ENSMUSG00000028003	Lrat
ENSMUSG00000028033	Kcnq5
ENSMUSG00000028039	Efna3
ENSMUSG00000028137	Celf3
ENSMUSG00000028176	Lrrc7
ENSMUSG00000028222	Calb1
ENSMUSG00000028289	Epha7
ENSMUSG00000028351	Brinp1
ENSMUSG00000028488	Sh3gl2
ENSMUSG00000028546	Elavl4
ENSMUSG00000028584	Lrrc38
ENSMUSG00000028758	Kif17
ENSMUSG00000028785	Hpca
ENSMUSG00000028834	Trim63
ENSMUSG00000028836	Slc30a2
ENSMUSG00000028838	Extl1
ENSMUSG00000028931	Kcnab2
ENSMUSG00000028965	Tnfrsf9
ENSMUSG00000029054	Gabrd
ENSMUSG00000029055	Plch2
ENSMUSG00000029151	Slc30a3
ENSMUSG00000029161	Cgref1
ENSMUSG00000029211	Gabra4
ENSMUSG00000029245	Epha5
ENSMUSG00000029304	Spp1
ENSMUSG00000029335	Bmp3
ENSMUSG00000029361	Nos1
ENSMUSG00000029420	Rimbp2
ENSMUSG00000029436	Mmp17
ENSMUSG00000029491	Pde6b
ENSMUSG00000029544	Cabp1
ENSMUSG00000029712	Actl6b
ENSMUSG00000029752	Asns
ENSMUSG00000029754	Dlx6
ENSMUSG00000029755	Dlx5
ENSMUSG00000029765	Plxna4
ENSMUSG00000029819	Npy
ENSMUSG00000029878	Dbpht2
ENSMUSG00000030000	Add2
ENSMUSG00000030043	Tacr1
ENSMUSG00000030092	Cntn6
ENSMUSG00000030134	Rasgef1a
ENSMUSG00000030137	Tuba8
ENSMUSG00000030162	Olr1
ENSMUSG00000030209	Grin2b
ENSMUSG00000030222	Rerg
ENSMUSG00000030226	Lmo3
ENSMUSG00000030270	Cpne9
ENSMUSG00000030302	Atp2b2
ENSMUSG00000030324	Rho
ENSMUSG00000030350	Prmt8
ENSMUSG00000030376	Slc8a2
ENSMUSG00000030500	Slc17a6
ENSMUSG00000030518	Fam189a1
ENSMUSG00000030525	Chrna7
ENSMUSG00000030577	Cd22
ENSMUSG00000030653	Pde2a
ENSMUSG00000030729	Pgm2l1
ENSMUSG00000030789	Itgax
ENSMUSG00000030854	Ptpn5
ENSMUSG00000030898	Cckbr
ENSMUSG00000030905	Crym
ENSMUSG00000031097	Tnni2
ENSMUSG00000031137	Fgf13
ENSMUSG00000031138	F9
ENSMUSG00000031144	Syp
ENSMUSG00000031253	Srpx2
ENSMUSG00000031257	Nox1
ENSMUSG00000031293	Rs1
ENSMUSG00000031343	Gabra3
ENSMUSG00000031376	Atp2b3
ENSMUSG00000031391	L1cam
ENSMUSG00000031409	Tceal6
ENSMUSG00000031450	Grk1
ENSMUSG00000031722	Hp
ENSMUSG00000031789	Cngb1
ENSMUSG00000031870	Pgr
ENSMUSG00000031883	Car7
ENSMUSG00000031932	Gpr83
ENSMUSG00000032011	Thy1
ENSMUSG00000032053	Pou2af1
ENSMUSG00000032174	Icam5
ENSMUSG00000032297	Celf6
ENSMUSG00000032338	Hcn4
ENSMUSG00000032355	Mlip
ENSMUSG00000032373	Car12
ENSMUSG00000032452	Clstn2
ENSMUSG00000032495	Lrrc2
ENSMUSG00000032500	Dclk3
ENSMUSG00000032503	Arpp21
ENSMUSG00000032511	Scn5a
ENSMUSG00000032528	Vipr1
ENSMUSG00000032532	Cck
ENSMUSG00000032561	Acpp
ENSMUSG00000032564	Cpne4
ENSMUSG00000032589	Bsn
ENSMUSG00000032726	Bmp8a
ENSMUSG00000032739	Pram1
ENSMUSG00000032773	Chrm1
ENSMUSG00000032776	Mctp2
ENSMUSG00000032936	Camkv
ENSMUSG00000032988	Slc16a8
ENSMUSG00000033060	Lmo7
ENSMUSG00000033316	Galnt9
ENSMUSG00000033419	Snap91
ENSMUSG00000033520	Idi2
ENSMUSG00000033578	Tmem35
ENSMUSG00000033615	Cplx1
ENSMUSG00000033676	Gabrb3
ENSMUSG00000033730	Egr3
ENSMUSG00000033847	Pla2g4c
ENSMUSG00000033981	Gria2
ENSMUSG00000034098	Fstl5
ENSMUSG00000034145	Tmem63c
ENSMUSG00000034187	Nsf
ENSMUSG00000034413	Neurl1b
ENSMUSG00000034427	Myo15b
ENSMUSG00000034452	Slc24a1
ENSMUSG00000034472	Rasd2
ENSMUSG00000034584	Exph5
ENSMUSG00000034687	Fras1
ENSMUSG00000034796	Cpne7
ENSMUSG00000034799	Unc13a
ENSMUSG00000034818	Celf5
ENSMUSG00000034825	Nrip3
ENSMUSG00000034829	Nxnl1
ENSMUSG00000034891	Sncb
ENSMUSG00000034917	Tjp3
ENSMUSG00000034997	Htr2a
ENSMUSG00000035033	Tbr1
ENSMUSG00000035202	Lars2
ENSMUSG00000035226	Rims4
ENSMUSG00000035262	Amh
ENSMUSG00000035270	Impg2
ENSMUSG00000035277	Arx
ENSMUSG00000035373	Ccl7
ENSMUSG00000035385	Ccl2
ENSMUSG00000035456	Prdm8
ENSMUSG00000035504	Reep6
ENSMUSG00000035576	L3mbtl1
ENSMUSG00000035653	Lrfn5
ENSMUSG00000035681	Kcnc2
ENSMUSG00000035864	Syt1
ENSMUSG00000035963	Odf3l2
ENSMUSG00000036062	N28178
ENSMUSG00000036095	Dgkb
ENSMUSG00000036151	Tm6sf2
ENSMUSG00000036185	Sapcd1
ENSMUSG00000036196	Slc26a8
ENSMUSG00000036264	Fstl4
ENSMUSG00000036306	Lzts1
ENSMUSG00000036422	Pcdh8
ENSMUSG00000036480	Prss56
ENSMUSG00000036564	Ndrg4
ENSMUSG00000036760	Kcnk9
ENSMUSG00000036800	Fam135b
ENSMUSG00000036815	Dpp10
ENSMUSG00000037126	Psd
ENSMUSG00000037217	Syn1
ENSMUSG00000037428	Vgf
ENSMUSG00000037446	Tulp1
ENSMUSG00000037474	Dtl
ENSMUSG00000037492	Zmat4
ENSMUSG00000037541	Shank2
ENSMUSG00000037579	Kcnh3
ENSMUSG00000037759	Ptger2
ENSMUSG00000037771	Slc32a1
ENSMUSG00000037982	Gm9725
ENSMUSG00000038020	Rapgefl1
ENSMUSG00000038026	Kcnj9
ENSMUSG00000038115	Ano2
ENSMUSG00000038128	Camk4
ENSMUSG00000038152	5033430I15Rik
ENSMUSG00000038179	Slamf7
ENSMUSG00000038239	Hrc
ENSMUSG00000038255	Neurod2
ENSMUSG00000038576	Susd4
ENSMUSG00000038663	Fsd2
ENSMUSG00000038692	Hoxb4
ENSMUSG00000038704	Aspdh
ENSMUSG00000038738	Shank1
ENSMUSG00000038807	Rap1gap2
ENSMUSG00000038917	3930402G23Rik
ENSMUSG00000039037	St6galnac5
ENSMUSG00000039058	Ak5
ENSMUSG00000039059	Hrh3
ENSMUSG00000039106	Htr5a
ENSMUSG00000039252	Lgi2
ENSMUSG00000039372	March4
ENSMUSG00000039419	Cntnap2
ENSMUSG00000039539	Sgcz
ENSMUSG00000039628	Hs3st6
ENSMUSG00000039629	Strip2
ENSMUSG00000039717	Ralyl
ENSMUSG00000039809	Gabbr2
ENSMUSG00000039860	Srrm3
ENSMUSG00000039883	Lrrc17
ENSMUSG00000040026	Saa3
ENSMUSG00000040035	Disp2
ENSMUSG00000040118	Cacna2d1
ENSMUSG00000040125	Gpr26
ENSMUSG00000040364	Sec1
ENSMUSG00000040412	5330417C22Rik
ENSMUSG00000040420	Cdh18
ENSMUSG00000040424	Hipk4
ENSMUSG00000040452	Cdh12
ENSMUSG00000040640	Erc2
ENSMUSG00000040728	Esrp1
ENSMUSG00000040794	C1qtnf4
ENSMUSG00000040797	Iqsec3
ENSMUSG00000040856	Dlk1
ENSMUSG00000040907	Atp1a3
ENSMUSG00000040972	Igsf21
ENSMUSG00000041014	Nrg3
ENSMUSG00000041141	Pnmal1
ENSMUSG00000041380	Htr2c
ENSMUSG00000041608	Entpd3
ENSMUSG00000041708	Mpped1
ENSMUSG00000041710	Trpc5
ENSMUSG00000041773	Enc1
ENSMUSG00000041911	Dlx1
ENSMUSG00000041923	Nol4
ENSMUSG00000041986	Elmod1
ENSMUSG00000042078	Svop
ENSMUSG00000042200	Cdrt4
ENSMUSG00000042254	Cilp
ENSMUSG00000042282	Gucy2f
ENSMUSG00000042388	Dlgap3
ENSMUSG00000042425	Frmpd3
ENSMUSG00000042532	Golga7b
ENSMUSG00000042604	Kcna4
ENSMUSG00000042671	Rgs8
ENSMUSG00000042750	Bex2
ENSMUSG00000042800	1700015E13Rik
ENSMUSG00000043289	Mei4
ENSMUSG00000043301	Kcnj6
ENSMUSG00000043388	Tmem130
ENSMUSG00000043439	E130012A19Rik
ENSMUSG00000043498	9330132A10Rik
ENSMUSG00000043592	Unc5cl
ENSMUSG00000043635	Adamts3
ENSMUSG00000044024	Rell2
ENSMUSG00000044067	Gpr22
ENSMUSG00000044071	Fam19a2
ENSMUSG00000044176	Spink10
ENSMUSG00000044216	Kcnj4
ENSMUSG00000044288	Cnr1
ENSMUSG00000044556	Tex38
ENSMUSG00000044641	Pard6b
ENSMUSG00000044667	Lppr4
ENSMUSG00000044703	Phf11a
ENSMUSG00000044912	Syt16
ENSMUSG00000044933	Sstr3
ENSMUSG00000045009	Prrt3
ENSMUSG00000045034	Ankrd34b
ENSMUSG00000045036	Tmem232
ENSMUSG00000045038	Prkce
ENSMUSG00000045174	Amer3
ENSMUSG00000045318	Adra2c
ENSMUSG00000045349	Sh2d5
ENSMUSG00000045441	Gprin3
ENSMUSG00000045573	Penk
ENSMUSG00000045733	Sprn
ENSMUSG00000045903	Npas4
ENSMUSG00000045912	C2cd4c
ENSMUSG00000045967	Gpr158
ENSMUSG00000046093	Hpcal4
ENSMUSG00000046167	Gldn
ENSMUSG00000046182	Gsg1l
ENSMUSG00000046204	Pnma2
ENSMUSG00000046442	Ppm1e
ENSMUSG00000046449	C77370
ENSMUSG00000046480	Scn4b
ENSMUSG00000046550	Spin2c
ENSMUSG00000046699	Slitrk4
ENSMUSG00000046999	1110032F04Rik
ENSMUSG00000047013	Fbxo41
ENSMUSG00000047428	Dlk2
ENSMUSG00000047485	Klhl34
ENSMUSG00000047490	4932411E22Rik
ENSMUSG00000047495	Dlgap2
ENSMUSG00000047515	BC049715
ENSMUSG00000047658	Gal3st3
ENSMUSG00000047692	4930533K18Rik
ENSMUSG00000047798	Cd300lf
ENSMUSG00000047842	Diras2
ENSMUSG00000047904	Sstr2
ENSMUSG00000047935	Gm5607
ENSMUSG00000048001	Hes5
ENSMUSG00000048087	Gm4737
ENSMUSG00000048142	Nat8l
ENSMUSG00000048251	Bcl11b
ENSMUSG00000048304	Slitrk3
ENSMUSG00000048355	Arxes1
ENSMUSG00000048385	Scrt1
ENSMUSG00000048483	Zdhhc22
ENSMUSG00000048758	Rpl29
ENSMUSG00000048834	Vstm2a
ENSMUSG00000048895	Cdk5r1
ENSMUSG00000049097	Ankrd34a
ENSMUSG00000049148	Plcxd3
ENSMUSG00000049281	Scn3b
ENSMUSG00000049583	Grm5
ENSMUSG00000049741	Rxfp4
ENSMUSG00000049971	Glt1d1
ENSMUSG00000050069	Grem2
ENSMUSG00000050138	Kcnk12
ENSMUSG00000050164	Mchr1
ENSMUSG00000050321	Neto1
ENSMUSG00000050377	Il31ra
ENSMUSG00000050520	Cldn8
ENSMUSG00000050600	Zfp831
ENSMUSG00000050711	Scg2
ENSMUSG00000050963	Kcns2
ENSMUSG00000051054	1700014D04Rik
ENSMUSG00000051062	Fbll1
ENSMUSG00000051111	Sv2c
ENSMUSG00000051323	Pcdh19
ENSMUSG00000051401	Kctd16
ENSMUSG00000051452	Gm11437
ENSMUSG00000051456	Hspb3
ENSMUSG00000051703	Tmem198
ENSMUSG00000051726	Kcnf1
ENSMUSG00000052026	Slc6a7
ENSMUSG00000052087	Rgs14
ENSMUSG00000052301	Doc2a
ENSMUSG00000052373	Mpp3
ENSMUSG00000052392	Acot4
ENSMUSG00000052479	A330008L17Rik
ENSMUSG00000052516	Robo2
ENSMUSG00000052581	Lrrtm4
ENSMUSG00000052616	Ccdc79
ENSMUSG00000052749	Trim30b
ENSMUSG00000052981	Ube2ql1
ENSMUSG00000053025	Sv2b
ENSMUSG00000053161	Daw1
ENSMUSG00000053310	Nrgn
ENSMUSG00000053395	Cacng8
ENSMUSG00000053550	Shisa7
ENSMUSG00000053693	Mast1
ENSMUSG00000053830	Gm9923
ENSMUSG00000053963	6330403A02Rik
ENSMUSG00000054013	Tmem179
ENSMUSG00000054034	Tceal5
ENSMUSG00000054450	Gm9945
ENSMUSG00000054459	Vsnl1
ENSMUSG00000054622	D730045B01Rik
ENSMUSG00000054976	Nyap2
ENSMUSG00000055078	Gabra5
ENSMUSG00000055214	Pld5
ENSMUSG00000055409	Nell1
ENSMUSG00000055456	Gm9972
ENSMUSG00000055540	Epha6
ENSMUSG00000055567	Unc80
ENSMUSG00000055629	B4galnt4
ENSMUSG00000055761	Nkain3
ENSMUSG00000055958	Gm9987
ENSMUSG00000055972	2810407A14Rik
ENSMUSG00000056043	Rgs9bp
ENSMUSG00000056055	Sag
ENSMUSG00000056158	Car10
ENSMUSG00000056427	Slit3
ENSMUSG00000056486	Chn1
ENSMUSG00000056553	Ptprn2
ENSMUSG00000056643	Chst13
ENSMUSG00000056656	Apol8
ENSMUSG00000056812	St8sia3
ENSMUSG00000056888	Glipr1
ENSMUSG00000056972	Magel2
ENSMUSG00000057060	Slc35f3
ENSMUSG00000057074	Ces1g
ENSMUSG00000057132	Rpgrip1
ENSMUSG00000057378	Ryr3
ENSMUSG00000057715	A830018L16Rik
ENSMUSG00000057897	Camk2b
ENSMUSG00000057924	Gm10033
ENSMUSG00000058046	4933430I17Rik
ENSMUSG00000058153	Sez6l
ENSMUSG00000058248	Kcnh1
ENSMUSG00000058360	Gm10040
ENSMUSG00000058624	Gda
ENSMUSG00000058755	Osm
ENSMUSG00000058925	1700011I03Rik
ENSMUSG00000058975	Kcnc1
ENSMUSG00000059003	Grin2a
ENSMUSG00000059040	Eno1b
ENSMUSG00000059187	Fam19a1
ENSMUSG00000059213	Ddn
ENSMUSG00000059456	Ptk2b
ENSMUSG00000059742	Kcnh7
ENSMUSG00000059857	Ntng1
ENSMUSG00000059991	Nptx2
ENSMUSG00000060212	Pcnxl2
ENSMUSG00000060257	Scrt2
ENSMUSG00000060371	Caln1
ENSMUSG00000060924	Csmd1
ENSMUSG00000061298	Agbl4
ENSMUSG00000061576	Dpp6
ENSMUSG00000061577	Adgrg5
ENSMUSG00000061578	Ksr2
ENSMUSG00000061751	Kalrn
ENSMUSG00000061762	Tac1
ENSMUSG00000061911	Myt1l
ENSMUSG00000062082	Cd200r4
ENSMUSG00000062184	Hs6st2
ENSMUSG00000062296	Trank1
ENSMUSG00000062372	Otof
ENSMUSG00000062393	Dgkk
ENSMUSG00000062593	Lilrb4
ENSMUSG00000062794	Zfp599
ENSMUSG00000062961	Ccdc177
ENSMUSG00000063142	Kcnma1
ENSMUSG00000063193	Cd300lb
ENSMUSG00000063239	Grm4
ENSMUSG00000063354	Slc39a4
ENSMUSG00000063388	BC023105
ENSMUSG00000063430	Wscd2
ENSMUSG00000063446	Lppr1
ENSMUSG00000063626	Unc5d
ENSMUSG00000064065	Ipcef1
ENSMUSG00000064147	Rab44
ENSMUSG00000064193	Gm4735
ENSMUSG00000064225	Paqr9
ENSMUSG00000064293	Cntn4
ENSMUSG00000064329	Scn1a
ENSMUSG00000064330	Pde6h
ENSMUSG00000064337	mt-Rnr1
ENSMUSG00000064339	mt-Rnr2
ENSMUSG00000065922	n-R5-8s1
ENSMUSG00000066108	Muc5b
ENSMUSG00000066438	Plekhd1
ENSMUSG00000066677	Pydc3
ENSMUSG00000066682	Pilrb2
ENSMUSG00000067028	Cntnap5b
ENSMUSG00000067149	Jchain
ENSMUSG00000067219	Nipal1
ENSMUSG00000067889	Sptbn2
ENSMUSG00000068037	Mas1
ENSMUSG00000068129	Cst7
ENSMUSG00000068154	Insm1
ENSMUSG00000068259	Olfr461
ENSMUSG00000068396	Rpl34-ps1
ENSMUSG00000068428	Gmnc
ENSMUSG00000068696	Gpr88
ENSMUSG00000069227	Gprin1
ENSMUSG00000069516	Lyz2
ENSMUSG00000070304	Scn2b
ENSMUSG00000070336	Fbxo47
ENSMUSG00000070570	Slc17a7
ENSMUSG00000070687	Htr1d
ENSMUSG00000070695	Cntnap5a
ENSMUSG00000070880	Gad1
ENSMUSG00000071265	1700086L19Rik
ENSMUSG00000071311	Gpr31b
ENSMUSG00000071567	A830039N20Rik
ENSMUSG00000071716	Apol7e
ENSMUSG00000071753	C230004F18Rik
ENSMUSG00000072621	Slfn10-ps
ENSMUSG00000072672	Duxbl3
ENSMUSG00000072688	Gm10399
ENSMUSG00000073008	Gpr174
ENSMUSG00000073067	9130019P16Rik
ENSMUSG00000073486	Gm10518
ENSMUSG00000073514	Dok6
ENSMUSG00000073779	Lrp8os2
ENSMUSG00000074052	BC048644
ENSMUSG00000074345	Tnfaip8l3
ENSMUSG00000074505	Fat3
ENSMUSG00000074575	Kcng1
ENSMUSG00000074817	Papolb
ENSMUSG00000074923	Pak6
ENSMUSG00000074968	Ano3
ENSMUSG00000075316	Scn9a
ENSMUSG00000075318	Scn2a1
ENSMUSG00000075416	Gm14488
ENSMUSG00000075478	Slitrk1
ENSMUSG00000076609	Igkc
ENSMUSG00000076613	Ighg2b
ENSMUSG00000076617	Ighm
ENSMUSG00000078117	Gm16485
ENSMUSG00000078129	Actl10
ENSMUSG00000078144	Capns2
ENSMUSG00000078235	Fam43b
ENSMUSG00000078307	AI593442
ENSMUSG00000078502	Gm13212
ENSMUSG00000078591	Hs3st4
ENSMUSG00000078816	Prkcg
ENSMUSG00000078887	Gm6710
ENSMUSG00000078922	Tgtp1
ENSMUSG00000079103	Tgm7
ENSMUSG00000079157	Fam155a
ENSMUSG00000079550	Mpp4
ENSMUSG00000079657	Rab26
ENSMUSG00000080731	Rps2-ps9
ENSMUSG00000080736	Gm15617
ENSMUSG00000080796	Gm9159
ENSMUSG00000080937	Gm13510
ENSMUSG00000080972	Gm16061
ENSMUSG00000081104	Gm15989
ENSMUSG00000081152	Gm12430
ENSMUSG00000081238	Gm15836
ENSMUSG00000081249	Gm11517
ENSMUSG00000081798	Gm8152
ENSMUSG00000081816	Gm15528
ENSMUSG00000081854	Gm11447
ENSMUSG00000081968	Rpl23a-ps2
ENSMUSG00000081978	Gm14895
ENSMUSG00000082154	Gm16464
ENSMUSG00000082163	Gm14276
ENSMUSG00000082484	Gm16177
ENSMUSG00000082686	Gm12961
ENSMUSG00000082931	Gm13586
ENSMUSG00000083104	Gm12917
ENSMUSG00000083183	Gm15575
ENSMUSG00000083359	Gm12656
ENSMUSG00000083745	Gm13543
ENSMUSG00000083796	Gm13369
ENSMUSG00000083849	Gm13477
ENSMUSG00000083856	Gm13886
ENSMUSG00000084088	Gm12941
ENSMUSG00000084218	Gm8145
ENSMUSG00000084235	Gm15421
ENSMUSG00000084302	Gm12194
ENSMUSG00000084390	Gm15425
ENSMUSG00000084890	A830036E02Rik
ENSMUSG00000084897	Gm14226
ENSMUSG00000085110	Gm13920
ENSMUSG00000085201	Nr6a1os
ENSMUSG00000085218	BB218582
ENSMUSG00000085599	Gm13449
ENSMUSG00000085779	Atcayos
ENSMUSG00000085788	4930470G03Rik
ENSMUSG00000085800	1700066O22Rik
ENSMUSG00000085816	Gm13052
ENSMUSG00000085830	Grin1os
ENSMUSG00000085925	Rtl1
ENSMUSG00000086040	Wipf3
ENSMUSG00000086121	Gm16068
ENSMUSG00000086308	G630016G05Rik
ENSMUSG00000086356	Gm13441
ENSMUSG00000086385	Gm12701
ENSMUSG00000086495	Gm13778
