Majority protein IDs	sample 5	sample 6	sample 7	sample 8	sample 9	sample 10	sample 11	sample 12	sample 13	sample 15	sample 16	sample 17	sample 18	sample 19	sample 20
A2A6A1	26.67	26.523	26.335	26.684	26.266	26.471	26.26	26.353	26.155	26.628	26.3	26.398	26.447	26.465	26.577
A2A6P4	NA	24.592	25.169	25.961	NA	25.776	24.9	NA	24.962	25.04	25.118	NA	NA	NA	NA
A2A6Q5;A2A6Q5-3;A2A6Q5-2	26.427	25.536	25.664	NA	26.368	26.066	25.438	24.42	26.627	25.542	25.34	26.744	26.499	25.623	25.505
A2A791;A2A791-2	26.077	25.66	25.673	25.198	25.517	25.482	NA	25.82	25.427	25.823	25.173	26.716	25.916	26.107	26.042
A2A7B5	26.517	26.766	26.639	26.787	26.453	26.91	26.013	26.035	25.603	26.845	27.017	26.932	27.465	27.113	27.677
E9Q532;A2A7F4	24.277	24.111	NA	NA	NA	NA	NA	NA	24.594	NA	NA	24.079	24.283	NA	24.063
Q3TJB1;A2A7T8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.551	24.289	24.412	24.064
A2A884	NA	NA	NA	NA	NA	NA	NA	NA	33.781	NA	NA	32.727	33.995	NA	NA
A2A8U2-2;A2A8U2-3;A2A8U2	25.686	25.886	26.606	27.023	25.858	26.269	26.669	27.077	25.637	26.496	26.637	25.501	26.129	26.461	26.541
A2A8Z1;A2A8Z1-2	27.4	27.663	27.155	27.305	27.589	27.543	27.246	27.508	28.147	27.315	27.712	27.477	27.506	27.128	27.382
A2A9C3;A2A9C3-2	NA	23.601	NA	23.825	NA	NA	NA	NA	NA	24.008	24.221	23.673	23.832	23.8	23.947
A2AA28	NA	NA	NA	23.835	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2AAE1-4;A2AAE1-6;A2AAE1;A2AAE1-2;A2AAE1-3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	19.508
A2AB59-2;A2AB59	28.671	28.304	28.776	27.927	28.777	28.311	28.695	28.054	28.651	28.602	28.029	28.551	28.224	28.379	27.741
A2ABV5	27.267	27.223	27.053	27.053	27.453	27.359	27.15	27.104	27.721	27.398	27.275	27.588	27.341	27.445	27.179
A2ACJ2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.655	NA	NA
A2ACQ1;Q8K1G9	25.641	25.595	25.821	25.829	25.007	26.019	26.003	26.298	25.803	26.083	26.291	26.229	26.365	26.069	26.331
A2ADA5;A2ADA5-2	NA	NA	25.554	NA	24.504	NA	NA	NA	NA	25.798	NA	24.569	25.04	25.871	23.925
A2ADY9	29.191	29.183	29.467	28.776	29.494	29.206	29.519	29.025	29.523	29.285	29.016	29.578	29.313	29.424	28.819
A2AE42	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.271	NA	NA	NA	NA
A2AE91;Q8R5I6	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.922	NA	NA	NA	NA	NA
E9PZF7;A2AF28;A2AF34;A2AF35	26.554	26.212	25.911	25.404	26.549	25.611	25.796	24.808	26.739	26.457	26.196	26.755	26.56	26.126	25.599
A2AF47	30.023	30.482	29.939	30.715	30.018	30.462	29.783	30.662	29.883	29.664	30.541	29.904	30.458	29.809	30.566
A2AFK4;I6L986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.183	NA
A2AG58;A2AG58-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.139	NA
A2AGH6-2;A2AGH6	26.677	26.194	25.964	26.188	26.282	26.563	26.182	25.878	27.308	26.506	26.843	27.278	27.156	26.603	26.81
A2AGL3-2;A2AGL3	NA	24.768	24.296	NA	NA	NA	NA	24.396	23.966	NA	NA	NA	NA	NA	NA
A2AGT5;A2AGT5-3;A2AGT5-2	29.373	29.283	29.087	29.185	29.367	29.295	29.074	29.294	29.279	29.094	29.349	29.495	29.507	29.227	29.332
A2AH22-7;A2AH22-2;A2AH22-6;A2AH22;A2AH22-5	NA	NA	NA	24.004	NA	NA	NA	NA	24.629	23.866	24.028	24.262	23.988	24.703	23.58
A2AHC3;A2AHC3-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.922	NA	NA	NA	NA	NA
A2AHJ4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.42	23.243	NA	NA
A2AI05;A2AI05-2;A2AI05-3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.143	23.347	NA	23.37
A2AI08	NA	NA	21.677	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2AIG8-2;A2AIG8	NA	NA	24.872	NA	NA	NA	NA	NA	NA	24.469	NA	NA	NA	NA	NA
A2AIL4	NA	NA	24.889	NA	NA	NA	NA	NA	NA	24.387	NA	24.112	24.344	25.138	24.34
A2AIV2;A2AIV2-2	28.576	28.388	28.461	28.333	28.294	28.427	28.462	28.325	28.42	28.485	28.314	28.557	28.63	28.718	28.328
A2AJ15	25.334	24.4	24.008	NA	NA	NA	NA	NA	NA	23.576	24.027	24.687	NA	23.837	NA
A2AJ72;Q3TIX6;A0A0A6YVV5	28.016	27.352	27.925	26.013	27.581	27.253	27.513	26.469	27.799	27.915	26.797	28.031	27.232	27.965	26.814
A2AJ88-2;A2AJ88	25.202	25.611	25.827	25.829	24.612	25.546	25.668	24.396	25.172	26.179	26.396	25.993	26.429	26.05	26.816
A2AJ88-3	NA	NA	NA	NA	NA	NA	24.455	NA	NA	NA	NA	NA	NA	NA	NA
A2AJI0;A2AJI0-2	NA	NA	24.541	24.305	NA	23.649	24.198	24.363	23.987	24.437	24.762	24.302	24.249	24.281	25.21
A2AJK6;A2AJK6-3	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.76	NA	NA	23.748	23.64	NA
A2AJT4	25.6	NA	25.404	25.189	25.781	25.486	NA	25.037	25.582	25.603	25.799	26.011	25.704	25.377	25.985
A2AKG8	NA	NA	24.318	NA	NA	NA	23.841	NA	23.783	23.662	NA	23.877	NA	23.858	NA
A2AKX3;A2AKX3-2	26.313	26.642	26.757	26.577	26.157	26.332	26.095	26.431	26.524	27.301	27.202	27.153	27.821	27.284	27.799
A2AL36	27.707	27.683	27.25	27.889	27.723	27.676	27.403	27.459	27.731	27.332	28.16	27.778	27.903	27.676	28.453
Q8C048;A2ALL9;Q0VF55	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	25.352	NA	NA	NA
A2ALV5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.482	NA	NA	NA	NA
A2AM29	24.511	NA	NA	23.952	23.985	NA	NA	NA	NA	24.168	24.103	23.639	NA	23.802	NA
A2AMZ4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.536	NA
A2AN08-3;A2AN08;A2AN08-5	29.89	29.849	29.738	29.676	29.897	29.722	29.647	29.854	29.705	29.711	29.759	29.759	29.724	29.536	29.815
A2AN61;Q8VEH2;Q3UUV0;F6XWQ4	26.777	26.239	26.409	26.409	26.204	26.279	26.388	26.532	26.394	26.652	26.435	26.542	26.694	26.584	27.145
A2AN91;E9Q3H4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.406	NA	NA	NA	NA
A2ANX3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32.963	NA
A2ANY6;J3QMC5	28.928	29.158	29.312	28.819	28.848	29.015	29.209	29.003	28.976	29.363	28.899	28.978	29.043	29.205	28.674
A2APB8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.418	NA	NA	NA
A2APY7	NA	NA	24.949	24.738	NA	NA	25.295	24.36	NA	25.083	NA	NA	NA	25.438	25.052
A2AQ19	29.414	29.272	29.185	29.159	29.287	29.244	29.11	28.958	29.255	29.289	29.13	29.439	29.351	29.245	29.524
A2AQP0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.196	NA	NA	NA	NA
A2AQW0	24.193	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2AR02	26.393	27.509	27.424	27.542	27.042	27.334	27.092	27.064	27.688	28.003	28.293	27.341	27.27	27.645	27.62
A2AS55;A2AS55-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.28	NA	NA	NA
A2ASS6;A2ASS6-2	NA	NA	26.521	26.794	NA	NA	NA	26.414	26.528	26.256	NA	NA	NA	26.525	NA
A2ASZ8;A2ASZ8-4;A2ASZ8-5;A2ASZ8-2;A2ASZ8-3	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.125	NA	24.184	NA	24.7	25.034
A2AT37	28.013	27.946	28.115	27.913	27.882	27.705	28.062	28.189	27.987	27.841	27.856	28.044	27.979	27.983	28.057
A2AUM9	24.83	24.464	24.282	24.191	NA	24.543	NA	24.308	24.835	24.608	24.429	25.372	25.509	24.939	24.988
A2AUY4	29.862	29.625	29.056	29.658	29.963	29.766	26.812	29.624	29.883	28.992	29.873	30.367	30.263	29.623	30.275
A2AVZ9;A2AVZ9-2	NA	NA	NA	NA	23.916	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2AWA9;A2AWA9-2	27.05	27.236	27.214	27.225	26.842	26.946	27.049	27.426	26.893	27.015	27.193	27.105	26.908	26.965	27.156
A2AWL7;A2AWL7-3;A2AWL7-2	25.147	25.649	25.858	25.206	25.187	24.828	24.388	NA	25.516	26.164	25.266	26.043	25.884	26.14	25.804
A2AWR2;A2AWR3	23.435	NA	NA	NA	23.002	NA	NA	NA	NA	NA	NA	23.718	22.428	NA	22.334
A2AWT3;A2AWT3-2	NA	NA	NA	22.114	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2BDX3	28.741	28.86	28.848	28.956	28.792	28.915	28.828	29.098	28.759	29.133	28.991	29.165	29.173	28.928	29.566
A2BE28-2;A2BE28	27.927	28.02	28.105	27.549	27.6	27.664	27.859	27.402	27.786	28.212	27.746	27.791	27.979	28.21	27.886
A2BH40;A2BH40-3	30.653	30.583	30.13	30.392	30.33	30.446	30.046	30.318	30.438	30.231	30.41	30.641	30.557	30.155	30.514
A2BH40-4;A2BH40-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.815
A2CE44	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.726
A2CG49-2;A2CG49;A2CG49-7;A2CG49-4;A2CG49-6;A2CG49-10;A2CG49-5;A2CG49-9;A2CG49-8	22.859	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.772	22.719	NA	NA
A2CG63;A2CG63-2	26.58	26.867	26.706	26.812	26.693	26.569	26.233	26.781	26.555	27.256	27.303	27.098	27.174	26.953	27.452
A2RSJ4	25.235	25.723	25.641	25.832	24.583	25.913	24.723	25.606	24.744	25.838	26.451	26.04	26.4	25.967	26.43
A2RSQ0	27.496	27.106	26.391	27.08	27.537	27.011	26.264	27.312	27.66	26.264	27.321	27.643	26.982	26.612	26.714
A2RSX7	NA	NA	24.915	NA	NA	24.747	NA	NA	NA	24.932	24.79	24.583	24.333	25.048	24.263
A2RSX9	NA	NA	NA	NA	23.205	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A2RSY1-2;A2RSY1;A2RSY1-3	26.583	26.19	25.856	26.281	26.479	26.341	25.531	24.832	26.243	26.083	26.356	26.51	26.775	25.791	26.58
A2RSY6;A2RSY6-2	27.939	27.719	28.295	27.789	27.889	27.659	28.432	27.695	27.641	28.339	27.797	27.612	27.59	28.311	27.541
A2RT67	28.282	28.354	28.536	28.302	28.295	28.308	28.275	28.348	28.251	28.339	28.321	28.317	28.26	28.406	28.205
A2RTH5;A0A0U1RNF2	25.597	25.378	26.088	24.993	25.283	24.939	25.853	24.999	25.893	25.487	25.455	25.08	NA	25.593	24.822
A2RTL5	25.73	25.434	25.53	25.671	25.609	25.966	25.792	25.603	25.687	25.7	25.526	25.647	25.901	25.48	25.497
A3KFM7-2;A3KFM7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.268	NA	NA	NA
A3KGB4	24.975	24.41	25.346	25.385	24.758	24.928	25.396	25.041	25.178	25.491	25.28	25.465	25.518	25.519	25.169
A3KGF7;A3KGF7-2;A3KGF7-3	25.564	26.577	26.928	26.752	26.009	26.78	26.863	26.755	26.044	26.745	26.869	26.62	26.798	27.038	27.131
A3KGS3-2;A3KGS3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.297
A3KGV1-2;A3KGV1-3;A3KGV1-4;A3KGV1;A3KGV1-7;A3KGV1-6;A3KGV1-5	27.478	27.196	26.267	27.16	27.008	27.183	25.955	27.205	27.048	26.103	27.123	27.238	27.453	26.315	27.112
A3KMP2;A3KMP2-2	28.384	28.826	29.574	29.035	28.224	28.821	29.373	29.326	28.392	29.738	29.555	28.835	28.883	29.634	29.113
A6H5Y3	23.075	25.024	28.119	27.442	24.199	25.722	27.545	27.573	24.453	28.052	27.586	22.404	25.633	27.942	27.295
A6H5Z3;A6H5Z3-2	NA	NA	23.208	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A6H611	24.373	24.647	25.286	NA	24.338	24.579	24.895	NA	25.067	25.731	24.991	24.754	25.336	25.471	24.421
A6H619-2;A6H619	24.949	25.079	25.462	25.431	NA	25.493	NA	NA	NA	25.474	25.587	25.712	25.528	25.247	25.291
A6H630;A6H630-2	28.931	28.709	29.188	28.623	29.1	28.769	29.181	28.796	28.738	29.511	28.614	28.988	28.622	29.353	28.763
A6H687	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.036
A6H6A9	24.145	24.077	24.698	24.674	NA	24.344	24.003	NA	23.998	24.454	24.738	24.358	24.154	24.525	24.504
A6H6A9-3	NA	NA	NA	NA	NA	NA	NA	NA	23.896	NA	NA	24.506	NA	NA	NA
A6H6S0;G5E876	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.629	NA	NA	NA	NA	NA
A6H8H2-2;A6H8H2	25.111	25.202	25.688	25.435	24.027	25.41	24.683	25.451	25.527	25.367	25.536	25.425	25.228	26.004	25.415
A6PWY4;A6PWY4-2	28.046	27.626	26.077	27.385	28.077	27.564	26.693	26.954	28.191	26.947	27.438	28.326	28.082	26.831	27.777
A6X8Z5	NA	NA	NA	NA	NA	NA	NA	28.437	NA	NA	28.49	NA	NA	NA	NA
A6X919;A6X919-2	NA	NA	24.953	24.99	NA	NA	NA	25.038	NA	24.983	25.26	25.246	25.096	25.011	25.111
A8C756	25.93	26.845	26.728	NA	24.856	NA	26.824	NA	24.799	27.15	26.328	26.168	25.981	27.338	25.908
B1AQJ2	NA	NA	24.872	NA	NA	24.09	24.404	NA	NA	25.628	24.703	24.166	25.418	26.041	25.154
B1AR09;B1AR10	NA	25.2	NA	24.567	NA	NA	NA	NA	NA	NA	24.628	24.349	24.364	NA	24.285
B1AR13	27.908	26.181	26.207	28.944	NA	26.646	27.45	28.353	NA	27.219	28.67	27.57	28.5	27.526	29.291
B1AR17;F7C528;E9Q614	26.435	26.498	26.448	26.709	26.689	26.329	26.068	25.892	25.941	27.093	26.946	26.604	26.709	26.482	26.739
B1AR69	NA	NA	21.541	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B1ARD6	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.232	NA	22.681	NA	NA	NA
B1ART1;B1ART2;V9GX23	25.268	NA	25.739	26.406	NA	NA	NA	26.521	NA	25.448	25.914	NA	26.354	26.134	26.18
B1AUE5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20.933	NA
B1AUN2;B1AUN3;Q3UKV0	27.054	27.184	27.648	26.951	26.781	26.902	27.365	27.247	27.029	27.709	27.384	27.358	27.242	27.751	26.834
B1AUR6-2;B1AUR6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.731	NA	NA	NA
B1AUX5;Q80Z68;B1AUY3;B1AUY2;E9PYS6;Q3TE27;E9Q4R3	29.974	30.533	30.155	30.834	30.199	30.69	30.257	30.709	30.154	30.207	30.787	30.354	30.825	30.211	31.079
B1AVY7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.046
B1AVZ0	26.726	27.099	27.813	27.408	26.271	27.096	27.609	27.613	26.749	27.521	27.662	26.5	26.988	27.374	27.174
B1AX39	NA	NA	24.267	23.625	NA	NA	24.134	NA	NA	24.245	23.392	23.679	24.096	24.277	24.19
B1AY10;B1AY10-2;B1AY10-3	23.671	24.007	23.626	24.319	NA	23.962	23.871	23.827	24.142	23.715	24.074	24.199	24.64	24.17	24.429
B1AY13	29.197	29.444	29.491	29.764	29.058	29.394	29.336	29.743	29.131	29.465	29.759	29.296	29.477	29.416	29.683
B1AZA5	23.775	NA	24	24.096	NA	24.189	24.183	24.025	NA	24.514	23.993	24.446	NA	24.6	24.437
B1AZI6	30.102	30.05	30.019	29.723	30.123	29.963	29.803	29.71	30.205	29.971	29.84	30.13	30.091	30.064	29.68
B1AZP2;B1AZP2-2;B1AZP2-3	27.096	26.967	27.154	27.214	26.95	27.106	27.294	27.091	27.081	27.266	27.349	26.672	26.872	27.085	26.962
B2KFW1;B2KFW1-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21.91	21.654	NA	NA
B2RQC6;B2RQC6-2	31.581	31.12	31.316	30.701	31.244	31.005	31.028	30.644	31.509	31.189	30.819	31.56	31.037	31.18	30.704
B2RQG2	28.151	28.157	28.099	28.213	27.999	28.162	28.087	28.062	28.213	28.386	28.442	28.215	28.377	28.227	28.508
B2RR83	26.348	26.342	26.343	25.797	26.259	26.548	24.695	26.343	26.72	26.155	26.472	26.904	26.634	26.283	25.965
B2RRD7	27.021	26.927	26.666	27.132	26.634	27.184	26.441	27.203	26.822	27.188	27.273	27.287	27.558	27.068	27.898
B2RRE7	26.913	26.93	26.805	27.043	26.918	27.02	26.677	27.107	26.71	26.777	26.89	27.205	26.852	26.723	27.188
B2RRF6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23.633	23.224	NA	NA
B2RRL2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24.557	23.833	NA	NA
B2RS91	NA	NA	22.763	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B2RT41	24.947	NA	24.105	23.975	25.098	24.935	NA	NA	25.887	25.353	24.799	25.501	26.071	25.651	25.035
B2RUJ5-2;P98084;B2RUJ5-3;B2RUJ5	NA	NA	24.88	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Q5NCJ0;B2RUJ6;Q5NCJ1;Q5NCJ4;Q5NCJ5	26.435	26.979	26.586	26.833	25.103	26.575	26.049	26.98	26.154	26.487	27.165	26.861	27.118	26.66	27.324
B2RUP2;B2RUP2-2	28.936	29.403	29.521	29.403	28.54	29.295	29.303	29.44	28.92	29.453	29.844	29.197	29.708	29.565	29.704
B2RUR8	26.112	25.86	26.528	26.096	26.154	25.945	26.054	26.07	25.615	26.439	26.091	26.405	26.503	26.563	26.578
B2RWS6	27.33	27.413	26.75	27.253	27.421	27.299	26.726	27.022	27.079	26.978	27.17	27.118	27.094	26.839	27.504
B2RX14	29.349	29.125	28.629	28.841	29.136	29.05	28.682	28.811	29.223	28.529	28.999	29.456	29.233	28.59	29.113
B2RXC1	27.793	27.926	28.307	28.305	27.595	27.959	28.018	28.214	27.734	27.894	28.268	27.786	28.161	28.035	28.148
B2RXC2	24.992	25.311	24.252	25.126	24.985	NA	23.708	25.409	NA	NA	25.673	25.189	24.452	24.532	26.624
B2RXC6;Q7TSI4	25.698	26.456	27.206	26.263	25.384	26.635	26.73	26.713	26.078	27.343	26.724	25.824	26.327	27.104	26.314
B2RXW8;B2RXQ2	25.538	24.472	24.974	24.746	26.076	24.986	25.322	24.39	25.797	24.973	25.223	26.259	25.945	25.179	25.475
B2RXR6	30.542	30.713	30.51	30.929	30.266	30.629	30.397	30.855	30.33	30.291	30.704	30.444	30.498	30.347	30.896
B2RXS3;F8VQ70;Q8BIZ8	NA	NA	NA	NA	NA	23.662	NA	NA	23.705	NA	NA	24.333	24.335	24.325	24.182
B2RXS4	26.631	NA	NA	NA	26.128	24.34	NA	NA	26.334	NA	24.703	26.929	26.287	NA	24.286
B2RY04	NA	NA	23.784	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B2RY56	30.86	30.719	30.682	30.782	30.825	30.76	30.769	30.679	31.038	31.011	30.875	30.917	30.857	30.869	31.065
B7ZCC4;Q8C8K6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22.694	NA	NA	NA	NA
B7ZMP1;B7ZMP1-2	26.154	26.503	27.141	26.76	25.989	26.538	27.185	26.921	26.485	27.033	26.905	26.178	26.657	27.187	26.278
B7ZNL9;F8VQE6	NA	NA	NA	NA	NA	NA	NA	NA	24.093	23.824	23.603	23.957	24.172	NA	23.406
B8ZXI1;B8ZXI1-2	NA	25.344	25.952	25.625	25.296	25.316	26.127	25.385	24.472	26.826	26.123	25.072	25.986	26.054	25.416
B9EJ80	27.283	26.715	26.638	26.581	26.954	26.88	26.872	26.621	27.129	26.941	26.619	27.345	27.102	26.993	26.897
B9EJ86	30.012	29.773	29.329	29.385	30.113	29.894	29.317	29.486	30.539	29.179	29.72	30.166	30.001	29.378	29.415
