ENSP00000354687	YP_003024026	P03886	ENST00000361390
ENSP00000488527	NP_001013425	Q5TYX0	ENST00000633074
ENSP00000488892	NP_001012276	Q5VWM4	ENST00000632222
ENSP00000488817		Q5VWM4	ENST00000632952
ENSP00000488367		Q5VWM4	ENST00000631760
ENSP00000491658	NP_001278310	A0A0G2JMD5	ENST00000632108
ENSP00000518878	NP_001094101		ENST00000713586
ENSP00000516836	NP_001380308		ENST00000707310
ENSP00000461395	NP_001005213		ENST00000573911
ENSP00000461395	NP_001005213		ENST00000573911
ENSP00000458970	NP_001013376		ENST00000571130
ENSP00000459325	NP_001005284	Q8NGQ1	ENST00000575017
ENSP00000459325	NP_001377761	Q8NGQ1	ENST00000575017
ENSP00000485881			ENST00000631283
ENSP00000486050	NP_001357198	Q9BZR8	ENST00000627413
ENSP00000486050	NP_001357197	Q9BZR8	ENST00000627413
ENSP00000486791			ENST00000628217
ENSP00000487566			ENST00000629515
ENSP00000486862			ENST00000625808
ENSP00000486796	NP_620049	Q9BZR8	ENST00000631317
ENSP00000487330	NP_620048	Q9BZR8	ENST00000628783
ENSP00000486560	NP_110393	Q9BZR8	ENST00000631251
ENSP00000486273			ENST00000627464
ENSP00000485980		Q9BZR8	ENST00000628315
ENSP00000500300	NP_001357115	X6R8R1	ENST00000673006
ENSP00000500300	NP_001357111	X6R8R1	ENST00000673006
ENSP00000500394			ENST00000672883
ENSP00000500231	NP_001357112		ENST00000672034
ENSP00000500231	NP_001357114		ENST00000672034
ENSP00000500231	NP_001357113		ENST00000672034
ENSP00000500673	NP_001265724	P0DQD5	ENST00000671787
ENSP00000499999	NP_001382182	P0DQD5	ENST00000671991
ENSP00000500536	NP_001131020	B3EWG5	ENST00000672360
ENSP00000516890	NP_061882	Q9H0E2	ENST00000707519
ENSP00000516891	NP_001305443	Q9H0E2	ENST00000707520
ENSP00000516892	NP_001305445		ENST00000707521
ENSP00000516893			ENST00000707522
ENSP00000516894			ENST00000707523
ENSP00000516895	NP_001305444		ENST00000707524
ENSP00000516896	NP_001305441		ENST00000707525
ENSP00000516897	NP_003948	Q8IWQ3	ENST00000707533
ENSP00000486315	NP_001401182	O75581	ENST00000628182
ENSP00000486315	NP_001401173	O75581	ENST00000628182
ENSP00000486315	NP_001401176	O75581	ENST00000628182
ENSP00000486315	NP_001401180	O75581	ENST00000628182
ENSP00000486315	NP_001401179	O75581	ENST00000628182
ENSP00000486315	NP_001401181	O75581	ENST00000628182
ENSP00000486315	NP_001401183	O75581	ENST00000628182
ENSP00000486315	NP_001401184	O75581	ENST00000628182
ENSP00000486315	NP_001401177	O75581	ENST00000628182
ENSP00000486315	NP_001401178	O75581	ENST00000628182
ENSP00000486315	NP_002327	O75581	ENST00000628182
ENSP00000486315	NP_001401174	O75581	ENST00000628182
ENSP00000516898		Q8IWQ3	ENST00000707534
ENSP00000516900	NP_001243558	Q8IWQ3	ENST00000707536
ENSP00000487008			ENST00000625211
ENSP00000516899	NP_001243556	Q8IWQ3	ENST00000707535
ENSP00000486758			ENST00000626957
ENSP00000516901		Q8IWQ3	ENST00000707537
ENSP00000486524	NP_001401175		ENST00000626698
ENSP00000516902			ENST00000707538
ENSP00000516903			ENST00000707539
ENSP00000516904	NP_001269147	Q8IWQ3	ENST00000707540
ENSP00000516905	NP_001243559	Q8IWQ3	ENST00000707541
ENSP00000486383			ENST00000626182
ENSP00000516906			ENST00000707542
ENSP00000516908			ENST00000707547
ENSP00000516907			ENST00000707544
ENSP00000516909		Q13202	ENST00000707550
ENSP00000487587	NP_060520	Q9H8J5	ENST00000629245
ENSP00000516910	NP_004411	Q13202	ENST00000707551
ENSP00000487244	NP_001350542	Q9H8J5	ENST00000626912
ENSP00000487019			ENST00000631077
ENSP00000486216			ENST00000628134
ENSP00000516911	NP_001005922	Q6L8H4	ENST00000707558
ENSP00000516912	NP_001004325	Q701N4	ENST00000707559
ENSP00000516913	NP_001012726	Q6L8H2	ENST00000707560
ENSP00000516914	NP_001012727		ENST00000707567
ENSP00000516914	NP_001334603		ENST00000707567
ENSP00000516914	NP_001012727		ENST00000707567
ENSP00000516916	NP_001001480	Q701N2	ENST00000707575
ENSP00000486120	NP_477517	Q969J3	ENST00000627374
ENSP00000516915	NP_001165694	Q70IA6	ENST00000707570
ENSP00000485829	NP_001287671		ENST00000625206
ENSP00000518169	NP_443731	Q70IA6	ENST00000710276
ENSP00000486584	NP_001317285	Q969J3	ENST00000627461
ENSP00000487512	NP_085143	Q9BY84	ENST00000626413
ENSP00000487034		Q9BY84	ENST00000628303
ENSP00000500663	NP_001293071		ENST00000672610
ENSP00000485919			ENST00000626461
ENSP00000487493			ENST00000629698
ENSP00000499825	NP_061815	Q9NP08	ENST00000673238
ENSP00000516917	NP_001409007	P0CW00	ENST00000707589
ENSP00000516917	NP_001230650	P0CW00	ENST00000707589
ENSP00000516918			ENST00000707590
ENSP00000516919			ENST00000707591
ENSP00000516920	NP_001409015	P0CV99	ENST00000707597
ENSP00000516920	NP_001157943	P0CV99	ENST00000707597
ENSP00000516921			ENST00000707598
ENSP00000516922			ENST00000707599
ENSP00000516923			ENST00000707602
ENSP00000499851	NP_064608	Q8IXL6	ENST00000672066
ENSP00000500776			ENST00000672062
ENSP00000500816			ENST00000672432
ENSP00000486369	NP_001341102	Q9NUC0	ENST00000630425
ENSP00000486369	NP_062551	Q9NUC0	ENST00000630425
ENSP00000486369	NP_001362357	Q9NUC0	ENST00000630425
ENSP00000491819	NP_001005270	Q96R67	ENST00000639310
ENSP00000518199	NP_001005513	A6NMZ5	ENST00000710319
ENSP00000486634	NP_001164035	Q5VTY9	ENST00000625523
ENSP00000499886	NP_002920	Q15835	ENST00000672946
ENSP00000487400	NP_001116306	Q5VTY9	ENST00000627903
ENSP00000486128	NP_060664	Q5VTY9	ENST00000629360
ENSP00000487414	NP_001164059	Q5VTY9	ENST00000626327
ENSP00000486611	NP_001164058	Q5VTY9	ENST00000628693
ENSP00000486054	NP_001164051	Q5VTY9	ENST00000625820
ENSP00000487124			ENST00000631353
ENSP00000485903			ENST00000628249
ENSP00000486378			ENST00000629127
ENSP00000516855	NP_694945	Q8IW93	ENST00000707385
ENSP00000516856			ENST00000707386
ENSP00000516857			ENST00000707389
ENSP00000516858	NP_112169	Q9BU20	ENST00000707390
ENSP00000516859			ENST00000707391
ENSP00000516839	NP_061867	Q6P3S6	ENST00000707355
ENSP00000516840			ENST00000707356
ENSP00000516841			ENST00000707357
ENSP00000516843	NP_001258798	Q7Z422	ENST00000707364
ENSP00000516844		Q7Z422	ENST00000707365
ENSP00000516842	NP_001108072	Q7Z422	ENST00000707363
ENSP00000516845			ENST00000707367
ENSP00000516846		Q7Z422	ENST00000707370
ENSP00000516862			ENST00000707421
ENSP00000516863	NP_940948	Q7Z572	ENST00000707423
ENSP00000516865	NP_001340278	Q7Z572	ENST00000707425
ENSP00000516864			ENST00000707424
ENSP00000516866			ENST00000707426
ENSP00000516848			ENST00000707373
ENSP00000516849	NP_001138750	Q9NVZ3	ENST00000707374
ENSP00000516847	NP_060560	Q9NVZ3	ENST00000707372
ENSP00000516850	NP_001138749	Q9NVZ3	ENST00000707376
ENSP00000516851			ENST00000707377
ENSP00000516852		Q9NVZ3	ENST00000707379
ENSP00000516853			ENST00000707380
ENSP00000516854			ENST00000707382
ENSP00000516860	NP_031391	Q9Y2J8	ENST00000707396
ENSP00000516861		Q9Y2J8	ENST00000707399
ENSP00000516924	NP_005284	Q99678	ENST00000707609
ENSP00000516925	NP_009010	O75365	ENST00000707614
ENSP00000516926			ENST00000707615
ENSP00000516927	NP_116000	O75365	ENST00000707616
ENSP00000516928		O75365	ENST00000707617
ENSP00000516929		O75365	ENST00000707618
ENSP00000516930		O75365	ENST00000707619
ENSP00000516931		O75365	ENST00000707620
ENSP00000516932			ENST00000707621
ENSP00000516936			ENST00000707628
ENSP00000516937	NP_001382889	A0A2R8Y2Y2	ENST00000707629
ENSP00000518170			ENST00000710277
ENSP00000516935	NP_997297	Q6ZUA9	ENST00000707626
ENSP00000518834	NP_001392671		ENST00000713539
ENSP00000516933			ENST00000707624
ENSP00000518836	NP_001393481		ENST00000713541
ENSP00000516934			ENST00000707625
ENSP00000518172			ENST00000710279
ENSP00000518171			ENST00000710278
ENSP00000518835	NP_001392468		ENST00000713540
ENSP00000518835	NP_001392478		ENST00000713540
ENSP00000518835	NP_001392474		ENST00000713540
ENSP00000518835	NP_001392471		ENST00000713540
ENSP00000518835	NP_001392477		ENST00000713540
ENSP00000518835	NP_001392467		ENST00000713540
ENSP00000518835	NP_001392475		ENST00000713540
ENSP00000518835	NP_001392476		ENST00000713540
ENSP00000518835	NP_001392470		ENST00000713540
ENSP00000518835	NP_001392466		ENST00000713540
ENSP00000518835	NP_001392479		ENST00000713540
ENSP00000518835	NP_001392469		ENST00000713540
ENSP00000518835	NP_001392472		ENST00000713540
ENSP00000518835	NP_001392473		ENST00000713540
ENSP00000518835	NP_001382834		ENST00000713540
ENSP00000518835	NP_001392459		ENST00000713540
ENSP00000518835	NP_001392463		ENST00000713540
ENSP00000518835	NP_001392464		ENST00000713540
ENSP00000518835	NP_001392465		ENST00000713540
ENSP00000518835	NP_001392462		ENST00000713540
ENSP00000518835	NP_001392461		ENST00000713540
ENSP00000518833	NP_001392598		ENST00000713538
ENSP00000518833	NP_001392615		ENST00000713538
ENSP00000518833	NP_001392602		ENST00000713538
ENSP00000518833	NP_001392601		ENST00000713538
ENSP00000518833	NP_001392624		ENST00000713538
ENSP00000518833	NP_001392623		ENST00000713538
ENSP00000518833	NP_001392627		ENST00000713538
ENSP00000518833	NP_001392596		ENST00000713538
ENSP00000518833	NP_001392629		ENST00000713538
ENSP00000518833	NP_001392609		ENST00000713538
ENSP00000518833	NP_001392621		ENST00000713538
ENSP00000518833	NP_001392600		ENST00000713538
ENSP00000518833	NP_001392616		ENST00000713538
ENSP00000518833	NP_001392606		ENST00000713538
ENSP00000518833	NP_001392625		ENST00000713538
ENSP00000518833	NP_001392599		ENST00000713538
ENSP00000518833	NP_001392611		ENST00000713538
ENSP00000518833	NP_001392613		ENST00000713538
ENSP00000518833	NP_001392628		ENST00000713538
ENSP00000518833	NP_001392597		ENST00000713538
ENSP00000518833	NP_001392626		ENST00000713538
ENSP00000518833	NP_001392622		ENST00000713538
ENSP00000518833	NP_001392603		ENST00000713538
ENSP00000518833	NP_001392604		ENST00000713538
ENSP00000518833	NP_001392605		ENST00000713538
ENSP00000518833	NP_001392608		ENST00000713538
ENSP00000518833	NP_060410		ENST00000713538
ENSP00000518833	NP_001392607		ENST00000713538
ENSP00000518833	NP_001392614		ENST00000713538
ENSP00000518833	NP_001392612		ENST00000713538
ENSP00000518833	NP_001392610		ENST00000713538
ENSP00000518833	NP_001392595		ENST00000713538
ENSP00000518168			ENST00000710275
ENSP00000518601	NP_660160		ENST00000711198
ENSP00000642760			ENST00000972704
ENSP00000642765			ENST00000972723
ENSP00000520498	NP_116179	Q96D31	ENST00000715685
ENSP00000642774			ENST00000972751
ENSP00000518639		O15266	ENST00000711141
ENSP00000642736	NP_006874		ENST00000972677
ENSP00000642788	NP_000442		ENST00000972792
ENSP00000642757			ENST00000972699
ENSP00000518623	NP_071431	Q9HC73	ENST00000711256
ENSP00000642781			ENST00000972739
ENSP00000642756	NP_001012288		ENST00000972698
ENSP00000518605	NP_001164509		ENST00000711206
ENSP00000642747	NP_001403454		ENST00000972689
ENSP00000642748	NP_001164510		ENST00000972690
ENSP00000642761			ENST00000972718
ENSP00000516869		P63261	ENST00000707466
ENSP00000516870		P63261	ENST00000707467
ENSP00000516871	NP_001605	P63261	ENST00000707468
ENSP00000516872		P63261	ENST00000707469
ENSP00000516873		P63261	ENST00000707470
ENSP00000516874	NP_001186883	P63261	ENST00000707471
ENSP00000516875		P63261	ENST00000707472
ENSP00000516876		P63261	ENST00000707473
ENSP00000516877		P63261	ENST00000707474
ENSP00000516878			ENST00000707475
ENSP00000516879		P63261	ENST00000707479
ENSP00000516880			ENST00000707480
ENSP00000516881		P63261	ENST00000707482
ENSP00000516882		P63261	ENST00000707485
ENSP00000516883			ENST00000707486
ENSP00000516884		P63261	ENST00000707487
ENSP00000516885			ENST00000707488
ENSP00000516886		P63261	ENST00000707489
ENSP00000516887		P63261	ENST00000707490
ENSP00000516888	NP_001364377		ENST00000707491
ENSP00000516888	NP_001364377		ENST00000707491
ENSP00000516889	NP_001278253		ENST00000707492
ENSP00000516889	NP_001278253		ENST00000707492
ENSP00000518652			ENST00000711168
ENSP00000642746			ENST00000972688
ENSP00000642786	NP_004720		ENST00000972790
ENSP00000642786	NP_001164607		ENST00000972790
ENSP00000642745			ENST00000972687
ENSP00000642773			ENST00000972733
ENSP00000642814			ENST00000972952
ENSP00000642815			ENST00000972953
ENSP00000642816	NP_001164606		ENST00000972954
ENSP00000642858			ENST00000972996
ENSP00000642859			ENST00000972997
ENSP00000518591	NP_037371		ENST00000711123
ENSP00000642758			ENST00000972700
ENSP00000642867			ENST00000973005
ENSP00000642868			ENST00000973006
ENSP00000642869			ENST00000973007
ENSP00000642870			ENST00000973008
ENSP00000493792			ENST00000643843
ENSP00000642871			ENST00000973009
ENSP00000642872			ENST00000973010
ENSP00000494707	NP_001375239	Q5T4I8	ENST00000642282
ENSP00000494707	NP_001375240	Q5T4I8	ENST00000642282
ENSP00000494707	NP_001138492	Q5T4I8	ENST00000642282
ENSP00000495171		Q5T4I8	ENST00000644703
ENSP00000518643			ENST00000711151
ENSP00000493951		Q5T4I8	ENST00000647114
ENSP00000642743	NP_001116370		ENST00000972685
ENSP00000495269	NP_001341286		ENST00000646332
ENSP00000642742			ENST00000972684
ENSP00000642744	NP_002405		ENST00000972686
ENSP00000642785	NP_001308296		ENST00000972758
ENSP00000642782	NP_001308297		ENST00000972784
ENSP00000642741			ENST00000972683
ENSP00000642783			ENST00000972783
ENSP00000642740			ENST00000972682
ENSP00000642799	NP_001308298		ENST00000972937
ENSP00000496482	NP_060376	Q9NWT1	ENST00000644756
ENSP00000642800			ENST00000972938
ENSP00000642801			ENST00000972939
ENSP00000642802			ENST00000972940
ENSP00000642803			ENST00000972941
ENSP00000642804			ENST00000972942
ENSP00000642805			ENST00000972943
ENSP00000642806			ENST00000972944
ENSP00000642807			ENST00000972945
ENSP00000642808			ENST00000972946
ENSP00000642809			ENST00000972947
ENSP00000642810			ENST00000972948
ENSP00000642811			ENST00000972949
ENSP00000642812			ENST00000972950
ENSP00000642813			ENST00000972951
ENSP00000642850			ENST00000972988
ENSP00000642851			ENST00000972989
ENSP00000642852			ENST00000972990
ENSP00000495127		Q9P0S9	ENST00000642513
ENSP00000642853			ENST00000972991
ENSP00000642854	NP_001308299		ENST00000972992
ENSP00000642855			ENST00000972993
ENSP00000495742	NP_001158730	Q9P0S9	ENST00000643226
ENSP00000495742	NP_057546	Q9P0S9	ENST00000643226
ENSP00000642856			ENST00000972994
ENSP00000642857			ENST00000972995
ENSP00000642883			ENST00000973021
ENSP00000642884			ENST00000973022
ENSP00000518657	NP_001357301		ENST00000711174
ENSP00000518657	NP_001357299		ENST00000711174
ENSP00000642762			ENST00000972714
ENSP00000642769			ENST00000972724
ENSP00000642764			ENST00000972710
ENSP00000642759	NP_060860		ENST00000972701
ENSP00000642767			ENST00000972722
ENSP00000642763			ENST00000972706
ENSP00000642766			ENST00000972726
ENSP00000642770			ENST00000972727
ENSP00000642846	NP_001357300		ENST00000972984
ENSP00000642847			ENST00000972985
ENSP00000642848			ENST00000972986
ENSP00000642849			ENST00000972987
ENSP00000642885	NP_001357302		ENST00000973023
ENSP00000518610	NP_835230		ENST00000711215
ENSP00000518610	NP_001411115		ENST00000711215
ENSP00000518610	NP_001411119		ENST00000711215
ENSP00000518610	NP_001411118		ENST00000711215
ENSP00000642784			ENST00000972731
ENSP00000642821	NP_001411116		ENST00000972959
ENSP00000642822			ENST00000972960
ENSP00000642823	NP_001411121		ENST00000972961
ENSP00000495396			ENST00000645343
ENSP00000642824	NP_001411120		ENST00000972962
ENSP00000642886	NP_001411117		ENST00000973024
ENSP00000642887			ENST00000973025
ENSP00000518612	NP_002174	P26951	ENST00000711217
ENSP00000642771			ENST00000972719
ENSP00000642751			ENST00000972693
ENSP00000642836			ENST00000972974
ENSP00000642837			ENST00000972975
ENSP00000642838			ENST00000972976
ENSP00000642839			ENST00000972977
ENSP00000642840			ENST00000972978
ENSP00000494927	NP_663624	Q8N0V5	ENST00000644083
ENSP00000642841			ENST00000972979
ENSP00000642888			ENST00000973026
ENSP00000642889			ENST00000973027
ENSP00000642890	NP_001254642		ENST00000973028
ENSP00000642891			ENST00000973029
ENSP00000642892			ENST00000973030
ENSP00000495911	NP_001361676	Q8N0V5	ENST00000642698
ENSP00000642893			ENST00000973031
ENSP00000642894			ENST00000973032
ENSP00000493918	NP_001482	Q8N0V5	ENST00000643503
ENSP00000494951			ENST00000645241
ENSP00000495042	NP_663630		ENST00000644492
ENSP00000495042	NP_663630		ENST00000644492
ENSP00000518626		O43824	ENST00000711233
ENSP00000642735	NP_036359		ENST00000972676
ENSP00000642833			ENST00000972971
ENSP00000642834			ENST00000972972
ENSP00000642835			ENST00000972973
ENSP00000642845			ENST00000972983
ENSP00000642895			ENST00000973033
ENSP00000518609	NP_001627	P12236	ENST00000711212
ENSP00000642817			ENST00000972955
ENSP00000642818			ENST00000972956
ENSP00000642819			ENST00000972957
ENSP00000642862			ENST00000973000
ENSP00000642863			ENST00000973001
ENSP00000642864			ENST00000973002
ENSP00000642865			ENST00000973003
ENSP00000642866			ENST00000973004
ENSP00000642896			ENST00000973034
ENSP00000642897			ENST00000973035
ENSP00000518598	NP_001411122	O95671	ENST00000711192
ENSP00000518598	NP_004183	O95671	ENST00000711192
ENSP00000642750	NP_001166945		ENST00000972692
ENSP00000642779	NP_001411123		ENST00000972781
ENSP00000642779	NP_001166944		ENST00000972781
ENSP00000642795	NP_001411122		ENST00000972933
ENSP00000642796			ENST00000972934
ENSP00000642797			ENST00000972935
ENSP00000642798			ENST00000972936
ENSP00000642873			ENST00000973011
ENSP00000642874			ENST00000973012
ENSP00000642875			ENST00000973013
ENSP00000642876			ENST00000973014
ENSP00000642877			ENST00000973015
ENSP00000642878			ENST00000973016
ENSP00000642898			ENST00000973036
ENSP00000642899			ENST00000973037
ENSP00000642900			ENST00000973038
ENSP00000518627		P15509	ENST00000711230
ENSP00000642789	NP_001366083		ENST00000972778
ENSP00000499933			ENST00000673158
ENSP00000642754			ENST00000972696
ENSP00000642790			ENST00000972803
ENSP00000642755	NP_001366095		ENST00000972697
ENSP00000642755	NP_001155004		ENST00000972697
ENSP00000642755	NP_001366089		ENST00000972697
ENSP00000642755	NP_006131		ENST00000972697
ENSP00000642755	NP_758448		ENST00000972697
ENSP00000642755	NP_001366085		ENST00000972697
ENSP00000642768			ENST00000972703
ENSP00000642791			ENST00000972818
ENSP00000642772	NP_001155001		ENST00000972717
ENSP00000642753	NP_001155003		ENST00000972695
ENSP00000642753	NP_001366084		ENST00000972695
ENSP00000642780			ENST00000972773
ENSP00000642792	NP_001366090		ENST00000972819
ENSP00000642792	NP_001366093		ENST00000972819
ENSP00000642792	NP_001366094		ENST00000972819
ENSP00000642793	NP_001366088		ENST00000972820
ENSP00000642793	NP_001366092		ENST00000972820
ENSP00000642793	NP_001366091		ENST00000972820
ENSP00000642737	NP_758449		ENST00000972679
ENSP00000642738	NP_758452		ENST00000972680
ENSP00000642778			ENST00000972766
ENSP00000642752	NP_001366096		ENST00000972694
ENSP00000642752	NP_001366098		ENST00000972694
ENSP00000642752	NP_758450		ENST00000972694
ENSP00000642752	NP_001366097		ENST00000972694
ENSP00000500743	NP_001280668	Q19T08	ENST00000673382
ENSP00000500743	NP_001071161	Q19T08	ENST00000673382
ENSP00000500347	NP_001352126	A0A1B0GW64	ENST00000671802
ENSP00000642825			ENST00000972963
ENSP00000642826			ENST00000972964
ENSP00000642827			ENST00000972965
ENSP00000642828			ENST00000972966
ENSP00000642829	NP_001366087		ENST00000972967
ENSP00000642901			ENST00000973039
ENSP00000642902	NP_001155002		ENST00000973040
ENSP00000642902	NP_001366082		ENST00000973040
ENSP00000642903			ENST00000973041
ENSP00000642904			ENST00000973042
ENSP00000642905			ENST00000973043
ENSP00000642906			ENST00000973044
ENSP00000642907			ENST00000973045
ENSP00000518595	NP_005079		ENST00000711185
ENSP00000642777			ENST00000972741
ENSP00000642749			ENST00000972691
ENSP00000642820			ENST00000972958
ENSP00000642842			ENST00000972980
ENSP00000642843			ENST00000972981
ENSP00000642844			ENST00000972982
ENSP00000642908			ENST00000973046
ENSP00000500793	NP_938023	Q86WV6	ENST00000672102
ENSP00000642787			ENST00000711285
ENSP00000500691			ENST00000671936
ENSP00000500823		Q86WV6	ENST00000672865
ENSP00000500679	NP_001354187		ENST00000673523
ENSP00000500685		Q86WV6	ENST00000672096
ENSP00000500885	NP_001288667		ENST00000673377
ENSP00000500450			ENST00000672624
ENSP00000499985			ENST00000672611
ENSP00000520932	NP_002177		ENST00000711289
ENSP00000642739	NP_789743		ENST00000972681
ENSP00000642794			ENST00000972932
ENSP00000518619	NP_005629	P51809	ENST00000711265
ENSP00000642776			ENST00000972767
ENSP00000642734	NP_001172112		ENST00000972675
ENSP00000642775	NP_001138621		ENST00000972730
ENSP00000642830			ENST00000972968
ENSP00000642831			ENST00000972969
ENSP00000642832			ENST00000972970
ENSP00000642860			ENST00000972998
ENSP00000642861			ENST00000972999
ENSP00000642879			ENST00000973017
ENSP00000642880			ENST00000973018
ENSP00000642881			ENST00000973019
ENSP00000642882			ENST00000973020
ENSP00000473270			ENST00000602732
ENSP00000329106	NP_004669	O14599	ENST00000331070
ENSP00000372028		O14599	ENST00000382585
ENSP00000340971	NP_001001877	Q96LI6	ENST00000344884
ENSP00000372303		Q96LI6	ENST00000382852
ENSP00000306549	NP_714927	Q96LI6	ENST00000304790
ENSP00000303599	NP_001412327	Q96LI6	ENST00000307393
ENSP00000303599	NP_149099	Q96LI6	ENST00000307393
ENSP00000311166	NP_689797	Q96LI6	ENST00000309834
ENSP00000342302		Q96LI6	ENST00000338876
ENSP00000372307		Q96LI6	ENST00000382856
ENSP00000318502	NP_631960	Q8IUE0	ENST00000321217
ENSP00000453750		Q8IUE0	ENST00000559055
ENSP00000250838	NP_004816	Q9Y6F7	ENST00000250838
ENSP00000371724	NP_001002761	O14599	ENST00000382287
ENSP00000480751		O14599	ENST00000618574
ENSP00000473549			ENST00000602680
ENSP00000516954			ENST00000707665
ENSP00000516955	NP_002198	Q13797	ENST00000707666
ENSP00000516956			ENST00000707668
ENSP00000397895			ENST00000415508
ENSP00000371751			ENST00000382314
ENSP00000389300	NP_065153	Q86SG3	ENST00000449750
ENSP00000508087	NP_001375413		ENST00000682740
ENSP00000371869			ENST00000382432
ENSP00000401363			ENST00000440066
ENSP00000371733			ENST00000382296
ENSP00000489430	NP_001005375	Q86SG3	ENST00000634662
ENSP00000372319	NP_001001722	Q9Y6F7	ENST00000382867
ENSP00000372547	NP_003131	Q05066	ENST00000383070
ENSP00000250784	NP_000999	P22090	ENST00000250784
ENSP00000415317			ENST00000430575
ENSP00000284856	NP_004193	O14604	ENST00000284856
ENSP00000250825	NP_004670	O14598	ENST00000250825
ENSP00000371802	NP_065097	Q9NR90	ENST00000382365
ENSP00000324965			ENST00000315357
ENSP00000401049			ENST00000446723
ENSP00000384573	NP_004072	Q9NQZ3	ENST00000405239
ENSP00000444407	NP_001375425		ENST00000540248
ENSP00000400716			ENST00000426000
ENSP00000498344	NP_001134	Q99218	ENST00000651267
ENSP00000372505	NP_001351743	Q99218	ENST00000383036
ENSP00000328879	NP_599021	Q9BQ87	ENST00000346432
