NT_187605.1	chr15_KI270849v1_alt
GL383569.1	HSCHR18_1_CTG2_1
HG2568_PATCH	MU273370.1
KI270814.1	chr8_KI270814v1_alt
CM000668.2	chr6
GL383574.1	NW_003315963.1
HG986_PATCH	KN196472.1
GJ212130.2	NT_187326.1
HSCHR3_8_CTG2_1	NW_019805489.1
KI270707.1	NT_187362.1
HSCHR1_4_CTG32_1	NT_187521.1
KI270886.1	chr19_KI270886v1_alt
GL383572.1	NW_003315961.1
KI270521.1	chrUn_KI270521v1
KQ983257.1	NW_015495300.1
KI270514.1	NT_187257.1
HG2066_PATCH	NW_009646197.1
NT_187603.1	chr15_KI270848v1_alt
HSCHR14_3_CTG1	chr14_KI270846v1_alt
HSCHR3_4_CTG2_1	chr3_KI270780v1_alt
NT_187639.1	chr19_KI270885v1_alt
NT_187574.1	chr8_KI270819v1_alt
HSCHR16_5_CTG1	NW_013171812.1
KI270592.1	NT_187295.1
HG708_PATCH	KZ208912.1
KI270419.1	chrUn_KI270419v1
GL000221.1	NT_167215.1
GL000208.1	chr5_GL000208v1_random
HSCHR18_1_CTG2	chr18_GL383568v1_alt
KI270528.1	NT_187440.1
KI270572.1	NT_187287.1
HSCHR19KIR_HG2396_CTG3_1	NW_016107314.1
HSCHR21_5_CTG2	KI270872.1
KI270583.1	NT_187446.1
HSCHR18_ALT21_CTG2_1	chr18_KI270912v1_alt
KI270383.1	NT_187482.1
KI270810.1	chr8_KI270810v1_alt
HG2088_PATCH	KV880764.1
GL000107.2	NT_029419.13
HSCHR15_2_CTG8	NW_003315944.2
GJ211907.1	NT_187199.1
HG2095_PATCH	NW_011332688.1
KI270764.1	NT_187521.1
KZ559109.1	NW_019805496.1
GJ212072.2	NT_187281.1
HSCHR19_3_CTG3_1	NT_187620.1
GL000186.2	NT_011875.13
HSCHR19KIR_G248_BA2_HAP_CTG3_1	chr19_KI270886v1_alt
HSCHR14_7_CTG1	NT_187601.1
KI270811.1	NT_187565.1
GL383553.2	NW_003315942.2
HG545_PATCH	ML143354.1
KI270309.1	NT_187195.1
HG1309_PATCH	ML143352.1
KI270529.1	chrUn_KI270529v1
HG30_PATCH	NW_016107298.1
NT_187624.1	chr20_KI270870v1_alt
NT_187402.1	chrUn_KI270310v1
NT_187527.1	chr2_KI270776v1_alt
HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	KI270919.1
GJ211948.1	NT_187221.1
NW_003315940.1	chr12_GL383551v1_alt
NT_187553.1	chr6_KI270798v1_alt
HG2239_PATCH	NW_012132919.1
KI270501.1	NT_187254.1
HSCHR9_1_CTG7	NW_013171805.1
HSCHR12_2_CTG2_1	NW_003315941.1
GL383574.1	HSCHR19_1_CTG3_1
KI270853.1	chr16_KI270853v1_alt
HSCHRX_2_CTG12	KI270881.1
KI270733.1	NT_187388.1
KI270587.1	NT_187447.1
HG1398_PATCH	ML143362.1
HSCHR20_1_CTG2	NT_187623.1
KN196472.1	NW_009646194.1
KZ208919.1	NW_018654721.1
NT_187581.1	chr11_KI270826v1_alt
HSCHR11_1_CTG3	chr11_KI270827v1_alt
KI270533.1	NT_187266.1
HSCHR21_8_CTG1_1	NT_187628.1
HSCHR1_3_CTG3	KQ458382.1
GL383554.1	HSCHR15_1_CTG8
HSCHR2_2_CTG7	NT_187648.1
HSCHR20_1_CTG3	chr20_KI270870v1_alt
KI270402.1	NT_187209.1
HSCHR4_3_CTG12	KI270786.1
HSCHR11_1_CTG6	chr11_KI270830v1_alt
HSCHR12_9_CTG2_1	KZ559112.1
KI270734.1	NT_187389.1
GJ212194.1	KI270370.1
KI270777.1	chr3_KI270777v1_alt
KI270738.1	NT_187393.1
NT_187393.1	chr22_KI270738v1_random
KV766197.1	NW_017363818.1
KI270931.1	chr19_KI270931v1_alt
HSCHR8_1_CTG1	chr8_KI270811v1_alt
GJ212054.1	NT_187267.1
HSCHR2_1_CTG1	chr2_KI270769v1_alt
NT_187550.1	chr5_KI270793v1_alt
KI270918.1	chr19_KI270918v1_alt
GJ212036.1	KI270514.1
GL877876.1	HSCHR12_2_CTG2
KZ208916.1	NW_018654718.1
NT_187488.1	chrUn_KI270382v1
HSCHR13_1_CTG6	chr13_KI270843v1_alt
KI270811.1	chr8_KI270811v1_alt
HSCHR15_3_CTG8	NT_187605.1
HSCHR18_2_CTG1_1	chr18_GL383570v1_alt
KI270889.1	NT_187643.1
NT_187529.1	chr2_KI270774v1_alt
HSCHR2_2_CTG15	KI270893.1
GL000008.2	chr4_GL000008v2_random
HSCHR2_3_CTG7_2	KI270768.1
NT_187637.1	chr19_KI270883v1_alt
GL383553.2	HSCHR12_3_CTG2_1
NT_187518.1	chr1_KI270761v1_alt
KI270769.1	chr2_KI270769v1_alt
NT_187665.1	chr18_KI270912v1_alt
NW_003871073.1	chr11_JH159136v1_alt
KI270779.1	chr3_KI270779v1_alt
GL000024.2	NT_022184.16
HSCHR19KIR_G085_A_HAP_CTG3_1	NT_187637.1
KI270420.1	NT_187413.1
HSCHR8_7_CTG1	KI270926.1
KI270918.1	NT_187672.1
HSCHRX_1_CTG3	chrX_KI270880v1_alt
10	CM000672.2
HSCHR4_12_CTG12	KV766193.1
GL949742.1	NW_003571036.1
GJ211961.2	NT_187228.1
HSCHR21_2_CTG1_1	NW_003315968.2
HSCHR9_1_CTG3	chr9_GL383541v1_alt
KV575243.1	NW_016107297.1
HSCHR5_7_CTG1	NW_009646199.1
KI270508.1	chrUn_KI270508v1
HSCHR12_4_CTG2_1	NW_003315940.1
KI270727.1	chr15_KI270727v1_random
GJ212210.1	NT_187252.1
16	chr16
GJ212053.1	KI270533.1
GJ212193.1	NT_187360.1
NT_187391.1	chr22_KI270736v1_random
KI270893.1	NT_187647.1
GJ212117.1	NT_187297.1
KI270425.1	chrUn_KI270425v1
HSCHR19KIR_0019-4656-B_CTG3_1	NW_016107310.1
KI270724.1	NT_187379.1
GJ212163.2	NT_187344.1
NT_187485.1	chrUn_KI270392v1
GL383577.2	HSCHR20_1_CTG1
NT_187479.1	chrUn_KI270394v1
KI270478.1	NT_187245.1
KN538369.1	NW_011332696.1
HSCHR3_3_CTG2_1	chr3_KI270778v1_alt
GL000216.2	chrUn_GL000216v2
GL383550.2	chr12_GL383550v2_alt
15	CM000677.2
HSCHR17_6_CTG4	NW_003871093.1
HSCHR14_2_CTG1	NT_187599.1
GL383541.1	NW_003315930.1
KI270314.1	NT_187192.1
KI270842.1	chr13_KI270842v1_alt
GL000250.2	HSCHR6_MHC_APD_CTG1
KI270340.1	chrUn_KI270340v1
KI270878.1	chr22_KI270878v1_alt
KI270575.1	NT_187290.1
KI270852.1	chr15_KI270852v1_alt
HSCHR4_6_CTG12	KI270896.1
HSCHR8_9_CTG1	chr8_KI270822v1_alt
KQ983258.1	NW_015495301.1
HSCHR11_2_CTG1_1	KI270903.1
KI270795.1	chr5_KI270795v1_alt
CM000679.2	NC_000017.11
KI270600.1	NT_187301.1
HG2031_PATCH	MU273363.1
KV766195.1	NW_017363816.1
NT_187583.1	chr11_KI270829v1_alt
GJ211991.2	NT_187239.1
HSCHR14_9_CTG1	ML143368.1
KI270831.1	chr11_KI270831v1_alt
GL949753.2	HSCHR19LRC_PGF2_CTG3_1
KI270431.1	NT_187225.1
KI270387.1	NT_187475.1
16	NC_000016.10
NT_187590.1	chr12_KI270834v1_alt
NT_187389.1	chr22_KI270734v1_random
KI270701.1	NT_187356.1
HG2046_PATCH	KV575245.1
HSCHR18_ALT21_CTG2_1	NT_187665.1
KN538367.1	NW_011332694.1
GL383568.1	chr18_GL383568v1_alt
KI270789.1	chr4_KI270789v1_alt
GL000208.1	NT_113948.1
NC_000002.12	chr2
HG1815_PATCH	NW_018654718.1
GL000066.2	NT_008183.20
GL000016.2	NT_004487.20
KI270318.1	NT_187284.1
HSCHR19_2_CTG2	chr19_GL383575v2_alt
GJ211837.1	NT_187172.1
KI270897.1	chr5_KI270897v1_alt
NT_187462.1	chrUn_KI270335v1
ML143378.1	NW_021160024.1
KQ458385.1	NW_014040928.1
HG2266_PATCH	KV880765.1
KI270582.1	chrUn_KI270582v1
KI270822.1	NT_187577.1
18	CM000680.2
GL000139.2	NT_011295.12
GJ211967.2	NT_187232.1
NT_187405.1	chrUn_KI270312v1
GL000084.1	NT_078067.3
GJ211955.2	KI270433.1
GL383542.1	chr9_GL383542v1_alt
J01415.2	NC_012920.1
NT_187361.1	chr1_KI270706v1_random
GJ212191.2	NT_187354.1
HG2419_PATCH	NW_018654716.1
HSCHR19_3_CTG2	chr19_GL383576v1_alt
NT_187683.1	chr19_KI270929v1_alt
GJ212069.1	NT_187278.1
HSCHR4_1_CTG6	chr4_GL383528v1_alt
GL000115.2	NT_024498.13
HSCHR22_1_CTG7	KI270879.1
HSCHR2_3_CTG15	KI270776.1
KI270703.1	NT_187358.1
KI270801.1	chr6_KI270801v1_alt
KI270859.1	NT_187616.1
GL000104.2	NT_033899.9
HSCHR5_3_CTG1	NT_187547.1
HSCHR19KIR_RSH_BA2_HAP_CTG3_1	NT_187668.1
GL000006.2	NT_032977.10
GJ212202.1	NT_187173.1
KI270761.1	chr1_KI270761v1_alt
NT_187666.1	chr18_KI270911v1_alt
HSCHR15_6_CTG8	KQ031389.1
GL000257.2	NT_167250.2
10	NC_000010.11
HSCHR22_1_CTG6	chr22_KI270878v1_alt
KI270804.1	chr7_KI270804v1_alt
KI270927.1	chr11_KI270927v1_alt
NT_187477.1	chrUn_KI270396v1
HSCHR3_6_CTG3	KI270935.1
HG2236_PATCH	KV766192.1
KI270634.1	NT_187328.1
HG2494_PATCH	MU273341.1
CM000675.2	chr13
HSCHR12_8_CTG2_1	NW_018654720.1
HSCHR22_3_CTG1	chr22_KI270928v1_alt
GL383582.2	HSCHR22_1_CTG1
KI270924.1	NT_187678.1
KI270799.1	NT_187554.1
GL383540.1	HSCHR9_1_CTG2
HG2116_PATCH	NW_013171808.1
KI270405.1	NT_187212.1
KI270416.1	NT_187219.1
GL000106.2	NT_009714.18
KI270331.1	NT_187182.1
HSCHR19KIR_7191059-2_CTG3_1	KV575259.1
GJ211906.2	KI270367.1
KI270932.1	NT_187686.1
CM000673.2	chr11
HSCHR4_11_CTG12	NW_015495301.1
KZ559110.1	NW_019805497.1
KI270746.1	chrUn_KI270746v1
HSCHR3_6_CTG2_1	KZ559105.1
KN538371.1	NW_011332698.1
NT_187580.1	chr10_KI270825v1_alt
GL000093.2	NT_008705.17
HSCHR16_1_CTG1	chr16_KI270853v1_alt
HG2213_PATCH	NW_013171814.1
HG1532_PATCH	MU273398.1
NC_000023.11	X
KI270418.1	NT_187412.1
KI270818.1	chr8_KI270818v1_alt
HSCHR2_4_CTG1	chr2_KI270774v1_alt
HG410_PATCH	MU273389.1
KI270757.1	chrUn_KI270757v1
KZ559104.1	NW_019805491.1
KI270588.1	NT_187455.1
HG2114_PATCH	KZ559109.1
HSCHR2_1_CTG7	chr2_KI270772v1_alt
KI270801.1	NT_187556.1
HSCHR20_1_CTG4	NT_187625.1
KI270738.1	chr22_KI270738v1_random
HSCHR2_2_CTG15	NT_187647.1
NT_187552.1	chr6_KI270797v1_alt
CM000683.2	chr21
GL000255.2	NT_167248.2
HSCHR19KIR_ABC08_AB_HAP_T_P_CTG3_1	chr19_KI270919v1_alt
KI270882.1	NT_187636.1
JH159137.1	chr11_JH159137v1_alt
GJ211969.2	KI270447.1
HG2526_HG2573_PATCH	MU273373.1
NT_187456.1	chrUn_KI270593v1
NT_187445.1	chrUn_KI270548v1
HSCHR12_5_CTG2_1	chr12_KI270833v1_alt
KI270578.1	NT_187292.1
GJ212093.1	NT_187288.1
HG926_PATCH	NW_017852933.1
KI270541.1	NT_187272.1
NT_187536.1	chr3_KI270778v1_alt
HSCHR12_1_CTG1	NW_003571049.1
6	NC_000006.12
HSCHR7_3_CTG1	KZ559106.1
KI270470.1	NT_187240.1
GJ212130.2	KI270632.1
ML143374.1	NW_021160020.1
KI270819.1	NT_187574.1
GJ212128.2	KI270630.1
HSCHR7_1_CTG4_4	NT_187559.1
KI270515.1	chrUn_KI270515v1
KI270366.1	chrUn_KI270366v1
HSCHR6_MHC_MCF_CTG1	NT_167247.2
HSCHR19KIR_ABC08_A1_HAP_CTG3_1	NT_187671.1
HG2114_PATCH	NW_019805496.1
NT_113888.1	chr14_GL000194v1_random
NT_187406.1	chrUn_KI270311v1
NT_187570.1	chr8_KI270813v1_alt
HSCHR2_4_CTG1	NT_187529.1
HSCHR19LRC_LRC_T_CTG3_1	chr19_GL949751v2_alt
GL000105.2	NT_009759.17
KI270876.1	chr22_KI270876v1_alt
NT_187424.1	chrUn_KI270435v1
GJ212124.2	KI270626.1
HSCHR18_ALT2_CTG2_1	chr18_KI270911v1_alt
HSCHR13_1_CTG6	KI270843.1
KI270538.1	chrUn_KI270538v1
HSCHR19LRC_PGF1_CTG3_1	NW_003571060.1
HG2512_PATCH	ML143380.1
GL000064.2	NT_167187.2
KV575250.1	NW_016107304.1
KI270319.1	NT_187174.1
HSCHR11_1_CTG1_2	NW_011332695.1
NT_187376.1	chr11_KI270721v1_random
KI270589.1	chrUn_KI270589v1
KI270379.1	NT_187472.1
HSCHR19_2_CTG3_1	KI270866.1
KI270868.1	chr19_KI270868v1_alt
KN196483.1	NW_009646205.1
KI270715.1	chr2_KI270715v1_random
NT_187403.1	chrUn_KI270316v1
NT_187668.1	chr19_KI270914v1_alt
KI270780.1	NT_187537.1
GL000170.2	NT_028405.13
15	chr15
GL000250.2	chr6_GL000250v2_alt
KV766198.1	NW_017363819.1
GL383528.1	NW_003315915.1
NW_003315905.1	chr1_GL383518v1_alt
HSCHR19KIR_FH08_BAX_HAP_CTG3_1	KI270930.1
HSCHR21_6_CTG1_1	NT_187627.1
HSCHR4_8_CTG12	NW_013171800.1
CM000684.2	NC_000022.11
NT_187386.1	chr22_KI270731v1_random
HSCHR12_7_CTG2_1	chr12_KI270836v1_alt
KI270712.1	chr1_KI270712v1_random
GL383526.1	chr3_GL383526v1_alt
HSCHR15_1_CTG8	NW_003315943.1
HSCHR3_8_CTG3	KI270937.1
Y	chrY
GL000049.2	NT_034772.7
KI270883.1	chr19_KI270883v1_alt
NT_187528.1	chr2_KI270768v1_alt
NT_187492.1	chrUn_KI270373v1
HSCHR19KIR_FH15_A_HAP_CTG3_1	KI270933.1
KI270536.1	NT_187269.1
NT_187399.1	chrUn_KI270305v1
HSCHR3_1_CTG1	NW_003871060.2
NW_003315915.1	chr4_GL383528v1_alt
KI270595.1	NT_187296.1
NT_187474.1	chrUn_KI270390v1
KI270902.1	NT_187656.1
ML143358.1	NW_021160004.1
KQ458383.1	NW_014040926.1
KN196473.1	NW_009646195.1
HSCHR19KIR_FH15_B_HAP_CTG3_1	chr19_KI270882v1_alt
KI270607.1	NT_187308.1
HSCHR22_2_CTG1	NW_004504305.1
HSCHR6_1_CTG7	chr6_KI270800v1_alt
KQ090019.1	NW_013171805.1
KN196475.1	NW_009646197.1
HSCHR6_1_CTG3	NW_004166862.2
HSCHR17_13_CTG4	MU273378.1
GL383522.1	NW_003315909.1
HSCHR7_3_CTG6	NT_187564.1
HSCHR1_1_CTG3	NT_187515.1
NT_167218.1	chrUn_GL000224v1
KI270511.1	NT_187435.1
NT_187587.1	chr12_KI270835v1_alt
HSCHR14_1_CTG1	KI270844.1
NT_187483.1	chrUn_KI270393v1
HG2023_PATCH	KQ983257.1
HSCHR4_3_CTG12	NT_187543.1
HG2244_HG2245_PATCH	NW_011332694.1
KI270867.1	chr19_KI270867v1_alt
HSCHR22_1_CTG1	chr22_GL383582v2_alt
GJ211954.1	NT_187226.1
GJ212042.1	KI270520.1
GL383519.1	HSCHR1_2_CTG31
GL000194.1	NT_113888.1
KI270935.1	NT_187689.1
KI270340.1	NT_187464.1
GL000050.2	NT_029289.12
GJ211991.2	KI270469.1
GL000140.2	NT_011109.17
HSCHR17_3_CTG2	KI270910.1
KI270618.1	NT_187319.1
GJ212062.1	KI270542.1
HSCHR22_1_CTG5	NT_187631.1
KI270586.1	NT_187294.1
12	CM000674.2
KN538363.1	NW_011332690.1
HSCHR7_1_CTG1	chr7_KI270804v1_alt
HG2509_PATCH	ML143366.1
NT_187567.1	chr8_KI270810v1_alt
GJ212107.1	NT_187294.1
NT_187455.1	chrUn_KI270588v1
NT_187634.1	chrX_KI270880v1_alt
KI270925.1	chr4_KI270925v1_alt
GJ212067.1	NT_187277.1
HG2066_PATCH	KN196475.1
HG2030_PATCH	NW_009646201.1
HG1466_PATCH	ML143385.1
HG1485_PATCH	NW_021160024.1
KI270440.1	NT_187229.1
HSCHR8_6_CTG1	chr8_KI270901v1_alt
KI270721.1	chr11_KI270721v1_random
KI270908.1	NT_187663.1
KI270822.1	chr8_KI270822v1_alt
HSCHR16_2_CTG3_1	NW_003315946.1
HG2412_PATCH	KZ559115.1
KI270434.1	NT_187241.1
HSCHR19KIR_FH05_A_HAP_CTG3_1	chr19_KI270920v1_alt
KI866535.1	NT_187237.1
CM000670.2	NC_000008.11
HSCHR19KIR_T7526_A_HAP_CTG3_1	chr19_KI270915v1_alt
HSCHR21_8_CTG1_1	KI270874.1
HG1342_HG2282_PATCH	NW_012132914.1
HSCHR17_2_CTG4	NW_003315954.1
GJ211998.2	KI270476.1
GL000022.2	NT_005334.17
KQ090026.1	NW_013171812.1
GL949751.2	chr19_GL949751v2_alt
KI270748.1	chrUn_KI270748v1
KI270752.1	NT_187507.1
HSCHR3_4_CTG1	KZ208909.1
KI270750.1	NT_187505.1
KI270322.1	NT_187400.1
HG2267_PATCH	MU273362.1
HSCHR7_2_CTG4_4	chr7_KI270809v1_alt
HSCHRX_2_CTG3	NT_187667.1
ML143347.1	NW_021159993.1
HSCHR6_MHC_DBB_CTG1	chr6_GL000252v2_alt
HSCHR10_1_CTG4	NT_187580.1
KZ559103.1	NW_019805490.1
KI270420.1	chrUn_KI270420v1
GL877875.1	NW_003571049.1
GL383583.2	HSCHR22_1_CTG2
HG2116_PATCH	KQ090022.1
GL877875.1	HSCHR12_1_CTG1
15	NC_000015.10
HSCHR12_1_CTG2_1	NW_003315939.2
HSCHR16_4_CTG1	NT_187609.1
KV575252.1	NW_016107306.1
KI270442.1	chrUn_KI270442v1
KI866538.1	NT_187285.1
HSCHR3_2_CTG3	chr3_KI270782v1_alt
KI270770.1	NT_187525.1
NT_187573.1	chr8_KI270817v1_alt
GL383579.2	NW_003315968.2
GJ212062.1	NT_187273.1
ML143371.1	NW_021160017.1
KI270745.1	NT_187500.1
GL000054.2	NT_025741.16
GJ211904.2	KI270365.1
HG1524_PATCH	ML143365.1
KI270744.1	NT_187499.1
NC_000021.9	chr21
KI270854.1	chr16_KI270854v1_alt
HSCHR1_3_CTG3	NW_014040925.1
HSCHR11_2_CTG1	NT_187656.1
GL383568.1	NW_003315957.1
KI270933.1	NT_187687.1
HSCHR11_1_CTG8	NT_187586.1
HSCHR17_1_CTG9	KI270860.1
HSCHR1_2_CTG32_1	chr1_KI270761v1_alt
KI270346.1	NT_187189.1
KI270926.1	chr8_KI270926v1_alt
HSCHR19KIR_G085_BA1_HAP_CTG3_1	chr19_KI270884v1_alt
HG2476_PATCH	MU273353.1
GL000163.2	NT_167197.2
KI270670.1	NT_187343.1
KI270853.1	NT_187607.1
HG545_PATCH	NW_021160000.1
NT_187362.1	chr1_KI270707v1_random
KI270820.1	chr8_KI270820v1_alt
GJ211906.2	NT_187198.1
HSCHR19KIR_ABC08_AB_HAP_C_P_CTG3_1	KI270918.1
KI270841.1	chr13_KI270841v1_alt
HSCHR6_1_CTG5	chr6_KI270798v1_alt
HSCHR5_3_CTG5	NT_187652.1
HG1531_PATCH	KZ208923.1
HSCHR19KIR_CA04_CTG3_1	KV575257.1
HSCHR1_1_CTG31	NW_003315905.1
NT_187416.1	chrUn_KI270422v1
HSCHR18_ALT2_CTG2_1	NT_187666.1
NT_167248.2	chr6_GL000255v2_alt
KI270785.1	chr4_KI270785v1_alt
HG2239_PATCH	KQ031388.1
KI270761.1	NT_187518.1
NT_187377.1	chr14_KI270722v1_random
GL949751.2	HSCHR19LRC_LRC_T_CTG3_1
KI270725.1	chr14_KI270725v1_random
KI270728.1	chr16_KI270728v1_random
KI270831.1	NT_187585.1
HSCHR19KIR_RSH_BA2_HAP_CTG3_1	KI270914.1
HSCHR11_1_CTG3	NT_187582.1
HG2246_HG2248_HG2276_PATCH	NW_021160007.1
KI270364.1	chrUn_KI270364v1
KI270321.1	NT_187175.1
GJ212132.2	KI270634.1
KI270522.1	chrUn_KI270522v1
HG2063_PATCH	KQ759760.1
KI270426.1	NT_187221.1
HG2263_PATCH	KZ559113.1
KI270656.1	NT_187333.1
HSCHR11_2_CTG8	KZ559110.1
KI270821.1	chr8_KI270821v1_alt
HG1521_PATCH	ML143356.1
HG460_PATCH	NW_019805487.1
HSCHR19KIR_FH06_A_HAP_CTG3_1	NT_187676.1
KN538370.1	NW_011332697.1
ML143365.1	NW_021160011.1
GL383580.2	chr21_GL383580v2_alt
HSCHR19KIR_0010-5217-AB_CTG3_1	NW_016107308.1
ML143377.1	NW_021160023.1
3	chr3
GL000225.1	NT_167219.1
GL383520.2	HSCHR1_3_CTG31
NT_187525.1	chr2_KI270770v1_alt
KZ208924.1	NW_018654726.1
GL383583.2	NW_003315972.2
HG2068_PATCH	KV880767.1
KI270445.1	NT_187232.1
CM000681.2	chr19
HSCHR11_1_CTG7	KI270831.1
HSCHR8_5_CTG7	NT_187574.1
KI270548.1	chrUn_KI270548v1
GL383533.1	chr6_GL383533v1_alt
NT_187530.1	chr2_KI270771v1_alt
KV575254.1	NW_016107308.1
KN538368.1	NW_011332695.1
HSCHR19_4_CTG3_1	KI270938.1
HSCHR1_3_CTG32_1	KI270763.1
KI270932.1	chr19_KI270932v1_alt
GL383527.1	chr4_GL383527v1_alt
HSCHR1_2_CTG3	KI270766.1
GL383556.1	NW_003315945.1
GL000258.2	NT_167251.2
GJ211884.1	NT_187188.1
KQ090027.1	NW_013171813.1
KI270886.1	NT_187640.1
KI270715.1	NT_187370.1
GL877876.1	NW_003571050.1
GL000199.1	NT_113916.2
GJ212005.2	NT_187248.1
KI270785.1	NT_187542.1
HSCHR3_2_CTG3	NT_187534.1
KI270723.1	chr14_KI270723v1_random
GJ211954.1	KI270432.1
HSCHR8_3_CTG1	chr8_KI270813v1_alt
KN196474.1	NW_009646196.1
KI866533.1	NT_187193.1
KI270765.1	chr1_KI270765v1_alt
GJ212135.2	KI270637.1
HSCHR4_1_CTG8_1	chr4_KI270787v1_alt
HSCHR9_1_CTG4	chr9_GL383542v1_alt
NT_187383.1	chr16_KI270728v1_random
KI270809.1	NT_187561.1
KI270911.1	NT_187666.1
KI270412.1	NT_187408.1
HSCHR8_1_CTG7	chr8_KI270810v1_alt
HSCHR1_2_CTG32_1	KI270761.1
HG1531_PATCH	NW_018654725.1
KI270324.1	NT_187177.1
GL383570.1	HSCHR18_2_CTG1_1
HSCHR19KIR_HG2396_CTG3_1	KV575260.1
KI270775.1	chr2_KI270775v1_alt
KI270393.1	chrUn_KI270393v1
HSCHR21_5_CTG2	NT_187626.1
HSCHR18_1_CTG2_1	NW_003315958.1
HG1309_PATCH	NW_021159998.1
HSCHR19KIR_502960008-2_CTG3_1	KV575252.1
GL383580.2	NW_003315969.2
HSCHR3_5_CTG2_1	NT_187538.1
KI270806.1	NT_187559.1
HG1206_PATCH	MU273366.1
HG2216_PATCH	KN196483.1
GL000254.2	NT_167247.2
KI270657.1	NT_187334.1
NT_187460.1	chrUn_KI270334v1
HG2158_PATCH	MU273364.1
HSCHR3_5_CTG1	ML143343.1
NT_187412.1	chrUn_KI270418v1
KI270898.1	NT_187652.1
GJ212207.1	NT_187331.1
KI270348.1	NT_187191.1
KI270374.1	NT_187490.1
KI270900.1	chr8_KI270900v1_alt
HSCHR19KIR_GRC212_AB_HAP_CTG3_1	KI270887.1
GJ211867.1	NT_187181.1
HG2569_PATCH	MU273385.1
NC_000006.12	chr6
GL000063.2	NT_077531.5
KI270518.1	NT_187429.1
KN196477.1	NW_009646199.1
HSCHR19LRC_LRC_J_CTG3_1	chr19_GL949749v2_alt
NT_187670.1	chr19_KI270916v1_alt
HSCHR19KIR_GRC212_BA1_HAP_CTG3_1	chr19_KI270888v1_alt
KI270395.1	chrUn_KI270395v1
HSCHR5_1_CTG5	chr5_GL383531v1_alt
HG1708_PATCH	NW_017363816.1
KZ208907.1	NW_018654709.1
KI270468.1	NT_187426.1
HG2510_PATCH	ML143367.1
GL000256.2	HSCHR6_MHC_SSTO_CTG1
KI270790.1	chr4_KI270790v1_alt
HSCHR19KIR_T7526_A_HAP_CTG3_1	KI270915.1
HSCHRX_1_CTG14	MU273395.1
KI270540.1	NT_187271.1
HG1815_PATCH	KZ208916.1
KI270380.1	NT_187203.1
ML143348.1	NW_021159994.1
NW_003571056.2	chr19_GL949748v2_alt
KI270310.1	NT_187402.1
GJ212046.1	KI270526.1
