sampleID	hgncSymbol	seqnames	start	end	width	strand	type	pValue	padjust	psiValue	deltaPsi	counts	totalCounts	meanCounts	meanTotalCounts	nonsplitCounts	nonsplitProportion	nonsplitProportion_99quantile	annotatedJunction	pValueGene	padjustGene	pValueGene_Sample_specific_genes	pValueGene_Test_subset	padjustGene_Sample_specific_genes	padjustGene_Test_subset	HPO_label_overlap	HPO_id_overlap	Ngenes_per_pheno	Nphenos_gene	potentialImpact	causesFrameshift	UTR_overlap	blacklist
HG00096	URB1	chr21	33705729	33706471	743	-	jaccard	0.0099915	1	0.72	-0.23	13	18	25.7	28	5	0.28	0.26	both	0.15986	1	NA	0.15986	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00096	WRB	chr21	40763763	40765091	1329	+	jaccard	0.42383	1	0.9	0.06	37	41	36.3	42.5	4	0.1	0.2	both	1	1	NA	1	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	5'-UTR	FALSE
HG00096	WRB-SH3BGR	chr21	40763763	40765091	1329	+	jaccard	0.42383	1	0.9	0.06	37	41	36.3	42.5	4	0.1	0.2	both	1	1	NA	1	NA	1	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	5'-UTR	FALSE
HG00103	AP000311.1	chr21	35286805	35288031	1227	-	jaccard	0.42288	1	0.53	0.15	20	38	37.2	57.4	18	0.47	0.75	both	0.42288	1	0.42288	0.42288	NA	1	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00103	AP000317.2	chr21	35497781	35514707	16927	+	jaccard	0.068225	1	0.84	-0.12	16	19	37.9	39.5	0	0	0	both	0.13645	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00103	AP001469.3	chr21	47671597	47674305	2709	-	jaccard	0.48301	1	0.71	-0.06	29	41	40.9	50.5	12	0.29	0.33	both	0.48301	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00103	APP	chr21	27425665	27462258	36594	-	jaccard	0.15639	1	0.81	-0.08	38	47	70.6	78	9	0.19	0.19	both	1	1	NA	1	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00103	ATP5PO	chr21	35286805	35288031	1227	-	jaccard	0.42288	1	0.53	0.15	20	38	37.2	57.4	18	0.47	0.75	both	0.42288	1	0.42288	0.42288	1	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00103	CLDN14	chr21	37898826	37914862	16037	-	jaccard	0.47546	1	0.33	-0.12	6	18	11.5	20.1	6	0.33	0.33	both	0.47546	1	NA	0.47546	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00103	FP565260.2	chr21	45560225	45563086	2862	+	jaccard	0.12028	1	0.45	-0.11	75	166	121	188.3	78	0.47	0.46	both	0.60142	1	NA	0.60142	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	3'-UTR	FALSE
HG00103	GATD3A	chr21	45560225	45563086	2862	+	jaccard	0.12028	1	0.45	-0.11	75	166	121	188.3	78	0.47	0.46	both	0.60142	1	NA	0.60142	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	3'-UTR	FALSE
HG00103	GATD3B	chr21	45560225	45563086	2862	+	jaccard	0.12028	1	0.45	-0.11	75	166	121	188.3	78	0.47	0.46	both	0.60142	1	NA	0.60142	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	3'-UTR	FALSE
HG00103	HSPA13	chr21	15746606	15747972	1367	-	jaccard	0.4028	1	0.76	-0.09	16	21	37	41.3	5	0.24	0.23	both	1	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00103	MCM3AP	chr21	47679006	47680706	1701	-	jaccard	0.22498	1	0.96	0.11	23	24	40.3	41.6	1	0.04	0.08	both	1	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00103	MRPS6	chr21	35497781	35514707	16927	+	jaccard	0.068225	1	0.84	-0.12	16	19	37.9	39.5	0	0	0	both	0.13645	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00103	PIGP	chr21	38439681	38441851	2171	-	jaccard	0.043096	1	0.83	-0.09	98	118	83.2	93.9	16	0.14	0.13	both	0.17238	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00103	PKNOX1	chr21	44430335	44433177	2843	+	jaccard	0.79283	1	0.91	-0.05	10	11	20	20.4	1	0.09	0.09	both	1	1	NA	1	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00103	POFUT2	chr21	46685551	46687504	1954	-	jaccard	0.36826	1	0.63	0.14	12	19	13.8	23.3	6	0.32	0.35	both	1	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	3'-UTR	FALSE
HG00103	PRMT2	chr21	48056903	48063446	6544	+	jaccard	0.21519	1	0.8	-0.06	56	70	78.6	91.3	13	0.19	0.19	both	1	1	NA	1	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00103	RN7SL109P	chr21	33713834	33716878	3045	-	jaccard	0.69106	1	0.82	0.11	9	11	36.2	37.9	2	0.18	0.17	both	0.69106	1	NA	0.69106	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00103	SLC5A3	chr21	35446046	35497640	51595	+	jaccard	0.33772	1	0.63	-0.06	107	170	122.2	161.7	19	0.11	0.11	both	0.33772	1	NA	0.33772	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00103	SPATC1L	chr21	47581982	47588221	6240	-	jaccard	0.16348	1	0.93	0.18	27	29	24.9	26.6	2	0.07	0.13	both	0.32697	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00103	TEKT4P2	chr21	9908433	9909046	614	-	jaccard	0.28681	1	0.33	0.11	14	43	15.4	44.7	24	0.56	0.73	both	0.86044	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	TRUE
HG00103	U2AF1	chr21	44514899	44515547	649	-	jaccard	0.049885	1	0.84	-0.06	435	516	749.6	813.3	81	0.16	0.15	both	0.29931	1	NA	0.29931	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	3'-UTR	FALSE
HG00103	U2AF1L5	chr21	44514899	44515547	649	-	jaccard	0.049885	1	0.84	-0.06	435	516	749.6	813.3	81	0.16	0.15	both	0.29931	1	NA	0.29931	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	3'-UTR	FALSE
HG00103	URB1	chr21	33689377	33689986	610	-	jaccard	0.23036	1	0.84	-0.08	26	31	36.2	37.8	5	0.16	0.15	both	1	1	NA	1	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00103	VPS26C	chr21	38597928	38599954	2027	-	jaccard	0.036002	1	0.82	-0.1	51	62	86.6	90.5	8	0.13	0.12	both	0.18001	1	NA	0.18001	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00103	WRB	chr21	40752413	40762623	10211	+	jaccard	0.63232	1	0.72	0.11	13	18	17.9	34	0	0	0.1	both	1	1	1	1	1	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	5'-UTR	FALSE
HG00103	WRB-SH3BGR	chr21	40752413	40762623	10211	+	jaccard	0.63232	1	0.72	0.11	13	18	17.9	34	0	0	0.1	both	1	1	1	1	NA	1	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	5'-UTR	FALSE
HG00106	AP000295.1	chr21	34617380	34619022	1643	+	jaccard	0.080204	1	0.98	0.06	131	134	132.7	147.1	2	0.01	0.09	both	1	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00106	AP000311.1	chr21	35286805	35288031	1227	-	jaccard	0.12701	1	0.84	0.25	65	77	37.2	57.4	11	0.14	0.75	both	0.12701	1	NA	0.12701	NA	1	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00106	AP001469.3	chr21	47671597	47674305	2709	-	jaccard	0.50305	1	0.75	-0.06	27	36	40.9	50.5	9	0.25	0.33	both	0.50305	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00106	APP	chr21	27354791	27369674	14884	-	jaccard	0.064657	1	0.19	0.07	24	129	13.7	115.1	2	0.02	0.08	start	0.96985	1	NA	0.96985	NA	1	NA	NA	NA	NA	exonElongation	unlikely	no	FALSE
HG00106	ATP5PO	chr21	35286805	35288031	1227	-	jaccard	0.12701	1	0.84	0.25	65	77	37.2	57.4	11	0.14	0.75	both	0.12701	1	NA	0.12701	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00106	BTG3	chr21	18981471	18985016	3546	-	jaccard	0.4334	1	0.67	0.12	35	52	31.1	52.8	13	0.25	0.76	both	1	1	NA	1	NA	1	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	5'-UTR	FALSE
HG00106	CLDN14	chr21	37898826	37914862	16037	-	jaccard	0.064339	1	0.73	0.19	27	37	11.5	20.1	4	0.11	0.33	both	0.064339	1	NA	0.064339	NA	1	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	5'-UTR	FALSE
HG00106	CR392039.1_2	chr21	9909278	9966321	57044	-	jaccard	0.49074	1	0.4	-0.08	16	40	14.6	30.2	3	0.07	0.21	both	0.49074	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	TRUE
HG00106	CR392039.2_2	chr21	9909278	9966321	57044	-	jaccard	0.49074	1	0.4	-0.08	16	40	14.6	30.2	3	0.07	0.21	both	0.49074	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	TRUE
HG00106	CR392039.4	chr21	9909278	9966321	57044	-	jaccard	0.49074	1	0.4	-0.08	16	40	14.6	30.2	3	0.07	0.21	both	0.49074	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	TRUE
HG00106	HSPA13	chr21	15748141	15750519	2379	-	jaccard	0.33076	1	0.81	-0.09	17	21	37.9	41.7	2	0.1	0.12	both	1	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00106	IFNAR2	chr21	34617380	34619022	1643	+	jaccard	0.080204	1	0.98	0.06	131	134	132.7	147.1	2	0.01	0.09	both	0.64163	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00106	PIGP	chr21	38444838	38445299	462	-	jaccard	0.054001	1	0.76	0.17	55	72	35.3	59.1	13	0.18	0.47	both	0.216	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	5'-UTR	FALSE
HG00106	PKNOX1	chr21	44438341	44441412	3072	+	jaccard	0.741	1	1	0.07	14	14	20	21.8	0	0	0.15	both	1	1	NA	1	NA	1	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	3'-UTR	FALSE
HG00106	POFUT2	chr21	46697058	46698017	960	-	jaccard	0.56457	1	0.79	-0.08	11	14	14.6	17.9	3	0.21	0.31	both	1	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00106	SLC19A1	chr21	46952063	46957684	5622	-	jaccard	0.23394	1	0.64	0.22	7	11	13.4	32.2	0	0	0.25	both	0.70182	1	NA	0.70182	NA	1	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00106	TEKT4P2	chr21	9908433	9909046	614	-	jaccard	0.47893	1	0.26	-0.08	18	68	15.4	44.7	49	0.72	0.73	both	1	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	TRUE
HG00106	VPS26C	chr21	38600108	38600523	416	-	jaccard	0.071863	1	0.79	-0.12	34	43	43.7	48.4	6	0.14	0.13	both	0.35931	1	NA	0.35931	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00106	WRB	chr21	40752413	40762623	10211	+	jaccard	0.34524	1	0.41	-0.14	13	32	17.9	34	1	0.03	0.1	both	1	1	NA	1	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00106	WRB-SH3BGR	chr21	40752413	40762623	10211	+	jaccard	0.34524	1	0.41	-0.14	13	32	17.9	34	1	0.03	0.1	both	1	1	NA	1	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00111	AP000295.1	chr21	34638820	34640698	1879	+	jaccard	0.037712	1	0.8	-0.13	28	35	45.6	50	1	0.03	0.14	both	0.49025	1	NA	0.49025	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	3'-UTR	FALSE
HG00111	AP000311.1	chr21	35286805	35288031	1227	-	jaccard	0.84734	1	0.73	0.05	51	70	37.2	57.4	18	0.26	0.75	both	0.84734	1	NA	0.84734	NA	1	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00111	AP000317.2	chr21	35446046	35497640	51595	+	jaccard	0.40837	1	0.83	0.05	123	149	122.2	161.7	3	0.02	0.11	both	0.81675	1	NA	0.81675	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	5'-UTR	FALSE
HG00111	ATP5PO	chr21	35286805	35288031	1227	-	jaccard	0.84734	1	0.73	0.05	51	70	37.2	57.4	18	0.26	0.75	both	0.84734	1	NA	0.84734	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	no	FALSE
HG00111	BTG3	chr21	18977316	18981289	3974	-	jaccard	0.040621	1	0.86	-0.07	79	92	88.5	96.8	10	0.11	0.12	both	0.16248	1	NA	0.16248	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00111	CR392039.1_2	chr21	9909278	9966321	57044	-	jaccard	0.30989	1	0.36	-0.14	9	25	14.6	30.2	2	0.08	0.21	both	0.30989	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	TRUE
HG00111	CR392039.2_2	chr21	9909278	9966321	57044	-	jaccard	0.30989	1	0.36	-0.14	9	25	14.6	30.2	2	0.08	0.21	both	0.30989	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	TRUE
HG00111	CR392039.4	chr21	9909278	9966321	57044	-	jaccard	0.30989	1	0.36	-0.14	9	25	14.6	30.2	2	0.08	0.21	both	0.30989	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	TRUE
HG00111	FP565260.2	chr21	45554037	45555941	1905	+	jaccard	0.044703	1	0.89	-0.07	135	152	149.3	157.6	15	0.1	0.1	both	0.22351	1	NA	0.22351	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00111	GATD3A	chr21	45554037	45555941	1905	+	jaccard	0.044703	1	0.89	-0.07	135	152	149.3	157.6	15	0.1	0.1	both	0.22351	1	NA	0.22351	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00111	GATD3B	chr21	45554037	45555941	1905	+	jaccard	0.044703	1	0.89	-0.07	135	152	149.3	157.6	15	0.1	0.1	both	0.22351	1	NA	0.22351	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00111	HSPA13	chr21	15750734	15753523	2790	-	jaccard	0.094639	1	0.75	-0.16	12	16	33.2	37	4	0.25	0.27	both	0.37856	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00111	IFNAR2	chr21	34633033	34634865	1833	+	jaccard	0.054228	1	0.66	0.2	68	103	50.9	112.8	4	0.04	0.15	both	0.43383	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	3'-UTR	FALSE
HG00111	IL10RB	chr21	34638820	34640698	1879	+	jaccard	0.037712	1	0.8	-0.13	28	35	45.6	50	1	0.03	0.14	both	0.18856	1	NA	0.18856	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	3'-UTR	FALSE
HG00111	MCM3AP	chr21	47660932	47662715	1784	-	jaccard	0.22605	1	0.88	-0.05	135	153	100.4	111.5	18	0.12	0.18	both	1	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00111	MRPS6	chr21	35446046	35497640	51595	+	jaccard	0.40837	1	0.83	0.05	123	149	122.2	161.7	3	0.02	0.11	both	0.81675	1	NA	0.81675	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	5'-UTR	FALSE
HG00111	PIGP	chr21	38441925	38444733	2809	-	jaccard	0.12254	1	0.83	0.11	86	104	65.5	92.8	1	0.01	0.12	both	0.49017	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	5'-UTR	FALSE
HG00111	PKNOX1	chr21	44441542	44444980	3439	+	jaccard	0.10975	1	0.89	-0.09	16	18	19.3	19.9	2	0.11	0.11	both	0.43899	1	NA	0.43899	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	3'-UTR	FALSE
HG00111	POFUT2	chr21	46685551	46687504	1954	-	jaccard	0.26175	1	0.5	-0.13	15	30	13.8	23.3	10	0.33	0.35	both	0.78524	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	3'-UTR	FALSE
HG00111	PRMT2	chr21	48081849	48083294	1446	+	jaccard	0.12535	1	0.79	-0.11	27	34	22.9	26.6	3	0.09	0.14	both	1	1	NA	1	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00111	SLC5A3	chr21	35446046	35497640	51595	+	jaccard	0.40837	1	0.83	0.05	123	149	122.2	161.7	3	0.02	0.11	both	0.40837	1	NA	0.40837	NA	1	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	5'-UTR	FALSE
HG00111	SPATC1L	chr21	47588573	47604269	15697	-	jaccard	0.1135	1	0.73	-0.13	35	48	41.3	49.7	12	0.25	0.25	both	0.227	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00111	TEKT4P2	chr21	9909278	9966321	57044	-	jaccard	0.30989	1	0.36	-0.14	9	25	14.6	30.2	2	0.08	0.21	both	0.92966	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	TRUE
HG00111	URB1	chr21	33727875	33729845	1971	-	jaccard	0.11253	1	0.75	-0.17	9	12	20.9	22.8	3	0.25	0.24	both	1	1	NA	1	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00111	VPS26C	chr21	38604753	38605662	910	-	jaccard	0.056915	1	0.8	-0.08	60	75	85.7	97.9	5	0.07	0.13	both	0.28458	1	NA	0.28458	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00116	AP000295.1	chr21	34625136	34632901	7766	+	jaccard	0.088758	1	0.89	0.06	167	188	131.5	162.5	5	0.03	0.18	both	1	1	NA	NA	NA	NA	NA	NA	NA	NA	annotatedIntron_increasedUsage	unlikely	3'-UTR	FALSE
HG00116	AP000311.1	chr21	35286805	35288031	1227	-	jaccard	0.27207	1	0.52	-0.18	62	120	37.2	57.4	56	0.47	0.75	both	0.27207	1	NA	0.27207	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00116	AP000317.2	chr21	35446046	35497640	51595	+	jaccard	0.28259	1	0.7	-0.07	62	88	122.2	161.7	2	0.02	0.11	both	0.56517	1	NA	0.56517	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00116	APP	chr21	27372498	27394155	21658	-	jaccard	0.057197	1	0.66	-0.13	45	68	88.1	109.1	14	0.21	0.2	both	0.85796	1	NA	0.85796	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00116	ATP5PO	chr21	35286805	35288031	1227	-	jaccard	0.27207	1	0.52	-0.18	62	120	37.2	57.4	56	0.47	0.75	both	0.27207	1	NA	0.27207	NA	NA	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	no	FALSE
HG00116	BTG3	chr21	18981471	18985016	3546	-	jaccard	0.026696	1	0.17	-0.36	4	24	31.1	52.8	19	0.79	0.76	both	0.10678	1	NA	0.10678	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
HG00116	CLDN14	chr21	37898826	37914862	16037	-	jaccard	0.75988	1	0.5	-0.09	6	12	11.5	20.1	0	0	0.33	both	0.75988	1	NA	0.75988	NA	1	NA	NA	NA	NA	annotatedIntron_reducedUsage	unlikely	5'-UTR	FALSE
