Read_Name	Exon	Variant_Positions	Haplotype
02082bfb-34f3-45eb-bf35-b6375662801b	exon6	.	REF
ae61a573-cba5-4009-88e4-d4bd10783411	exon6	.	REF
f6c0af20-03f0-4e4e-bd76-b4c83601cb3d	exon6	58	p58=G
021296c8-1112-4d9a-bd00-4103b9c8a316	exon6	.	REF
f11be3d9-e348-4683-a6c1-a32fcf4b5cdc	exon6	.	REF
0ff56ae0-dfba-4447-b8d1-4fd1e31ea333	exon6	58	p58=G
3c8179c1-dca9-4fbc-a7dc-9eb670d1ce3e	exon6	58	p58=G
b96a1319-d539-4cee-a2bd-eb3d531812c8	exon6	58	p58=G
d6a3e7f6-0e8a-417d-8ea4-08300bf38cff	exon6	58	p58=G
de5d98a4-28a9-4610-8c0f-43ddbba56637	exon6	.	REF
929d4968-b7b0-4416-8753-041936b813ba	exon6	.	REF
d5f1d660-fb3f-4427-8ddd-c1523e082773	exon6	.	REF
8770b116-8605-4801-b09a-716b52763e74	exon6	58	p58=G
530abfff-e00c-4570-b3e2-a943dd79689e	exon6	58	p58=G
5d3b6f4f-94d7-46f3-bace-114fca6617b8	exon6	58	p58=G
62e8768c-e585-4929-9543-0d0f97e04411	exon6	58	p58=G
2b406256-7d2f-4078-802e-6718e566af7c	exon6	58	p58=G
4d2f066e-7226-4d58-96b2-e5a47f2d39ed	exon6	.	REF
f11be3d9-e348-4683-a6c1-a32fcf4b5cdc	exon6	.	REF
5b643327-3e09-4309-88d5-9e214deaf20a	exon6	.	REF
399a1116-0399-4a22-a04f-d45f4daad09d	exon6	58	p58=G
06b89430-0f72-4782-b3ce-79df059e8c77	exon6	.	REF
45a2e58b-51c7-421d-9312-93b92fcd8c21	exon6	58	p58=G
344615d5-9660-4f08-b97c-f6e46d2ffabe	exon6	58	p58=G
8d308646-9eb3-45d0-a94f-131c88e2641a	exon6	.	REF
9589948c-6155-46cb-be63-7cdb7e6815ae	exon6	.	REF
d8d0beee-937e-4e80-8bd5-19b31aa51680	exon6	58	p58=G
9a5d6db9-39e8-497b-9a91-adb406d700a6	exon6	58	p58=G
1991d1c3-7184-4dc1-834f-1ef1caf3b228	exon6	58	p58=G
ee9217f8-5f6b-4c97-970e-a82a3fd2cb90	exon6	.	REF
c79d2cc6-040f-428c-b404-aa97eef83636	exon6	58	p58=G
07336562-2383-4f86-807b-256a9d30bb8e	exon6	58	p58=G
5f38ee9b-bc5d-424c-bd66-c89ed5a7d0d9	exon6	58	p58=G
0b7aa196-9b18-4270-ac8e-cc62025fbc86	exon6	58	p58=G
0fd90776-b7e0-4822-82b4-4377b9011d3b	exon6	58	p58=G
cc0f81d2-4cb2-4106-93f2-26ae1ee0e30e	exon6	58	p58=G
8f81580d-da08-426b-8242-00eebacc010f	exon6	58	p58=G
03e26cfd-bffd-4ddd-bf61-93448ad73fb1	exon6	.	REF
309c2c6c-ea16-4f2f-bd9f-ed2ddec42130	exon6	58	p58=G
f791ba0b-2265-4bd9-a129-68df7c359245	exon6	58	p58=G
54291e3b-fd56-4d0d-a5b1-92c64776f871	exon6	.	REF
be4c63c0-cc8e-42ed-8df0-90b1714e452c	exon6	58	p58=G
0ffb95b8-f2df-484b-968b-489ec407452c	exon6	.	REF
4d2f066e-7226-4d58-96b2-e5a47f2d39ed	exon6	.	REF
55373c6f-6512-463b-887d-a45d3ef1a93a	exon6	27,29,58	p27=del;p29=del;p58=G
1212bda2-c4d9-4109-acaf-7792e587296a	exon6	.	REF
a0c2020b-3144-4b4a-a854-6376cd2a50b7	exon6	.	REF
c55d0c4e-95c8-40f6-966e-1f530d4a9213	exon6	.	REF
1991d1c3-7184-4dc1-834f-1ef1caf3b228	exon6	58	p58=G
9fe3729f-af03-4441-9022-048d2f8ca68f	exon6	.	REF
9cd7f490-71ac-4d38-852a-89eb5bb48f16	exon6	58	p58=G
e555811e-c494-4e29-bfa7-0f772431cdd7	exon6	58	p58=G
df868a4a-90de-4748-a804-3d1889f32287	exon6	.	REF
3b190e9b-ba18-4ab5-a40f-2504f0c0886a	exon6	.	REF
a3bb7a27-ff00-4c19-a9ba-34b7365a4179	exon6	.	REF
7005de90-4a4e-4f62-ae30-29f341393fcc	exon6	.	REF
02082bfb-34f3-45eb-bf35-b6375662801b	exon6	.	REF
ddddf49a-059b-48a5-9e16-743a61f7f719	exon6	58	p58=G
4631e29b-92ce-49f1-b744-c972b2f54e70	exon6	29,58	p29=del;p58=G
0303c7d2-b10d-438e-ad94-b0a2d7ab9843	exon6	58	p58=G
d791a343-e504-44a8-ba97-1f165dca8945	exon6	58	p58=G
d791a343-e504-44a8-ba97-1f165dca8945	exon6	58	p58=G
94ac0118-b903-4783-b373-d8d44d62de9d	exon6	58	p58=G
93de95ce-56d8-481c-b2d2-bebd8b5680da	exon6	58	p58=G
5baebf9a-c7b6-46be-8726-2a87048e4d62	exon6	58	p58=G
2013cd2c-99c7-484b-941f-588f38d3724b	exon6	.	REF
5baebf9a-c7b6-46be-8726-2a87048e4d62	exon6	58	p58=G
c93e850c-62fb-4830-99ca-adec989732d3	exon6	58	p58=G
f1148fbb-5d1d-42d3-8db8-f30a4e68b2b4	exon6	58	p58=G
e20d4aa0-a389-4de7-9433-7f91ab5cb7f7	exon6	58	p58=G
