ensembl_gene_id	gene_biotype	external_gene_name	percentage_gene_gc_content
ENSG00000005100	protein_coding	DHX33	45.78
ENSG00000005102	protein_coding	MEOX1	51.6
ENSG00000005108	protein_coding	THSD7A	35.51
ENSG00000005156	protein_coding	LIG3	47.21
ENSG00000005175	protein_coding	RPAP3	36.55
ENSG00000005187	protein_coding	ACSM3	41.08
ENSG00000005189	protein_coding	REXO5	39.89
ENSG00000005194	protein_coding	CIAPIN1	44.27
ENSG00000005206	protein_coding	SPPL2B	61.04
ENSG00000005238	protein_coding	FAM214B	54.68
ENSG00000005243	protein_coding	COPZ2	52.71
ENSG00000005249	protein_coding	PRKAR2B	38.61
ENSG00000005302	protein_coding	MSL3	42.85
ENSG00000005339	protein_coding	CREBBP	45.01
ENSG00000005379	protein_coding	TSPOAP1	57.84
ENSG00000005381	protein_coding	MPO	55.12
ENSG00000005421	protein_coding	PON1	40.31
ENSG00000005436	protein_coding	GCFC2	36.39
ENSG00000005448	protein_coding	WDR54	54.68
ENSG00000005469	protein_coding	CROT	37.43
ENSG00000005471	protein_coding	ABCB4	38.6
ENSG00000005483	protein_coding	KMT2E	37.41
ENSG00000005486	protein_coding	RHBDD2	47.79
ENSG00000005513	protein_coding	SOX8	64.99
ENSG00000005700	protein_coding	IBTK	36.07
ENSG00000005801	protein_coding	ZNF195	41.43
ENSG00000005810	protein_coding	MYCBP2	35.73
ENSG00000005812	protein_coding	FBXL3	38.36
ENSG00000005844	protein_coding	ITGAL	50.45
ENSG00000005882	protein_coding	PDK2	56.67
ENSG00000005884	protein_coding	ITGA3	52.64
ENSG00000005889	protein_coding	ZFX	40.77
ENSG00000005893	protein_coding	LAMP2	38.79
ENSG00000005961	protein_coding	ITGA2B	54.81
ENSG00000005981	protein_coding	ASB4	38.27
ENSG00000006007	protein_coding	GDE1	40.14
ENSG00000006015	protein_coding	REX1BD	60.24
ENSG00000006016	protein_coding	CRLF1	55.32
ENSG00000006025	protein_coding	OSBPL7	57.86
ENSG00000006042	protein_coding	TMEM98	48.47
ENSG00000006047	protein_coding	YBX2	58.02
ENSG00000006059	protein_coding	KRT33A	48.39
ENSG00000006062	protein_coding	MAP3K14	49.97
ENSG00000006071	protein_coding	ABCC8	50.02
ENSG00000006116	protein_coding	CACNG3	44.54
ENSG00000006118	protein_coding	TMEM132A	58.71
ENSG00000006125	protein_coding	AP2B1	39.93
ENSG00000006128	protein_coding	TAC1	39.5
ENSG00000006194	protein_coding	ZNF263	47.09
ENSG00000006210	protein_coding	CX3CL1	53.75
ENSG00000006282	protein_coding	SPATA20	57.05
ENSG00000006283	protein_coding	CACNA1G	56.94
ENSG00000006327	protein_coding	TNFRSF12A	60.12
ENSG00000006377	protein_coding	DLX6	49.51
ENSG00000006432	protein_coding	MAP3K9	44.98
ENSG00000006451	protein_coding	RALA	39.66
ENSG00000006453	protein_coding	BAIAP2L1	46.78
ENSG00000006459	protein_coding	KDM7A	39.15
ENSG00000006468	protein_coding	ETV1	36.3
ENSG00000006530	protein_coding	AGK	39.57
ENSG00000006534	protein_coding	ALDH3B1	58.4
ENSG00000006555	protein_coding	TTC22	52.34
ENSG00000006576	protein_coding	PHTF2	37.65
ENSG00000006606	protein_coding	CCL26	48.09
ENSG00000006607	protein_coding	FARP2	45.58
ENSG00000006611	protein_coding	USH1C	51.78
ENSG00000006625	protein_coding	GGCT	40.54
ENSG00000006634	protein_coding	DBF4	36.72
ENSG00000006638	protein_coding	TBXA2R	55.77
ENSG00000006652	protein_coding	IFRD1	39.45
ENSG00000006659	protein_coding	LGALS14	45.19
ENSG00000006695	protein_coding	COX10	39.2
ENSG00000006704	protein_coding	GTF2IRD1	52.72
ENSG00000006712	protein_coding	PAF1	52.37
ENSG00000006715	protein_coding	VPS41	38.35
ENSG00000006740	protein_coding	ARHGAP44	42.69
ENSG00000006744	protein_coding	ELAC2	48.02
ENSG00000006747	protein_coding	SCIN	38.46
ENSG00000006756	protein_coding	ARSD	48.88
ENSG00000006757	protein_coding	PNPLA4	40.45
ENSG00000006788	protein_coding	MYH13	45.88
ENSG00000006831	protein_coding	ADIPOR2	39.4
ENSG00000006837	protein_coding	CDKL3	40.16
ENSG00000007001	protein_coding	UPP2	40.24
ENSG00000007038	protein_coding	PRSS21	55.65
ENSG00000007047	protein_coding	MARK4	53.57
ENSG00000007062	protein_coding	PROM1	43.17
ENSG00000007080	protein_coding	CCDC124	55.84
ENSG00000007129	protein_coding	CEACAM21	44.66
ENSG00000007168	protein_coding	PAFAH1B1	42.4
ENSG00000007171	protein_coding	NOS2	51.35
ENSG00000007174	protein_coding	DNAH9	42.62
ENSG00000007202	protein_coding	KIAA0100	46.75
ENSG00000007216	protein_coding	SLC13A2	52.55
ENSG00000007237	protein_coding	GAS7	47.97
ENSG00000007255	protein_coding	TRAPPC6A	56.86
ENSG00000007264	protein_coding	MATK	54.4
ENSG00000007306	protein_coding	CEACAM7	47.85
ENSG00000007312	protein_coding	CD79B	60.69
ENSG00000007314	protein_coding	SCN4A	56.1
ENSG00000007341	protein_coding	ST7L	39.05
ENSG00000007350	protein_coding	TKTL1	48.27
ENSG00000007372	protein_coding	PAX6	49.68
ENSG00000007376	protein_coding	RPUSD1	67.17
ENSG00000007384	protein_coding	RHBDF1	61.15
ENSG00000007392	protein_coding	LUC7L	47.33
ENSG00000007402	protein_coding	CACNA2D2	56.52
ENSG00000007516	protein_coding	BAIAP3	65.72
ENSG00000007520	protein_coding	TSR3	62.41
ENSG00000007541	protein_coding	PIGQ	64.36
ENSG00000007545	protein_coding	CRAMP1	53.11
ENSG00000007866	protein_coding	TEAD3	56.75
ENSG00000007908	protein_coding	SELE	39.36
ENSG00000007923	protein_coding	DNAJC11	46.6
ENSG00000007933	protein_coding	FMO3	36.5
ENSG00000007944	protein_coding	MYLIP	40.25
ENSG00000007952	protein_coding	NOX1	41.15
ENSG00000007968	protein_coding	E2F2	51.65
ENSG00000008018	protein_coding	PSMB1	39.78
ENSG00000008056	protein_coding	SYN1	47.76
ENSG00000008083	protein_coding	JARID2	43.92
ENSG00000008086	protein_coding	CDKL5	40.21
ENSG00000008118	protein_coding	CAMK1G	47.01
ENSG00000008128	protein_coding	CDK11A	52.05
ENSG00000008130	protein_coding	NADK	53.7
ENSG00000008196	protein_coding	TFAP2B	44.14
ENSG00000008197	protein_coding	TFAP2D	37.24
ENSG00000008226	protein_coding	DLEC1	48.5
ENSG00000008256	protein_coding	CYTH3	44.78
ENSG00000008277	protein_coding	ADAM22	37.29
ENSG00000008282	protein_coding	SYPL1	38.18
ENSG00000008283	protein_coding	CYB561	57.39
ENSG00000008294	protein_coding	SPAG9	40
ENSG00000008300	protein_coding	CELSR3	59.87
ENSG00000008311	protein_coding	AASS	36.4
ENSG00000008323	protein_coding	PLEKHG6	55.71
ENSG00000008324	protein_coding	SS18L2	47.77
ENSG00000008382	protein_coding	MPND	55.95
ENSG00000008394	protein_coding	MGST1	36.94
ENSG00000008405	protein_coding	CRY1	37.55
ENSG00000008438	protein_coding	PGLYRP1	57.65
ENSG00000008441	protein_coding	NFIX	55.28
ENSG00000008513	protein_coding	ST3GAL1	49.4
ENSG00000008516	protein_coding	MMP25	58.37
ENSG00000008517	protein_coding	IL32	53.36
ENSG00000008710	protein_coding	PKD1	63.1
ENSG00000008735	protein_coding	MAPK8IP2	62.89
ENSG00000008838	protein_coding	MED24	50.63
ENSG00000008853	protein_coding	RHOBTB2	53.51
ENSG00000008869	protein_coding	HEATR5B	38.6
ENSG00000008952	protein_coding	SEC62	36.6
ENSG00000008988	protein_coding	RPS20	41.97
ENSG00000009307	protein_coding	CSDE1	38.28
ENSG00000009335	protein_coding	UBE3C	42.12
ENSG00000009413	protein_coding	REV3L	36.9
ENSG00000009694	protein_coding	TENM1	37.17
ENSG00000009709	protein_coding	PAX7	52.36
ENSG00000009724	protein_coding	MASP2	50.21
ENSG00000009765	protein_coding	IYD	41.6
ENSG00000009780	protein_coding	FAM76A	43.35
ENSG00000009790	protein_coding	TRAF3IP3	45.61
ENSG00000009830	protein_coding	POMT2	47.08
ENSG00000009844	protein_coding	VTA1	35.53
ENSG00000009950	protein_coding	MLXIPL	56.25
ENSG00000009954	protein_coding	BAZ1B	43.19
ENSG00000010017	protein_coding	RANBP9	37.08
ENSG00000010030	protein_coding	ETV7	49.34
ENSG00000010072	protein_coding	SPRTN	41.57
ENSG00000010165	protein_coding	EEF1AKNMT	43.61
ENSG00000010219	protein_coding	DYRK4	42.77
ENSG00000010244	protein_coding	ZNF207	38.47
ENSG00000010256	protein_coding	UQCRC1	53.04
ENSG00000010270	protein_coding	STARD3NL	38.4
ENSG00000010278	protein_coding	CD9	51.04
ENSG00000010282	protein_coding	HHATL	56.48
ENSG00000010292	protein_coding	NCAPD2	46.34
ENSG00000010295	protein_coding	IFFO1	54.32
ENSG00000010310	protein_coding	GIPR	54.94
ENSG00000010318	protein_coding	PHF7	45.17
ENSG00000010319	protein_coding	SEMA3G	59.62
ENSG00000010322	protein_coding	NISCH	53.28
ENSG00000010327	protein_coding	STAB1	60.65
ENSG00000010361	protein_coding	FUZ	52.28
ENSG00000010379	protein_coding	SLC6A13	47.19
ENSG00000010404	protein_coding	IDS	45.34
ENSG00000010438	protein_coding	PRSS3	42.84
ENSG00000010539	protein_coding	ZNF200	43.67
ENSG00000010610	protein_coding	CD4	48.56
ENSG00000010626	protein_coding	LRRC23	47.35
ENSG00000010671	protein_coding	BTK	43.18
ENSG00000010704	protein_coding	HFE	44.85
ENSG00000010803	protein_coding	SCMH1	39.5
ENSG00000010810	protein_coding	FYN	42.42
ENSG00000010818	protein_coding	HIVEP2	38.72
ENSG00000010932	protein_coding	FMO1	40.91
ENSG00000011007	protein_coding	ELOA	45.7
ENSG00000011009	protein_coding	LYPLA2	62.28
ENSG00000011021	protein_coding	CLCN6	48.13
ENSG00000011028	protein_coding	MRC2	52.16
ENSG00000011052	protein_coding	NME1-NME2	48.86
ENSG00000011083	protein_coding	SLC6A7	54.63
ENSG00000011105	protein_coding	TSPAN9	52.13
ENSG00000011114	protein_coding	BTBD7	40.08
ENSG00000011132	protein_coding	APBA3	56.61
ENSG00000011143	protein_coding	MKS1	47.46
ENSG00000011198	protein_coding	ABHD5	40.26
ENSG00000011201	protein_coding	ANOS1	39.59
ENSG00000011243	protein_coding	AKAP8L	48.86
ENSG00000011258	protein_coding	MBTD1	39.5
ENSG00000011260	protein_coding	UTP18	40.36
ENSG00000011275	protein_coding	RNF216	45.52
ENSG00000011295	protein_coding	TTC19	40.8
ENSG00000011304	protein_coding	PTBP1	61.17
ENSG00000011332	protein_coding	DPF1	57.15
ENSG00000011347	protein_coding	SYT7	57.15
ENSG00000011376	protein_coding	LARS2	42.34
ENSG00000011405	protein_coding	PIK3C2A	39.84
ENSG00000011422	protein_coding	PLAUR	49.94
ENSG00000011426	protein_coding	ANLN	37.87
ENSG00000011451	protein_coding	WIZ	58.16
ENSG00000011454	protein_coding	RABGAP1	38.49
ENSG00000011465	protein_coding	DCN	34.9
ENSG00000011478	protein_coding	QPCTL	52.46
ENSG00000011485	protein_coding	PPP5C	50.7
ENSG00000011523	protein_coding	CEP68	47.81
ENSG00000011566	protein_coding	MAP4K3	36.89
ENSG00000011590	protein_coding	ZBTB32	52.47
ENSG00000011600	protein_coding	TYROBP	51.45
ENSG00000011638	protein_coding	TMEM159	43.7
ENSG00000011677	protein_coding	GABRA3	37.36
ENSG00000012048	protein_coding	BRCA1	44.09
ENSG00000012061	protein_coding	ERCC1	52.1
ENSG00000012124	protein_coding	CD22	50.24
ENSG00000012171	protein_coding	SEMA3B	60.71
ENSG00000012174	protein_coding	MBTPS2	38.5
ENSG00000012211	protein_coding	PRICKLE3	55.64
ENSG00000012223	protein_coding	LTF	46.95
ENSG00000012232	protein_coding	EXTL3	44.36
ENSG00000012504	protein_coding	NR1H4	39.74
ENSG00000012660	protein_coding	ELOVL5	41.88
ENSG00000012779	protein_coding	ALOX5	47.73
ENSG00000012817	protein_coding	KDM5D	38.66
ENSG00000012822	protein_coding	CALCOCO1	49.2
ENSG00000012963	protein_coding	UBR7	43.11
ENSG00000012983	protein_coding	MAP4K5	37.27
ENSG00000013016	protein_coding	EHD3	50.24
ENSG00000013275	protein_coding	PSMC4	49.94
ENSG00000013288	protein_coding	MAN2B2	54.58
ENSG00000013293	protein_coding	SLC7A14	42.15
ENSG00000013297	protein_coding	CLDN11	43.14
ENSG00000013306	protein_coding	SLC25A39	61.11
ENSG00000013364	protein_coding	MVP	52.54
ENSG00000013374	protein_coding	NUB1	44.96
ENSG00000013375	protein_coding	PGM3	38.66
ENSG00000013392	protein_coding	RWDD2A	44.9
ENSG00000013441	protein_coding	CLK1	41.85
ENSG00000013503	protein_coding	POLR3B	39.73
ENSG00000013523	protein_coding	ANGEL1	44.51
ENSG00000013561	protein_coding	RNF14	42.05
ENSG00000013563	protein_coding	DNASE1L1	54.46
ENSG00000013573	protein_coding	DDX11	52.26
ENSG00000013583	protein_coding	HEBP1	43.51
ENSG00000013588	protein_coding	GPRC5A	46.77
ENSG00000013619	protein_coding	MAMLD1	44.08
ENSG00000013725	protein_coding	CD6	49.93
ENSG00000013810	protein_coding	TACC3	56.91
ENSG00000014123	protein_coding	UFL1	33.38
ENSG00000014138	protein_coding	POLA2	47.81
ENSG00000014164	protein_coding	ZC3H3	58.38
ENSG00000014216	protein_coding	CAPN1	51.18
ENSG00000014257	protein_coding	ACPP	40.39
ENSG00000014641	protein_coding	MDH1	38.05
ENSG00000014824	protein_coding	SLC30A9	36.97
ENSG00000014914	protein_coding	MTMR11	49.97
ENSG00000014919	protein_coding	COX15	42.42
ENSG00000015133	protein_coding	CCDC88C	51.25
ENSG00000015153	protein_coding	YAF2	39.02
ENSG00000015171	protein_coding	ZMYND11	37.8
ENSG00000015285	protein_coding	WAS	50.82
ENSG00000015413	protein_coding	DPEP1	59.08
ENSG00000015475	protein_coding	BID	52.51
ENSG00000015479	protein_coding	MATR3	38.77
ENSG00000015520	protein_coding	NPC1L1	51.5
ENSG00000015532	protein_coding	XYLT2	56.47
ENSG00000015568	protein_coding	RGPD5	39.34
ENSG00000015592	protein_coding	STMN4	48.03
ENSG00000015676	protein_coding	NUDCD3	44.47
ENSG00000016082	protein_coding	ISL1	44.27
ENSG00000016391	protein_coding	CHDH	49.35
ENSG00000016402	protein_coding	IL20RA	41.2
ENSG00000016490	protein_coding	CLCA1	40.09
ENSG00000016602	protein_coding	CLCA4	37.99
ENSG00000016864	protein_coding	GLT8D1	44.49
ENSG00000017260	protein_coding	ATP2C1	37.56
ENSG00000017427	protein_coding	IGF1	39.7
ENSG00000017483	protein_coding	SLC38A5	54.9
ENSG00000017797	protein_coding	RALBP1	41.37
ENSG00000018189	protein_coding	RUFY3	39.9
ENSG00000018236	protein_coding	CNTN1	35.21
ENSG00000018280	protein_coding	SLC11A1	55.34
ENSG00000018408	protein_coding	WWTR1	41.07
ENSG00000018510	protein_coding	AGPS	36.49
ENSG00000018607	unprocessed_pseudogene	ZNF806	40.79
ENSG00000018610	protein_coding	CXorf56	44.29
ENSG00000018625	protein_coding	ATP1A2	50.38
ENSG00000018699	protein_coding	TTC27	39.46
ENSG00000018869	protein_coding	ZNF582	40.84
ENSG00000019102	protein_coding	VSIG2	53.76
ENSG00000019144	protein_coding	PHLDB1	54.3
ENSG00000019169	protein_coding	MARCO	44.33
ENSG00000019186	protein_coding	CYP24A1	43.37
ENSG00000019485	protein_coding	PRDM11	47.84
ENSG00000019505	protein_coding	SYT13	46.29
ENSG00000019549	protein_coding	SNAI2	40.53
ENSG00000019582	protein_coding	CD74	53.07
ENSG00000019991	protein_coding	HGF	34.42
ENSG00000019995	protein_coding	ZRANB1	39.68
ENSG00000020129	protein_coding	NCDN	57.71
ENSG00000020181	protein_coding	ADGRA2	55.25
ENSG00000020219	processed_pseudogene	CCT8L1P	57.11
ENSG00000020256	protein_coding	ZFP64	44.05
ENSG00000020426	protein_coding	MNAT1	36.62
ENSG00000020577	protein_coding	SAMD4A	43.1
ENSG00000020633	protein_coding	RUNX3	54.8
ENSG00000020922	protein_coding	MRE11	37.31
ENSG00000021300	protein_coding	PLEKHB1	52.94
ENSG00000021355	protein_coding	SERPINB1	43.07
ENSG00000021461	protein_coding	CYP3A43	40.68
ENSG00000021488	protein_coding	SLC7A9	46.63
ENSG00000021574	protein_coding	SPAST	40
ENSG00000021645	protein_coding	NRXN3	39.46
ENSG00000021762	protein_coding	OSBPL5	57
ENSG00000021776	protein_coding	AQR	37.52
ENSG00000021826	protein_coding	CPS1	36.31
ENSG00000021852	protein_coding	C8B	42.82
ENSG00000022267	protein_coding	FHL1	42.07
ENSG00000022277	protein_coding	RTF2	43.71
ENSG00000022355	protein_coding	GABRA1	34.99
ENSG00000022556	protein_coding	NLRP2	49.09
ENSG00000022567	protein_coding	SLC45A4	52.64
ENSG00000022840	protein_coding	RNF10	45.25
ENSG00000022976	protein_coding	ZNF839	49.04
ENSG00000023041	protein_coding	ZDHHC6	38.61
ENSG00000023171	protein_coding	GRAMD1B	45.8
ENSG00000023191	protein_coding	RNH1	60.36
ENSG00000023228	protein_coding	NDUFS1	40.76
ENSG00000023287	protein_coding	RB1CC1	37.73
ENSG00000023318	protein_coding	ERP44	37.85
ENSG00000023330	protein_coding	ALAS1	45.47
ENSG00000023445	protein_coding	BIRC3	37.6
ENSG00000023516	protein_coding	AKAP11	36.45
ENSG00000023572	protein_coding	GLRX2	39.59
ENSG00000023608	protein_coding	SNAPC1	39.55
ENSG00000023697	protein_coding	DERA	39.11
ENSG00000023734	protein_coding	STRAP	36.48
ENSG00000023839	protein_coding	ABCC2	45.05
ENSG00000023892	protein_coding	DEF6	48.5
ENSG00000023902	protein_coding	PLEKHO1	51.63
ENSG00000023909	protein_coding	GCLM	36.37
ENSG00000024048	protein_coding	UBR2	39.1
ENSG00000024422	protein_coding	EHD2	52.89
ENSG00000024526	protein_coding	DEPDC1	34.94
ENSG00000024862	protein_coding	CCDC28A	39.18
ENSG00000025039	protein_coding	RRAGD	42.23
ENSG00000025156	protein_coding	HSF2	35.55
ENSG00000025293	protein_coding	PHF20	44.08
ENSG00000025423	protein_coding	HSD17B6	44.92
ENSG00000025434	protein_coding	NR1H3	50.86
ENSG00000025708	protein_coding	TYMP	64.42
ENSG00000025770	protein_coding	NCAPH2	55.48
ENSG00000025772	protein_coding	TOMM34	44.95
ENSG00000025796	protein_coding	SEC63	39.82
ENSG00000025800	protein_coding	KPNA6	44.21
ENSG00000026025	protein_coding	VIM	46.3
ENSG00000026036	protein_coding	RTEL1-TNFRSF6B	59.83
ENSG00000026103	protein_coding	FAS	37.94
ENSG00000026297	protein_coding	RNASET2	48.7
ENSG00000026508	protein_coding	CD44	41.56
ENSG00000026559	protein_coding	KCNG1	52.17
ENSG00000026652	protein_coding	AGPAT4	45.36
ENSG00000026751	protein_coding	SLAMF7	43.99
ENSG00000026950	protein_coding	BTN3A1	44.46
ENSG00000027001	protein_coding	MIPEP	39.76
ENSG00000027075	protein_coding	PRKCH	42.48
ENSG00000027644	protein_coding	INSRR	55.62
ENSG00000027697	protein_coding	IFNGR1	38.81
ENSG00000027847	protein_coding	B4GALT7	57.85
ENSG00000027869	protein_coding	SH2D2A	55.56
ENSG00000028116	protein_coding	VRK2	35.24
ENSG00000028137	protein_coding	TNFRSF1B	55.4
ENSG00000028203	protein_coding	VEZT	38.6
ENSG00000028277	protein_coding	POU2F2	51.31
ENSG00000028310	protein_coding	BRD9	55.12
ENSG00000028528	protein_coding	SNX1	43.68
ENSG00000028839	protein_coding	TBPL1	37.6
ENSG00000029153	protein_coding	ARNTL2	39.26
ENSG00000029363	protein_coding	BCLAF1	35.59
ENSG00000029364	protein_coding	SLC39A9	40.2
ENSG00000029534	protein_coding	ANK1	49.32
ENSG00000029559	protein_coding	IBSP	36.14
ENSG00000029639	protein_coding	TFB1M	38.43
ENSG00000029725	protein_coding	RABEP1	41.34
ENSG00000029993	protein_coding	HMGB3	51.17
ENSG00000030066	protein_coding	NUP160	41.86
ENSG00000030110	protein_coding	BAK1	57.18
ENSG00000030304	protein_coding	MUSK	36.28
ENSG00000030419	protein_coding	IKZF2	34.84
ENSG00000030582	protein_coding	GRN	57.73
ENSG00000031003	protein_coding	FAM13B	40.05
ENSG00000031081	protein_coding	ARHGAP31	43.44
ENSG00000031691	protein_coding	CENPQ	37.99
ENSG00000031698	protein_coding	SARS	43.12
ENSG00000031823	protein_coding	RANBP3	52.74
ENSG00000032219	protein_coding	ARID4A	37.46
ENSG00000032389	protein_coding	EIPR1	48.27
ENSG00000032444	protein_coding	PNPLA6	55.88
ENSG00000032742	protein_coding	IFT88	38.74
ENSG00000033011	protein_coding	ALG1	49.3
ENSG00000033030	protein_coding	ZCCHC8	42.68
ENSG00000033050	protein_coding	ABCF2	48.3
ENSG00000033100	protein_coding	CHPF2	56.82
ENSG00000033122	protein_coding	LRRC7	35.36
ENSG00000033170	protein_coding	FUT8	37.41
ENSG00000033178	protein_coding	UBA6	35.51
ENSG00000033327	protein_coding	GAB2	41.71
ENSG00000033627	protein_coding	ATP6V0A1	45.47
ENSG00000033800	protein_coding	PIAS1	38.09
ENSG00000033867	protein_coding	SLC4A7	36.85
ENSG00000034053	protein_coding	APBA2	48.63
ENSG00000034152	protein_coding	MAP2K3	56.98
ENSG00000034239	protein_coding	EFCAB1	40.09
ENSG00000034510	protein_coding	TMSB10	63.48
ENSG00000034533	protein_coding	ASTE1	39.7
ENSG00000034677	protein_coding	RNF19A	38.61
ENSG00000034693	protein_coding	PEX3	35.1
ENSG00000034713	protein_coding	GABARAPL2	47.12
ENSG00000034971	protein_coding	MYOC	45.72
ENSG00000035115	protein_coding	SH3YL1	40.78
ENSG00000035141	protein_coding	FAM136A	48.46
ENSG00000035403	protein_coding	VCL	41.45
ENSG00000035499	protein_coding	DEPDC1B	38.63
ENSG00000035664	protein_coding	DAPK2	46.89
ENSG00000035681	protein_coding	NSMAF	38.41
ENSG00000035687	protein_coding	ADSS	38.09
ENSG00000035720	protein_coding	STAP1	37.8
ENSG00000035862	protein_coding	TIMP2	52.6
ENSG00000035928	protein_coding	RFC1	39.26
ENSG00000036054	protein_coding	TBC1D23	36.47
ENSG00000036257	protein_coding	CUL3	37.23
ENSG00000036448	protein_coding	MYOM2	46.64
ENSG00000036473	protein_coding	OTC	39.3
ENSG00000036530	protein_coding	CYP46A1	47.29
ENSG00000036549	protein_coding	AC118549.1	37.17
ENSG00000036565	protein_coding	SLC18A1	44
ENSG00000036672	protein_coding	USP2	54.63
ENSG00000036828	protein_coding	CASR	41.14
ENSG00000037042	protein_coding	TUBG2	51.91
ENSG00000037241	protein_coding	RPL26L1	46.12
ENSG00000037280	protein_coding	FLT4	60.24
ENSG00000037474	protein_coding	NSUN2	43.29
ENSG00000037637	protein_coding	FBXO42	43.86
ENSG00000037749	protein_coding	MFAP3	43.54
ENSG00000037757	protein_coding	MRI1	52.2
ENSG00000037897	protein_coding	METTL1	52.12
ENSG00000037965	protein_coding	HOXC8	51.76
ENSG00000038002	protein_coding	AGA	39.69
ENSG00000038210	protein_coding	PI4K2B	41.15
ENSG00000038219	protein_coding	BOD1L1	38.88
ENSG00000038274	protein_coding	MAT2B	38.26
ENSG00000038295	protein_coding	TLL1	35.7
ENSG00000038358	protein_coding	EDC4	57.3
ENSG00000038382	protein_coding	TRIO	43.38
ENSG00000038427	protein_coding	VCAN	37.18
ENSG00000038532	protein_coding	CLEC16A	48.05
ENSG00000038945	protein_coding	MSR1	35.52
ENSG00000039068	protein_coding	CDH1	46.88
ENSG00000039123	protein_coding	MTREX	36.82
ENSG00000039139	protein_coding	DNAH5	38.97
ENSG00000039319	protein_coding	ZFYVE16	37.74
ENSG00000039523	protein_coding	RIPOR1	57.05
