accession	superkingdom	phylum	class	order	family	genus	species
NZ_CP083688.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_CP114371.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_CP117955.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_CP133097.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_EQ973213.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_EQ973218.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_GG705213.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_GL945044.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_GL945049.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JABAGK010000002.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JABAGK010000007.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JABAGK010000009.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JABAGK010000011.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JABFHU010000005.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JABFHU010000013.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JABFHU010000018.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JACENG010000023.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JACENG010000024.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JACFSS010000010.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JACFST010000001.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JACFST010000007.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JACFST010000009.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JACFST010000012.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JACFST010000014.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JACFSU010000004.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JACFSU010000014.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JACFSV010000025.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JACFSW010000010.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JACFSX010000003.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JACFSY010000003.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JACFSY010000005.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JACLQC010000003.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JACLQC010000006.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JACLQC010000008.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JACLQC010000013.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JACSWE010000006.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JACSWE010000007.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JACSWE010000015.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JACSWF010000009.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JACSWF010000012.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JACSWF010000015.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JACWLM010000001.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JACWLM010000002.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JADDIJ010000003.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JADDIJ010000006.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JADDIJ010000007.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JADDIJ010000025.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JADDIJ010000055.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JADMPD010000005.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JADMPD010000006.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JADMPD010000008.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JADMPD010000014.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JADMPD010000027.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JADMRZ010000006.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JADMRZ010000008.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JADMRZ010000013.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JADMRZ010000018.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JADMRZ010000028.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUAX010000008.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUAX010000011.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUAX010000015.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUAY010000007.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUAY010000018.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUAZ010000004.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUAZ010000008.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUAZ010000009.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUAZ010000012.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUAZ010000017.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUBA010000014.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUBB010000005.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUBB010000007.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUBB010000010.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUBB010000018.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUBC010000016.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUBD010000013.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUBE010000019.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUBF010000002.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUBF010000007.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUBF010000010.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUBF010000012.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUBF010000015.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUBG010000011.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUBG010000015.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUBH010000005.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUBH010000009.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUBH010000010.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUBH010000014.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUBI010000010.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUBI010000012.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUBJ010000015.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUBK010000004.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUBK010000008.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAPUBK010000011.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAQCOF010000007.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAQCOF010000015.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAQDLP010000004.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAQDLP010000007.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAQDLP010000011.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAQDLP010000016.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAQDYO010000010.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAQDYY010000007.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAQDYY010000016.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAQDZB010000010.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAQDZB010000016.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAQENO010000002.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAQFDH010000012.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAQFDK010000013.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAQFVL010000008.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAQFVL010000017.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAQFVL010000020.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAQFVM010000016.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAQFWE010000004.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAQFWE010000025.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAQFWF010000007.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAQFWF010000009.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAQFWF010000012.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAQFWF010000016.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAQFWF010000023.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JARIXK010000001.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JARIXL010000001.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JARIXM010000001.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JARIXM010000002.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JASORH010000001.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JASORH010000012.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JASORI010000005.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JASORI010000016.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
NZ_JAVRBJ010000001.1	2|Bacteria	976|Bacteroidota	200643|Bacteroidia	171549|Bacteroidales	815|Bacteroidaceae	816|Bacteroides	817|Bacteroides fragilis
