"Feature","CAS","SUPER_PATHWAY","SUB_PATHWAY","COMP_ID","PLATFORM","RI","MASS","PUBCHEM","KEGG","HMDB"
"1-palmitoleoylglycerophosphocholine*",NA,"Lipid","Lysolipid",33230,"LC/MS Pos",5524,494.3,NA,NA,NA
"1-palmitoleoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid",34565,"LC/MS Pos",5521.4,452.3,NA,NA,NA
"1-palmitoylglycerol (1-monopalmitin)","542-44-9;","Lipid","Monoacylglycerol",21127,"GC/MS",2119.5,371.3,"14900",NA,NA
"1-palmitoylglycerophosphocholine","17364-16-8;","Lipid","Lysolipid",33955,"LC/MS Pos",5671,496.4,"86554",NA,NA
"1-palmitoylglycerophosphoethanolamine",NA,"Lipid","Lysolipid",35631,"LC/MS Neg",5940,452.3,"9547069",NA,"HMDB11503"
"1-palmitoylglycerophosphoinositol*",NA,"Lipid","Lysolipid",35305,"LC/MS Neg",5573,571.3,NA,NA,NA
"1-palmitoylplasmenylethanolamine*",NA,"Lipid","Lysolipid",39270,"LC/MS Neg",6153,436.4,NA,NA,NA
"1-pentadecanoylglycerophosphocholine*",NA,"Lipid","Lysolipid",37418,"LC/MS Pos",5563,482.3,NA,NA,NA
"1-stearoylglycerol (1-monostearin)","123-94-4;","Lipid","Monoacylglycerol",21188,"GC/MS",2186.6,399.4,"24699","D01947",NA
"1-stearoylglycerophosphocholine","19420-57-6;","Lipid","Lysolipid",33961,"LC/MS Pos",5844,524.4,"497299",NA,NA
"1-stearoylglycerophosphoethanolamine","69747-55-3;","Lipid","Lysolipid",34416,"LC/MS Pos",5842,482.3,"9547068",NA,"HMDB11130"
"1-stearoylglycerophosphoinositol","796963-93-4;","Lipid","Lysolipid",19324,"LC/MS Neg",5800,599.4,NA,NA,NA
"2-aminoadipate","542-32-5;1118-90-7;","Amino acid","Lysine metabolism",6146,"GC/MS",1686.5,260.1,"469","C00956","HMDB00510"
"2-aminobutyrate","1492-24-6;","Amino acid","Butanoate metabolism",1577,"GC/MS",1215.7,130,"439691","C02261","HMDB00650"
"2-arachidonoylglycerophosphocholine*",NA,"Lipid","Lysolipid",35256,"LC/MS Pos",5524,544.3,NA,NA,NA
"2-arachidonoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid",32815,"LC/MS Neg",5674,500.3,NA,NA,NA
"2'-deoxyadenosine 3'-monophosphate","102832-10-0;","Nucleotide","Purine metabolism, adenine containing",40663,"LC/MS Pos",1383.5,332.1,"1467",NA,NA
"2'-deoxycytidine 3'-monophosphate","6220-63-9;","Nucleotide","Pyrimidine metabolism, cytidine containing",40453,"LC/MS Pos",1048,308,"3274948",NA,NA
"2'-deoxyguanosine","961-07-9;","Nucleotide","Purine metabolism, guanine containing",1411,"LC/MS Pos",1728,268,"187790","C00330","HMDB00085"
"2'-deoxyinosine","890-38-0;","Nucleotide","Purine metabolism, (hypo)xanthine/inosine containing",15076,"LC/MS Neg",1700,251.1,"65058","C05512","HMDB00071"
"2-docosahexaenoylglycerophosphocholine*",NA,"Lipid","Lysolipid",35883,"LC/MS Pos",5507,568.3,NA,NA,NA
"2-docosahexaenoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid",34258,"LC/MS Pos",5512,526.2,NA,NA,NA
"2-docosapentaenoylglycerophosphocholine*",NA,"Lipid","Lysolipid",37366,"LC/MS Pos",5532,570.3,NA,NA,NA
"2-docosapentaenoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid",34875,"LC/MS Pos",5548,528.2,NA,NA,NA
"2-eicosatrienoylglycerophosphocholine*",NA,"Lipid","Lysolipid",35884,"LC/MS Pos",5565,546.3,NA,NA,NA
"2-ethylhexanoate","149-57-5;","Xenobiotics","Chemical",1554,"GC/MS",1210.5,201.2,"8697",NA,NA
"2-hydroxyacetaminophen sulfate*",NA,"Xenobiotics","Drug",33173,"LC/MS Neg",1703,246.1,NA,NA,NA
"2-hydroxybutyrate (AHB)","3347-90-8;","Amino acid","Cysteine, methionine, SAM, taurine metabolism",21044,"GC/MS",1169.4,130.9,"440864","C05984","HMDB00008"
"2-hydroxyglutarate","40951-21-1;","Lipid","Fatty acid, dicarboxylate",37253,"GC/MS",1576,247,"43","C02630","HMDB00606"
"2-hydroxyhippurate (salicylurate)","487-54-7;","Xenobiotics","Benzoate metabolism",18281,"LC/MS Neg",2252,194.1,"10253","C07588","HMDB00840"
"2-hydroxyisobutyrate","594-61-6;","Xenobiotics","Chemical",22030,"GC/MS",1107.5,130.9,"11671",NA,"HMDB00729"
"2-hydroxypalmitate","764-67-0;","Lipid","Fatty acid, monohydroxy",35675,"LC/MS Neg",5508,271.3,"92836",NA,NA
"2-isopropylmalate","3237-44-3;","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism",15667,"LC/MS Neg",732,175.2,"5280523","C02504","HMDB00402"
"2-linoleoylglycerol (2-monolinolein)","3443-82-1;","Lipid","Monoacylglycerol",32536,"GC/MS",2169,408.3,"5365676",NA,"HMDB11538"
"2-linoleoylglycerophosphocholine*",NA,"Lipid","Lysolipid",35257,"LC/MS Pos",5544,520.4,NA,NA,NA
"2-linoleoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid",36593,"LC/MS Neg",5650,476.4,NA,NA,NA
"2-methylbutyroylcarnitine","31023-25-3;","Amino acid","Valine, leucine and isoleucine metabolism",35431,"LC/MS Pos",2439,246.1,"6426901",NA,"HMDB00378"
"2-myristoylglycerophosphocholine*",NA,"Lipid","Lysolipid",35681,"LC/MS Pos",5450,468.3,NA,NA,NA
"2-oleoylglycerol (2-monoolein)","3443-84-3;","Lipid","Monoacylglycerol",35848,"GC/MS",2170,410.1,"5319879",NA,NA
"2-oleoylglycerophosphocholine*",NA,"Lipid","Lysolipid",35254,"LC/MS Pos",5640,522.4,NA,NA,NA
"2-oleoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid",35687,"LC/MS Neg",5848,478.3,NA,NA,NA
"2-oleoylglycerophosphoserine*",NA,"Lipid","Lysolipid",37948,"LC/MS Neg",5577,522.3,NA,NA,NA
"2-palmitoleoylglycerophosphocholine*",NA,"Lipid","Lysolipid",35819,"LC/MS Pos",5482,494.3,NA,NA,NA
"2-palmitoylglycerol (2-monopalmitin)","23470-00-0;","Lipid","Monoacylglycerol",33419,"GC/MS",2108,129,"123409",NA,NA
"2-palmitoylglycerophosphocholine*",NA,"Lipid","Lysolipid",35253,"LC/MS Pos",5604,496.3,NA,NA,NA
"2-palmitoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid",35688,"LC/MS Neg",5790,452.3,NA,NA,NA
"2-phosphoglycerate","70195-25-4;","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism",35629,"GC/MS",1734,459.1,NA,"C00631","HMDB03391"
"2-stearoylglycerophosphocholine*",NA,"Lipid","Lysolipid",35255,"LC/MS Pos",5780,524.4,"10208382",NA,NA
"2-stearoylglycerophosphoethanolamine*",NA,"Lipid","Lysolipid",41220,"LC/MS Pos",5779.6,482.2,NA,NA,NA
"3-(4-hydroxyphenyl)lactate","6482-98-0;","Amino acid","Phenylalanine & tyrosine metabolism",32197,"LC/MS Neg",1395,181.1,"9378","C03672","HMDB00755"
"3-(cystein-S-yl)acetaminophen*",NA,"Xenobiotics","Drug",34365,"LC/MS Pos",1960,271.2,"5233914",NA,NA
"3-(N-acetyl-L-cystein-S-yl) acetaminophen*","52372-86-8;","Xenobiotics","Drug",18299,"LC/MS Pos",2622,313.1,"83967",NA,NA
"3,4-dihydroxyphenethyleneglycol","28822-73-3;","Amino acid","Phenylalanine & tyrosine metabolism",1555,"GC/MS",1807.7,355.2,"91528","C05576","HMDB00318"
"3-aminoisobutyrate","10569-72-9;214139-20-5;","Nucleotide","Pyrimidine metabolism, thymine containing; Valine, leucine and isoleucine metabolism/",1566,"GC/MS",1252.2,101.9,"64956","C05145","HMDB03911"
"3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)","86879-39-2;","Lipid","Fatty acid, dicarboxylate",31787,"LC/MS Neg",2815,239.1,"123979",NA,NA
"3-dehydrocarnitine*","10457-99-5;","Lipid","Carnitine metabolism",32654,"LC/MS Pos",1020,160.2,"6991982",NA,NA
"3'-dephosphocoenzyme A","3633-59-8;","Cofactors and vitamins","Pantothenate and CoA metabolism",18289,"LC/MS Neg",2010,686.2,"444485","C00882","HMDB01373"
"3-hydroxybutyrate (BHBA)","625-72-9;","Lipid","Ketone bodies",542,"GC/MS",1203.5,116.9,"441","C01089","HMDB00357"
"3-hydroxydecanoate","5561-87-5;","Lipid","Fatty acid, monohydroxy",22053,"LC/MS Neg",4681,187.2,"26612",NA,"HMDB02203"
"3-hydroxyhippurate",NA,"Xenobiotics","Benzoate metabolism",39600,"LC/MS Neg",1670,194.1,"450268",NA,"HMDB06116"
"3-hydroxyoctanoate","88930-08-9;","Lipid","Fatty acid, monohydroxy",22001,"LC/MS Neg",3463,159.2,"26613",NA,"HMDB01954"
"3-indoxyl sulfate","2642-37-7;","Amino acid","Tryptophan metabolism",27672,"LC/MS Neg",2258,212,"10258",NA,"HMDB00682"
"3-methyl-2-oxovalerate","51829-07-3;","Amino acid","Valine, leucine and isoleucine metabolism",15676,"LC/MS Neg",2106,129.2,"439286; 440877; 6857401","C00671","HMDB03736"
"3-methylhistidine","368-16-1;","Amino acid","Histidine metabolism",15677,"LC/MS Neg",911,168.1,"92105; 64969","C01152","HMDB00479"
"3-phosphoglycerate","80731-10-8;","Carbohydrate","Glycolysis, gluconeogenesis, pyruvate metabolism",40264,"GC/MS",1754,357.1,NA,"C00597","HMDB00807"
"3-ureidopropionate","462-88-4;","Amino acid","Alanine and aspartate metabolism",3155,"LC/MS Pos",1062,133.1,"111","C02642","HMDB00026"
"4-acetamidophenol","103-90-2;","Xenobiotics","Drug",12032,"LC/MS Pos",2238,152.1,"1983","C06804","HMDB01859"
"4-acetaminophen sulfate","10066-90-7;32113-41-0;","Xenobiotics","Drug",37475,"LC/MS Neg",1779,230.1,"83939","C06804","HMDB01859"
"4-androsten-3beta,17beta-diol disulfate 1*",NA,"Lipid","Sterol/Steroid",37202,"LC/MS Neg",3735,224.3,NA,NA,"HMDB03818"
"4-guanidinobutanoate","463-003;463-00-3;","Amino acid","Guanidino and acetamido metabolism",15681,"LC/MS Pos",1085,146.1,"500","C01035","HMDB03464"
"4-hydroxybutyrate (GHB)","502-85-2;","Lipid","Fatty acid, monohydroxy",34585,"GC/MS",1277,233.1,"10413","C00989","HMDB00710"
"4-hydroxyglutamate","2485-33-8;","Amino acid","Glutamate metabolism",40499,"GC/MS",1644.2,244.1,"5460078; 5460800","C03079","HMDB01344"
"4-hydroxyhippurate","2482-25-9;","Xenobiotics","Benzoate metabolism",35527,"LC/MS Neg",1439,194,"151012",NA,NA
"4-hydroxyphenylacetate","156-38-7;","Amino acid","Phenylalanine & tyrosine metabolism",541,"GC/MS",1630.6,179,"127","C00642","HMDB00020"
"4-methyl-2-oxopentanoate","816-66-0;","Amino acid","Valine, leucine and isoleucine metabolism",22116,"LC/MS Neg",2200,129.2,"70","C00233","HMDB00695"
"5,6-dihydrouracil","504-07-4;","Nucleotide","Pyrimidine metabolism, uracil containing",1559,"GC/MS",1505.2,243,"649","C00429","HMDB00076"
"5-aminovalerate","660-88-8;","Amino acid","Urea cycle; arginine-, proline-, metabolism",18319,"LC/MS Pos",860,118.1,"138","C00431","HMDB03355"
"5-HETE","73307-52-5;","Lipid","Eicosanoid",37372,"LC/MS Neg",5372,319.2,"9862886",NA,NA
"5-methyltetrahydrofolate (5MeTHF)","68703-91-3;68792-52-9;","Cofactors and vitamins","Folate metabolism",18330,"LC/MS Neg",1838,458.2,"439234; 9825434; 135398561","C00440","HMDB01396"
"5-methylthioadenosine (MTA)","2457-80-9;","Amino acid","Polyamine metabolism",1419,"LC/MS Pos",2427,298.1,"439176","C00170","HMDB01173"
"5-methyluridine (ribothymidine)","1463-10-1;","Nucleotide","Pyrimidine metabolism, uracil containing",35136,"LC/MS Neg",1774,257.1,"445408",NA,"HMDB00884"
"5-oxoETE","106154-18-1;","Lipid","Eicosanoid",38400,"LC/MS Neg",5373,317.3,"1831","C14732","HMDB10217"
"5-oxoproline","98-79-3;","Amino acid","Glutathione metabolism",1494,"LC/MS Neg",744,128.2,"7405","C01879","HMDB00267"
"6-keto prostaglandin F1alpha","58961-34-8;58962-34-8;","Lipid","Eicosanoid",20476,"LC/MS Neg",4180,369.3,"5280888","C05961","HMDB02886"
"6-phosphogluconate","921-62-0;53411-70-4;","Carbohydrate","Nucleotide sugars, pentose metabolism",15442,"LC/MS Neg",588,275.1,"91493","C00345","HMDB01316"
"6'-sialyllactose","35890-39-2;","Carbohydrate","Fructose, mannose, galactose, starch, and sucrose metabolism",39795,"GC/MS",2071.5,285.1,NA,"G00265","HMDB06569"
"7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)","115538-85-7;","Lipid","Sterol/Steroid",36776,"LC/MS Neg",5268,429.4,"3081085","C17337","HMDB12458"
"7-alpha-hydroxycholesterol","566-27-8;","Lipid","Sterol/Steroid",35692,"GC/MS",2300,456.2,"107722","C03594","HMDB01496"
"7-beta-hydroxycholesterol","566-27-8;","Lipid","Sterol/Steroid",35092,"GC/MS",2340,456.4,"473141","C03594","HMDB06119"
"acetylcarnitine","5080-50-2;","Lipid","Carnitine metabolism",32198,"LC/MS Pos",1203,204.2,"7045767","C02571","HMDB00201"
"Ac-Ser-Asp-Lys-Pro-OH","127103-11-1;","Peptide","Polypeptide",40707,"LC/MS Pos",1767,488.2,"4409396",NA,NA
"adenine","73-24-5;","Nucleotide","Purine metabolism, adenine containing",554,"GC/MS",1804.2,264,"190","C00147","HMDB00034"
"adenosine","58-61-7;","Nucleotide","Purine metabolism, adenine containing",555,"LC/MS Pos",1650,268.1,"60961","C00212","HMDB00050"
"adenosine 2'-monophosphate (2'-AMP)","130-49-4;","Nucleotide","Purine metabolism, adenine containing",36815,"LC/MS Pos",1625,348.1,NA,"C00946","HMDB11617"
"adenosine 3'-monophosphate (3'-AMP)","84-21-9;","Nucleotide","Purine metabolism, adenine containing",35142,"LC/MS Pos",1451,348.1,"41211","C01367","HMDB03540"
"adenosine 5'-monophosphate (AMP)","149022-20-8;","Nucleotide","Purine metabolism, adenine containing",32342,"LC/MS Pos",1210,348.1,"15938965","C00020","HMDB00045"
"adenylosuccinate","19046-78-7;","Nucleotide","Purine metabolism, adenine containing",18360,"LC/MS Neg",569,462.1,"195","C03794","HMDB00536"
"adipate","124-04-9;","Lipid","Fatty acid, dicarboxylate",21134,"GC/MS",1520,110.9,"196","C06104","HMDB00448"
"adrenate (22:4n6)","2091-25-0;","Lipid","Long chain fatty acid",32980,"LC/MS Neg",5684,331.3,"5282844","C16527","HMDB02226"
"agmatine","2482-00-0;","Amino acid","Polyamine metabolism",15496,"GC/MS",1526,174,"199","C00179","HMDB01432"
"alanine","56-41-7;","Amino acid","Alanine and aspartate metabolism",1126,"GC/MS",1147.6,115.9,"5950","C00041","HMDB00161"
"alanylalanine","1948-31-8;","Peptide","Dipeptide",15129,"LC/MS Pos",757,161.1,"5460362","C00993","HMDB03459"
"alanylglutamate",NA,"Peptide","Dipeptide",37064,"LC/MS Pos",766,219,"656476",NA,NA
"alanylglycine",NA,"Peptide","Dipeptide",37075,"GC/MS",1412,272.1,"6998028",NA,"HMDB06899"
"alanylisoleucine",NA,"Peptide","Dipeptide",37118,"LC/MS Pos",2011,203.1,"7408079",NA,NA
"alanylleucine",NA,"Peptide","Dipeptide",37093,"LC/MS Pos",2150,203,"259583",NA,NA
"alanylmethionine",NA,"Peptide","Dipeptide",37065,"LC/MS Pos",1596,221,"98509; 5242543",NA,NA
"alanylphenylalanine","3061-90-3;","Peptide","Dipeptide",38679,"LC/MS Pos",2422,237.2,"96814",NA,NA
"alanylthreonine",NA,"Peptide","Dipeptide",37085,"LC/MS Pos",708,191,"426318",NA,NA
"alanyltryptophan","16305-75-2;","Peptide","Dipeptide",42073,"LC/MS Pos",2630,276.2,"85362",NA,NA
"alanyltyrosine",NA,"Peptide","Dipeptide",37098,"LC/MS Pos",1713,253,"572319",NA,NA
"alanylvaline",NA,"Peptide","Dipeptide",37084,"LC/MS Pos",1513,189,"137276",NA,NA
"allo-threonine","28954-12-3;","Amino acid","Glycine, serine and threonine metabolism",15142,"GC/MS",1417.8,219,"99289","C05519","HMDB04041"
"alpha-glutamylglutamate","3929-61-1;","Peptide","Dipeptide",22166,"LC/MS Pos",857,277.1,"439500","C01425",NA
"alpha-glutamyltryptophan","38101-59-6;","Peptide","Dipeptide",40664,"LC/MS Pos",2660,334.1,"100094",NA,NA
"alpha-glutamyltyrosine",NA,"Peptide","Dipeptide",40033,"LC/MS Pos",1810,311.1,"351830",NA,NA
"alpha-hydroxyisovalerate","600-37-3;","Amino acid","Valine, leucine and isoleucine metabolism",33937,"LC/MS Neg",1142,117.1,"99823",NA,"HMDB00407"
"alpha-tocopherol","59-02-9;10191-41-0;","Cofactors and vitamins","Tocopherol metabolism",1561,"GC/MS",2305.4,502.5,"14985","C02477","HMDB01893"
"androsterone sulfate","2479-86-9 ;","Lipid","Sterol/Steroid",31591,"LC/MS Neg",5011,369.2,NA,"C00523","HMDB02759"
"anserine","10030-52-1;","Peptide","Dipeptide derivative",15747,"LC/MS Neg",1126,239.2,"112072","C01262","HMDB00194"
"arabitol","488-82-4;","Carbohydrate","Nucleotide sugars, pentose metabolism",38075,"GC/MS",1687.5,307.1,"94154","C00474","HMDB01851"
"arabonate","7643-75-7;","Cofactors and vitamins","Ascorbate and aldarate metabolism",37516,"GC/MS",1736,292.1,"122045",NA,"HMDB00539"
"arachidate (20:0)","506-30-9;","Lipid","Long chain fatty acid",1118,"GC/MS",2071.2,369.3,"10467","C06425","HMDB02212"
"arachidonate (20:4n6)","506-32-1;","Lipid","Long chain fatty acid",1110,"LC/MS Neg",5525,303.4,"444899","C00219","HMDB01043"
"arginine","1119-34-2;","Amino acid","Urea cycle; arginine-, proline-, metabolism",1638,"LC/MS Neg",728,173.2,"6322; 1549073","C00062","HMDB00517"
"argininosuccinate","156637-58-0;","Amino acid","Urea cycle; arginine-, proline-, metabolism",15497,"GC/MS",2157,446.3,"828","C03406","HMDB00052"
"arginylleucine","1188-24-5;","Peptide","Dipeptide",39995,"LC/MS Pos",1620,288.3,"6992563",NA,NA
"arginylmethionine",NA,"Peptide","Dipeptide",41458,"LC/MS Pos",1151,306.2,"9815009",NA,NA
"arginylphenylalanine","2047-13-4;","Peptide","Dipeptide",41485,"LC/MS Pos",1795,322.2,"150964",NA,NA
"arginyltyrosine","74863-12-0;","Peptide","Dipeptide",41376,"LC/MS Pos",1376.6,338.2,NA,NA,NA
"arginylvaline","2896-20-0;","Peptide","Dipeptide",41395,"LC/MS Pos",944.9,274.2,"6992654",NA,NA
"ascorbate (Vitamin C)","134-03-2;","Cofactors and vitamins","Ascorbate and aldarate metabolism",1640,"GC/MS",1850.1,332.1,NA,"C00072","HMDB00044"
"asparagine","70-47-3;","Amino acid","Alanine and aspartate metabolism",11398,"GC/MS",1651.2,231,"6267","C00152","HMDB00168"
"aspartate","56-84-8;","Amino acid","Alanine and aspartate metabolism",15996,"GC/MS",1529.7,232,"5960","C00049","HMDB00191"
"aspartate-glutamate","6157-06-8;","Peptide","Dipeptide",37461,"LC/MS Pos",819,263.2,"4130574",NA,NA
"aspartylleucine","3062-14-4;","Peptide","Dipeptide",40068,"LC/MS Pos",2310,247.2,"332962",NA,NA
"aspartylphenylalanine","13433-09-5;","Peptide","Dipeptide",22175,"LC/MS Pos",2538,281.1,"93078",NA,"HMDB00706"
"aspartyltryptophan","71835-79-5;","Peptide","Dipeptide",41481,"LC/MS Pos",2717,320.2,"9948926",NA,NA
"aspartylvaline","13433-04-0;","Peptide","Dipeptide",41373,"LC/MS Neg",749.4,231.1,"4991131",NA,NA
"atenolol","29122-68-7;","Xenobiotics","Drug",38658,"LC/MS Pos",1988,267.2,"2249","D00235","HMDB01924"
"azelate (nonanedioate)","123-99-9;","Lipid","Fatty acid, dicarboxylate",18362,"LC/MS Neg",1322,187.2,"2266","C08261","HMDB00784"
"benzoate","65-85-0;","Xenobiotics","Benzoate metabolism",15778,"GC/MS",1291.5,179,"243","C00180","HMDB01870"
"beta-alanine","56-41-7;107-95-9;","Amino acid","Alanine and aspartate metabolism",55,"GC/MS",1451.8,174,"239","C00099","HMDB00056"
"beta-hydroxypyruvate","3369-79-7;","Amino acid","Glycine, serine and threonine metabolism",15686,"GC/MS",1425.1,221,"964","C00168","HMDB01352"
"betaine","107-43-7;","Amino acid","Glycine, serine and threonine metabolism",34426,"LC/MS Neg",725,178.1,"247",NA,"HMDB00043"
"beta-tocopherol",NA,"Cofactors and vitamins","Tocopherol metabolism",35702,"GC/MS",2260,488.3,"6857447","C14152","HMDB06335"
"bilirubin (E,E)*",NA,"Cofactors and vitamins","Hemoglobin and porphyrin metabolism",32586,"LC/MS Neg",4242,583.2,"5315454",NA,NA
"bilirubin (Z,Z)","635-65-4;","Cofactors and vitamins","Hemoglobin and porphyrin metabolism",27716,"LC/MS Neg",4812,583.2,"5280352","C00486","HMDB00054"
"butyrylcarnitine","25576-40-3;","Lipid","Fatty acid metabolism (also BCAA metabolism)",32412,"LC/MS Pos",2007,232.2,"213144",NA,NA
"caprate (10:0)","112-37-8;","Lipid","Medium chain fatty acid",1642,"LC/MS Neg",5092,171.2,"2969","C01571","HMDB00511"
"caproate (6:0)","142-62-1;","Lipid","Medium chain fatty acid",32489,"LC/MS Neg",2766,115.2,"8892","C01585","HMDB00535"
"caprylate (8:0)","124-07-2;","Lipid","Medium chain fatty acid",32492,"LC/MS Neg",4367,143.2,"379","C06423","HMDB00482"
"carnitine","461-05-2;","Lipid","Carnitine metabolism",15500,"LC/MS Pos",702,162.2,"10917",NA,NA
"catechol sulfate",NA,"Xenobiotics","Benzoate metabolism",35320,"LC/MS Neg",1928,188.9,"3083879","C00090",NA
"celecoxib","169590-42-5;","Xenobiotics","Drug",38599,"LC/MS Neg",5257.9,380.2,"2662","D00567,C07589","HMDB05014"
"C-glycosyltryptophan*",NA,"Amino acid","Tryptophan metabolism",32675,"LC/MS Pos",1912,367.1,NA,NA,NA
"chiro-inositol","643-12-9;","Lipid","Inositol metabolism",37112,"GC/MS",1857,318.1,NA,NA,NA
"cholate","81-25-4;","Lipid","Bile acid metabolism",22842,"LC/MS Neg",5148,407.4,NA,"C00695","HMDB00619"
"cholesterol","57-88-5;","Lipid","Sterol/Steroid",63,"GC/MS",2316.9,329.3,"5997; 5314029","C00187","HMDB00067"
"choline","67-48-1;","Lipid","Glycerolipid metabolism",15506,"LC/MS Pos",674,104.2,"6209",NA,NA
"choline phosphate","72556-74-2;","Lipid","Glycerolipid metabolism",34396,"LC/MS Pos",695,184.1,"135437",NA,NA
"cinnamoylglycine",NA,"Xenobiotics","Food component/Plant",38637,"LC/MS Neg",3139,204.1,"709625",NA,NA
"cis-aconitate","585-84-2;","Energy","Krebs cycle",12025,"LC/MS Neg",603,173.1,"643757","C00417","HMDB00072"
"cis-vaccenate (18:1n7)","693-72-1;","Lipid","Long chain fatty acid",33970,"GC/MS",1987,339.3,"5282761","C08367",NA
"citalopram","21986-53-7;","Xenobiotics","Drug",38651,"LC/MS Pos",3771.8,325.2,"2771","C07572","HMDB05038"
"citramalate","6236-10-8;","Amino acid","Valine, leucine and isoleucine metabolism",22158,"GC/MS",1490.7,247,"1081","C00815","HMDB00426"
"citrate","77-92-9;","Energy","Krebs cycle",1564,"GC/MS",1763.4,273.1,"311","C00158","HMDB00094"
"citrulline","372-75-8;","Amino acid","Urea cycle; arginine-, proline-, metabolism",2132,"LC/MS Pos",715,176.1,"833","C00327","HMDB00904"
"codeine","76-57-3;","Xenobiotics","Drug",39610,"LC/MS Pos",2201.1,300.2,NA,NA,"HMDB04995"
