sampleID	hgncSymbol	geneID	pValue	padjust	zScore	l2fc	rawcounts	meanRawcounts	normcounts	meanCorrected	theta	aberrant	AberrantBySample	AberrantByGene	padj_rank	padjust_Sample_specific_genes	padjust_Test_subset	foldChange	HPO_label_overlap	HPO_id_overlap	Ngenes_per_pheno	Nphenos_gene
HG00096	AP000695.2	ENSG00000233818.1_6	1	1	0.17	-0.01	0	0.3	0	0.31	0.95	TRUE	161	10	81			0.99				
HG00096	AP000695.3	ENSG00000279365.1_6	0.744584487311782	1	0.39	0.12	21	18.4	19.56	18.16	745.98	TRUE	161	10	81			1.09				
HG00096	AP000704.1	ENSG00000224790.2_6	0.0699396430794294	1	-2.27	-1.85	1	3.9	0.57	3.46	11.36	TRUE	161	10	81			0.28				
HG00096	AP000962.1	ENSG00000269950.1_5	1	1	0.18	0	0	0.1	0	0.05	1000	TRUE	161	10	81			1				
HG00096	AP001043.1	ENSG00000205622.9_6	0.888735217073151	1	1.16	0.33	1	0.6	1.15	0.45	1000	TRUE	161	10	81			1.26				
HG00096	AP001055.1	ENSG00000267913.1	1	1	0.46	0.18	1	2.3	1.59	0.99	1000	TRUE	161	10	81			1.13				
HG00096	AP001056.2	ENSG00000285413.1_2	0.860825949129938	1	0.52	0.2	4	1.3	1.3	0.98	1000	TRUE	161	10	81			1.15				
HG00096	AP001062.1	ENSG00000184441.4_5	0.883691798629683	1	0.22	0.04	53	37.9	36.5	35.59	13.37	TRUE	161	10	81			1.03				
HG00096	AP001062.1_2	ENSG00000255902.1	0.370540383013315	1	-0.57	-0.39	17	16.3	11.31	14.79	60.74	TRUE	161	10	81			0.76				
HG00096	AP001341.1	ENSG00000222042.1_5	0.158881030483867	1	1.37	0.78	7	5.2	9.07	4.74	1000	TRUE	161	10	81			1.72				
HG00096	AP001412.1	ENSG00000272948.2_4	0.824641715903573	1	-1.65	-0.57	1	0.6	0.34	0.47	1000	TRUE	161	10	81			0.67				
HG00096	AP001468.1	ENSG00000228404.1_5	1	1	-0.08	-0.12	5	11.4	9.18	10.22	25.68	TRUE	161	10	81			0.92				
HG00096	AP001469.3	ENSG00000239415.1_6	0.500842585172694	1	-0.56	-0.18	45	49.8	42.41	47.78	166.53	TRUE	161	10	81			0.88				
HG00096	AP001505.1	ENSG00000276529.1_5	0.700170316022853	1	-0.42	-0.19	22	27.9	23.95	27.23	43.94	TRUE	161	10	81			0.88				
HG00096	AP001615.1	ENSG00000236883.1_5	1	1	0.25	0.05	1	1.2	0.99	0.59	1000	TRUE	161	10	81			1.04				
HG00096	AP001625.2	ENSG00000235772.1_5	1	1	0.31	0.07	5	2.5	2.1	1.99	1000	TRUE	161	10	81			1.05				
HG00096	AP001626.1	ENSG00000235023.1_5	1	1	0.53	0	0	0.1	0	0.05	1000	TRUE	161	10	81			1				
HG00096	AP001627.1	ENSG00000225731.1_4	1	1	1.58	0	1	0.1	0.54	0.05	1000	TRUE	161	10	81			1				
HG00096	APP	ENSG00000142192.20_5	0.440536337973421	1	0.73	0.21	2604	2531.3	2916.6	2522.02	22.44	TRUE	161	10	81		1	1.16				
HG00096	ATP5PO	ENSG00000241837.6_4	0.152823961536259	1	-1.64	-1.01	10	37.3	15.45	32.82	9.47	TRUE	161	10	81			0.5				
HG00096	B3GALT5	ENSG00000183778.17_4	1	1	-0.07	-0.14	0	0.6	0	0.45	1000	TRUE	161	10	81			0.91				
HG00096	BACH1	ENSG00000156273.15_5	1	1	0.18	0	0	0.1	0	0.05	1000	TRUE	161	10	81			1				
HG00096	BAGE2	ENSG00000187172.15_4	1	1	-0.75	-0.73	0	1.1	0	0.89	47.72	TRUE	161	10	81			0.6				
HG00096	BRWD1	ENSG00000185658.13_4	0.795790054902405	1	-0.11	-0.13	19	20.3	17.5	18.74	1000	TRUE	161	10	81			0.91				
HG00096	BRWD1-IT2	ENSG00000255568.2	0.741939923160913	1	0.68	0.22	7	4.2	4.77	3.99	1000	TRUE	161	10	81			1.16				
HG00096	BTG3	ENSG00000154640.14_3	0.543899086675406	1	0.6	0.14	805	865	947.68	859.82	32.36	TRUE	161	10	81		1	1.1				
HG00096	BTG3-AS1	ENSG00000280594.1_3	0.675176354560866	1	-0.38	-0.44	29	28.6	19.86	27.21	4.66	TRUE	161	10	81			0.74				
HG00096	CFAP410	ENSG00000160226.15_4	0.910276633042191	1	0.19	0.02	62	44.9	43.32	42.64	16.64	TRUE	161	10	81	1		1.01				
HG00096	CHODL	ENSG00000154645.13_3	0.191564444284053	1	-1.73	-1.7	1	9.6	1.66	9.13	4.49	TRUE	161	10	81			0.31				
HG00096	CLDN14	ENSG00000159261.10_4	0.72424253824801	1	0.42	0.13	107	70	73.46	67.4	8.72	TRUE	161	10	81		1	1.09				
HG00096	CLIC6	ENSG00000159212.12_2	0.261346108743781	1	-1.13	-0.89	485	593.3	292.48	541.57	5.26	TRUE	161	10	81			0.54				
HG00096	COL18A1	ENSG00000182871.14_3	0.437640201211461	1	0.82	0.24	62	56.6	65.29	55.06	29.09	TRUE	161	10	81			1.18				
HG00096	COL6A1	ENSG00000142156.14_2	0.917843877212703	1	-0.01	-0.11	19	16.2	13.34	14.5	26.77	TRUE	161	10	81			0.93				
HG00096	CR382287.1	ENSG00000279062.1_5	0.937802503164353	1	-0.83	-0.48	1	1.8	0.97	1.7	1000	TRUE	161	10	81			0.72				
HG00096	CR392039.2	ENSG00000279414.1_5	1	1	2.81	0	1	0.2	0.57	0.11	1000	TRUE	161	10	81			1				
HG00096	CR392039.4	ENSG00000279720.1_5	0.146359842340206	1	1.55	0.59	14	5.7	8.16	5.34	1000	TRUE	161	10	81			1.51				
HG00096	CU639417.4	ENSG00000280179.1_5	1	1	1.58	0	1	0.1	0.54	0.05	1000	TRUE	161	10	81			1				
HG00096	CXADRP1	ENSG00000214319.2_4	1	1	0.14	0	0	0.2	0	0.12	1000	TRUE	161	10	81			1				
HG00096	CYYR1	ENSG00000166265.11_2	1	1	-1.58	0	0	0.1	0	0.05	1000	TRUE	161	10	81			1				
HG00096	DOP1B	ENSG00000142197.12_4	1	1	0.2	0	0	0.1	0	0.05	1000	TRUE	161	10	81			1				
HG00096	EIF3FP1	ENSG00000275945.1_4	0.501233339212305	1	0.66	0.26	41	55.3	63.9	53.08	15.34	TRUE	161	10	81			1.2				
HG00096	ETS2	ENSG00000157557.11_3	0.67580424280328	1	-0.39	-0.14	132	158.9	142.02	156.65	32.28	TRUE	161	10	81			0.91				
HG00096	EVA1C	ENSG00000166979.12_3	1	1	-0.33	-0.01	1	0.2	0.57	0.12	1000	TRUE	161	10	81			0.99				
HG00096	EXOSC3P1	ENSG00000229007.1_4	0.383547317774957	1	-1.14	-0.34	24	56.4	40.53	51.88	49.97	TRUE	161	10	81			0.79				
HG00096	EZH2P1	ENSG00000231300.1_4	0.892203717333044	1	0.27	0.04	43	63.2	61.09	59.05	69.37	TRUE	161	10	81			1.03				
HG00096	FAM207CP	ENSG00000232797.1_4	0.670217591545764	1	-1.04	-0.9	1	1	0.33	0.75	3.54	TRUE	161	10	81			0.54				
HG00096	FAM243A	ENSG00000222018.1_3	0.807528736613413	1	-0.41	-0.38	3	5.2	3.49	4.98	49.8	TRUE	161	10	81			0.77				
HG00096	FAM243B	ENSG00000277277.3_5	0.796434131180958	1	-0.44	-0.4	3	6	4.01	5.73	29.11	TRUE	161	10	81			0.76				
HG00096	FP236240.2	ENSG00000279226.1_5	1	1	-0.47	-0.38	0	0.4	0	0.39	1000	TRUE	161	10	81			0.77				
HG00096	FP475955.3	ENSG00000279998.1_5	1	1	0.14	0	0	0.2	0	0.12	1000	TRUE	161	10	81			1				
HG00096	FP565260.2	ENSG00000276612.3_6	0.777336676167192	1	-0.28	-0.02	1609	2040.7	1986.48	2015.75	592.52	TRUE	161	10	81			0.99				
HG00096	FP565260.5	ENSG00000279687.1_5	1	1	0.06	-0.02	2	0.8	0.79	0.58	1000	TRUE	161	10	81			0.99				
HG00096	GAPDHP14	ENSG00000236056.1_2	0.142871740282059	1	1.41	0.67	11	6.1	10.11	6.17	291.14	TRUE	161	10	81			1.59				
HG00096	GATD3A	ENSG00000160221.17_5	0.591645261183649	1	-0.51	-0.05	2125	2535.5	2437.41	2518.82	340.07	TRUE	161	10	81		1	0.97				
HG00096	GATD3B	ENSG00000280071.3_6	0.530071354139056	1	-0.6	-0.06	1989	2421.3	2310.43	2403.87	316.79	TRUE	161	10	81		1	0.96				
HG00096	GPX1P2	ENSG00000215326.3_4	0.709789729022021	1	0.4	0.12	57	34.7	33.54	30.78	25.11	TRUE	161	10	81			1.09				
HG00096	H2BFS	ENSG00000234289.5_2	1	1	0.06	-0.07	5	21.7	15.89	16.67	8.58	TRUE	161	10	81			0.95				
HG00096	H2BFS_2	ENSG00000274559.3_5	1	1	0.06	-0.07	5	21.7	15.89	16.67	8.58	TRUE	161	10	81			0.95				
HG00096	HLCS	ENSG00000159267.14_3	0.12550707303935	1	-1.5	-0.21	371	431.4	368.54	424.78	182.74	TRUE	161	10	81		1	0.86				
HG00096	HMGN1	ENSG00000205581.10_3	0.20208954476311	1	-1.63	-1.77	0	7.6	0	5.88	24.41	TRUE	161	10	81		1	0.29				
HG00096	HSF2BP	ENSG00000160207.8_3	1	1	0.14	0.01	13	6.1	4.92	5.32	1000	TRUE	161	10	81			1.01				
HG00096	HSPA13	ENSG00000155304.5_2	0.483369070502778	1	0.68	0.23	1243	1256.2	1477.69	1261.04	14.45	TRUE	161	10	81			1.17				
HG00096	HSPD1P7	ENSG00000215005.2_4	0.058106293006502	1	-1.91	-0.6	46	103.7	61.42	93.19	45.06	TRUE	161	10	81			0.66				
HG00096	HUNK	ENSG00000142149.8_3	0.804438204886327	1	-0.22	-0.13	22	13.5	11.01	12.26	66.57	TRUE	161	10	81			0.91				
HG00096	IFNAR2	ENSG00000159110.19_3	0.333848726164667	1	0.91	0.15	2168	2314	2565.79	2308.33	77.23	TRUE	161	10	81			1.11				
HG00096	IL10RB	ENSG00000243646.9_3	0.763448073749173	1	-0.26	-0.07	1074	1487.6	1411.53	1486.3	49.82	TRUE	161	10	81		1	0.95				
HG00096	IL10RB-DT	ENSG00000223799.1_5	0.18706449856451	1	1.24	0.23	833	912.3	1057.48	903.36	68.25	TRUE	161	10	81			1.17				
HG00096	ITSN1	ENSG00000205726.14_4	0.250247736860518	1	-1.49	-0.33	28	38.9	29.99	38.05	1000	TRUE	161	10	81			0.8				
HG00096	KCNE1	ENSG00000180509.11_4	1	1	0.19	0	0	0.2	0	0.12	1000	TRUE	161	10	81			1				
HG00096	KCNE1B	ENSG00000276289.4_3	1	1	0.19	0	0	0.2	0	0.12	1000	TRUE	161	10	81			1				
HG00096	KCNJ15	ENSG00000157551.18_5	0.764416971629698	1	-0.3	-0.37	10	14	10.02	13.23	5.96	TRUE	161	10	81			0.77				
HG00096	LCA5L	ENSG00000157578.13_2	1	1	-1.21	0	1	0.5	0.69	0.21	1000	TRUE	161	10	81			1				
HG00096	LINC00161	ENSG00000226935.6_4	1	1	0.18	0	0	0.1	0	0.05	1000	TRUE	161	10	81			1				
HG00096	LINC00163	ENSG00000234880.1_4	1	1	-0.05	0	0	0.1	0	0.05	1000	TRUE	161	10	81			1				
HG00096	LINC00189	ENSG00000215533.8_3	1	1	0.18	0	0	0.1	0	0.05	1000	TRUE	161	10	81			1				
HG00096	LINC00205	ENSG00000223768.2_3	0.59818518182675	1	0.6	0.07	148	142.2	148.25	140.29	495.75	TRUE	161	10	81			1.05				
HG00096	LINC00319	ENSG00000188660.3_4	1	1	1.58	0	1	0.1	0.54	0.05	1000	TRUE	161	10	81			1				
HG00096	LINC00323	ENSG00000226496.2_5	1	1	-1.58	0	0	0.1	0	0.05	1000	TRUE	161	10	81			1				
HG00096	LINC00334	ENSG00000182586.8_2	0.663344511883725	1	0.82	0.17	17	22.7	24.93	21.81	1000	TRUE	161	10	81			1.13				
HG00096	LINC00515	ENSG00000260583.1_5	0.600858221851938	1	0.57	0.21	16	11.6	11.99	9.91	1000	TRUE	161	10	81			1.16				
HG00096	LINC00649	ENSG00000237945.7_4	0.258205848189864	1	-1.16	-0.39	64	101.6	73.37	96.7	30.04	TRUE	161	10	81			0.76				
HG00096	LINC01424	ENSG00000236519.1_5	1	1	-0.04	-0.13	5	6.9	6.03	6.61	1000	TRUE	161	10	81			0.91				
HG00096	LINC01684	ENSG00000237484.5_4	0.296317685655241	1	-1.04	-0.8	26	38.3	20.69	36.36	6.44	TRUE	161	10	81			0.57				
HG00096	LINC01695	ENSG00000236532.5_4	1	1	0.04	-0.02	0	0.2	0	0.17	1000	TRUE	161	10	81			0.99				
HG00096	LSS	ENSG00000160285.14_2	1	1	0.11	-0.04	11	16.5	15.06	15.55	11.26	TRUE	161	10	81			0.97				
HG00096	MCM3AP	ENSG00000160294.10_3	0.328783251588195	1	0.97	0.1	658	800.7	844.38	788.22	284.79	TRUE	161	10	81			1.07				
HG00096	MCM3AP-AS1	ENSG00000215424.9_6	0.510439606835126	1	0.83	0.05	530	632.1	645.77	622.13	1000	TRUE	161	10	81			1.04				
HG00096	MRAP	ENSG00000170262.12_3	0.784643011115359	1	0.4	0.12	16	22.7	23.06	21.17	152.11	TRUE	161	10	81			1.09				
HG00096	MRPS6	ENSG00000243927.5_3	0.306336139683021	1	-0.98	-0.29	167	164	130.57	159.33	38.41	TRUE	161	10	81	1		0.82				
HG00096	NRIP1	ENSG00000180530.10_3	0.833718669971836	1	-0.14	-0.07	82	91.8	85.83	89.75	58.22	TRUE	161	10	81			0.95				
HG00096	OLIG1	ENSG00000184221.12_4	0.296987612694259	1	-1.69	-1.56	0	2.9	0	2.5	41.22	TRUE	161	10	81			0.34				
HG00096	PCBP3	ENSG00000183570.16_4	0.737082898591148	1	0.62	0.3	4	21.2	16.11	13.66	1000	TRUE	161	10	81			1.23				
HG00096	PIGP	ENSG00000185808.13_2	0.467434891251387	1	-0.73	-0.1	297	325.1	301.12	322.7	235.12	TRUE	161	10	81	1		0.93				
HG00096	PKNOX1	ENSG00000160199.14_3	0.666006829941103	1	-0.43	-0.06	313	375.2	353.24	367.05	282.85	TRUE	161	10	81		1	0.96				
HG00096	PLAC4	ENSG00000280109.3_5	0.520914099487071	1	1.9	0.62	1	1.1	1.71	0.58	1000	TRUE	161	10	81			1.54				
HG00096	POFUT2	ENSG00000186866.16_2	0.0774457510028965	1	1.65	0.23	411	392.2	457.98	392.19	173.63	TRUE	161	10	81			1.17				
HG00096	PPIAP1	ENSG00000215351.3_4	1	1	0.27	0	0	0.1	0	0.05	1000	TRUE	161	10	81			1				
HG00096	PRMT2	ENSG00000160310.17_2	0.436863708852829	1	-0.75	-0.12	845	1056.6	962.44	1048.17	104.75	TRUE	161	10	81	1	1	0.92				
HG00096	PSMD4P1	ENSG00000223741.1_4	1	1	0.09	-0.03	10	11.1	10.71	11.12	18.99	TRUE	161	10	81			0.98				
HG00096	RHOT1P2	ENSG00000203616.2_4	0.599530927801236	1	-0.6	-0.51	4	7.9	4.88	7.62	25.78	TRUE	161	10	81			0.7				
HG00096	RIPK4	ENSG00000183421.11_2	1	1	-0.2	-0.28	2	1.9	0.95	1.24	1000	TRUE	161	10	81			0.82				
HG00096	RPL10P1	ENSG00000217026.3_2	0.940694439625681	1	-0.04	-0.06	448	574.4	549.86	573.18	16.19	TRUE	161	10	81			0.96				
HG00096	RPL23AP3	ENSG00000214914.3_2	0.858788436401101	1	-0.4	-0.14	12	18.1	15.14	17.03	1000	TRUE	161	10	81			0.91				
HG00096	RPL23AP4	ENSG00000212932.3_2	0.260361331770438	1	1.16	0.46	25	25.6	34.68	25.07	21.2	TRUE	161	10	81			1.38				
HG00096	RPL31P1	ENSG00000214326.2_2	1	1	0.62	0.24	1	0.9	1.21	0.81	1000	TRUE	161	10	81			1.18				
HG00096	RPL34P3	ENSG00000223671.2_2	1	1	-0.05	-0.07	0	0.2	0	0.21	1000	TRUE	161	10	81			0.95				
HG00096	RPL37P4	ENSG00000230198.1_2	1	1	0.1	-0.04	0	0.5	0	0.42	5.03	TRUE	161	10	81			0.97				
HG00096	RPL3P1	ENSG00000228149.1_2	0.776842029724146	1	0.35	0.06	106	114.9	117.63	112.73	84.77	TRUE	161	10	81			1.04				
HG00096	RPL8P2	ENSG00000225267.1_2	0.0293347338179778	1	2	0.54	192	167.6	240.33	165.16	35.14	TRUE	161	10	81			1.45				
HG00096	RPS5P2	ENSG00000224598.1_2	0.57948059727343	1	0.75	0.28	11	11	13.31	10.88	54.84	TRUE	161	10	81			1.21				
HG00096	RRP1	ENSG00000160214.12_2	0.167658972882479	1	1.33	0.19	1277	1357.3	1520.99	1335.68	114.29	TRUE	161	10	81		1	1.14				
HG00096	S100B	ENSG00000160307.9_2	0.954071663848641	1	-2.11	-0.8	0	0.2	0	0.21	1000	TRUE	161	10	81			0.57				
HG00096	SETD4	ENSG00000185917.13_4	0.954476934049091	1	0.44	0.16	3	4.1	4.04	3.49	1000	TRUE	161	10	81			1.12				
HG00096	SH3BGR	ENSG00000185437.13_4	0.300304680279934	1	1.5	0.31	27	29.1	35.85	28.91	1000	TRUE	161	10	81			1.24				
HG00096	SLC19A1	ENSG00000173638.18_4	0.914552882390998	1	-0.07	-0.05	705	672.4	630.86	653.99	25.03	TRUE	161	10	81		1	0.97				
HG00096	SLC37A1	ENSG00000160190.13_5	0.948566588908007	1	-1.2	-0.8	0	0.5	0	0.47	1000	TRUE	161	10	81			0.57				
HG00096	SLC5A3	ENSG00000198743.6_3	0.888428550785596	1	-0.12	-0.03	2534	2541.5	2453.24	2503.95	80.92	TRUE	161	10	81		1	0.98				
HG00096	SLC6A6P1	ENSG00000226818.1_4	1	1	0.2	0	0	0.1	0	0.05	1000	TRUE	161	10	81			1				
HG00096	SMIM11A	ENSG00000205670.10_3	1	1	0.53	0	0	0.1	0	0.05	1000	TRUE	161	10	81			1				
HG00096	SMIM11B	ENSG00000273590.4_3	1	1	0.53	0	0	0.1	0	0.05	1000	TRUE	161	10	81			1				
HG00096	SMIM34B	ENSG00000278961.2_6	1	1	-0.96	-0.85	0	0.5	0	0.47	0.69	TRUE	161	10	81			0.55				
HG00096	SPATC1L	ENSG00000160284.14_2	0.989864028853392	1	0.05	-0.01	319	240	224.04	225.11	51.42	TRUE	161	10	81			0.99				
HG00096	TEKT4P2	ENSG00000188681.11_2	0.149269175822693	1	1.3	0.57	379	203	297.43	200.04	10.35	TRUE	161	10	81	1		1.48				
HG00096	TERF1P1	ENSG00000173231.6_4	1	1	0.2	0.02	9	10.9	10.68	10.39	1000	TRUE	161	10	81			1.01				
HG00096	TPT1P1	ENSG00000234107.1_4	0.853486750299582	1	-1.15	-0.18	8	17.1	12.24	14.12	1000	TRUE	161	10	81			0.88				
HG00096	TPTE	ENSG00000166157.12	1	1	-0.75	-0.73	0	1.1	0	0.89	47.72	TRUE	161	10	81			0.6				
HG00096	TRPM2	ENSG00000142185.16_5	0.449729220168415	1	-1.29	-1.49	0	2.3	0	2.01	3.91	TRUE	161	10	81			0.36				
HG00096	TSPEAR	ENSG00000175894.16_5	1	1	-0.92	-0.79	0	0.8	0	0.63	5.06	TRUE	161	10	81			0.58				
HG00096	TSPEAR-AS2	ENSG00000182912.6_4	0.488539641204094	1	-1.39	-0.9	1	2	0.66	1.77	1000	TRUE	161	10	81			0.54				
HG00096	U2AF1	ENSG00000160201.11_3	0.713131644035783	1	0.37	0.05	2717	3233.6	3261.59	3150.62	97.69	TRUE	161	10	81		1	1.04				
HG00096	U2AF1L5	ENSG00000275895.6_4	0.731880805994615	1	0.35	0.05	2695	3220.7	3239.89	3137.58	97.56	TRUE	161	10	81		1	1.04				
HG00096	UMODL1-AS1	ENSG00000184385.2_4	1	1	-0.79	-0.62	0	1.5	0	1.36	1000	TRUE	161	10	81			0.65				
HG00096	URB1	ENSG00000142207.6_2	0.497165304528578	1	-0.64	-0.09	1113	1392	1245.5	1327.3	142.92	TRUE	161	10	81		1	0.94				
HG00096	VPS26C	ENSG00000157538.13_3	0.641805421864661	1	0.45	0.06	1862	1900.7	1983.73	1901.16	108.01	TRUE	161	10	81		1	1.04				
HG00096	WRB	ENSG00000182093.15_3	0.830966142056879	1	0.25	0.04	129	138.3	138.58	134.78	86.89	TRUE	161	10	81		1	1.03				
HG00096	WRB-SH3BGR	ENSG00000285815.1_1	0.27598544786485	1	1.01	0.2	121	122	138.13	120.76	126.92	TRUE	161	10	81		1	1.15				
HG00096	ZNF355P	ENSG00000168122.4_2	1	1	-1.96	-0.75	0	0.3	0	0.27	1000	TRUE	161	10	81			0.59				
HG00103	AATBC	ENSG00000215458.8_5	0.247245966140389	1	-1.14	-0.8	18	16.2	7	12.26	8.37	TRUE	161	10	81			0.57				
HG00103	ABCG1	ENSG00000160179.18_5	0.5518306990949	1	-0.54	-0.28	155	198.8	164.71	200.88	14.36	TRUE	161	10	81			0.82				
HG00103	AF015262.1	ENSG00000234703.1_5	1	1	-2.76	0	0	0.1	0	0.05	1000	TRUE	161	10	81			1				
HG00103	AF121897.1	ENSG00000235012.1_5	1	1	0.2	0	0	0.1	0	0.05	1000	TRUE	161	10	81			1				
HG00103	AF127577.1	ENSG00000229047.1_5	0.573147229313445	1	-0.37	-0.15	80	67.7	59.66	65.85	71.34	TRUE	161	10	81			0.9				
HG00103	AF127577.2	ENSG00000231201.1_5	1	1	0	-0.1	0	0.3	0	0.29	1.04	TRUE	161	10	81			0.93				
HG00103	AF127577.6	ENSG00000279390.1_5	0.92880360642359	1	0.82	0.3	1	0.6	1.08	0.41	1000	TRUE	161	10	81			1.23				
HG00103	AF129408.1	ENSG00000272991.1_5	1	1	0.23	0.01	20	12.8	12.29	11.88	1000	TRUE	161	10	81			1.01				
HG00103	AF165147.1	ENSG00000232855.6_6	0.797383644905151	1	-0.7	-0.6	1	0.9	0.41	0.83	1000	TRUE	161	10	81			0.66				
HG00103	AF254983.1	ENSG00000273840.1_5	0.608228481358747	1	1.02	0.55	1	1.1	2.01	0.89	47.72	TRUE	161	10	81			1.46				
HG00103	AJ011931.1	ENSG00000276633.1_3	1	1	0.25	0.04	1	0.8	0.87	0.65	1000	TRUE	161	10	81			1.03				
HG00103	AJ239328.1	ENSG00000280604.1_5	0.459872791994958	1	-0.9	-0.81	3	4.1	1.55	3.14	7.99	TRUE	161	10	81			0.57				
HG00103	AP000146.1	ENSG00000230379.5_5	0.485753991417625	1	1.59	0.65	1	0.4	1.09	0.36	1000	TRUE	161	10	81			1.57				
HG00103	AP000229.1	ENSG00000273492.5_6	1	1	-1.77	0	0	0.1	0	0.05	1000	TRUE	161	10	81			1				
HG00103	AP000265.1	ENSG00000261610.1_2	0.965594072171776	1	-0.62	-0.45	1	0.7	0.4	0.6	1000	TRUE	161	10	81			0.73				
HG00103	AP000281.1	ENSG00000224427.1_2	1	1	0.13	-0.05	1	2.9	2.46	2.58	1000	TRUE	161	10	81			0.97				
HG00103	AP000295.1	ENSG00000249624.9_6	0.570919973581214	1	0.54	0.1	2409	2517.7	2705.63	2518.32	52.76	TRUE	161	10	81			1.07				
HG00103	AP000311.1	ENSG00000249209.2_6	0.377834772320124	1	-0.76	-0.75	18	32.7	16.07	27.67	5.74	TRUE	161	10	81		1	0.59				
HG00103	AP000317.2	ENSG00000272657.1_6	0.302642612498836	1	-0.99	-0.48	104	101.9	68.43	95.66	14.16	TRUE	161	10	81			0.72				
HG00103	AP000568.1	ENSG00000229336.1_5	0.685618998721335	1	0.42	0.17	20	10.5	11.25	9.95	32.17	TRUE	161	10	81			1.13				
HG00103	AP000569.1	ENSG00000273102.1_5	0.410186149212783	1	0.84	0.43	13	6.2	6.63	4.72	12.87	TRUE	161	10	81			1.35				
HG00103	AP000688.4	ENSG00000236677.1_5	1	1	-2.76	0	0	0.1	0	0.05	1000	TRUE	161	10	81			1				
HG00103	AP000695.1	ENSG00000230479.1_6	1	1	0.01	-0.02	6	5.3	4.96	5.08	1000	TRUE	161	10	81			0.99				
