##  See ftp://ftp.ncbi.nlm.nih.gov/genomes/README_assembly_summary.txt for a description of the columns in this file.
#assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
GCA_005236845.1	PRJNA476469	SAMN09435159	QPXT00000000.1	na	1351	1351	Enterococcus faecalis	strain=13-9-85	na	latest	Scaffold	Major	Full	2019-05-08	ASM523684v1	University of Otago	GCF_005236845.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/005/236/845/GCA_005236845.1_ASM523684v1/	na	na	na	haploid	bacteria	2881557	2881378	37.500000	0	62	63	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2018-07-23	2963	2826	61	31028029
GCA_009889545.1	PRJNA507515	SAMN13381900	WUQS00000000.1	na	2268142	2268142	Ignisphaera sp.	na	ILS 400	latest	Contig	Major	Full	2020-01-16	ASM988954v1	Institute of Life Sciences	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/889/545/GCA_009889545.1_ASM988954v1/	contaminated; derived from metagenome	na	na	haploid	archaea	2426542	2426542	48.500000	0	340	340	na	na		0	0	0	na
GCA_010320065.1	PRJNA505131	SAMN12593934	AANLTE000000000.1	na	197	197	Campylobacter jejuni	strain=355181	na	latest	Contig	Major	Full	2020-02-07	PDT000567398.1	Public Health England	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/010/320/065/GCA_010320065.1_PDT000567398.1/	from large multi-isolate project	na	na	haploid	bacteria	1740300	1740300	30.500000	0	79	79	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2019-08-18	1862	1770	43	na
GCA_011042045.1	PRJNA480137	SAMN09638340	DQZB00000000.1	na	2268142	2268142	Ignisphaera sp.	na	HyVt-170	latest	Contig	Major	Full	2020-02-29	ASM1104204v1	The University of Hong Kong	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/011/042/045/GCA_011042045.1_ASM1104204v1/	derived from metagenome; fragmented assembly	na	na	haploid	archaea	428808	428808	37.500000	0	188	188	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2019-02-25	506	498	3	31911466
GCA_012962045.1	PRJNA522654	SAMN10967552	DTYF00000000.1	na	2268142	2268142	Ignisphaera sp.	na	UWMA-0213	latest	Contig	Major	Full	2020-05-04	ASM1296204v1	University of Wisconsin-Madison	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/012/962/045/GCA_012962045.1_ASM1296204v1/	derived from metagenome; fragmented assembly	na	na	haploid	archaea	551885	551885	44.000000	0	168	168	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2019-03-20	685	663	6	na
GCA_015376605.1	PRJNA239251	SAMN16729428	AAXFJJ000000000.1	na	197	197	Campylobacter jejuni	strain=PNUSAC018139	na	latest	Contig	Major	Full	2020-11-12	PDT000888172.1	Centers for Disease Control and Prevention	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/376/605/GCA_015376605.1_PDT000888172.1/	from large multi-isolate project	na	na	haploid	bacteria	1775003	1775003	30.000000	0	27	27	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2020-11-11	1885	1749	49	na
GCA_020395805.1	PRJNA677988	SAMN22060843	ABDDLF000000000.1	na	562	562	Escherichia coli	strain=RM11327	na	latest	Contig	Major	Full	2021-10-08	PDT001146600.1	FDA Center for Food Safety and Applied Nutrition	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/395/805/GCA_020395805.1_PDT001146600.1/	from large multi-isolate project	na	na	haploid	bacteria	5329651	5329651	50.500000	0	177	177	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2021-10-07	5300	5013	100	na
GCA_022064045.1	PRJNA799479	SAMN25174631	JAKNCW000000000.1	na	99938	99938	Metallosphaera javensis (ex Hofmann et al. 2022)	strain=J1	na	latest	Contig	Major	Full	2022-02-08	ASM2206404v1	TU Bergakademie Freiberg	GCF_022064045.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/064/045/GCA_022064045.1_ASM2206404v1/	na	assembly from type material	na	haploid	archaea	2239489	2239489	47.500000	0	87	87	TU Bergakademie Freiberg	Annotation submitted by TU Bergakademie Freiberg	2022-02-08	2473	2439	34	36251741
GCA_025398555.1	PRJNA723099	SAMN30221332	na	na	160	160	Treponema pallidum	strain=ChinaNJ06	na	latest	Chromosome	Major	Full	2022-09-25	ASM2539855v1	University of Washington Laboratory Medicine	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/025/398/555/GCA_025398555.1_ASM2539855v1/	from large multi-isolate project	na	na	haploid	bacteria	1140208	1139594	53.000000	1	1	10	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2022-09-19	1043	985	52	na
GCA_030186535.1	PRJNA977680	SAMN35529470	JASNVW000000000.1	reference genome	3050454	3050454	Ignisphaera cupida	strain=4213-co	na	latest	Contig	Major	Full	2023-06-06	ASM3018653v1	Research Center of Biotechnology RAS	GCF_030186535.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/186/535/GCA_030186535.1_ASM3018653v1/	na	assembly from type material	na	haploid	archaea	1743696	1743696	36.000000	0	14	14	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-06-01	1849	1791	50	na
GCA_030354255.1	PRJNA949606	SAMN33946521	JASDPD000000000.1	na	1280	1280	Staphylococcus aureus	strain=SCL2167	na	latest	Contig	Major	Full	2023-06-27	ASM3035425v1	Universidad del Desarrollo	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/030/354/255/GCA_030354255.1_ASM3035425v1/	from large multi-isolate project	na	na	haploid	bacteria	2899006	2899006	33.000000	0	96	96	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-05-10	2949	2795	62	37338398
GCA_035298205.1	PRJNA514245	SAMN27749900	DAUYIS000000000.1	na	1314	1314	Streptococcus pyogenes	na	351	latest	Contig	Major	Full	2024-01-09	PDT001619691.1	National Center for Biotechnology Information	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/035/298/205/GCA_035298205.1_PDT001619691.1/	from large multi-isolate project	na	na	haploid	bacteria	1735512	1735512	38.500000	0	27	27	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2023-02-18	1683	1605	36	30286803
GCA_039385335.1	PRJNA37813	na	na	na	11320	2955291	Influenza A virus	strain=A/New Jersey/37/2023	na	latest	Complete Genome	Major	Full	2023-10-03	ASM3938533v1	2009 H1N1 Flu Outbreak Sequencing Centers	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/039/385/335/GCA_039385335.1_ASM3938533v1/	na	na	na	haploid	viral	13433	13433	42.500000	8	8	8	2009 H1N1 Flu Outbreak Sequencing Centers	Annotation submitted by 2009 H1N1 Flu Outbreak Sequencing Centers	2023-10-08	12	11	0	na
GCA_044185895.1	PRJNA514245	SAMN43451313	DBAJKI000000000.1	na	90371	28901	Salmonella enterica subsp. enterica serovar Typhimurium	strain=M2400249	na	latest	Contig	Major	Full	2024-10-31	PDT002434864.1	National Center for Biotechnology Information	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/044/185/895/GCA_044185895.1_PDT002434864.1/	from large multi-isolate project	na	na	haploid	bacteria	5061503	5061503	52.000000	0	146	146	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2024-10-30	5040	4828	94	30286803
GCA_049019345.1	PRJNA514245	SAMEA117576640	DBGYQP000000000.1	na	1280	1280	Staphylococcus aureus	na	1244SA	latest	Contig	Major	Full	2025-03-26	PDT002655785.1	National Center for Biotechnology Information	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/049/019/345/GCA_049019345.1_PDT002655785.1/	from large multi-isolate project	na	na	haploid	bacteria	2861326	2861326	32.500000	0	30	30	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2025-03-06	2862	2720	64	30286803
GCA_053780295.1	PRJNA514245	SAMN46049794	DBKXGQ000000000.1	na	1314	1314	Streptococcus pyogenes	strain=23-013-0022	na	latest	Contig	Major	Full	2025-12-01	PDT003006445.1	National Center for Biotechnology Information	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/053/780/295/GCA_053780295.1_PDT003006445.1/	from large multi-isolate project	na	na	haploid	bacteria	1750591	1750591	38.500000	0	41	41	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2025-12-01	1725	1630	36	30286803
GCA_058640615.1	PRJNA239251	SAMN61188502	ACEFAL000000000.1	na	197	197	Campylobacter jejuni	strain=PNUSAC065879	na	latest	Contig	Major	Full	2026-06-30	PDT003268299.1	Centers for Disease Control and Prevention	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/058/640/615/GCA_058640615.1_PDT003268299.1/	from large multi-isolate project	na	na	haploid	bacteria	1841790	1841790	30.000000	0	67	67	NCBI	NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2026-06-29	1965	1860	40	na
GCA_061481855.1	PRJNA1166628	SAMN43969576	JCDTUY000000000.1	na	4565	4565	Triticum aestivum	cultivar=Lumai15	na	latest	Chromosome	Major	Full	2026-09-20	ASM6148185v1	Shandong Agricultural University	na	na	na	na	na	na	haploid	plant	14644421470	14632953470	46.000000	21	2348	13810	na	na		0	0	0	na
GCA_903932215.1	PRJEB38681	SAMEA6955229	CAIZFO000000000.1	na	1506601	1506601	uncultured Lentisphaeria bacterium	na	AM_bin-3943	latest	Contig	Major	Full	2020-07-20	freshwater MAG --- AM_bin-3943	BILS	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/903/932/215/GCA_903932215.1_freshwater_MAG_---_AM_bin-3943/	derived from metagenome; genus undefined	na	na	haploid	bacteria	5690408	5690408	47.500000	0	845	845	na	na		0	0	0	na
GCA_963975855.1	PRJEB47400	SAMEA115300679	CAXBJT000000000.1	na	188906	188906	Jannaschia helgolandensis	na	ERR2762114_maxbin2_12	latest	Contig	Major	Full	2024-03-10	ERR2762114_maxbin2_12	EMG	GCF_963975855.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/963/975/855/GCA_963975855.1_ERR2762114_maxbin2_12/	derived from metagenome	na	na	haploid	bacteria	3539616	3539616	62.500000	0	191	191	na	na		0	0	0	na
GCA_977173205.1	PRJEB104710	SAMEA120691274	CDSJXD000000000.1	na	77133	77133	uncultured bacterium	na	MarMAG_050327	latest	Scaffold	Major	Full	2026-02-11	MarMAG_050327	Helmholtz-Zentrum fur Umweltforschung	na	na
GCA_983991605.1	PRJEB103742	SAMEA122617997	CFEWVC000000000.1	na	1913989	1913989	Gammaproteobacteria bacterium	na	TARA_SAMEA2621204_MAG_00000015	latest	Scaffold	Major	Full	2026-05-27	TARA_SAMEA2621204_MAG_00000015	ETH ZURICH	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/983/991/605/GCA_983991605.1_TARA_SAMEA2621204_MAG_00000015/	derived from metagenome; fragmented assembly; genus undefined	na	na	haploid	bacteria	1053985	1053785	36.000000	0	264	266	na	na		0	0	0	na
