sgRNA,Gene,HL60.initial,KBM7.initial,HL60.final,KBM7.final
AATK_p79104864,AATK,597,640,2244,2543
ABCB8_m150725643,ABCB8,407,583,1738,2951
ABCB8_m150725669,ABCB8,821,425,1510,1077
ABCB8_m150730720,ABCB8,100,150,464,433
ABCB8_p150725600,ABCB8,298,225,350,482
ABCB8_p150725605,ABCB8,102,146,1396,428
ABCB8_p150725612,ABCB8,251,107,1110,685
ABCB8_p150725675,ABCB8,642,426,975,2565
ABCB8_p150730680,ABCB8,526,481,1012,1108
ABCB8_p150730705,ABCB8,743,522,1400,2105
ABCB8_p150730712,ABCB8,170,215,999,1004
ABCC1_m16043636,ABCC1,48,208,563,817
ABCC1_m16043645,ABCC1,1095,551,1280,1793
ABCC1_m16101705,ABCC1,873,593,1320,1374
ABCC1_m16101777,ABCC1,476,410,1487,1117
ABCC1_m16101788,ABCC1,453,296,754,857
ABCC1_m16101799,ABCC1,497,511,779,1023
ABCC1_p16043597,ABCC1,209,232,484,581
ABCC1_p16101667,ABCC1,218,140,392,695
ABCC1_p16101710,ABCC1,36,15,323,392
ABCC1_p16101721,ABCC1,1007,684,1399,2741
ABCF1_m30539291,ABCF1,147,163,305,871
ABCF1_p30539251,ABCF1,767,675,589,647
ABCF1_p30539272,ABCF1,756,585,1503,1612
ABCF1_p30545181,ABCF1,792,678,2674,3651
ABCF1_p30545587,ABCF1,33,140,1055,435
ABCF1_p30545605,ABCF1,341,218,692,550
ABCF1_p30545610,ABCF1,1344,1012,2581,2254
ABCF1_p30545638,ABCF1,145,212,641,844
ABCF1_p30545878,ABCF1,1369,1120,1687,755
ABCF1_p30545888,ABCF1,180,199,701,335
ABHD14B_m52004073,ABHD14B,322,191,616,546
ABHD14B_m52004106,ABHD14B,304,222,823,595
ABHD14B_m52004113,ABHD14B,394,367,1469,905
ABHD14B_m52004122,ABHD14B,1220,1034,1559,2275
ABHD14B_p52004005,ABHD14B,127,234,529,826
ABHD14B_p52004011,ABHD14B,341,358,1060,1399
ABHD14B_p52004019,ABHD14B,28,160,268,454
ABHD14B_p52004061,ABHD14B,265,341,598,324
ABHD14B_p52004076,ABHD14B,1415,1062,3286,2836
ABHD14B_p52004124,ABHD14B,584,546,1254,1988
ABI1_m27149710,ABI1,433,671,1145,574
ABI1_m27149743,ABI1,961,396,1282,1685
ABI1_m27149751,ABI1,839,489,1142,929
ABI1_m27149764,ABI1,139,187,322,470
ABI1_p27112164,ABI1,1163,932,1935,2368
ABI1_p27112174,ABI1,1010,740,3367,2458
ABI1_p27112180,ABI1,310,214,532,667
ABI1_p27149695,ABI1,158,43,242,324
ABI1_p27149701,ABI1,475,439,2839,1808
ABI1_p27149733,ABI1,84,265,395,348
ABL1_m133729449,ABL1,408,211,2194,1051
ABL1_m133729456,ABL1,779,555,1893,837
ABL1_m133729467,ABL1,670,449,2105,689
ABL1_m133729488,ABL1,423,367,1091,62
ABL1_m133729532,ABL1,953,825,3447,2456
ABL1_m133729594,ABL1,531,283,1802,137
ABL1_p133729441,ABL1,429,235,785,491
ABL1_p133729469,ABL1,633,614,1603,2103
ABL1_p133729492,ABL1,752,660,1616,701
ABL1_p133729502,ABL1,527,298,1071,400
ABL2_m179100447,ABL2,970,578,2465,2558
ABL2_m179100544,ABL2,442,151,868,527
ABL2_m179100554,ABL2,718,407,1451,1761
ABL2_m179100597,ABL2,423,431,1458,1285
ABL2_p179095768,ABL2,364,325,1280,822
ABL2_p179100489,ABL2,1567,840,2727,3472
ABL2_p179100503,ABL2,647,560,1579,881
ABL2_p179100524,ABL2,471,266,1198,1935
ABL2_p179100556,ABL2,412,283,1336,813
ABL2_p179100578,ABL2,424,321,871,886
ABLIM2_m8108265,ABLIM2,1080,672,1816,2314
ABLIM2_m8108274,ABLIM2,372,784,2237,2717
ABLIM2_m8108279,ABLIM2,458,338,755,1004
ABLIM2_m8108294,ABLIM2,709,1285,2947,3905
ABLIM2_m8108316,ABLIM2,198,173,245,304
ABLIM2_m8160405,ABLIM2,909,1005,2217,2001
ABLIM2_p8108286,ABLIM2,637,561,1768,2749
ABLIM2_p8108299,ABLIM2,639,836,2576,3115
ABLIM2_p8108320,ABLIM2,102,38,155,410
ABLIM2_p8108331,ABLIM2,885,652,2079,1885
ABT1_m26597238,ABT1,332,207,495,771
ABT1_m26597359,ABT1,244,222,940,469
ABT1_m26597388,ABT1,1186,1115,1327,492
ABT1_p26597221,ABT1,1087,825,1689,1735
ABT1_p26597240,ABT1,81,213,294,225
ABT1_p26597266,ABT1,671,420,520,528
ABT1_p26597293,ABT1,356,391,534,1045
ABT1_p26597300,ABT1,1063,430,669,385
ABT1_p26597313,ABT1,21,101,378,323
ABT1_p26597361,ABT1,231,252,492,360
ABTB1_m127395233,ABTB1,407,308,765,550
ABTB1_m127395403,ABTB1,576,877,765,2182
ABTB1_m127395808,ABTB1,806,366,1408,1592
ABTB1_m127395813,ABTB1,335,199,1368,1279
ABTB1_m127395855,ABTB1,381,500,1765,1327
ABTB1_m127395860,ABTB1,643,621,1404,2053
ABTB1_p127395220,ABTB1,444,627,1291,518
ABTB1_p127395242,ABTB1,573,802,1353,1655
ABTB1_p127395252,ABTB1,358,225,652,1348
ABTB1_p127395834,ABTB1,342,485,656,1442
ACAD11_m132378487,ACAD11,372,404,1310,1207
ACAD11_m132378519,ACAD11,273,248,719,639
ACAD11_m132378564,ACAD11,673,870,1657,2599
ACAD11_m132378578,ACAD11,358,334,789,810
ACAD11_p132378460,ACAD11,1103,627,1294,1663
ACAD11_p132378489,ACAD11,510,745,1345,1522
ACAD11_p132378501,ACAD11,725,418,1432,1513
ACAD11_p132378525,ACAD11,557,648,1139,2025
ACAD11_p132378547,ACAD11,35,262,398,250
ACAD11_p132378566,ACAD11,462,438,713,1096
ACAD9_m128598565,ACAD9,503,521,4007,3584
ACAD9_m128598607,ACAD9,91,121,326,476
ACAD9_m128598614,ACAD9,460,544,2733,923
ACAD9_m128598631,ACAD9,272,343,446,699
ACAD9_m128598636,ACAD9,388,297,489,253
ACAD9_p128598519,ACAD9,433,425,921,393
ACAD9_p128598525,ACAD9,391,299,430,1624
ACAD9_p128598545,ACAD9,564,619,1072,706
ACAD9_p128598551,ACAD9,789,752,1776,2200
ACAD9_p128598592,ACAD9,627,436,791,821
ACAT2_m160183168,ACAT2,448,147,568,619
ACAT2_m160183956,ACAT2,542,577,2289,1422
ACAT2_m160183968,ACAT2,1236,1603,2875,3082
ACAT2_p160183107,ACAT2,1384,1266,1743,3058
ACAT2_p160183121,ACAT2,1135,1085,3564,2633
ACAT2_p160183133,ACAT2,354,378,1046,1292
ACAT2_p160183141,ACAT2,846,475,973,2007
ACAT2_p160183152,ACAT2,1487,1057,3365,4954
ACAT2_p160183940,ACAT2,15,0,41,39
ACAT2_p160183972,ACAT2,94,156,700,1177
ACBD6_m180471277,ACBD6,800,292,1321,827
ACBD6_m180471338,ACBD6,764,459,692,1002
ACBD6_m180471378,ACBD6,403,325,1241,864
ACBD6_p180471251,ACBD6,332,115,896,609
ACBD6_p180471256,ACBD6,73,161,877,1202
ACBD6_p180471263,ACBD6,242,161,441,371
ACBD6_p180471279,ACBD6,539,700,1081,808
ACBD6_p180471286,ACBD6,492,567,1482,749
ACBD6_p180471344,ACBD6,708,728,2207,2977
ACBD6_p180471350,ACBD6,413,303,1196,1451
ACD_m67694254,ACD,799,526,2606,3199
ACD_m67694260,ACD,809,931,2093,1708
ACD_m67694316,ACD,190,254,648,674
ACD_m67694376,ACD,1262,800,1718,2069
ACD_p67694194,ACD,979,589,1841,2020
ACD_p67694285,ACD,414,279,874,1102
ACD_p67694333,ACD,209,137,249,449
ACD_p67694350,ACD,370,138,469,679
ACD_p67694355,ACD,512,448,1735,1603
ACD_p67694362,ACD,1082,618,2113,2505
ACHE_m100491721,ACHE,732,492,1307,991
ACHE_m100491729,ACHE,331,468,1364,1276
ACHE_m100491735,ACHE,1034,902,2107,2308
ACHE_m100491767,ACHE,1059,990,1539,1648
ACHE_m100491773,ACHE,384,219,257,395
ACHE_m100491779,ACHE,191,296,473,883
ACHE_m100491816,ACHE,201,237,603,592
ACHE_p100491631,ACHE,368,331,1066,1230
ACHE_p100491656,ACHE,1787,961,2773,4492
ACHE_p100491821,ACHE,588,627,606,579
ACIN1_m23535193,ACIN1,382,464,679,1012
ACIN1_m23538698,ACIN1,2330,2150,3158,1206
ACIN1_m23538715,ACIN1,576,555,531,727
ACIN1_m23538803,ACIN1,1655,1195,1692,272
ACIN1_m23538815,ACIN1,890,1231,2350,1743
ACIN1_p23538701,ACIN1,276,151,270,192
ACIN1_p23538719,ACIN1,436,315,1128,1105
ACIN1_p23538730,ACIN1,644,265,1051,800
ACIN1_p23538735,ACIN1,168,100,45,0
ACIN1_p23538745,ACIN1,387,345,894,473
ACLY_m40069993,ACLY,863,795,1801,1055
ACLY_m40070008,ACLY,223,256,82,42
ACLY_m40070029,ACLY,90,136,195,115
ACLY_m40070097,ACLY,337,330,443,426
ACLY_m40070116,ACLY,687,621,1961,1756
ACLY_p40069998,ACLY,597,403,853,1039
ACLY_p40070033,ACLY,1085,624,960,223
ACLY_p40070039,ACLY,214,142,141,629
ACLY_p40070062,ACLY,349,152,326,221
ACLY_p40070105,ACLY,518,268,887,1043
ACO2_m41865159,ACO2,811,495,1351,659
ACO2_m41895784,ACO2,561,488,1799,2344
ACO2_m41895810,ACO2,1517,1009,2303,2170
ACO2_m41895824,ACO2,402,188,463,1188
ACO2_m41903807,ACO2,323,634,1371,1351
ACO2_p41865164,ACO2,440,175,1056,852
ACO2_p41895716,ACO2,206,196,641,842
ACO2_p41895844,ACO2,180,296,596,1008
ACO2_p41903797,ACO2,386,375,598,175
ACO2_p41903813,ACO2,711,275,1887,1213
ACP1_m264983,ACP1,1432,979,2488,3262
ACP1_m264989,ACP1,991,751,2780,2161
ACP1_m272095,ACP1,348,377,785,1370
ACP1_m272137,ACP1,1177,407,1252,1058
ACP1_p264954,ACP1,862,787,1473,2180
ACP1_p272032,ACP1,1100,804,2170,2224
ACP1_p272042,ACP1,587,667,1412,1531
ACP1_p272054,ACP1,439,242,245,784
ACP1_p272099,ACP1,240,183,548,776
ACP1_p272185,ACP1,1106,449,1508,2250
ACRC_m70811980,ACRC,314,283,706,1554
ACRC_m70814198,ACRC,52,51,709,624
ACRC_p70800656,ACRC,176,386,846,980
ACRC_p70800697,ACRC,158,384,437,817
ACRC_p70800703,ACRC,948,829,1648,931
ACRC_p70800708,ACRC,1630,1375,3904,4302
ACRC_p70811990,ACRC,337,341,1838,2827
ACRC_p70814182,ACRC,464,463,2492,2331
ACRC_p70814187,ACRC,654,618,1521,1582
ACRC_p70814200,ACRC,1320,726,1494,1929
ACSL6_m131326625,ACSL6,436,107,1422,1026
ACSL6_m131326630,ACSL6,702,341,1272,2201
ACSL6_m131326651,ACSL6,429,390,1691,2488
ACSL6_m131329874,ACSL6,541,602,2163,1428
ACSL6_m131329908,ACSL6,688,488,884,734
ACSL6_p131329816,ACSL6,1223,605,1955,1719
ACSL6_p131329824,ACSL6,699,551,2121,725
ACSL6_p131329830,ACSL6,524,414,824,706
ACSL6_p131329859,ACSL6,165,127,515,533
ACSL6_p131329878,ACSL6,618,808,1583,2013
ACSS2_m33470722,ACSS2,500,202,859,662
ACSS2_m33500924,ACSS2,405,333,1683,1551
ACSS2_m33500940,ACSS2,1126,531,1695,3562
ACSS2_m33500955,ACSS2,426,498,820,1500
ACSS2_m33501214,ACSS2,463,421,845,1776
ACSS2_m33501222,ACSS2,451,438,1371,1376
ACSS2_p33470688,ACSS2,599,350,1065,1819
ACSS2_p33500893,ACSS2,64,252,1128,1621
ACSS2_p33500928,ACSS2,272,454,1819,1851
ACSS2_p33501184,ACSS2,475,299,799,608
ACTL6A_m179287950,ACTL6A,259,218,304,159
ACTL6A_m179287986,ACTL6A,450,202,470,590
ACTL6A_p179287878,ACTL6A,353,283,157,417
ACTL6A_p179287892,ACTL6A,283,377,1190,1878
ACTL6A_p179287902,ACTL6A,513,498,988,1159
ACTL6A_p179287911,ACTL6A,872,670,1947,1268
ACTL6A_p179287920,ACTL6A,818,657,1910,1654
ACTL6A_p179287966,ACTL6A,1006,410,869,304
ACTL6A_p179287976,ACTL6A,216,555,1954,1047
ACTL6A_p179291144,ACTL6A,126,253,232,721
ACTL6B_m100253076,ACTL6B,629,628,2063,1552
ACTL6B_m100253081,ACTL6B,396,389,750,916
ACTL6B_m100253086,ACTL6B,434,521,1882,2074
ACTL6B_m100253168,ACTL6B,511,529,748,2164
ACTL6B_m100253443,ACTL6B,758,723,2678,2516
ACTL6B_m100253971,ACTL6B,329,258,361,1120
ACTL6B_p100253037,ACTL6B,949,460,1018,2309
ACTL6B_p100253066,ACTL6B,669,576,889,767
ACTL6B_p100253094,ACTL6B,643,793,2197,1129
ACTL6B_p100253446,ACTL6B,823,466,1720,826
ACTL7A_m111624641,ACTL7A,1314,876,2510,3213
ACTL7A_m111624669,ACTL7A,377,215,956,842
ACTL7A_m111624684,ACTL7A,363,196,962,1151
ACTL7A_m111624726,ACTL7A,276,171,661,450
ACTL7A_m111624736,ACTL7A,594,467,578,763
ACTL7A_p111624607,ACTL7A,236,403,885,1854
ACTL7A_p111624631,ACTL7A,449,404,599,568
ACTL7A_p111624686,ACTL7A,232,67,168,519
ACTL7A_p111624691,ACTL7A,228,280,953,1363
ACTL7A_p111624699,ACTL7A,826,437,1417,950
ACTN1_m69392359,ACTN1,371,199,1423,1037
ACTN1_m69392382,ACTN1,466,515,1342,2479
ACTN1_m69445694,ACTN1,212,355,816,193
ACTN1_m69445700,ACTN1,476,322,1643,1666
ACTN1_m69445718,ACTN1,739,356,1746,1278
ACTN1_m69445724,ACTN1,1001,742,2437,2097
ACTN1_p69392370,ACTN1,1446,919,3111,3490
ACTN1_p69445679,ACTN1,175,74,381,334
ACTN1_p69445708,ACTN1,122,142,395,420
ACTN1_p69445745,ACTN1,591,419,1213,1105
ACTN4_m39138399,ACTN4,540,400,1210,1730
ACTN4_m39138430,ACTN4,111,149,596,620
ACTN4_m39138527,ACTN4,146,90,398,67
ACTN4_p39138381,ACTN4,447,358,1075,1450
ACTN4_p39138403,ACTN4,570,837,1744,2822
ACTN4_p39138433,ACTN4,590,473,1627,1689
ACTN4_p39138459,ACTN4,1072,1136,1897,2800
ACTN4_p39138465,ACTN4,1160,610,1726,2233
ACTN4_p39138476,ACTN4,306,268,1675,1709
ACTN4_p39138482,ACTN4,927,566,2530,2890
ACTR1A_m104248862,ACTR1A,719,1214,2213,2147
ACTR1A_m104250350,ACTR1A,284,126,189,193
ACTR1A_m104250365,ACTR1A,274,91,1128,1252
ACTR1A_p104248833,ACTR1A,547,420,1032,1967
ACTR1A_p104248866,ACTR1A,664,375,741,301
ACTR1A_p104250290,ACTR1A,412,416,3242,1959
ACTR1A_p104250304,ACTR1A,445,586,1731,2020
ACTR1A_p104262351,ACTR1A,662,619,1218,4097
ACTR1A_p104262374,ACTR1A,910,407,1189,1732
ACTR1A_p104262383,ACTR1A,844,471,342,627
ACTR3_m114684932,ACTR3,697,767,1401,693
ACTR3_m114688941,ACTR3,781,589,1286,326
ACTR3_p114674498,ACTR3,896,664,2125,1851
ACTR3_p114684915,ACTR3,609,464,1110,998
ACTR3_p114684941,ACTR3,648,616,1964,2548
ACTR3_p114684946,ACTR3,524,309,1193,643
ACTR3_p114684953,ACTR3,58,358,287,1091
ACTR3_p114688931,ACTR3,491,433,927,1553
ACTR3_p114691883,ACTR3,369,437,663,816
ACTR3_p114691894,ACTR3,1477,1267,2229,2034
ACTR5_m37377141,ACTR5,589,527,2529,2963
ACTR5_m37377155,ACTR5,65,208,659,363
ACTR5_m37377161,ACTR5,233,309,842,355
ACTR5_m37377171,ACTR5,298,250,764,685
ACTR5_m37377189,ACTR5,462,436,2502,1189
ACTR5_p37377163,ACTR5,362,463,1571,789
ACTR5_p37377178,ACTR5,258,374,1370,888
ACTR5_p37377198,ACTR5,254,270,673,1140
ACTR5_p37377204,ACTR5,198,172,570,543
ACTR5_p37377211,ACTR5,695,416,755,492
ACTR8_m53916047,ACTR8,1690,1323,3444,1592
ACTR8_m53916057,ACTR8,675,566,1179,350
ACTR8_m53916067,ACTR8,862,651,398,74
ACTR8_m53916073,ACTR8,1021,741,1269,2580
ACTR8_m53916081,ACTR8,1310,1157,309,411
ACTR8_m53916091,ACTR8,239,440,361,1091
ACTR8_m53916096,ACTR8,1170,567,565,388
ACTR8_m53916103,ACTR8,615,814,2350,1844
ACTR8_m53916111,ACTR8,443,609,913,1874
ACTR8_m53916121,ACTR8,194,230,157,78
ACTRT3_m169487192,ACTRT3,347,97,346,310
ACTRT3_m169487204,ACTRT3,257,156,950,1253
ACTRT3_m169487242,ACTRT3,1477,907,1672,2552
ACTRT3_m169487247,ACTRT3,294,470,457,812
ACTRT3_m169487252,ACTRT3,193,481,553,1045
ACTRT3_m169487267,ACTRT3,432,381,1343,1621
ACTRT3_m169487273,ACTRT3,549,406,282,1198
ACTRT3_m169487289,ACTRT3,760,300,752,681
ACTRT3_p169487206,ACTRT3,24,229,715,1043
ACTRT3_p169487280,ACTRT3,1000,564,2005,1704
ACVR1B_m52369170,ACVR1B,280,468,1538,2861
ACVR1B_m52369187,ACVR1B,707,652,1605,1647
ACVR1B_m52369192,ACVR1B,430,268,2364,748
ACVR1B_m52369211,ACVR1B,1029,754,1684,2786
ACVR1B_m52369226,ACVR1B,35,205,515,205
ACVR1B_m52369237,ACVR1B,1002,865,1931,1920
ACVR1B_p52369196,ACVR1B,276,160,275,415
ACVR1B_p52369243,ACVR1B,471,422,963,783
ACVR1B_p52369255,ACVR1B,114,94,70,263
ACVR1B_p52369266,ACVR1B,796,679,2414,2199
ACVR1C_m158401016,ACVR1C,305,258,723,1114
ACVR1C_m158401030,ACVR1C,748,808,2126,3206
ACVR1C_m158401075,ACVR1C,193,176,471,1063
ACVR1C_m158401097,ACVR1C,654,444,1557,1665
ACVR1C_m158401113,ACVR1C,224,185,486,717
ACVR1C_m158443700,ACVR1C,675,359,1390,2446
ACVR1C_m158443841,ACVR1C,323,290,1419,1520
ACVR1C_p158443781,ACVR1C,335,259,1156,1715
ACVR1C_p158443786,ACVR1C,959,517,2009,2015
ACVR1C_p158443795,ACVR1C,1008,588,2106,2524
ACVR1_m158637033,ACVR1,652,426,2567,2204
ACVR1_m158637046,ACVR1,485,382,2055,1724
ACVR1_m158637054,ACVR1,198,488,904,680
ACVR1_m158637066,ACVR1,483,371,1070,1150
ACVR1_m158655997,ACVR1,918,1304,2692,3010
ACVR1_p158637019,ACVR1,455,605,1145,1331
ACVR1_p158637035,ACVR1,1370,776,2676,3298
ACVR1_p158637068,ACVR1,469,810,2288,2807
ACVR1_p158655928,ACVR1,196,173,851,587
ACVR1_p158655958,ACVR1,279,203,1070,569
ACVR2A_m148602752,ACVR2A,955,561,1182,1126
ACVR2A_m148602767,ACVR2A,1084,799,1782,3155
ACVR2A_m148653941,ACVR2A,396,368,746,2145
ACVR2A_m148653961,ACVR2A,587,243,1032,954
ACVR2A_p148602720,ACVR2A,961,403,2354,3163
ACVR2A_p148602754,ACVR2A,350,142,731,943
ACVR2A_p148653859,ACVR2A,169,350,959,1370
ACVR2A_p148653946,ACVR2A,648,263,1457,2080
ACVR2A_p148653965,ACVR2A,390,95,190,583
ACVR2A_p148653997,ACVR2A,1091,1020,2469,2845
ACVR2B_m38495825,ACVR2B,1404,1332,3150,2677
ACVR2B_m38518828,ACVR2B,275,617,2219,2134
ACVR2B_m38518849,ACVR2B,440,415,1134,662
ACVR2B_p38495805,ACVR2B,547,437,872,1040
ACVR2B_p38495827,ACVR2B,789,618,1598,2756
ACVR2B_p38518810,ACVR2B,780,728,2390,2354
ACVR2B_p38518817,ACVR2B,861,991,2617,3970
ACVR2B_p38518836,ACVR2B,997,438,1180,1663
ACVR2B_p38518841,ACVR2B,400,279,1162,1254
ACVR2B_p38518854,ACVR2B,1460,918,2715,3235
ACVRL1_m52306276,ACVRL1,627,496,2249,2456
ACVRL1_m52306307,ACVRL1,557,550,1651,1462
ACVRL1_m52306881,ACVRL1,1133,621,2525,2059
ACVRL1_m52306910,ACVRL1,868,640,2322,2264
ACVRL1_m52306921,ACVRL1,504,296,2326,958
ACVRL1_p52306245,ACVRL1,569,548,1736,2092
ACVRL1_p52306281,ACVRL1,813,505,2675,2225
ACVRL1_p52306287,ACVRL1,1148,859,2205,3686
ACVRL1_p52306296,ACVRL1,906,633,1150,1272
ACVRL1_p52306883,ACVRL1,1056,636,1842,2022
ADAD1_m123301295,ADAD1,405,500,1518,1011
ADAD1_m123301308,ADAD1,531,425,878,2224
ADAD1_m123301332,ADAD1,711,630,1699,1668
ADAD1_m123301345,ADAD1,350,264,1162,654
ADAD1_m123301366,ADAD1,358,314,1423,1337
ADAD1_p123301314,ADAD1,991,793,2078,2170
ADAD1_p123301335,ADAD1,538,230,595,508
ADAD1_p123301349,ADAD1,651,161,802,1162
ADAD1_p123301358,ADAD1,1190,1074,3236,4172
ADAD1_p123301373,ADAD1,628,471,1456,1346
ADAM10_m58974490,ADAM10,417,394,676,702
ADAM10_m59009777,ADAM10,367,575,1729,1785
ADAM10_m59009866,ADAM10,415,353,538,1216
ADAM10_m59009883,ADAM10,815,1060,2685,3758
ADAM10_m59041689,ADAM10,61,56,79,309
ADAM10_m59041696,ADAM10,340,258,649,592
ADAM10_p58974401,ADAM10,659,487,936,448
ADAM10_p58974481,ADAM10,911,649,2327,2141
ADAM10_p59009761,ADAM10,246,134,293,508
ADAM10_p59009767,ADAM10,603,423,1536,912
ADAM12_m128018982,ADAM12,438,199,661,612
ADAM12_m128019019,ADAM12,753,735,1714,1670
ADAM12_m128019025,ADAM12,381,485,1516,1073
ADAM12_m128076635,ADAM12,242,399,825,1111
ADAM12_m128076658,ADAM12,523,432,2270,2731
ADAM12_p128018991,ADAM12,35,39,132,389
ADAM12_p128019039,ADAM12,1241,459,1049,1058
ADAM12_p128076618,ADAM12,82,131,305,410
ADAM12_p128076641,ADAM12,768,751,2339,3211
ADAM12_p128076650,ADAM12,530,365,673,1328
ADAMTS5_m28338537,ADAMTS5,668,722,1079,2252
ADAMTS5_m28338697,ADAMTS5,727,422,859,1530
ADAMTS5_m28338702,ADAMTS5,410,280,994,1053
ADAMTS5_p28338524,ADAMTS5,614,586,1600,1039
ADAMTS5_p28338585,ADAMTS5,662,529,853,1072
ADAMTS5_p28338596,ADAMTS5,572,322,592,1002
ADAMTS5_p28338607,ADAMTS5,758,530,2009,1206
ADAMTS5_p28338612,ADAMTS5,78,166,278,479
ADAMTS5_p28338620,ADAMTS5,272,118,566,822
ADAMTS5_p28338667,ADAMTS5,759,520,1914,3378
ADAP1_m975089,ADAP1,321,356,830,1158
ADAP1_m975116,ADAP1,399,189,602,758
ADAP1_m975132,ADAP1,651,530,1919,1445
ADAP1_m994042,ADAP1,199,208,720,1240
ADAP1_m994066,ADAP1,114,38,324,622
ADAP1_m994071,ADAP1,781,405,416,603
ADAP1_m994091,ADAP1,598,686,569,1671
ADAP1_m994101,ADAP1,781,449,1441,1951
ADAP1_m994106,ADAP1,300,372,1070,872
ADAP1_p975103,ADAP1,619,400,837,2124
ADARB1_m46591572,ADARB1,140,105,358,629
ADARB1_m46595675,ADARB1,387,265,1117,697
ADARB1_m46595697,ADARB1,485,319,952,1089
ADARB1_m46595715,ADARB1,510,213,749,1177
ADARB1_m46595721,ADARB1,156,414,1880,1598
ADARB1_m46595779,ADARB1,453,98,304,253
ADARB1_p46595645,ADARB1,738,566,2401,2617
ADARB1_p46595700,ADARB1,503,515,1573,1321
ADARB1_p46595705,ADARB1,1352,1069,2843,4330
ADARB1_p46595724,ADARB1,234,73,485,397
ADARB2_m1779246,ADARB2,1268,893,2792,2559
ADARB2_m1779251,ADARB2,505,337,1496,1434
ADARB2_m1779266,ADARB2,1067,1173,2870,3299
ADARB2_m1779272,ADARB2,693,289,1077,1441
ADARB2_m1779308,ADARB2,776,671,1395,1709
ADARB2_m1779330,ADARB2,92,67,557,699
ADARB2_m1779337,ADARB2,453,395,1564,1305
ADARB2_p1421307,ADARB2,285,169,597,1128
ADARB2_p1421336,ADARB2,382,306,1398,1015
ADARB2_p1779233,ADARB2,301,129,627,1138
ADAR_m154574098,ADAR,1070,579,1931,1523
ADAR_m154574103,ADAR,90,75,441,1151
ADAR_m154574108,ADAR,1085,615,2361,1748
ADAR_m154574165,ADAR,458,292,865,1012
ADAR_m154574219,ADAR,432,715,2566,1758
ADAR_p154574043,ADAR,521,589,1702,1435
ADAR_p154574114,ADAR,68,110,61,35
ADAR_p154574121,ADAR,0,5,0,0
ADAR_p154574126,ADAR,233,227,372,594
ADAR_p154574157,ADAR,701,294,1072,1160
ADCK1_m78285328,ADCK1,451,568,1746,2962
ADCK1_m78285358,ADCK1,1053,1107,2964,4114
ADCK1_m78285376,ADCK1,993,664,2055,2136
ADCK1_m78285413,ADCK1,812,763,2571,3331
ADCK1_p78285311,ADCK1,591,395,1142,1055
ADCK1_p78285331,ADCK1,543,433,2344,3069
ADCK1_p78285341,ADCK1,795,511,1394,1709
ADCK1_p78285386,ADCK1,551,387,1076,1513
ADCK1_p78285402,ADCK1,848,424,2063,2210
ADCK1_p78285416,ADCK1,562,449,1550,3612
ADCK2_m140373155,ADCK2,53,55,158,371
ADCK2_m140373168,ADCK2,469,309,710,1295
