accession	ambiguous_bases	checkm2_completeness	checkm2_contamination	checkm2_model	checkm_completeness	checkm_contamination	checkm_marker_count	checkm_marker_lineage	checkm_marker_set_count	checkm_strain_heterogeneity	coding_bases	coding_density	contig_count	gc_count	gc_percentage	genome_size	gtdb_genome_representative	gtdb_representative	gtdb_taxonomy	gtdb_type_designation_ncbi_taxa	gtdb_type_designation_ncbi_taxa_sources	gtdb_type_species_of_genus	l50_contigs	l50_scaffolds	longest_contig	longest_scaffold	lsu_23s_contig_len	lsu_23s_count	lsu_23s_length	lsu_23s_query_id	lsu_5s_contig_len	lsu_5s_count	lsu_5s_length	lsu_5s_query_id	lsu_silva_23s_blast_align_len	lsu_silva_23s_blast_bitscore	lsu_silva_23s_blast_evalue	lsu_silva_23s_blast_perc_identity	lsu_silva_23s_blast_subject_id	lsu_silva_23s_taxonomy	mean_contig_length	mean_scaffold_length	mimag_high_quality	mimag_low_quality	mimag_medium_quality	n50_contigs	n50_scaffolds	ncbi_assembly_level	ncbi_assembly_name	ncbi_assembly_type	ncbi_bioproject	ncbi_biosample	ncbi_contig_count	ncbi_contig_n50	ncbi_country	ncbi_date	ncbi_genbank_assembly_accession	ncbi_genome_category	ncbi_genome_representation	ncbi_isolate	ncbi_isolation_source	ncbi_lat_lon	ncbi_molecule_count	ncbi_ncrna_count	ncbi_organism_name	ncbi_protein_count	ncbi_refseq_category	ncbi_rrna_count	ncbi_scaffold_count	ncbi_scaffold_l50	ncbi_scaffold_n50	ncbi_scaffold_n75	ncbi_scaffold_n90	ncbi_seq_rel_date	ncbi_spanned_gaps	ncbi_species_taxid	ncbi_ssu_count	ncbi_strain_identifiers	ncbi_submitter	ncbi_taxid	ncbi_taxonomy	ncbi_taxonomy_unfiltered	ncbi_total_gap_length	ncbi_total_length	ncbi_translation_table	ncbi_trna_count	ncbi_type_material_designation	ncbi_ungapped_length	ncbi_unspanned_gaps	ncbi_wgs_master	protein_count	scaffold_count	ssu_contig_len	ssu_count	ssu_gg_blast_align_len	ssu_gg_blast_bitscore	ssu_gg_blast_evalue	ssu_gg_blast_perc_identity	ssu_gg_blast_subject_id	ssu_gg_taxonomy	ssu_length	ssu_query_id	ssu_silva_blast_align_len	ssu_silva_blast_bitscore	ssu_silva_blast_evalue	ssu_silva_blast_perc_identity	ssu_silva_blast_subject_id	ssu_silva_taxonomy	total_gap_length	trna_aa_count	trna_count	trna_selenocysteine_count
RS_GCF_004123125.1	89	100	1.6	Specific	99.44	1.23	604	f__Bacillaceae (UID830)	178	0	3068412	84.4916888193514	191	1873089	51.57933201742985	3631614	RS_GCF_001544135.1	f	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Anoxybacillaceae;g__Geobacillus;s__Geobacillus zalihae	not type material	none	f	12	12	398245	398245	2202	4	2188	NZ_SDKL01000015.1	73960	6	112	NZ_SDKL01000001.1	1633	2981	0	99.571	NAGF01000308.1.2569	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Geobacillus;Geobacillus zalihae	19013	19214	f	f	t	82049	93437	Scaffold	ASM412312v1	na	PRJNA224116	SAMN10797714	191	82049	Thailand: southern hot spring	2019-01-30	GCA_004123125.1	none	full	na	hot spring	none	0	2	Geobacillus sp. PK12	none	na	14	189	12	93437	35608	12049	2019/01/30	2	2508525	4	PK12	-	2508525	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Geobacillus;s__	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Geobacillus;x__unclassified Geobacillus;s__Geobacillus sp. PK12	53	3631614	11	79	na	3631561	0	SDKL00000000.1	3647	189	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	53	19	82	0
RS_GCF_000480115.1	0	99.99	0.71	Specific	99.5	2.1	1402	g__Brucella (UID3486)	225	61.9	2861173	86.10363530378662	21	1901857	57.23414890604438	3322941	RS_GCF_000007125.1	f	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Brucella;s__Brucella melitensis	not type material	none	f	4	4	744849	744849	560609	3	2903	NZ_AXMV01000002.1	560609	3	110	NZ_AXMV01000002.1	2903	5361	0	100	CP033080.1149827.1152749	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Brucella;Brucella melitensis	158235	158235	t	f	f	290374	290374	Contig	Bruc_abor_99-9971-159_V1	na	PRJNA224116	SAMN02334520	21	290374	none	2013-10-24	GCA_000480115.1	none	full	na	none	none	0	1	Brucella abortus 99-9971-159	3339	na	9	none	none	none	none	none	2013/10/24	0	235	3	99-9971-159	Broad Institute	1341676	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Brucellaceae;g__Brucella;s__Brucella abortus	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Brucellaceae;x__Brucella/Ochrobactrum group;g__Brucella;s__Brucella abortus;x__Brucella abortus 99-9971-159	0	3322941	11	56	na	3322941	0	AXMV00000000.1	3163	21	560609	3	1481	2730	0	99.932	658919	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae;g__Ochrobactrum;s__	1482	NZ_AXMV01000002.1	1482	2737	0	100	CP033079.1721650.1723140	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Brucella;Brucella melitensis	0	19	56	0
RS_GCF_010233585.1	0	100	1.7	Specific	100	1.19	454	o__Cytophagales (UID2936)	336	0	9030770	87.45600456785503	164	4923496	47.689768577303646	10326072	RS_GCF_010233585.1	t	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomataceae;g__Spirosoma;s__Spirosoma endbachense	type strain of species	LPSN	f	9	1	969903	10326072	10326072	1	2805	NZ_CP045997.1	none	0	none	none	2812	4019	0	92.568	CP001769.3190739.3193570	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomataceae;Spirosoma;Spirosoma linguale DSM 74	62951	10326072	f	f	t	347919	10326072	Chromosome	ASM1023358v1	na	PRJNA224116	SAMN13230919	164	347919	Germany: Bad Endbach	2020-02-06	GCA_010233585.1	none	full	na	salty meadow	50.765249 N 8.444794 E	1	0	Spirosoma endbachense	none	representative genome	3	1	1	10326072	10326072	10326072	2020/02/06	163	2666025	1	I-24	Justus-Liebig University	2666025	d__Bacteria;p__Bacteroidota;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Spirosoma;s__Spirosoma endbachense	d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Cytophagia;o__Cytophagales;f__Cytophagaceae;g__Spirosoma;s__Spirosoma endbachense	2063	10326072	11	47	assembly from type material	10324009	0	na	8627	1	10326072	5	none	none	none	none	none	none	1804	NZ_CP045997.1-#4	1357	2228	0	96.315	LC269320.1.1420	Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomataceae;Spirosoma;Spirosoma agri	2063	19	47	0
RS_GCF_018129605.1	0	100	1.79	Specific	99.89	0.4	485	o__Rhizobiales (UID3642)	316	0	6822751	88.00841289487042	20	5153372	66.47466553841173	7752385	RS_GCF_018131225.1	f	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium_A;s__Bradyrhizobium_A sp018131225	not type material	none	f	4	4	1558954	1558954	5679	1	2815	NZ_JAFCMJ010000017.1	5679	1	109	NZ_JAFCMJ010000017.1	2819	4662	0	96.559	CP000250.4820799.4823628	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Xanthobacteraceae;Rhodopseudomonas;Rhodopseudomonas palustris HaA2	387619	387619	t	f	f	724207	724207	Contig	ASM1812960v1	na	PRJNA224116	SAMN17707939	20	724207	China: Heihe; Heilongjiang	2021-04-22	GCA_018129605.1	none	full	na	soil	none	0	1	Bradyrhizobium sp. U87765 SZCCT0109	none	na	3	none	none	none	none	none	2021/04/22	0	2807656	1	U87765 SZCCT0109	The Chinese University of Hong Kong	2807656	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;s__	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Nitrobacteraceae;g__Bradyrhizobium;x__unclassified Bradyrhizobium;s__Bradyrhizobium sp. U87765 SZCCT0109	0	7752385	11	50	na	7752385	0	JAFCMJ000000000.1	6947	20	5679	1	none	none	none	none	none	none	1488	NZ_JAFCMJ010000017.1	1482	2687	0	99.393	U87765.1.1483	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Xanthobacteraceae;Afipia;Afipia genosp. 2	0	19	50	1
RS_GCF_000183285.1	0	99.96	0.66	Specific	100	0	137	k__Bacteria (UID2495)	81	0	561625	87.51924527361014	1	168684	26.28639460446677	641716	RS_GCF_000009605.1	f	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales_A;f__Enterobacteriaceae_A;g__Buchnera;s__Buchnera aphidicola_I	not type material	none	f	1	1	641716	641716	641716	1	2909	NC_017253.1	641716	1	95	NC_017253.1	2909	5373	0	100	CP002302.540437.543351	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Buchnera;Buchnera aphidicola str. JF99 (Acyrthosiphon pisum)	641716	641716	t	f	f	641716	641716	Complete Genome	ASM18328v1	na	PRJNA224116	SAMN02604267	none	none	none	2010-11-04	GCA_000183285.1	none	full	na	none	none	1	0	Buchnera aphidicola str. JF99 (Acyrthosiphon pisum)	584	na	3	1	1	641716	641716	641716	2010/11/04	0	9	1	JF99	University of York	713601	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Buchnera;s__Buchnera aphidicola	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Buchnera;s__Buchnera aphidicola;x__Buchnera aphidicola (Acyrthosiphon pisum);x__Buchnera aphidicola str. JF99 (Acyrthosiphon pisum)	0	641716	11	31	na	641716	0	na	594	1	641716	1	none	none	none	none	none	none	1544	NC_017253.1	1544	2852	0	100	CP002302.275192.276738	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Buchnera;Buchnera aphidicola str. JF99 (Acyrthosiphon pisum)	0	19	31	0
RS_GCF_007748075.1	0	97.56	0.51	General	96.21	0	143	k__Bacteria (UID2565)	88	0	3197828	91.71921397166992	1	2228478	63.91658666856348	3486541	RS_GCF_007748075.1	t	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__Mucisphaera;s__Mucisphaera calidilacus	type strain of species	LPSN	t	1	1	3486541	3486541	3486541	1	2753	NZ_CP036280.1	3486541	1	102	NZ_CP036280.1	2752	2573	0	83.83	FUFK010036716.4.2757	Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;Incertae Sedis;metagenome	3486541	3486541	t	f	f	3486541	3486541	Complete Genome	ASM774807v1	na	PRJNA224116	SAMN10954002	none	none	Italy: Panarea	2019-07-31	GCA_007748075.1	none	full	na	red biofilm	38.5568 N 15.1097 E	1	0	Mucisphaera calidilacus	none	representative genome	3	1	1	3486541	3486541	3486541	2019/07/31	0	2527982	1	Pan265	Radboud Universiteit Nijmegen	2527982	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__Mucisphaera;s__Mucisphaera calidilacus	d__Bacteria;x__PVC group;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__Mucisphaera;s__Mucisphaera calidilacus	0	3486541	11	46	assembly from type material	3486541	0	na	2871	1	3486541	1	none	none	none	none	none	none	1507	NZ_CP036280.1	1503	2519	0	96.939	AB491825.1.1502	Bacteria;Planctomycetota;Phycisphaerae;Phycisphaerales;Phycisphaeraceae;Incertae Sedis;uncultured planctomycete	0	19	46	0
RS_GCF_000455425.1	0	100	0.06	Specific	99.33	0.43	813	o__Pseudomonadales (UID4488)	308	50	6033221	89.35579394742938	314	4471690	66.22853865899832	6751908	RS_GCF_001457615.1	f	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	not type material	none	f	25	25	263611	263611	5332	2	2887	NZ_CBMS010000176.1	83514	1	110	NZ_CBMS010000166.1	2887	5332	0	100	CP031659.4962558.4965469	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa	21502	21502	t	f	f	87472	87472	Contig	B3-CFI	na	PRJNA224116	SAMEA2271953	314	87472	none	2013-08-14	GCA_000455425.1	none	full	na	none	none	0	1	Pseudomonas aeruginosa B3-CFI	6553	na	5	none	none	none	none	none	2013/08/14	0	287	2	B3-CFI	DTU	1365011	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;x__Pseudomonas aeruginosa group;s__Pseudomonas aeruginosa;x__Pseudomonas aeruginosa B3-CFI	0	6751908	11	48	na	6751908	0	CBMS000000000.1	6416	314	5332	2	1531	2822	0	99.935	4341866	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__	1532	NZ_CBMS010000176.1	1532	2830	0	100	CP032257.3064337.3065873	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aeruginosa	0	19	50	1
GB_GCA_035553555.1	0	70.03	2.65	General	78.89	2.66	171	k__Bacteria (UID1453)	117	0	2280003	92.28647952234525	468	1810986	73.30232565670042	2470571	GB_GCA_035553555.1	t	d__Bacteria;p__Actinomycetota;c__Nitriliruptoria;o__Euzebyales;f__Egibacteraceae;g__DATMKC01;s__DATMKC01 sp035553555	not type material	none	f	123	123	28265	28265	none	0	none	none	none	0	none	none	none	none	none	none	none	none	5278	5278	f	f	t	6362	6362	Contig	ASM3555355v1	na	PRJNA983538	SAMN37942986	468	6362	none	2024-01-11	GCA_035553555.1	derived from metagenome	full	SMAG_U13586	none	none	0	0	Egibacteraceae bacterium	none	na	0	none	none	none	none	none	2024/01/11	0	3047544	0	SMAG_U13586	Zhejiang University	3047544	d__Bacteria;p__Actinomycetota;c__Nitriliruptoria;o__Egibacterales;f__Egibacteraceae;g__;s__	d__Bacteria;x__Terrabacteria group;p__Actinomycetota;c__Nitriliruptoria;o__Egibacterales;f__Egibacteraceae;x__unclassified Egibacteraceae;s__Egibacteraceae bacterium	0	2470571	11	40	na	2470571	0	DATMKC000000000.1	2758	468	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	0	18	40	1
GB_GCA_038144975.1	0	97.33	0.2	General	98.63	0	227	k__Bacteria (UID2982)	146	0	2210936	90.00672525618667	49	1586783	64.6025888539391	2456412	GB_GCA_038144975.1	t	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Opitutales;f__Opitutaceae;g__Salsuginivita;s__Salsuginivita brisbanensis	type strain of species	Seqcode	f	8	6	207634	410793	137051	1	2884	JAYQOU010000008.1	137051	1	111	JAYQOU010000008.1	2875	4170	0	92.939	CP001032.2053384.2056251	Bacteria;Verrucomicrobiota;Verrucomicrobiia;Opitutales;Opitutaceae;Opitutus;Opitutus terrae PB90-1	50126	81880	t	f	f	106237	152102	Scaffold	SD3114_S44.scaffolds.fasta	na	PRJNA1024631	SAMN37862208	49	106237	none	2024-04-15	GCA_038144975.1	derived from metagenome	full	SD3114_S44.maxbin.056	none	none	0	none	Opitutales bacterium	none	na	none	30	6	152102	100477	58894	2024/04/15	19	2026772	none	SD3114_S44.maxbin.056	Australian Centre for Ecogenomics	2026772	d__Bacteria;p__Verrucomicrobiota;c__Opitutia;o__Opitutales;f__;g__;s__	d__Bacteria;x__PVC group;p__Verrucomicrobiota;c__Opitutia;o__Opitutales;x__unclassified Opitutales;s__Opitutales bacterium	190	2456412	none	none	na	2456222	0	JAYQOU000000000.1	2210	30	137051	1	none	none	none	none	none	none	1556	JAYQOU010000008.1	1538	2512	0	96.164	FPLS01008285.10.1546	Bacteria;Verrucomicrobiota;Verrucomicrobiia;Opitutales;Opitutaceae;Opitutus;metagenome	190	19	45	0
GB_GCA_963644975.1	0	52.46	0.15	Specific	64.11	0	104	k__Bacteria (UID203)	58	0	1056907	88.98800703210249	300	740324	62.43482000919246	1187696	RS_GCF_018918025.1	f	d__Bacteria;p__Bacillota;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Hominicoprocola;s__Hominicoprocola sp900317525	not type material	none	f	75	50	19461	21585	none	0	none	none	none	0	none	none	none	none	none	none	none	none	3952	6385	f	f	t	5283	7766	Scaffold	E07184-L1_cleanbin_000033_GreatApes	na	PRJEB68160	SAMEA114581967	300	5283	none	2023-12-06	GCA_963644975.1	derived from metagenome	full	E07184-L1_cleanbin_000033	none	none	0	none	Catenibacterium sp. co_0103	none	na	none	186	50	7766	5186	3283	2023/12/06	114	2478954	none	E07184-L1_cleanbin_000033	Institute of Clinical Molecular Biology, University of Kiel, Germany	2478954	d__Bacteria;p__Bacillota;c__Erysipelotrichia;o__Erysipelotrichales;f__Coprobacillaceae;g__Catenibacterium;s__	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Erysipelotrichia;o__Erysipelotrichales;f__Coprobacillaceae;g__Catenibacterium;x__unclassified Catenibacterium;s__Catenibacterium sp. co_0103	1941	1187696	none	none	na	1185755	0	CAVIRD000000000.1	1291	186	none	0	none	none	none	none	none	none	none	none	none	none	none	none	none	none	1941	7	10	1
GB_GCA_031410455.1	0	91.39	2.95	General	88.42	2.3	302	p__Bacteroidetes (UID2591)	203	14.29	2431611	91.74415735432719	591	1044642	39.414116824993414	2650426	GB_GCA_031410455.1	t	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__Ferruginibacter sp031410455	not type material	none	f	161	161	27132	27132	none	0	none	none	none	0	none	none	none	none	none	none	none	none	4484	4484	f	f	t	5381	5381	Contig	ASM3141045v1	na	PRJNA808857	SAMN29839824	591	5381	none	2023-09-12	GCA_031410455.1	derived from metagenome	full	VAR_25_metabat_218	none	none	0	none	Chitinophagaceae bacterium	none	na	none	none	none	none	none	none	2023/09/12	0	1869212	none	VAR_25_metabat_218	EPFL	1869212	d__Bacteria;p__Bacteroidota;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;g__;s__	d__Bacteria;x__FCB group;x__Bacteroidota/Chlorobiota group;p__Bacteroidota;c__Chitinophagia;o__Chitinophagales;f__Chitinophagaceae;x__unclassified Chitinophagaceae;s__Chitinophagaceae bacterium	0	2650426	none	none	na	2650426	0	JANNZE000000000.1	2858	591	11365	1	none	none	none	none	none	none	405	JANNZE010000136.1	401	708	0	98.504	JN656902.1.1488	Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Ferruginibacter;uncultured Bacteroidetes bacterium	0	13	21	0
RS_GCF_002368115.1	0	99.99	0.18	Specific	99.33	0.22	579	p__Cyanobacteria (UID2189)	450	100	4067769	78.74135596133789	89	1935053	38.06184181617087	5165988	RS_GCF_002368115.1	t	d__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Cyanobacteriales;f__Nostocaceae;g__Dolichospermum;s__Dolichospermum compactum	not type material	none	f	15	1	263016	5165988	5165988	5	2823	NZ_AP018316.1	5165988	5	112	NZ_AP018316.1	2823	5214	0	100	AP018316.1141740.1144562	Bacteria;Cyanobacteriota;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Dolichospermum;Dolichospermum compactum NIES-806	57123	5165988	t	f	f	118535	5165988	Chromosome	ASM236811v1	na	PRJNA224116	SAMD00079802	89	118535	none	2017-06-25	GCA_002368115.1	none	full	na	none	none	1	1	Dolichospermum compactum NIES-806	4732	representative genome	15	1	1	5165988	5165988	5165988	2017/06/25	88	136073	5	NIES-806	Toyohashi University of Technology	1973481	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__Nostocales;f__Aphanizomenonaceae;g__Dolichospermum;s__Dolichospermum compactum	d__Bacteria;x__Terrabacteria group;x__Cyanobacteriota/Melainabacteria group;p__Cyanobacteriota;c__Cyanophyceae;o__Nostocales;f__Aphanizomenonaceae;g__Dolichospermum;s__Dolichospermum compactum;x__Dolichospermum compactum NIES-806	82017	5165988	11	43	na	5083971	0	na	4742	1	5165988	5	none	none	none	none	none	none	1485	NZ_AP018316.1	1485	2743	0	100	AP018316.4072679.4074163	Bacteria;Cyanobacteriota;Cyanobacteriia;Cyanobacteriales;Nostocaceae;Dolichospermum;Dolichospermum compactum NIES-806	82017	19	43	0
RS_GCF_004194355.1	0	100	0.62	Specific	100	0.38	471	o__Lactobacillales (UID543)	264	0	2108268	85.76456632565889	1	858085	34.90840908277274	2458204	RS_GCF_029023865.1	f	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	not type material	none	f	1	1	2458104	2458204	2458204	6	2895	NZ_CP035757.1	2458204	7	103	NZ_CP035757.1	2895	5347	0	100	CP028160.2191878.2194782	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Lactococcus lactis	2458104	2458204	t	f	f	2458104	2458204	Chromosome	ASM419435v1	na	PRJNA224116	SAMN10754494	1	2458104	South Korea	2019-02-14	GCA_004194355.1	none	full	na	food	none	1	1	Lactococcus lactis	none	na	19	1	1	2458204	2458204	2458204	2019/02/14	1	1358	6	SRCM103457	Microbial Institute for Fermentation Industry	1358	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus lactis	100	2458204	11	66	na	2458104	0	na	2327	1	2458204	6	none	none	none	none	none	none	1545	NZ_CP035757.1	1545	2854	0	100	CP002365.2211382.2212935	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;Lactococcus lactis subsp. lactis CV56	100	19	66	0
GB_GCA_001548255.1	0	100	0.02	Specific	99.43	0.57	319	c__Bacilli (UID285)	176	0	2130302	84.26570867896824	1	906388	35.85286365882052	2528077	RS_GCF_002901995.1	f	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus coagulans	not type material	none	f	1	1	2528077	2528077	2528077	5	2920	AP014944.1	2528077	6	110	AP014944.1	2920	5393	0	100	AP014944.900256.903188	Bacteria;Bacillota;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus schleiferi	2528077	2528077	t	f	f	2528077	2528077	Complete Genome	ASM154825v1	na	PRJDB4158	SAMD00039081	none	none	Japan	2015-09-17	GCA_001548255.1	none	full	na	canine skin	none	1	0	Staphylococcus schleiferi	none	na	16	1	1	2528077	2528077	2528077	2015/09/17	0	1295	5	TSCC54	Juntendo University	1295	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus schleiferi	d__Bacteria;x__Terrabacteria group;p__Bacillota;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus schleiferi	0	2528077	11	58	na	2528077	0	na	2351	1	2528077	5	none	none	none	none	none	none	1550	AP014944.1	1550	2852	0	99.871	CP010309.2405664.2407220	Bacteria;Bacillota;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;Staphylococcus schleiferi	0	19	57	0
RS_GCF_013283855.1	0	99.74	0	Specific	98.1	0	286	o__Actinomycetales (UID1572)	171	0	1299837	95.38645900142804	1	747126	54.826646393279255	1362706	RS_GCF_013283855.1	t	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Aquiluna;s__Aquiluna borgnonia	type strain of species	LPSN	t	1	1	1362706	1362706	1362706	1	3095	NZ_CP054056.1	1362706	1	110	NZ_CP054056.1	3101	5096	0	96.388	LT627734.1308459.1311562	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Microbacteriaceae;Candidatus Aquiluna;Candidatus Aquiluna sp. UB-MaderosW2red	1362706	1362706	t	f	f	1362706	1362706	Complete Genome	ASM1328385v1	na	PRJNA224116	SAMN10640313	none	none	Austria: Wals; Autobahnsee	2020-06-07	GCA_013283855.1	none	full	na	freshwater pond	47.77 N 12.98 E	1	0	Aquiluna borgnonia	none	representative genome	3	1	1	1362706	1362706	1362706	2020/06/07	0	2499157	1	15G-AUS-rot	University of Innsbruck	2499157	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Microbacteriaceae;g__Aquiluna;s__Aquiluna borgnonia	d__Bacteria;x__Terrabacteria group;p__Actinomycetota;c__Actinomycetes;o__Micrococcales;f__Microbacteriaceae;x__Luna cluster;x__Luna-1 subcluster;g__Aquiluna;s__Aquiluna borgnonia	0	1362706	11	41	assembly from type material	1362706	0	na	1378	1	1362706	1	none	none	none	none	none	none	1519	NZ_CP054056.1	1488	2684	0	99.261	JN232896.1.1488	Bacteria;Actinomycetota;Actinobacteria;Micrococcales;Microbacteriaceae;Candidatus Aquiluna;uncultured bacterium	0	19	41	0
RS_GCF_003625925.1	0	100	0.03	Specific	99.73	0.27	674	o__Pseudomonadales (UID4679)	364	0	1721441	86.3617071658342	49	827860	41.53229933195939	1993292	RS_GCF_001632285.1	f	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella;s__Moraxella catarrhalis	not type material	none	f	5	5	286068	286068	5733	1	3154	NZ_QZGI01000024.1	5733	1	109	NZ_QZGI01000024.1	3154	5825	0	100	CP010901.1616354.1619530	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;Moraxella catarrhalis	40679	40679	t	f	f	167774	167774	Contig	ASM362592v1	na	PRJNA224116	SAMN09947560	49	167774	United Kingdom: Leicester	2018-10-06	GCA_003625925.1	none	full	na	sputum	none	0	1	Moraxella catarrhalis	none	na	3	none	none	none	none	none	2018/10/06	0	480	1	COPD_M139	University of Leicester	480	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Moraxella;s__Moraxella catarrhalis	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Moraxellales;f__Moraxellaceae;g__Moraxella;s__Moraxella catarrhalis	0	1993292	11	45	na	1993292	0	QZGI00000000.1	1895	49	5733	1	none	none	none	none	none	none	1526	NZ_QZGI01000024.1	1526	2819	0	100	CP010901.1620016.1621557	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;Moraxella catarrhalis	0	19	45	0
