gene_id	GSM1841068	GSM1841069	GSM1841070	GSM1841071	GSM1841072	GSM1841073	GSM1841074	GSM1841075	GSM1841076	GSM1841077	GSM1841078	GSM1841079	GSM1841080	GSM1841081
261734	57	51	17	87	15	43	32	52	16	35	35	42	26	24
8514	485	208	175	405	123	309	291	303	142	172	340	275	312	182
26038	1	3	1	7	0	4	1	6	1	8	8	8	2	8
105376687	0	0	1	0	0	0	1	0	0	1	0	1	0	0
6146	3176	2902	5466	1486	815	1610	1530	2188	709	926	1710	782	1366	618
107985733	3	1	0	0	0	2	0	1	1	3	6	2	2	0
102724450	0	0	0	0	0	0	0	0	2	0	0	1	0	0
388591	35	30	16	30	11	26	21	25	20	27	45	22	48	27
23463	830	563	691	438	141	439	314	541	172	394	394	313	397	238
148645	0	0	1	0	0	0	0	2	0	0	1	1	3	0
390992	0	0	0	0	0	0	0	0	0	0	0	0	0	0
387509	0	2	2	2	0	1	0	2	0	3	9	7	17	3
11332	84	26	31	59	21	45	52	37	29	26	53	65	47	30
54626	0	0	0	0	0	0	0	0	0	3	4	1	0	0
83715	18	3	2	11	6	12	13	11	4	9	7	6	13	14
100422975	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8718	212	81	40	240	66	148	150	150	74	78	75	79	123	96
57449	7	3	4	4	2	1	3	4	3	1	6	4	4	1
79707	1761	1370	2053	933	330	901	681	1168	484	724	1117	589	898	487
80835	3	2	0	1	0	1	2	0	6	2	2	3	7	0
107984912	0	0	0	0	0	0	0	0	0	1	0	0	0	0
3104	88	22	9	75	29	59	46	51	23	38	48	39	48	35
9903	479	425	177	498	83	353	193	473	153	414	234	388	292	296
107984913	4	3	0	0	1	0	0	1	4	4	2	3	0	0
148479	97	63	65	38	21	36	38	52	25	42	67	39	73	26
90326	90	40	25	92	28	50	52	58	25	37	68	47	54	36
55735	557	409	361	347	120	327	258	400	148	219	353	204	286	176
100505887	0	0	0	0	0	0	0	0	0	0	0	1	0	0
110841581	2	0	0	1	0	1	1	2	0	2	2	0	0	1
23261	240	233	306	135	41	115	103	168	75	174	198	134	172	99
105376692	1	1	0	0	0	0	0	2	2	4	0	3	2	1
102725193	0	0	0	0	0	0	0	0	0	0	1	1	1	0
101928836	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376691	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376689	5	10	5	3	1	5	1	5	1	6	5	4	6	3
9341	332	277	400	188	98	206	116	238	151	193	320	140	389	149
8863	266	149	136	45	14	33	46	63	39	50	78	41	61	25
10911	22	19	8	9	5	36	10	17	9	21	10	8	9	1
3604	3704	4112	3010	1577	1366	3112	1468	2375	2824	5132	2539	1396	1642	723
11315	1571	1413	1602	763	346	813	680	1077	435	546	1060	590	710	346
54206	175	201	193	87	37	153	82	170	91	99	237	74	108	52
107984915	0	0	1	0	0	1	0	0	1	1	0	0	1	0
102724539	0	0	2	0	0	0	0	0	1	0	0	0	0	1
105376695	1	0	0	0	0	0	0	0	0	0	0	2	0	0
50651	1	1	0	1	1	1	0	1	1	0	0	6	0	0
473	204	94	188	128	31	74	99	84	96	95	241	117	140	43
102724552	1	2	3	0	0	1	1	2	0	1	1	2	5	1
106632271	0	0	0	0	0	0	0	0	0	1	0	0	0	0
2023	32866	18401	16294	19101	7743	18019	17373	22665	8700	10970	19660	11046	15821	8995
102465436	9	2	4	5	1	3	2	6	1	2	1	2	3	4
100505975	3	3	7	2	1	3	3	3	2	1	2	1	2	1
112268261	11	7	5	4	1	3	2	4	8	11	12	16	9	8
765	0	0	2	0	0	0	0	1	1	0	3	2	0	0
155184	0	0	0	0	0	0	0	1	0	2	1	1	1	2
6518	4	0	2	0	0	0	0	0	2	6	5	9	4	3
80045	38	20	13	11	5	6	15	12	8	22	285	148	612	132
106614088	1	3	0	1	0	1	1	2	1	4	5	4	26	1
407040	0	0	0	0	0	0	0	0	0	0	0	0	1	0
102724571	0	0	0	0	0	0	0	0	0	0	2	0	1	0
9563	114	120	73	165	68	198	62	138	81	172	302	224	435	237
80176	26	33	17	47	10	71	30	67	26	91	29	35	48	25
100506022	0	0	2	0	0	0	0	1	3	1	2	0	2	1
84275	818	513	972	310	157	322	300	497	180	257	405	204	334	182
199953	96	38	19	100	30	58	64	42	20	34	42	60	49	33
107985734	4	3	2	2	1	2	3	7	1	2	3	4	1	1
105376712	0	0	0	0	0	1	0	0	2	2	0	0	2	0
5293	1002	879	379	1038	267	760	602	951	279	500	646	737	503	396
644997	11	17	12	8	6	14	5	16	6	9	24	4	9	7
101929074	2	4	5	3	0	2	1	2	0	2	4	1	4	1
22883	210	156	92	190	44	195	132	224	77	177	225	222	221	155
56998	5	24	11	13	2	16	5	13	6	11	12	20	8	15
105376717	0	1	0	3	0	1	1	0	2	0	3	0	3	2
84328	504	384	527	172	91	231	148	274	139	158	314	138	252	95
64802	47	36	65	23	14	34	22	53	18	23	55	29	31	25
113391335	0	2	1	0	0	1	1	2	1	2	2	0	5	1
100847055	0	0	0	0	0	1	0	0	0	0	0	0	1	1
116362	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10277	531	237	473	223	98	223	224	249	187	195	469	196	316	132
23095	1338	894	1444	594	267	711	465	730	734	1044	2357	1106	1467	643
105376725	3	0	2	6	1	4	0	0	6	4	14	5	4	2
5226	797	652	397	672	174	520	384	669	355	479	1125	815	818	467
100526739	16	9	29	10	5	10	8	11	6	8	20	11	11	6
378708	36	20	47	15	5	17	15	18	11	9	33	16	16	11
1325	5	2	5	1	0	2	1	2	0	2	2	1	2	0
1676	758	499	718	336	206	321	353	454	179	245	428	230	371	147
5195	65	25	27	31	21	63	42	57	24	28	59	45	50	27
54897	13	18	9	23	7	34	5	24	24	19	41	18	54	17
105376733	0	0	0	0	0	0	0	1	1	1	0	2	3	0
105376735	0	0	2	0	0	0	0	0	0	0	2	2	0	0
148345	1	4	0	0	0	0	2	0	1	1	0	0	0	1
23435	913	926	1050	488	177	537	380	675	272	472	774	431	601	342
10747	18	18	17	11	3	15	6	23	6	22	27	14	20	17
6723	362	124	74	349	102	251	290	256	85	114	191	250	197	102
5394	1219	878	1110	673	255	656	535	923	422	520	964	447	888	408
105376736	2	2	3	2	1	1	3	2	1	1	1	3	1	2
2475	1583	1108	1211	1058	299	956	682	1190	522	784	1220	674	983	547
100873935	21	15	15	12	2	13	7	14	3	5	17	10	11	6
10218	12	14	11	23	0	9	3	9	4	11	28	8	19	9
29914	471	304	329	296	99	281	210	321	165	196	285	200	290	154
105376737	0	0	0	3	0	0	0	1	0	0	0	0	0	0
105376739	0	0	0	0	0	0	0	0	1	1	0	0	0	0
105376740	0	0	0	0	0	0	0	1	1	0	1	0	2	0
57540	2	1	3	5	0	3	1	2	0	5	2	7	4	2
112268221	0	2	3	3	0	1	0	0	3	4	3	1	0	4
101929181	1	0	0	0	0	0	0	0	0	0	0	0	1	1
26232	1	1	0	0	2	0	3	3	2	2	2	0	0	0
93611	32	18	9	27	11	17	23	20	10	11	16	10	21	16
26270	74	19	16	31	7	20	23	30	45	28	83	22	179	36
10459	136	43	16	79	41	86	83	111	43	63	79	86	110	78
374946	3	3	1	5	1	0	0	0	0	3	10	8	6	2
57085	2	0	0	2	3	0	0	1	5	2	2	2	5	1
284498	11	6	2	13	3	9	7	10	4	8	7	10	8	8
102724659	0	0	0	2	0	0	1	0	0	0	0	2	1	2
4524	109	75	29	91	28	97	55	93	42	60	94	89	113	57
1185	67	48	49	72	24	56	28	61	24	43	79	63	110	38
100379251	5	11	12	7	2	7	8	14	3	11	17	10	20	7
4878	0	2	1	4	0	1	1	1	2	2	3	1	4	2
4879	0	0	0	0	0	0	0	0	0	0	1	0	0	0
26829	2	6	1	0	1	4	4	3	0	5	0	0	6	4
90231	97	72	41	73	31	73	62	109	41	58	77	86	80	62
5351	65	18	10	26	15	25	35	36	31	25	67	52	27	24
9927	1507	890	951	908	327	803	716	903	492	593	1216	723	837	367
60672	50	12	2	41	16	30	32	31	14	23	47	34	55	29
102466982	0	0	0	0	0	0	0	0	0	0	0	0	0	0
943	77	10	7	20	22	27	52	20	95	111	133	52	88	29
102465836	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7133	2477	1368	557	2288	902	2294	1510	2091	2196	3683	3233	2896	2649	1806
100616438	0	0	0	0	0	1	0	0	0	0	0	0	0	0
107984917	4	3	1	6	0	6	4	8	9	9	8	3	2	2
55187	1665	1242	1664	826	326	1057	623	1083	620	945	1567	780	1273	581
677885	0	1	1	0	1	0	2	1	1	0	0	0	1	1
105376744	3	2	1	3	0	0	2	0	5	4	2	5	2	2
9249	265	77	159	68	71	31	111	54	117	22	197	44	58	26
102466722	0	0	0	0	0	0	0	0	0	0	0	0	0	0
343066	0	2	0	0	0	0	0	0	0	3	2	2	0	3
126767	5	0	3	3	0	1	0	1	1	2	5	4	2	2
93190	0	2	0	0	0	0	1	0	3	1	8	3	4	2
390999	0	0	0	0	0	0	0	0	1	1	1	1	0	0
65121	0	0	0	0	0	2	0	1	0	0	2	1	0	1
105376745	0	0	0	0	0	0	0	0	0	2	1	1	0	1
440560	0	0	2	0	0	1	1	1	2	1	1	1	2	0
343069	4	5	8	5	1	1	4	2	2	2	2	1	3	4
65122	0	0	0	1	0	0	0	1	1	0	1	5	2	1
400735	0	0	0	0	0	1	0	0	0	1	1	2	2	0
343071	0	1	0	0	1	0	0	1	1	1	1	0	3	0
441871	1	0	0	1	0	0	0	0	0	1	5	1	2	0
440561	1	0	0	0	0	1	0	0	1	2	1	1	1	0
101929983	0	0	0	0	0	0	0	0	0	0	0	1	1	0
649330	0	1	1	1	0	0	0	0	0	1	1	2	0	0
441873	1	0	1	0	0	0	0	1	1	3	2	1	2	1
649324	2	1	1	1	0	1	0	0	0	0	9	2	1	2
440563	0	0	0	0	0	1	0	2	0	1	2	0	1	1
645354	2	1	1	1	0	1	0	0	0	0	9	2	1	2
645359	1	0	0	0	1	0	0	1	1	1	1	1	1	1
101060301	0	1	1	1	0	0	0	0	0	1	1	2	0	0
343070	0	0	0	0	0	0	0	0	0	0	1	1	2	0
400736	0	0	0	0	0	0	0	1	2	0	2	1	0	0
391003	0	0	1	0	0	0	0	1	1	1	0	0	1	1
343068	1	0	0	0	0	1	0	0	0	1	1	3	0	1
391002	1	0	0	1	0	0	0	0	0	1	2	1	0	1
645382	0	1	0	0	0	0	0	1	1	2	0	1	1	0
653619	1	3	1	0	0	1	0	1	1	2	3	2	1	0
729528	1	1	0	1	0	1	0	0	0	0	1	3	0	0
645414	0	2	0	0	0	0	0	0	2	1	1	2	2	3
391004	0	0	1	0	0	0	0	0	0	2	2	3	0	1
645425	0	0	0	0	0	0	0	0	1	2	1	0	0	1
126755	0	0	0	0	0	0	0	0	0	1	0	1	1	1
102724856	1	0	0	0	0	0	1	0	0	0	4	0	1	1
107984918	1	0	0	1	0	1	0	0	0	0	0	0	0	0
10630	0	3	2	1	0	0	0	1	2	4	3	2	4	2
107984919	1	0	0	0	0	0	0	0	2	1	2	0	0	0
105378612	0	3	0	0	0	0	0	0	0	0	0	0	1	0
105376756	0	0	1	1	0	1	0	1	1	2	0	0	0	2
7799	714	649	870	547	183	614	303	688	430	666	951	540	738	375
23254	2	1	1	5	3	2	4	3	8	5	10	10	7	2
107985467	3	1	3	0	0	1	0	0	0	0	3	1	1	1
107985468	0	0	0	0	0	0	0	0	0	0	0	0	1	0
105376762	1	0	2	0	0	0	0	0	1	0	0	2	2	2
105376759	3	1	0	3	0	0	0	1	1	2	2	2	5	0
107985469	1	0	3	0	0	1	0	0	0	1	2	1	1	0
200197	0	1	2	0	0	0	1	1	4	4	2	2	0	1
55092	4	3	2	1	0	0	1	1	4	2	8	7	9	4
727684	0	3	0	3	0	0	0	0	1	0	3	2	1	0
114827	1	5	2	2	0	0	2	1	5	3	9	3	6	1
101927417	0	1	3	1	0	0	0	0	0	0	2	1	2	1
101927441	15	11	11	11	6	19	9	17	6	19	17	12	21	13
79180	198	136	75	236	60	207	107	152	64	86	139	130	132	112
11330	1	0	0	2	0	3	1	1	0	3	1	5	2	4
63036	0	1	0	2	0	0	1	0	2	0	0	0	0	0
105376767	0	0	0	0	0	0	0	0	1	2	0	1	1	0
51032	0	2	0	1	0	0	0	1	1	2	0	1	1	0
842	33	17	19	12	10	12	12	15	12	24	30	23	36	20
23341	450	456	527	270	94	291	181	332	146	226	367	227	329	160
107397391	3	0	1	0	0	0	0	0	0	0	0	0	0	0
79814	349	123	249	90	52	64	105	103	73	49	132	44	137	43
84301	1082	861	1288	661	211	562	364	737	294	554	796	562	437	324
6248	236	191	297	152	44	142	80	152	76	128	182	133	114	74
23207	260	113	29	197	56	162	112	142	72	121	176	156	191	117
284723	3	0	4	6	3	1	3	4	5	3	6	2	5	0
110806303	0	0	1	1	0	0	0	1	0	0	1	0	1	0
388595	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54751	0	0	0	0	0	1	0	0	1	0	1	1	1	0
440567	28	12	41	10	5	15	8	11	9	13	13	6	14	7
729614	24	3	5	12	7	3	12	10	13	14	18	14	18	10
23013	1469	1099	1256	1139	328	1071	625	1058	543	937	1398	978	1065	670
7709	105	54	60	70	35	64	73	66	55	47	79	54	107	74
149563	0	0	0	1	0	0	2	1	1	4	0	2	2	3
27129	0	0	2	0	0	1	0	0	1	2	0	0	2	0
1187	0	3	0	1	0	2	0	0	0	0	1	3	1	1
1188	0	0	0	2	0	0	0	1	0	1	1	2	1	1
348487	1	0	0	0	0	0	0	0	0	1	0	0	0	2
1969	1	0	0	5	0	1	5	4	18	23	48	111	20	51
101927479	0	3	1	5	0	1	2	4	3	2	5	2	4	5
128272	23	13	10	32	6	24	11	19	9	11	27	23	26	23
101927546	2	1	0	3	0	1	4	0	1	3	3	3	4	2
79363	7	0	0	5	0	6	9	4	2	5	5	8	4	5
54455	282	236	262	177	44	190	109	218	104	171	289	172	192	107
26099	695	573	456	583	193	518	363	566	268	415	595	498	526	394
374955	559	487	428	386	124	373	234	455	202	331	495	347	397	279
55707	514	454	310	339	130	360	247	455	185	315	463	262	574	214
107984921	22	30	12	6	0	11	8	10	6	3	19	11	15	6
114819	11	21	5	8	2	5	6	15	7	12	7	6	23	6
26871	20	18	19	11	8	17	16	24	5	10	16	6	10	9
107985757	0	0	0	0	0	0	0	0	1	0	0	0	0	0
100132147	4	1	0	3	0	1	4	2	0	1	4	1	2	2
107985758	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7195	0	0	0	0	0	0	0	1	0	0	0	0	0	0
55672	100	113	93	57	19	56	41	82	41	72	63	50	61	41
105376794	119	76	105	81	40	103	45	69	76	83	145	99	154	73
84809	30	20	41	20	12	23	13	15	15	21	31	16	35	14
11209	5	1	1	2	2	1	3	4	1	2	4	2	1	3
107985736	2	2	1	1	0	1	0	5	1	3	5	7	8	1
26869	14	11	13	11	6	11	11	20	4	5	9	7	4	7
107985759	0	0	0	0	0	0	0	1	0	0	0	0	0	0
284729	1	0	0	0	0	0	0	0	0	0	1	1	0	0
100189045	0	0	0	0	0	0	0	0	0	0	0	1	0	0
6060	13	13	15	10	5	12	14	22	6	6	10	8	5	7
11223	6	3	2	2	1	6	1	2	1	5	5	6	3	3
100500876	0	0	0	0	0	0	0	0	1	1	1	1	0	0
100189298	0	0	0	0	0	0	0	1	0	0	0	0	1	0
112267871	3	0	0	2	0	1	2	1	0	2	3	3	2	2
7193	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100189183	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376805	7	3	8	2	1	3	9	2	1	2	5	1	4	2
791226	0	0	0	0	0	0	0	0	0	0	2	0	0	0
26870	13	8	12	12	5	14	16	21	4	4	7	4	7	5
9696	25	12	8	13	3	9	8	13	5	8	8	22	6	13
4237	0	0	0	0	0	2	0	0	0	1	1	1	0	1
105376806	0	0	0	0	0	1	0	0	0	0	0	0	0	0
23400	84	45	8	132	25	80	61	70	22	35	61	79	45	53
6390	1257	709	1197	446	228	457	501	674	267	324	678	297	639	226
11240	0	3	2	0	0	2	3	1	3	6	9	6	12	2
105376808	0	0	0	1	0	0	0	0	1	1	0	1	0	0
400743	1	0	1	0	0	0	0	0	1	0	1	1	0	1
29943	1	1	0	4	0	3	0	1	1	2	4	4	1	3
51702	1	1	0	1	0	0	1	0	0	0	2	4	2	2
