Accession,BioSample,Organism_Name,Species,Pangolin,PangoVersions,Genotype,Isolate,Segment,Length,Nuc_Completeness,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
PX447501,SAMN52400320,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,PQ.2.4.3,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S24010,,29741,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Hogan,V., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2025-06-16,2025-10-06,ssRNA(+)
PX447502,SAMN52400321,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,PQ.2.4.3,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S24011,,29739,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Hogan,V., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2025-06-10,2025-10-06,ssRNA(+)
PX447503,SAMN52400322,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XFG.3.6.2,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S24012,,29741,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Hogan,V., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2025-06-12,2025-10-06,ssRNA(+)
PX447505,SAMN52400324,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,PQ.2.4.3,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S24014,,29741,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Hogan,V., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2025-06-11,2025-10-06,ssRNA(+)
PX447506,SAMN52400325,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XFG.3.4.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S24015,,29741,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Hogan,V., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2025-06-16,2025-10-06,ssRNA(+)
PX447508,SAMN52400327,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,LP.8.1.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S24017,,29750,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Hogan,V., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2025-05-29,2025-10-06,ssRNA(+)
PX116373,SAMN50557710,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,LP.8.1.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S23789,,29750,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2025-04-08,2025-08-12,ssRNA(+)
PX116374,SAMN50557711,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,NY.25,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S23790,,29750,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2025-04-08,2025-08-12,ssRNA(+)
PX116375,SAMN50557712,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,PF.2,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S23791,,29738,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2025-04-02,2025-08-12,ssRNA(+)
PV910444,SAMN49879193,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XEC.5,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S23713,,29744,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2025-01-29,2025-07-09,ssRNA(+)
PV702268,SAMN48775800,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,NL.20,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S23678,,29732,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2025-02-18,2025-05-29,ssRNA(+)
PV702279,SAMN48775811,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,NY.13,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S23691,,29750,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2025-03-03,2025-05-29,ssRNA(+)
PQ722763,SAMN45204093,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,KP.3.1.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S23181,,29750,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-10-22,2024-12-09,ssRNA(+)
PQ591809,SAMN44723912,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,KP.2.3,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S23157,,29750,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-10-22,2024-11-14,ssRNA(+)
PQ535949,SAMN44504996,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,KP.2.3,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S23141,,29738,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-09-30,2024-10-30,ssRNA(+)
PQ425297,SAMN44050524,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,KP.3.1.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S23036,,29750,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-09-10,2024-10-03,ssRNA(+)
PQ425298,SAMN44050525,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,MC.24,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S23037,,29736,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-09-10,2024-10-03,ssRNA(+)
PQ425299,SAMN44050527,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.32,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S23039,,29741,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-09-10,2024-10-03,ssRNA(+)
PQ267984,SAMN43429772,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XEC,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22807,,29740,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-07-18,2024-08-30,ssRNA(+)
PQ267985,SAMN43429774,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,KP.2.3,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22809,,29738,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-07-12,2024-08-30,ssRNA(+)
PQ202220,SAMN43259031,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,LU.2,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22779,,29753,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-06-25,2024-08-19,ssRNA(+)
PP601401,SAMN40893826,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.13.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22603,,29742,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-03-19,2024-04-09,ssRNA(+)
PP491102,SAMN40472477,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,XDR,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22498,,29753,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-02-15,2024-03-15,ssRNA(+)
PP491110,SAMN40472485,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22506,,29753,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-02-06,2024-03-15,ssRNA(+)
PP430228,SAMN40206037,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.4,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22393,,29753,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-01-25,2024-03-04,ssRNA(+)
PP430229,SAMN40206038,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.31,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22394,,29741,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-01-30,2024-03-04,ssRNA(+)
PP430230,SAMN40206039,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22395,,29741,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-01-30,2024-03-04,ssRNA(+)
PP430231,SAMN40206040,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.4,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22396,,29741,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-01-30,2024-03-04,ssRNA(+)
PP430232,SAMN40206041,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.31,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22397,,29741,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-01-30,2024-03-04,ssRNA(+)
PP430237,SAMN40206046,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22402,,29753,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-01-30,2024-03-04,ssRNA(+)
PP430238,SAMN40206047,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.60,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22403,,29741,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-01-30,2024-03-04,ssRNA(+)
PP430280,SAMN40206097,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22458,,29729,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-02-01,2024-03-04,ssRNA(+)
PP430281,SAMN40206098,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.32,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22459,,29753,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-02-06,2024-03-04,ssRNA(+)
PP430282,SAMN40206099,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22460,,29741,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-02-06,2024-03-04,ssRNA(+)
PP430284,SAMN40206101,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22462,,29753,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-02-06,2024-03-04,ssRNA(+)
PP430285,SAMN40206103,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22464,,29753,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-02-06,2024-03-04,ssRNA(+)
PP430286,SAMN40206106,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.4,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22467,,29753,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-02-01,2024-03-04,ssRNA(+)
PP409021,SAMN39658157,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.39,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22049,,29753,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2023-12-15,2024-02-28,ssRNA(+)
PP409023,SAMN39658159,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.9,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22051,,29753,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2023-12-15,2024-02-28,ssRNA(+)
PP409024,SAMN39658160,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,BA.2.86.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22052,,29740,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2023-12-15,2024-02-28,ssRNA(+)
PP409025,SAMN39658161,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22053,,29741,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2023-12-15,2024-02-28,ssRNA(+)
PP409034,SAMN39658171,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22063,,29752,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2023-12-19,2024-02-28,ssRNA(+)
PP409654,SAMN40189387,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1.60,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22286,,29753,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-01-19,2024-02-28,ssRNA(+)
PP409655,SAMN40189388,Severe acute respiratory syndrome coronavirus 2,Betacoronavirus pandemicum,JN.1,4.3.4/1.37.1/v0.1.12/0.3.19/0.6.6,,SFK-USAFSAM-S22287,,29753,complete,United Kingdom: Suffolk,United Kingdom,Homo sapiens,,"Fries,A., Fanning,P., Muehleman,D., Meyer,J., Gruner,W., Lanter,K., Purves,S., Macias,E.",2024-01-11,2024-02-28,ssRNA(+)
