,PLATE,NROW,NCOL,PRIMARY_NAME,POS,NEG,SMILES,MOLECULAR_FORMULA,KEGG.ID,CAS,HMDB.YMDB.ID,NEUTRAL.MONOISOTOPIC.MOLECULAR.MASS,CHARGE,METLIN_ID,PC_CID,PC_SID,CHEBI,SIGMA.ALDRICH_CAT.NO,SIGMA.ALDRICH_NAME,SIGMA.ALDRICH_URL,rawFile,mz
31,1,C,7,GLUCONATE,x,x,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O,C6H12O7,C00257,526-95-4,HMDB00625,196.0583,NA,345,10690,3556,33198,G1951,D-Gluconic acid solution,http://www.sigmaaldrich.com/catalog/product/aldrich/G1951?lang=en&region=US,P1rC_NEG.mzML,195.05102
32,1,C,8,QUINATE,x,x,OC1C[C@@](O)(C[C@@H](O)[C@H]1O)C(O)=O,C7H12O6,C06746,77-95-2,HMDB03072,192.06339,NA,3329,70143,8967,17521,46944u,(-) Quinic acid,http://www.sigmaaldrich.com/catalog/product/supelco/46944u?lang=en&region=US,P1rC_NEG.mzML,191.05611
33,1,C,9,DIHYDROOROTATE,x,x,OC(=O)C1CC(=O)NC(=O)N1,C5H6N2O4,C00337,5988-19-2,HMDB03349,158.03276,NA,6899,439216,3630,17025,D7128,L-Dihydroorotic acid,http://www.sigmaaldrich.com/catalog/product/sigma/D7128?lang=en&region=US,P1rC_NEG.mzML,157.02548
34,1,C,10,MALONATE,x,NA,OC(=O)CC(O)=O,C3H4O4,C00383,141-82-2,HMDB00691,104.01096,NA,3237,867,3673,30794,46938U,Malonic acid,http://www.sigmaaldrich.com/catalog/product/supelco/46938U?lang=en&region=US,P1rC_NEG.mzML,103.00368
35,1,C,11,PIPECOLATE,x,NA,OC(=O)C1CCCCN1,C6H11NO2,C00408,535-75-1,HMDB00070,129.07898,NA,50,849,3698,17964,P45850,Pipecolinic acid,http://www.sigmaaldrich.com/catalog/product/aldrich/P45850?lang=en&region=US,P1rC_NEG.mzML,128.0717
36,1,C,12,FORMAMIDE,NA,NA,NC=O,CH3NO,C00488,75-12-7,HMDB01536,45.02146,NA,4182,713,3771,16397,F9037,Formamide,http://www.sigmaaldrich.com/catalog/product/sigma/F9037?lang=en&region=US,P1rC_NEG.mzML,44.01418
37,1,D,1,GLYCINE,x,NA,NCC(O)=O,C2H5NO2,C00037,56-40-6,HMDB00123,75.03203,NA,20,750,3339,15428,G7126,Glycine,http://www.sigmaaldrich.com/catalog/product/sigma/G7126?lang=en&region=US,P1rD_NEG.mzML,74.02475
38,1,D,2,METHIONINE,x,x,CSCC[C@H](N)C(O)=O,C5H11NO2S,C00073,63-68-3,HMDB00696,149.05105,NA,5664,6137,3373,16643,64319,L-Methionine,http://www.sigmaaldrich.com/catalog/product/sigma/64319?lang=en&region=US,P1rD_NEG.mzML,148.04377
39,1,D,3,TETRAHYDROFOLATE,NA,NA,NC1=NC(=O)C2=C(NC[C@H](CNC3=CC=C(C=C3)C(=O)NC(CCC(O)=O)C(O)=O)N2)N1,C19H23N7O6,C00101,135-16-0,HMDB01846,445.17098,NA,714,91443,13433852,20506,T3125,Tetrahydrofolic acid,http://www.sigmaaldrich.com/catalog/product/sigma/T3125?lang=en&region=US,P1rD_NEG.mzML,444.1637
40,1,D,4,ADENINE,x,NA,NC1=NC=NC2=C1NC=N2,C5H5N5,C00147,73-24-5,HMDB00034,135.0545,NA,85,190,3447,16708,A8626,Adenine,http://www.sigmaaldrich.com/catalog/product/sigma/A8626?lang=en&region=US,P1rD_NEG.mzML,134.04722
41,1,D,5,METHYLTHIOADENOSINE,x,x,CSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N,C11H15N5O3S,C00170,2457-80-9,HMDB01173,297.08956,NA,3425,439176,3470,17509,D5011,5'-Deoxy-5'-(methylthio)adenosine,http://www.sigmaaldrich.com/catalog/product/sigma/D5011?lang=en&region=US,P1rD_NEG.mzML,296.08228
42,1,D,6,THYMIDINE,x,x,CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O,C10H14N2O5,C00214,50-89-5,HMDB00273,242.09027,NA,3375,5789,3514,17748,T9250,Thymidine,http://www.sigmaaldrich.com/catalog/product/sigma/T9250?lang=en&region=US,P1rD_NEG.mzML,241.08299
43,1,D,7,GLYCERATE,NA,NA,OC[C@@H](O)C(O)=O,C3H6O4,C00258,473-81-4,HMDB00139,106.02661,NA,280,439194,3557,32398,NA,NA,NA,P1rD_NEG.mzML,105.01933
44,1,D,8,OROTATE,x,x,OC(=O)C1=CC(=O)NC(=O)N1,C5H4N2O4,C00295,65-86-1,HMDB00226,156.01711,NA,318,967,3589,16742,O2750,Orotic acid,http://www.sigmaaldrich.com/catalog/product/sigma/O2750?lang=en&region=US,P1rD_NEG.mzML,155.00983
45,1,D,9,ETHANOLAMINE PHOSPHATE,x,NA,NCCOP(O)(O)=O,C2H8NO4P,C00346,1071-23-4,HMDB00224,141.01909,NA,5233,1015,3639,17553,P0503,O-Phosphorylethanolamine,http://www.sigmaaldrich.com/catalog/product/sigma/P0503?lang=en&region=US,P1rD_NEG.mzML,140.01181
46,1,D,10,XANTHINE,x,x,O=C1NC2=C(NC=N2)C(=O)N1,C5H4N4O2,C00385,69-89-6,HMDB00292,152.03343,NA,82,1188,3675,17712,X7375,Xanthine,http://www.sigmaaldrich.com/catalog/product/sigma/X7375?lang=en&region=US,P1rD_NEG.mzML,151.02615
47,1,D,11,DIHYDROFOLATE,NA,NA,NC1=NC2=C(N=C(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)CN2)C(=O)N1,C19H21N7O6,C00415,207226-40-2,HMDB01056,443.15533,NA,5970,98792,3705,15633,271462,Dihydrofolic acid dihydrate,http://www.sigmaaldrich.com/catalog/product/aldrich/271462?lang=en&region=US,P1rD_NEG.mzML,442.14805
48,1,D,12,CYSTINE,x,x,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O,C6H12N2O4S2,C01420,56-89-3,HMDB00192,240.02385,NA,5207,67678,3774,16283,C7602,L-Cystine,http://www.sigmaaldrich.com/catalog/product/sigma/C7602?lang=en&region=US,P1rD_NEG.mzML,239.01657
