region_id	window_size	region	masked	alignment_offset	zero_point
ENSG00000124249	100	20:44745864-44745960(+)	na	4	50
ENSG00000125508	100	20:63547413-63547513(-)	na	0	50
ENSG00000125510	100	20:64092687-64092770(+)	na	17	50
ENSG00000125522	100	20:64106781-64106881(-)	na	0	50
ENSG00000125531	100	20:63555653-63555713(+)	na	40	50
ENSG00000125787	100	20:3044411-3044464(+)	na	47	50
ENSG00000125810	100	20:23086142-23086242(-)	na	0	50
ENSG00000125815	100	20:23491617-23491717(+)	na	0	50
ENSG00000125816	100	20:21397349-21397449(-)	na	0	50
ENSG00000125817	100	20:3786433-3786533(-)	na	0	50
ENSG00000125820	100	20:21513619-21513719(-)	na	0	50
ENSG00000125821	100	20:18588053-18588115^18593730-18593737(+)	na	31	50
ENSG00000125831	100	20:23452761-23452857(-)	na	4	50
ENSG00000125843	100	20:3822101-3822167(+)	na	34	50
ENSG00000125845	100	20:6768832-6768875^6770119-6770176(+)	na	0	50
ENSG00000125861	100	20:3661285-3661289^3663353-3663399(-)	na	50	50
ENSG00000125869	100	20:9514802-9514902(+)	na	0	50
ENSG00000125878	100	20:610187-610287(-)	na	0	50
ENSG00000125885	100	20:5952010-5952065(+)	na	45	50
ENSG00000125901	100	20:3046051-3046118(+)	na	33	50
ENSG00000125903	100	20:227257-227338(+)	na	19	50
ENSG00000125965	100	20:35437878-35437978(-)	na	0	50
ENSG00000125966	100	20:35226689-35226788(+)	na	1	50
ENSG00000125968	100	20:31605337-31605437(+)	na	0	50
ENSG00000125977	100	20:34105510-34105545^34112095-34112160(-)	na	0	50
ENSG00000125995	100	20:35699632-35699682(+)	na	50	50
ENSG00000125998	100	20:35292254-35292354(-)	na	0	50
ENSG00000126003	100	20:32202128-32202228(-)	na	0	50
ENSG00000129988	100	20:38346481-38346566(+)	na	15	50
ENSG00000130700	100	20:62475471-62475542^62475929-62475958(-)	na	0	50
ENSG00000130701	100	20:62419597-62419697(-)	na	0	50
ENSG00000131050	100	20:33169130-33169195(+)	na	35	50
ENSG00000131068	100	20:31368600-31368700(+)	na	0	50
ENSG00000132631	100	20:18813782-18813865(+)	na	17	50
ENSG00000132646	100	20:5119748-5119848(-)	na	0	50
ENSG00000132661	100	20:23353991-23354091(+)	na	0	50
ENSG00000132670	100	20:2964271-2964327(+)	na	44	50
ENSG00000132671	100	20:23035433-23035533(+)	na	0	50
ENSG00000132801	100	20:45857775-45857875(+)	na	0	50
ENSG00000132821	100	20:37903300-37903400(+)	na	0	50
ENSG00000132823	100	20:44206907-44206998(-)	na	9	50
ENSG00000132825	100	20:59939881-59939981(-)	na	0	50
ENSG00000149435	100	20:23986561-23986645(-)	na	16	50
ENSG00000149596	100	20:44186655-44186755(-)	na	0	50
ENSG00000149600	100	20:32743341-32743406(-)	na	35	50
ENSG00000149634	100	20:45887540-45887622(-)	na	18	50
ENSG00000149635	100	20:46546323-46546329^46550516-46550610(-)	na	0	50
ENSG00000149651	100	20:45722346-45722417(+)	na	29	50
ENSG00000149658	100	20:63215578-63215601^63215865-63215942(-)	na	0	50
ENSG00000158470	100	20:49713640-49713740(-)	na	0	50
ENSG00000158480	100	20:49908440-49908540(-)	na	0	50
ENSG00000158901	100	20:45562195-45562219^45579221-45579284(-)	na	13	50
ENSG00000167104	100	20:33031647-33031697(+)	na	50	50
ENSG00000168612	100	20:45882542-45882642(+)	na	0	50
ENSG00000168634	100	20:45702073-45702173(+)	na	0	50
ENSG00000168703	100	20:45124397-45124465(-)	na	32	50
ENSG00000170191	100	20:25623898-25623998(-)	na	0	50
ENSG00000170367	100	20:23879626-23879726(-)	na	0	50
ENSG00000170369	100	20:23826610-23826710(-)	na	0	50
ENSG00000170373	100	20:23750816-23750898(-)	na	18	50
ENSG00000171222	100	20:35954234-35954334(-)	na	0	50
ENSG00000171695	100	20:64084169-64084269(-)	na	0	50
ENSG00000171864	100	20:4721930-4721969^4724540-4724601(+)	na	0	50
ENSG00000171867	100	20:4699215-4699270(+)	na	45	50
ENSG00000172216	100	20:50190983-50191083(+)	na	0	50
ENSG00000172315	100	20:46689364-46689440(-)	na	24	50
ENSG00000173335	100	20:23605814-23605914(-)	na	0	50
ENSG00000173404	100	20:20368217-20368317(+)	na	0	50
ENSG00000175121	100	20:45115033-45115133(-)	na	0	50
ENSG00000177732	100	20:325874-325974(+)	na	0	50
ENSG00000178726	100	20:23049454-23049554(-)	na	0	50
ENSG00000179772	100	20:31845492-31845592(-)	na	0	50
ENSG00000180083	100	20:45650550-45650650(-)	na	0	50
ENSG00000180205	100	20:45610131-45610231(-)	na	0	50
ENSG00000180305	100	20:45629763-45629863(+)	na	0	50
ENSG00000180424	100	20:31440648-31440748(+)	na	0	50
ENSG00000182035	100	20:38581200-38581300(+)	na	0	50
ENSG00000183260	100	20:63861497-63861590(+)	na	7	50
ENSG00000183798	100	20:41366584-41366684(-)	na	0	50
ENSG00000185019	100	20:3123315-3123406(-)	na	9	50
ENSG00000185052	100	20:19212792-19212892(+)	na	0	50
ENSG00000185982	100	20:188117-188118^189574-189673(-)	na	0	50
ENSG00000186190	100	20:33053929-33053965^33055421-33055485(+)	na	0	50
ENSG00000186458	100	20:257728-257828(+)	na	0	50
ENSG00000196700	100	20:63967900-63967952^63969813-63969861(-)	na	0	50
ENSG00000197296	100	20:44311098-44311198(-)	na	0	50
ENSG00000198053	100	20:1895438-1895497(+)	na	41	50
ENSG00000198183	100	20:33236015-33236050^33237696-33237761(+)	na	0	50
ENSG00000198547	100	20:32651102-32651166^32651732-32651768(-)	na	0	50
ENSG00000203883	100	20:64049466-64049566(-)	na	0	50
ENSG00000204103	100	20:40688800-40688900(-)	na	0	50
ENSG00000213714	100	20:56533291-56533391(+)	na	0	50
ENSG00000215397	100	20:675551-675651(-)	na	0	50
ENSG00000215545	100	20:31308535-31308585(-)	na	50	50
ENSG00000215547	100	20:31257663-31257713(+)	na	50	50
ENSG00000215595	100	20:1203535-1203635(+)	na	0	50
ENSG00000232388	100	20:18567446-18567528(+)	na	18	50
ENSG00000232838	100	20:18137905-18138005(+)	na	0	50
ENSG00000241690	100	20:2815000-2815017^2815151-2815234(+)	na	0	50
ENSG00000243509	100	20:63696717-63696817(+)	na	0	50
ENSG00000243543	100	20:45539357-45539457(-)	na	0	50
ENSG00000244462	100	20:35655272-35655344(-)	na	28	50
ENSG00000247315	100	20:297569-297636(+)	na	33	50
ENSG00000249139	100	20:45547307-45547407(-)	na	0	50
ENSG00000256566	100	20:2493845-2493945(-)	na	0	50
ENSG00000258713	100	20:2815151-2815234(+)	na	17	50
ENSG00000259399	100	20:36574619-36574635^36578740-36578824(+)	na	0	50
ENSG00000260903	100	20:31968150-31968225(+)	na	25	50
ENSG00000261582	100	20:35279993-35280043(-)	na	50	50
ENSG00000270299	100	20:675551-675651(-)	na	0	50
ENSG00000271303	100	20:653135-653200(-)	na	35	50
ENSG00000277611	100	20:43540170-43540220(+)	na	50	50
ENSG00000284776	100	20:18567452-18567528(+)	na	24	50
ENSG00000285382	100	20:32743341-32743441(-)	na	0	50
ENSG00000285508	100	20:10413837-10413931^10420527-10420533(-)	na	0	50
ENSG00000285723	100	20:10420687-10420758^10434107-10434136(-)	na	0	50
ENSG00000286022	100	20:2207517-2207519^2257953-2258051(+)	na	0	50
ENSG00000286235	100	20:5951032-5951077^5952010-5952065(+)	na	0	50
ENSG00000288000	100	20:43458053-43458103(+)	na	50	50
ENSG00000288649	100	20:33667447-33667547(+)	na	0	50
ENSG00000289720	100	20:34393790-34393861(+)	na	29	50
