pipeline_param	minimized_file_path	original_size	minimized_size	notes
variant_catalog	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/resources_remapped/variant_catalog/grch38_expansionhunter_variant_catalog_remapped.json	36,705 B	1,990 B (5 loci)	remapped to local coordinates (e.g. RILPL1 -> 12:38721-38756); SOX3, RILPL1, NOP56, XYLT1, CSTB only, none with OfftargetRegions
mobile_element_references	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/resources_remapped/mobile_elements/mobile_element_references_remapped.tsv (-> 4 remapped.bed files)	94 MB (4 BEDs)	~9 KB total (321 rows)	remapped to local coordinates
mobile_element_svdb_annotations	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/resources_remapped/mobile_elements/mobile_element_svdb_annotations_remapped.csv (-> 4 remapped.vcf.gz files)	9 MB (4 VCFs)	~19 KB total (53 variants)	remapped to local coordinates; source files still have the malformed header noted in Phase 3 (FORMAT column declared, 0 sample columns) -- remapped via plain-text filtering, not bcftools; not tabix-indexed
svdb_query_dbs	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/resources_remapped/svdb/svdb_query_dbs_remapped.csv (-> grch38_gnomad.v4.1.sv.sites.no_cnv.remapped.vcf.gz)	1.6 GB (gnomAD-SV alone)	203 KB (229 variants)	remapped to local coordinates; 265->229 variants (14 BND records with an unmappable translocation partner dropped per your decision, 22 more dropped whose own start fell just outside a block boundary)
svdb_query_bedpedbs	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/resources_remapped/svdb/svdb_query_bedpedbs_remapped.csv (-> 2 remapped.bedpe files)	2.4 MB	119 B total (5 rows)	remapped to local coordinates AFTER fixing a Phase 3 field-index bug (bedpe is chrom1,pos1,chrom2,pos2 -- 7 cols -- not chrom1,start1,end1,chrom2,start2,end2 as Phase 3 assumed); real count is 3+2 rows, not Phase 3's buggy 228+345
vep_cache	SUPERSEDED -- see vep_gtf/vep_fasta below	24 GB	n/a	cache format can't be remapped or rebuilt from a custom GTF with modern tooling; replaced with VEP's own --gtf/--fasta mechanism. Phase 4 wiring note: ENSEMBLVEP module needs --gtf + --fasta params, not --cache/--dir_cache
vep_gtf (new param, replaces vep_cache)	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/resources_remapped/vep_gtf/minimal_reference.sorted.gtf.gz(.tbi)	n/a (Ensembl release-110 full GTF, 54 MB gz)	24 KB (661 GTF records)	built from scratch at local coordinates, functionally verified (chr12 local pos 37,218 correctly annotated as intron_variant in RILPL1). Standard Ensembl annotation only, not production's merged Ensembl+RefSeq set
vep_fasta (pair with vep_gtf)	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/reference_sliced/minimal_reference.fasta	-	-	same fasta as the `fasta` param above; VEP needs it explicitly when using --gtf instead of --cache
vep_plugin_files	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/resources_remapped/vep_gtf/Plugins/LoFtool_scores.txts/LoFtool_scores.txt + https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/resources_remapped/vep_gtf/grch38_gnomad_pli_per_gene_-r4.1-.txt	3.6 MB	3.6 MB (unchanged)	gene-keyed, not coordinate-dependent; copied as-is
vcfanno_toml	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/resources_remapped/vcfanno/grch38_vcfanno_config_remapped.toml	n/a (hand-authored)	3 annotation blocks	rewritten to reference the 3 remapped files below by their new paths
vcfanno_resources (gnomAD SNV, nuclear)	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/resources_remapped/vcfanno/grch38_gnomad_reformatted_merged_r4.1.remapped.vcf.gz	9.4 GB	684 KB (43,044 variants)	remapped to local coordinates across all 8 nuclear contigs; 1 variant dropped (unmappable position)
vcfanno_resources (MT: gnomAD-MT + genbank haplogroup)	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/resources_remapped/vcfanno/{grch38_gnomad_genomes_mt_-r3.1-.vcf.gz, grch28_grch37_genbank_haplogroup...vcf.gz}	5.0 MB + 52 KB	unchanged (5.0 MB + 52 KB)	no remap needed -- chrM coordinates were never sliced (whole molecule kept, 1-16,569); relocated out of the stale-renamed directory into resources_remapped/vcfanno/ for consistency
gnomad_af	https://raw.githubusercontent.com/nf-core/test-datasets/raredisease/resources_remapped/vcfanno/grch38_gnomad_af.remapped.tab.gz	4.1 GB	300 KB (43,044 rows)	remapped to local coordinates, re-tabixed with -s1 -b2 -e2 matching the pipeline's own TABIX_GNOMAD_AF convention; 0 rows dropped
skip_tools	(unchanged: "germlinecnvcaller")	-	-	inherited from production params, out of scope for this phase
mt_subsample_reads	(unchanged: 18000, pipeline default)	-	-	MT FASTQ downsampled to 150x (~8,230 pairs) directly, well below the pipeline's own 18,000-read subsample target -- SUBSAMPLE_MT_READS will pass our data through unchanged at runtime since it's already under the target
