TAXID,SRR1175007,SRR042182,SRR061154,SRR061499,SRR063469,SRR062324,SRR1179037,SRR061236,SRR061456,SRR642021,ERR2402780,ERR1916139,ERR1915048,ERR1914553,ERR1913614,ERR1915578,ERR1915612,ERR2402795,ERR1914224,ERR1914439
104,0,73,0,51,0,0,0,232,59,50,0,0,0,0,0,0,0,0,77,0
105,220,150,52,232,74,161,258,286,490,129,0,51,0,0,62,0,0,0,150,53
106,66,68,0,77,0,65,107,68,185,0,0,0,0,0,0,0,0,0,0,0
107,193,577,572,1144,361,736,209,794,1204,1203,0,70,76,108,190,128,136,0,406,177
113,0,92,98,109,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,66,53,78,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,0,131,93,191,0,149,0,73,0,244,0,0,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,127,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0,0,127,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,0,0,59,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,0,50,74,206,0,95,0,93,0,0,193,137,86,59,0,0,0,250,103,109
139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0,0,0,132,0,0,0,0,0,0,107,0,0,0,0,0,0,127,0,0
146,0,116,0,145,0,85,0,83,0,107,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0
157,222,1513,373,1262,1323,609,290,795,2308,1139,176,172,130,114,128,127,110,195,354,125
158,0,571,131,196,86,118,0,125,130,775,0,0,0,0,0,0,0,0,87,0
159,0,70,52,100,0,118,0,622,204,55,0,313,53,0,0,0,67,0,65,0
167,0,198,142,487,262,88,0,251,157,0,121,0,0,0,0,0,0,132,91,0
171,0,237,0,161,54,175,0,177,297,226,0,56,0,70,75,58,65,0,182,67
172,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,58,0
173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,0,58,0,0,0,65,0,0,109,0,0,0,0,0,0,0,0,0,0,0
179,0,64,0,0,0,0,0,0,62,0,54,0,0,0,0,0,0,62,67,0
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0
187,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,61,362,104,386,270,304,72,227,257,195,0,0,53,0,61,68,0,0,63,0
192,0,61,0,72,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,0,60,0,58,231,55,0,72,174,148,0,0,0,0,0,0,0,0,0,0
194,364,11211,6402,5865,4596,3119,402,2269,1840,905,624,1412,2324,408,490,354,542,591,644,382
195,188,1291,333,1898,1871,1340,214,717,818,68,0,72,62,0,0,0,0,0,0,0
196,0,177,107,154,0,101,0,68,54,125,0,0,0,0,0,0,128,0,68,0
197,0,5191,3252,1598,1719,615,0,319,363,0,0,576,281,69,103,91,133,0,125,88
198,0,0,0,0,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0
199,51,0,61,0,0,0,0,0,70,183,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,0,0,0,60,0,68,0,125,0,0,0,0,0,0,0,0,0,0,0,0
206,0,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0
209,125,606,365,482,110,450,146,862,581,77,332,747,5204,255,749,284,846,349,530,416
210,0,117,0,58,50,67,0,370,312,0,0,0,0,0,0,0,0,0,64,0
212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213,0,0,0,0,0,0,0,134,0,0,0,204,578,53,257,0,160,0,0,233
214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
217,0,81,0,146,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,165,409,288,680,106,395,182,377,244,412,0,76,88,65,124,93,75,0,196,82
226,106,294,219,478,107,177,108,255,458,271,104,94,149,166,81,58,137,95,127,72
227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,0,59,0,52,0,0,0,80,0,57,0,0,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,596,1562,1479,3516,3503,2040,645,2633,3534,2380,0,603,569,709,691,561,767,0,1730,759
238,99,119,120,142,56,114,119,77,138,58,0,0,0,56,0,0,65,0,90,0
253,0,139,0,242,0,166,66,317,305,175,210,90,68,93,108,79,53,217,234,133
256,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,65,0,84,0
262,55,353,146,387,92,234,0,378,353,84,328,145,153,204,99,122,143,371,226,143
263,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
265,65,243,84,256,129,186,75,210,143,0,0,55,0,0,0,85,0,0,0,0
266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
270,0,115,0,262,0,104,0,110,104,0,0,0,0,0,0,0,0,0,0,0
271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
274,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279,0,0,0,52,0,0,0,82,155,0,0,0,0,0,0,0,0,0,0,0
280,0,0,0,52,0,0,0,82,155,0,0,0,0,0,0,0,0,0,0,0
283,0,189,126,142,0,168,0,172,131,60,0,0,0,0,66,63,0,0,77,0
285,0,98,51,50,0,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,1088,4497,2764,6964,1772,4480,1200,4298,4363,3055217,13806,4857,3466,1483,1740,1021,967,14586,2375,4240
287,0,159,0,1351,0,111,0,101,0,6073,11510,0,0,0,0,0,0,12070,0,0
288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0
293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
294,62,284,81,202,114,220,65,379,350,20086,1809,4177,2696,831,716,113,105,2044,831,3414
296,0,0,0,0,0,0,0,0,0,12462,0,0,0,0,0,0,0,0,0,0
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,0,62,0,98,0,0,0,0,138,575,0,0,0,0,0,0,0,0,0,0
303,0,205,113,184,0,121,0,176,269,5343,0,0,0,74,85,64,122,0,78,59
305,50,68,0,91,0,59,82,80,57,0,0,0,0,0,0,0,0,0,52,0
316,107,133,55,198,100,192,121,99,411,15913,0,0,0,0,0,0,0,0,53,0
317,0,50,0,0,0,0,0,75,0,2573,0,0,0,0,0,0,0,0,75,0
329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
337,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0
338,95,422,264,421,137,425,67,171,366,328,319,1423,952,347,313,136,154,346,374,1180
339,0,0,0,0,56,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,0,0,68,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
346,0,0,0,0,0,0,0,0,0,0,314,1339,857,252,187,0,0,337,158,1056
347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,0,0,0,117,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0
353,0,0,0,81,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0
354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,64,251,153,279,110,315,63,222,180,164,0,0,0,0,0,71,0,0,0,0
358,0,95,55,88,75,166,0,72,0,145,0,0,0,0,0,0,0,0,0,0
359,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
373,0,51,0,72,0,60,0,73,0,0,0,0,0,0,0,0,0,0,0,0
374,151,588,210,590,144,451,202,363,281,651,0,108,72,58,117,149,63,0,141,108
375,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,0,0,0,81,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0
379,173,776,453,1055,304,809,195,427,551,905,0,82,95,59,65,93,76,0,179,59
380,0,82,0,0,0,53,0,0,0,185,0,0,0,0,0,0,0,0,0,0
381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,0,52,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384,0,228,183,388,132,334,50,126,144,409,0,0,0,0,0,0,0,0,0,0
396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,0,61,0,110,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0
399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,104,317,151,459,189,243,112,181,244,185,0,0,51,0,0,0,0,0,75,0
408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416,0,173,128,95,0,87,0,184,173,109,0,0,0,0,68,0,0,0,129,65
421,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,51
425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
434,0,272,210,233,100,199,0,296,391,81,0,0,0,0,61,0,0,0,0,0
435,0,0,0,0,0,0,0,72,125,0,0,0,0,0,0,0,0,0,0,0
436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,0,178,114,225,0,117,0,78,52,179,0,0,0,0,68,0,0,0,92,0
442,0,93,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0
445,128,392,112,311,114,252,152,299,263,311,0,174,143,155,118,133,147,0,262,157
446,75,63,0,104,0,55,83,77,127,0,0,70,0,0,0,0,0,0,71,0
449,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0
450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0
452,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0
469,244,1042,1108,1110,507,1061,266,897,1204,1191,753,364,427,524,225,245,438,811,675,347
470,66,92,335,101,0,0,63,154,120,122,0,0,0,0,0,0,0,0,0,0
471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
475,0,144,76,161,0,78,0,230,186,0,0,0,61,85,0,0,88,0,111,62
476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,0,0,0,0,0,0,0,85,116,0,0,0,0,0,0,0,0,0,0,0
482,441,568,769,591,138,556,483,400,334,1181,0,61,85,83,158,135,102,0,183,142
483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
487,0,65,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
495,0,71,0,62,0,61,0,0,0,249,0,0,0,0,0,0,0,0,0,0
497,0,289,423,241,141,377,0,331,213,198,56,90,79,158,63,0,84,64,147,59
499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507,0,129,170,156,0,170,0,301,50,0,0,0,0,0,55,70,72,0,92,0
511,0,58,0,104,0,94,0,0,0,0,0,0,0,0,0,53,59,0,59,0
517,147,591,411,804,401,527,141,327,463,367,0,113,106,113,242,158,135,0,357,165
518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
522,0,0,0,0,0,86,0,0,0,250,0,0,0,0,0,0,0,0,0,0
524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
528,0,133,0,133,0,107,0,87,80,0,0,0,0,0,0,0,0,0,0,0
529,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0
532,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
533,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
535,110,192,201,232,209,220,87,98,99,92,58,0,0,0,0,0,0,0,53,0
536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
538,0,0,72,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
539,0,0,72,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
541,0,133,119,183,78,175,0,134,135,178,0,0,0,0,64,0,0,0,77,66
542,0,133,119,183,78,175,0,134,135,178,0,0,0,0,64,0,0,0,77,66
544,272,470,349,360,83,260,287,626,466,461,0,92,123,0,53,70,109,0,186,75
545,0,50,0,0,0,0,0,91,190,0,0,0,0,0,0,0,0,0,0,0
546,0,65,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
547,96,555,236,5287,101,455,99,462,690,541,0,90,113,124,161,131,113,0,224,113
548,0,14530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
549,0,0,0,0,0,123,0,196,0,84,0,0,0,0,0,0,0,0,0,0
550,0,162,66,575,0,129,0,259,467,261,0,0,0,0,0,0,0,0,71,0
551,0,263,140,287,0,217,0,226,263,230,0,0,0,83,129,75,0,0,255,103
552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
553,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0,0,0
554,0,159,102,268,0,155,0,229,74,353,0,0,0,0,0,0,0,0,0,0
556,0,53,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0
561,67,12206,744,2362,1011,608,58,209,343,9653,81,205,974,152,173,105,96,77,479,173
562,0,11148,612,2061,891,434,0,149,164,8251,80,174,908,120,126,71,88,77,415,118
563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
570,88,15624,228,10301,153,392,102,387,353,480,0,73,70,57,81,67,98,0,119,72
571,0,98,0,179,0,96,0,0,83,171,0,0,0,0,0,0,0,0,0,0
573,0,273,146,634,57,123,0,192,0,163,0,0,0,0,0,0,0,0,56,0
575,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,147,0,0
579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
581,0,111,76,126,0,101,50,108,148,160,0,0,0,0,0,0,66,0,0,58
582,0,111,76,126,0,101,50,108,148,160,0,0,0,0,0,0,66,0,0,58
583,0,87,113,190,0,190,0,107,82,184,0,0,75,111,0,0,0,0,89,60
584,0,70,76,149,0,171,0,99,62,175,0,0,0,0,0,0,0,0,0,0
585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,53
586,63,174,50,223,0,231,75,118,516,93,106,87,104,139,0,0,124,120,151,56
587,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,95,0,0
588,0,0,0,58,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0
590,0,266,68,163,58,143,0,223,91,61,0,78,77,51,58,88,102,0,94,58
613,168,579,281,852,162,527,183,633,833,259,0,89,83,94,141,119,115,0,206,100
614,0,57,70,152,0,59,0,90,0,0,0,0,0,0,0,0,0,0,0,0
615,0,82,113,147,0,92,0,67,0,131,0,0,0,0,0,0,0,0,68,0
620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
626,64,189,162,307,86,217,84,269,200,0,0,67,71,112,88,0,72,0,206,104
628,0,0,0,81,0,51,56,120,163,0,0,0,0,0,52,0,0,0,105,50
629,97,498,209,538,409,348,127,571,479,398,171,109,155,153,155,94,164,178,281,173
630,0,184,69,230,62,135,0,388,166,221,0,0,0,0,0,0,0,0,59,0
631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
635,0,124,120,178,0,159,0,152,251,54,0,0,0,0,0,0,0,0,0,0
636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
642,186,631,424,947,201,587,210,409,520,937,111,445,396,159,160,100,197,129,257,405
644,0,113,0,86,0,0,0,68,165,353,104,332,252,67,0,0,0,118,65,288
645,0,70,0,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0
648,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,0
651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
652,0,71,117,134,0,90,0,54,0,0,0,0,0,0,0,0,0,0,0,0
654,0,72,0,67,0,100,0,0,73,64,0,0,0,0,0,0,0,0,0,0
657,87,96,0,103,0,103,122,236,99,287,0,51,64,211,0,0,68,0,52,0
662,321,1036,662,1515,464,1289,368,1017,975,1053,740,435,564,747,356,306,658,844,708,398
663,0,61,0,0,0,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
666,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0
668,0,67,0,92,0,66,0,0,0,107,0,0,0,0,0,0,0,0,0,0
669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
670,0,0,76,64,0,84,0,183,0,69,0,0,0,0,0,0,0,0,0,0
672,0,130,0,174,154,116,0,76,0,0,113,0,0,71,0,0,57,160,65,0
673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0
674,0,80,92,128,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0
676,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0
713,90,56,125,135,0,108,123,290,496,93,0,0,0,51,0,0,0,0,68,0
714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
715,0,0,0,0,0,0,0,238,334,66,0,0,0,0,0,0,0,0,0,0
716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
724,26860,1509,192,769,401,363,31566,1916,58392,1168,0,94,130,170,85,75,115,0,174,80
726,894,0,0,0,0,0,942,0,1878,0,0,0,0,51,0,0,0,0,51,0
727,466,61,0,0,0,0,506,71,1086,0,0,0,0,0,0,0,0,0,0,0
729,23401,1268,144,587,308,162,27594,1501,51098,868,0,0,0,0,0,0,0,0,0,0
730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
731,0,83,66,116,0,149,0,220,352,141,0,0,0,0,0,0,0,0,0,0
732,322,94,0,0,0,0,389,65,395,0,0,0,0,0,0,0,0,0,0,0
738,0,0,0,65,0,0,0,0,91,0,0,0,50,0,0,0,0,0,0,0
739,112,0,0,0,0,0,128,0,245,61,0,0,0,0,0,0,0,0,0,0
745,105,156,130,209,52,110,111,138,249,229,360,79,100,126,0,0,74,354,60,0
747,64,79,80,104,0,0,69,53,152,64,0,0,0,53,0,0,0,0,0,0
750,0,0,0,0,0,0,0,71,72,0,0,0,0,0,0,0,0,0,0,0
754,0,77,0,105,0,69,0,84,90,165,330,0,0,0,0,0,0,330,0,0
768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
773,126,339,67,309,68,235,192,562,336,78,804,104,115,128,0,60,106,885,165,98
774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
776,0,0,0,52,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
780,0,199,0,191,72,179,0,233,93,0,0,0,0,0,0,0,0,0,64,0
782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
784,0,79,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0
785,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
810,0,120,0,56,0,115,0,84,138,0,0,0,0,52,0,0,0,0,0,0
813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
