contigname	S1	S2	S3	S4	S5
S2Chinf_b025	0.380000	0.130000	0.250000	0.250000	0.380000
S2Chinf_b027	0.514586	0.178042	0.341056	0.341056	0.514586
S2Chinf_b028	0.507024	0.173333	0.334167	0.334167	0.507024
S2Chinf_b032	0.731107	0.252250	0.496000	0.496000	0.731107
S2Chinf_b033	0.760833	0.260000	0.498333	0.498333	0.760833
S2Chinf_b034	0.759107	0.256250	0.502500	0.502500	0.759107
S2Chinf_b035	1.520000	0.520000	1.000000	1.000000	1.520000
S2Chinf_b036	0.506667	0.173333	0.333333	0.333333	0.506667
S2Chinf_b037	0.373988	0.131190	0.251310	0.251310	0.373988
S2Chinf_b038	0.511905	0.171190	0.332143	0.332143	0.511905
S2Chinf_b039	0.763333	0.260833	0.498333	0.498333	0.763333
S2Chinf_b040	0.506667	0.173333	0.334167	0.334167	0.506667
S2Chinf_b041	0.380000	0.130000	0.250000	0.250000	0.380000
S2Chinf_b042	0.380000	0.130000	0.250000	0.250000	0.380000
S2Chinf_b043	0.380000	0.130000	0.250000	0.250000	0.380000
S2Chinf_b044	0.380000	0.130000	0.250000	0.250000	0.380000
S2Chinf_b045	0.507024	0.173690	0.333690	0.333690	0.507024
S2Chinf_b046	0.506667	0.173333	0.333333	0.333333	0.506667
S2Chinf_b047	0.380000	0.130000	0.250000	0.250000	0.380000
S2Cport_b050	0.173333	1.013333	0.333333	1.013333	0.333333
S2Cport_b053	0.130000	0.760000	0.250000	0.760000	0.250000
S2Cport_b054	0.104000	0.608000	0.200000	0.608000	0.200000
S3Chinf_b001	0.380000	0.130000	0.250000	0.250000	0.380000
S3Chinf_b002	0.760000	0.260000	0.500000	0.500000	0.760000
S3Chinf_b004	0.506667	0.173333	0.333333	0.333333	0.506667
S3Chinf_b005	0.380278	0.130000	0.250278	0.250278	0.380278
S3Chinf_b006	0.380000	0.130000	0.250000	0.250000	0.380000
S3Chinf_b007	0.497642	0.168917	0.332069	0.332069	0.497642
S3Chinf_b008	0.380000	0.130000	0.250000	0.250000	0.380000
S3Chinf_b013	0.506667	0.173333	0.333333	0.333333	0.506667
S3Chinf_b014	0.305500	0.104000	0.200000	0.200000	0.305500
S3Chinf_b018	0.380000	0.130000	0.250000	0.250000	0.380000
S3Chinf_b021	0.380357	0.130357	0.250357	0.250357	0.380357
S3Chinf_b023	0.526757	0.177917	0.338278	0.338278	0.526757
S3Chinf_b024	0.506667	0.173333	0.333333	0.333333	0.506667
S3Chinf_b026	0.760000	0.260000	0.500000	0.500000	0.760000
S3Chinf_b027	0.514586	0.178042	0.341056	0.341056	0.514586
S3Chinf_b029	0.506667	0.173333	0.333333	0.333333	0.506667
S3Chinf_b031	0.500000	0.175000	0.328333	0.328333	0.500000
S3Chinf_b037	0.373988	0.131190	0.251310	0.251310	0.373988
S3Chinf_b038	0.511905	0.171190	0.332143	0.332143	0.511905
S3Chinf_b039	0.763333	0.260833	0.498333	0.498333	0.763333
S3Chinf_b040	0.506667	0.173333	0.334167	0.334167	0.506667
S3Chinf_b041	0.380000	0.130000	0.250000	0.250000	0.380000
S3Chinf_b042	0.380000	0.130000	0.250000	0.250000	0.380000
S3Chinf_b043	0.380000	0.130000	0.250000	0.250000	0.380000
S3Chinf_b044	0.380000	0.130000	0.250000	0.250000	0.380000
S3Chinf_b045	0.507024	0.173690	0.333690	0.333690	0.507024
S3Chinf_b046	0.506667	0.173333	0.333333	0.333333	0.506667
S3Chinf_b047	0.380000	0.130000	0.250000	0.250000	0.380000
S3Cport_b048	0.260000	1.520000	0.500000	1.520000	0.500000
S3Cport_b051	0.173333	1.013333	0.333333	1.013333	0.333333
S3Cport_b052	0.260000	1.520000	0.500000	1.520000	0.500000
S3Cport_b053	0.130000	0.760000	0.250000	0.760000	0.250000
S3Cport_b054	0.104000	0.608000	0.200000	0.608000	0.200000
S3Cport_b055	0.130000	0.760000	0.250000	0.760000	0.250000
S4Chinf_b000	0.760000	0.260000	0.500000	0.500000	0.760000
S4Chinf_b001	0.380000	0.130000	0.250000	0.250000	0.380000
S4Chinf_b003	0.760000	0.260000	0.500000	0.500000	0.760000
S4Chinf_b004	0.506667	0.173333	0.333333	0.333333	0.506667
S4Chinf_b005	0.380278	0.130000	0.250278	0.250278	0.380278
S4Chinf_b006	0.380000	0.130000	0.250000	0.250000	0.380000
S4Chinf_b007	0.497642	0.168917	0.332069	0.332069	0.497642
S4Chinf_b008	0.380000	0.130000	0.250000	0.250000	0.380000
S4Chinf_b009	0.497403	0.173077	0.327450	0.327450	0.497403
S4Chinf_b010	0.388653	0.131411	0.254950	0.254950	0.388653
S4Chinf_b012	0.760278	0.260000	0.500278	0.500278	0.760278
S4Chinf_b013	0.506667	0.173333	0.333333	0.333333	0.506667
S4Chinf_b014	0.305500	0.104000	0.200000	0.200000	0.305500
S4Chinf_b016	0.507500	0.173333	0.333333	0.333333	0.507500
S4Chinf_b017	1.520000	0.520000	1.000000	1.000000	1.520000
S4Chinf_b019	0.533667	0.179333	0.341000	0.341000	0.533667
S4Chinf_b020	0.729778	0.251500	0.482236	0.482236	0.729778
S4Chinf_b021	0.380357	0.130357	0.250357	0.250357	0.380357
S4Chinf_b023	0.526757	0.177917	0.338278	0.338278	0.526757
S4Chinf_b025	0.380000	0.130000	0.250000	0.250000	0.380000
S4Chinf_b028	0.507024	0.173333	0.334167	0.334167	0.507024
S4Chinf_b041	0.380000	0.130000	0.250000	0.250000	0.380000
S4Chinf_b044	0.380000	0.130000	0.250000	0.250000	0.380000
S4Chinf_b045	0.507024	0.173690	0.333690	0.333690	0.507024
S4Chinf_b046	0.506667	0.173333	0.333333	0.333333	0.506667
S4Chinf_b047	0.380000	0.130000	0.250000	0.250000	0.380000
S4Cport_b049	0.173333	1.013333	0.333333	1.013333	0.333333
S4Cport_b050	0.173333	1.013333	0.333333	1.013333	0.333333
S4Cport_b051	0.173333	1.013333	0.333333	1.013333	0.333333
S4Cport_b052	0.260000	1.520000	0.500000	1.520000	0.500000
S4Cport_b053	0.130000	0.760000	0.250000	0.760000	0.250000
S4Cport_b054	0.104000	0.608000	0.200000	0.608000	0.200000
S4Cport_b055	0.130000	0.760000	0.250000	0.760000	0.250000
S4Cport_b056	0.173333	1.013333	0.333333	1.013333	0.333333
S5Chinf_b000	0.760000	0.260000	0.500000	0.500000	0.760000
S5Chinf_b001	0.380000	0.130000	0.250000	0.250000	0.380000
S5Chinf_b006	0.380000	0.130000	0.250000	0.250000	0.380000
S5Chinf_b008	0.380000	0.130000	0.250000	0.250000	0.380000
S5Chinf_b009	0.497403	0.173077	0.327450	0.327450	0.497403
S5Chinf_b010	0.388653	0.131411	0.254950	0.254950	0.388653
S5Chinf_b011	0.760000	0.260000	0.502500	0.502500	0.760000
S5Chinf_b014	0.305500	0.104000	0.200000	0.200000	0.305500
S5Chinf_b016	0.507500	0.173333	0.333333	0.333333	0.507500
S5Chinf_b018	0.380000	0.130000	0.250000	0.250000	0.380000
S5Chinf_b019	0.533667	0.179333	0.341000	0.341000	0.533667
S5Chinf_b021	0.380357	0.130357	0.250357	0.250357	0.380357
S5Chinf_b022	0.506667	0.173333	0.333333	0.333333	0.506667
S5Chinf_b024	0.506667	0.173333	0.333333	0.333333	0.506667
S5Chinf_b025	0.380000	0.130000	0.250000	0.250000	0.380000
S5Chinf_b026	0.760000	0.260000	0.500000	0.500000	0.760000
S5Chinf_b027	0.514586	0.178042	0.341056	0.341056	0.514586
S5Chinf_b029	0.506667	0.173333	0.333333	0.333333	0.506667
S5Chinf_b030	0.760000	0.260000	0.500000	0.500000	0.760000
S5Chinf_b031	0.500000	0.175000	0.328333	0.328333	0.500000
S5Chinf_b033	0.760833	0.260000	0.498333	0.498333	0.760833
S5Chinf_b036	0.506667	0.173333	0.333333	0.333333	0.506667
S5Chinf_b037	0.373988	0.131190	0.251310	0.251310	0.373988
S5Chinf_b041	0.380000	0.130000	0.250000	0.250000	0.380000
S5Chinf_b042	0.380000	0.130000	0.250000	0.250000	0.380000
S5Chinf_b043	0.380000	0.130000	0.250000	0.250000	0.380000
S5Chinf_b044	0.380000	0.130000	0.250000	0.250000	0.380000
S5Cport_b049	0.173333	1.013333	0.333333	1.013333	0.333333
S5Cport_b050	0.173333	1.013333	0.333333	1.013333	0.333333
S5Cport_b051	0.173333	1.013333	0.333333	1.013333	0.333333
S5Cport_b053	0.130000	0.760000	0.250000	0.760000	0.250000
S5Cport_b054	0.104000	0.608000	0.200000	0.608000	0.200000
S5Cport_b055	0.130000	0.760000	0.250000	0.760000	0.250000
S5Cport_b056	0.173333	1.013333	0.333333	1.013333	0.333333
