checkv_id	contig_id	version	action	reason
CheckV-054436	GCA_004777045.1	v1.5	removed	short Caudovirales
CheckV-003619	DTR_018789	v1.5	removed	short Caudovirales
CheckV-054319	GCA_004773845.1	v1.5	removed	short Caudovirales
CheckV-054262	GCA_004772375.1	v1.5	removed	short Caudovirales
CheckV-051979	GCA_003498925.1	v1.5	removed	short Caudovirales
CheckV-054466	GCA_004777925.1	v1.5	removed	short Caudovirales
CheckV-021793	DTR_363453	v1.5	removed	short Caudovirales
CheckV-016656	DTR_275656	v1.5	removed	short Caudovirales
CheckV-003500	DTR_016504	v1.5	removed	short Caudovirales
CheckV-054268	GCA_004772535.1	v1.5	removed	short Caudovirales
CheckV-003499	DTR_016502	v1.5	removed	short Caudovirales
CheckV-018152	DTR_296846	v1.5	removed	short Caudovirales
CheckV-013226	DTR_232860	v1.5	removed	short Caudovirales
CheckV-054445	GCA_004777365.1	v1.5	removed	short Caudovirales
CheckV-003699	DTR_019789	v1.5	removed	short Caudovirales
CheckV-054363	GCA_004774925.1	v1.5	removed	short Caudovirales
CheckV-005029	DTR_051161	v1.5	removed	short Caudovirales
CheckV-041784	DTR_893173	v1.5	removed	short Caudovirales
CheckV-054263	GCA_004772395.1	v1.5	removed	short Caudovirales
CheckV-003528	DTR_017275	v1.5	removed	short Caudovirales
CheckV-003525	DTR_017222	v1.5	removed	short Caudovirales
CheckV-016567	DTR_274352	v1.5	removed	short Caudovirales
CheckV-003700	DTR_019790	v1.5	removed	short Caudovirales
CheckV-054399	GCA_004775845.1	v1.5	removed	short Caudovirales
CheckV-054367	GCA_004775005.1	v1.5	removed	short Caudovirales
CheckV-054265	GCA_004772475.1	v1.5	removed	short Caudovirales
CheckV-054362	GCA_004774905.1	v1.5	removed	short Caudovirales
CheckV-026989	DTR_545526	v1.5	removed	short Caudovirales
CheckV-054239	GCA_004771495.1	v1.5	removed	short Caudovirales
CheckV-054426	GCA_004776845.1	v1.5	removed	short Caudovirales
CheckV-054401	GCA_004775885.1	v1.5	removed	short Caudovirales
CheckV-054487	GCA_004778505.1	v1.5	removed	short Caudovirales
CheckV-054245	GCA_004771795.1	v1.5	removed	short Caudovirales
CheckV-054369	GCA_004775065.1	v1.5	removed	short Caudovirales
CheckV-054260	GCA_004772315.1	v1.5	removed	short Caudovirales
CheckV-054329	GCA_004774085.1	v1.5	removed	short Caudovirales
CheckV-054250	GCA_004771935.1	v1.5	removed	short Caudovirales
CheckV-054345	GCA_004774465.1	v1.5	removed	short Caudovirales
CheckV-006186	DTR_076772	v1.5	removed	short Caudovirales
CheckV-004218	DTR_034891	v1.5	removed	short Caudovirales
CheckV-030400	DTR_639848	v1.5	removed	short Caudovirales
CheckV-003626	DTR_018821	v1.5	removed	short Caudovirales
CheckV-054251	GCA_004771955.1	v1.5	removed	short Caudovirales
CheckV-054415	GCA_004776425.1	v1.5	removed	short Caudovirales
CheckV-054435	GCA_004777025.1	v1.5	removed	short Caudovirales
CheckV-016942	DTR_281549	v1.5	removed	short Caudovirales
CheckV-054247	GCA_004771855.1	v1.5	removed	short Caudovirales
CheckV-016545	DTR_273447	v1.5	removed	short Caudovirales
CheckV-028849	DTR_609679	v1.5	removed	short Caudovirales
CheckV-032501	DTR_699039	v1.5	removed	short Caudovirales
CheckV-019773	DTR_325680	v1.5	removed	short Caudovirales
CheckV-054292	GCA_004773235.1	v1.5	removed	short Caudovirales
CheckV-040435	DTR_890068	v1.5	removed	short Caudovirales
CheckV-054267	GCA_004772515.1	v1.5	removed	short Caudovirales
CheckV-054259	GCA_004772295.1	v1.5	removed	short Caudovirales
CheckV-041950	DTR_893522	v1.5	removed	short Caudovirales
CheckV-007021	DTR_103179	v1.5	removed	short Caudovirales
CheckV-054341	GCA_004774365.1	v1.5	removed	short Caudovirales
CheckV-006907	DTR_101665	v1.5	removed	short Caudovirales
CheckV-009757	DTR_167419	v1.5	removed	short Caudovirales
CheckV-054408	GCA_004776245.1	v1.5	removed	short Caudovirales
CheckV-017527	DTR_289522	v1.5	removed	short Caudovirales
CheckV-003419	DTR_013846	v1.5	removed	short Caudovirales
CheckV-054255	GCA_004772135.1	v1.5	removed	short Caudovirales
CheckV-054420	GCA_004776645.1	v1.5	removed	short Caudovirales
CheckV-014888	DTR_254670	v1.5	removed	short Caudovirales
CheckV-054264	GCA_004772435.1	v1.5	removed	short Caudovirales
CheckV-014875	DTR_254617	v1.5	removed	short Caudovirales
CheckV-018298	DTR_300497	v1.5	removed	short Caudovirales
CheckV-054253	GCA_004772035.1	v1.5	removed	short Caudovirales
CheckV-054309	GCA_004773625.1	v1.5	removed	short Caudovirales
CheckV-029765	DTR_629252	v1.5	removed	short Caudovirales
CheckV-052211	GCA_003653225.1	v1.5	removed	short Caudovirales
CheckV-014220	DTR_245324	v1.5	removed	short Caudovirales
CheckV-028826	DTR_608965	v1.5	removed	short Caudovirales
CheckV-014483	DTR_248281	v1.5	removed	short Caudovirales
CheckV-004195	DTR_034252	v1.5	removed	short Caudovirales
CheckV-049986	GCA_002990085.1	v1.5	removed	short Caudovirales
CheckV-021470	DTR_357606	v1.5	removed	short Caudovirales
CheckV-014532	DTR_248888	v1.5	removed	short Caudovirales
CheckV-006019	DTR_074209	v1.5	removed	short Caudovirales
CheckV-034466	DTR_733312	v1.5	removed	short Caudovirales
CheckV-028950	DTR_611523	v1.5	removed	short Caudovirales
CheckV-008187	DTR_129033	v1.5	removed	short Caudovirales
CheckV-029005	DTR_612429	v1.5	removed	short Caudovirales
CheckV-029436	DTR_621589	v1.5	removed	short Caudovirales
CheckV-022369	DTR_383975	v1.5	removed	short Caudovirales
CheckV-021365	DTR_356010	v1.5	removed	short Caudovirales
CheckV-029357	DTR_620787	v1.5	removed	short Caudovirales
CheckV-036818	DTR_821173	v1.5	removed	short Caudovirales
CheckV-035864	DTR_790068	v1.5	removed	short Caudovirales
CheckV-024827	DTR_461891	v1.5	removed	short Caudovirales
CheckV-011118	DTR_185873	v1.5	removed	short Caudovirales
CheckV-021364	DTR_355999	v1.5	removed	short Caudovirales
CheckV-008196	DTR_129507	v1.5	removed	short Caudovirales
CheckV-028854	DTR_609748	v1.5	removed	short Caudovirales
CheckV-025230	DTR_487649	v1.5	removed	short Caudovirales
CheckV-004271	DTR_035682	v1.5	removed	short Caudovirales
CheckV-000030	136630	v1.5	removed	non-viral score
CheckV-000054	178447	v1.5	removed	non-viral score
CheckV-000075	226407	v1.5	removed	non-viral score
CheckV-000160	3300000976|BBAY71_10000190	v1.5	removed	non-viral score
CheckV-000438	3300014205|Ga0172380_10000574	v1.5	removed	non-viral score
CheckV-000682	3300022719|Ga0248485_1000019	v1.5	removed	non-viral score
CheckV-000697	3300023202|Ga0255825_1000386	v1.5	removed	non-viral score
CheckV-000788	3300028840|Ga0309773_1000015	v1.5	removed	non-viral score
CheckV-001722	3300046517|Ga0495630_0000004	v1.5	removed	non-viral score
CheckV-003082	CEPX01412995.1	v1.5	removed	non-viral score
CheckV-003128	DTR_004119	v1.5	removed	non-viral score
CheckV-003180	DTR_006022	v1.5	removed	non-viral score
CheckV-003191	DTR_006395	v1.5	removed	non-viral score
CheckV-003192	DTR_006405	v1.5	removed	non-viral score
CheckV-003201	DTR_006546	v1.5	removed	non-viral score
CheckV-003203	DTR_006562	v1.5	removed	non-viral score
CheckV-003205	DTR_006565	v1.5	removed	non-viral score
CheckV-003207	DTR_006715	v1.5	removed	non-viral score
CheckV-003209	DTR_006821	v1.5	removed	non-viral score
CheckV-003221	DTR_007548	v1.5	removed	non-viral score
CheckV-003222	DTR_007549	v1.5	removed	non-viral score
CheckV-003254	DTR_008992	v1.5	removed	non-viral score
CheckV-003272	DTR_009758	v1.5	removed	non-viral score
CheckV-003302	DTR_010717	v1.5	removed	non-viral score
CheckV-003368	DTR_011951	v1.5	removed	non-viral score
CheckV-003379	DTR_012391	v1.5	removed	non-viral score
CheckV-003385	DTR_012412	v1.5	removed	non-viral score
CheckV-003386	DTR_012413	v1.5	removed	non-viral score
CheckV-003436	DTR_014579	v1.5	removed	non-viral score
CheckV-003470	DTR_015157	v1.5	removed	non-viral score
CheckV-003471	DTR_015158	v1.5	removed	non-viral score
CheckV-003486	DTR_015821	v1.5	removed	non-viral score
CheckV-003487	DTR_016017	v1.5	removed	non-viral score
CheckV-003488	DTR_016162	v1.5	removed	non-viral score
CheckV-003491	DTR_016286	v1.5	removed	non-viral score
CheckV-003509	DTR_016646	v1.5	removed	non-viral score
CheckV-003510	DTR_016717	v1.5	removed	non-viral score
CheckV-003514	DTR_016864	v1.5	removed	non-viral score
CheckV-003518	DTR_017011	v1.5	removed	non-viral score
CheckV-003531	DTR_017304	v1.5	removed	non-viral score
CheckV-003543	DTR_017366	v1.5	removed	non-viral score
CheckV-003551	DTR_017436	v1.5	removed	non-viral score
CheckV-003556	DTR_017764	v1.5	removed	non-viral score
CheckV-003558	DTR_017915	v1.5	removed	non-viral score
CheckV-003561	DTR_017927	v1.5	removed	non-viral score
CheckV-003562	DTR_017961	v1.5	removed	non-viral score
CheckV-003567	DTR_018142	v1.5	removed	non-viral score
CheckV-003568	DTR_018151	v1.5	removed	non-viral score
CheckV-003569	DTR_018158	v1.5	removed	non-viral score
CheckV-003574	DTR_018264	v1.5	removed	non-viral score
CheckV-003575	DTR_018308	v1.5	removed	non-viral score
CheckV-003576	DTR_018318	v1.5	removed	non-viral score
CheckV-003579	DTR_018366	v1.5	removed	non-viral score
CheckV-003589	DTR_018469	v1.5	removed	non-viral score
CheckV-003599	DTR_018573	v1.5	removed	non-viral score
CheckV-003603	DTR_018610	v1.5	removed	non-viral score
CheckV-003607	DTR_018666	v1.5	removed	non-viral score
CheckV-003613	DTR_018709	v1.5	removed	non-viral score
CheckV-003616	DTR_018762	v1.5	removed	non-viral score
CheckV-003623	DTR_018802	v1.5	removed	non-viral score
CheckV-003630	DTR_018853	v1.5	removed	non-viral score
CheckV-003647	DTR_019031	v1.5	removed	non-viral score
CheckV-003652	DTR_019089	v1.5	removed	non-viral score
CheckV-003675	DTR_019370	v1.5	removed	non-viral score
CheckV-003680	DTR_019446	v1.5	removed	non-viral score
CheckV-003683	DTR_019457	v1.5	removed	non-viral score
CheckV-003690	DTR_019575	v1.5	removed	non-viral score
CheckV-003692	DTR_019627	v1.5	removed	non-viral score
CheckV-003704	DTR_019808	v1.5	removed	non-viral score
CheckV-003716	DTR_020056	v1.5	removed	non-viral score
CheckV-003720	DTR_020350	v1.5	removed	non-viral score
CheckV-003725	DTR_020780	v1.5	removed	non-viral score
CheckV-003726	DTR_020843	v1.5	removed	non-viral score
CheckV-003727	DTR_020876	v1.5	removed	non-viral score
CheckV-003730	DTR_021110	v1.5	removed	non-viral score
CheckV-003748	DTR_022009	v1.5	removed	non-viral score
CheckV-003750	DTR_022025	v1.5	removed	non-viral score
CheckV-003764	DTR_022408	v1.5	removed	non-viral score
CheckV-003768	DTR_022508	v1.5	removed	non-viral score
CheckV-003771	DTR_022533	v1.5	removed	non-viral score
CheckV-003772	DTR_022536	v1.5	removed	non-viral score
CheckV-003773	DTR_022543	v1.5	removed	non-viral score
CheckV-003785	DTR_023168	v1.5	removed	non-viral score
CheckV-003804	DTR_023869	v1.5	removed	non-viral score
CheckV-003808	DTR_023920	v1.5	removed	non-viral score
CheckV-003809	DTR_023922	v1.5	removed	non-viral score
CheckV-003810	DTR_023924	v1.5	removed	non-viral score
CheckV-003816	DTR_023941	v1.5	removed	non-viral score
CheckV-003817	DTR_023988	v1.5	removed	non-viral score
CheckV-003828	DTR_024139	v1.5	removed	non-viral score
CheckV-003927	DTR_025586	v1.5	removed	non-viral score
CheckV-003995	DTR_027769	v1.5	removed	non-viral score
CheckV-003999	DTR_027904	v1.5	removed	non-viral score
CheckV-004002	DTR_027918	v1.5	removed	non-viral score
CheckV-004004	DTR_027948	v1.5	removed	non-viral score
CheckV-004005	DTR_027955	v1.5	removed	non-viral score
CheckV-004012	DTR_028199	v1.5	removed	non-viral score
CheckV-004017	DTR_028422	v1.5	removed	non-viral score
CheckV-004056	DTR_029695	v1.5	removed	non-viral score
CheckV-004057	DTR_029699	v1.5	removed	non-viral score
CheckV-004073	DTR_030830	v1.5	removed	non-viral score
CheckV-004076	DTR_030962	v1.5	removed	non-viral score
CheckV-004078	DTR_030967	v1.5	removed	non-viral score
CheckV-004080	DTR_031004	v1.5	removed	non-viral score
CheckV-004088	DTR_031200	v1.5	removed	non-viral score
CheckV-004119	DTR_032156	v1.5	removed	non-viral score
CheckV-004120	DTR_032157	v1.5	removed	non-viral score
CheckV-004121	DTR_032158	v1.5	removed	non-viral score
CheckV-004124	DTR_032173	v1.5	removed	non-viral score
CheckV-004127	DTR_032202	v1.5	removed	non-viral score
CheckV-004131	DTR_032236	v1.5	removed	non-viral score
CheckV-004134	DTR_032242	v1.5	removed	non-viral score
CheckV-004135	DTR_032243	v1.5	removed	non-viral score
CheckV-004136	DTR_032244	v1.5	removed	non-viral score
CheckV-004137	DTR_032247	v1.5	removed	non-viral score
CheckV-004187	DTR_034114	v1.5	removed	non-viral score
CheckV-004193	DTR_034243	v1.5	removed	non-viral score
CheckV-004194	DTR_034245	v1.5	removed	non-viral score
CheckV-004196	DTR_034253	v1.5	removed	non-viral score
CheckV-004198	DTR_034255	v1.5	removed	non-viral score
CheckV-004201	DTR_034259	v1.5	removed	non-viral score
CheckV-004210	DTR_034650	v1.5	removed	non-viral score
CheckV-004211	DTR_034652	v1.5	removed	non-viral score
CheckV-004219	DTR_034907	v1.5	removed	non-viral score
CheckV-004220	DTR_034918	v1.5	removed	non-viral score
CheckV-004228	DTR_035005	v1.5	removed	non-viral score
CheckV-004231	DTR_035012	v1.5	removed	non-viral score
CheckV-004232	DTR_035013	v1.5	removed	non-viral score
CheckV-004237	DTR_035219	v1.5	removed	non-viral score
CheckV-004238	DTR_035306	v1.5	removed	non-viral score
CheckV-004240	DTR_035358	v1.5	removed	non-viral score
CheckV-004241	DTR_035359	v1.5	removed	non-viral score
CheckV-004242	DTR_035360	v1.5	removed	non-viral score
CheckV-004247	DTR_035422	v1.5	removed	non-viral score
CheckV-004248	DTR_035424	v1.5	removed	non-viral score
CheckV-004249	DTR_035425	v1.5	removed	non-viral score
CheckV-004253	DTR_035453	v1.5	removed	non-viral score
CheckV-004262	DTR_035604	v1.5	removed	non-viral score
CheckV-004265	DTR_035631	v1.5	removed	non-viral score
CheckV-004267	DTR_035633	v1.5	removed	non-viral score
CheckV-004270	DTR_035644	v1.5	removed	non-viral score
CheckV-004276	DTR_035796	v1.5	removed	non-viral score
CheckV-004277	DTR_035797	v1.5	removed	non-viral score
CheckV-004302	DTR_038230	v1.5	removed	non-viral score
CheckV-004322	DTR_039532	v1.5	removed	non-viral score
CheckV-004334	DTR_039873	v1.5	removed	non-viral score
CheckV-004358	DTR_040775	v1.5	removed	non-viral score
CheckV-004452	DTR_042116	v1.5	removed	non-viral score
CheckV-004553	DTR_043208	v1.5	removed	non-viral score
CheckV-004661	DTR_045047	v1.5	removed	non-viral score
CheckV-004662	DTR_045048	v1.5	removed	non-viral score
CheckV-004721	DTR_045907	v1.5	removed	non-viral score
CheckV-004762	DTR_046961	v1.5	removed	non-viral score
CheckV-004781	DTR_047370	v1.5	removed	non-viral score
CheckV-004782	DTR_047376	v1.5	removed	non-viral score
CheckV-004979	DTR_050255	v1.5	removed	non-viral score
CheckV-005032	DTR_051362	v1.5	removed	non-viral score
CheckV-005102	DTR_052679	v1.5	removed	non-viral score
CheckV-005103	DTR_052681	v1.5	removed	non-viral score
CheckV-005109	DTR_052804	v1.5	removed	non-viral score
CheckV-005212	DTR_053597	v1.5	removed	non-viral score
CheckV-005216	DTR_053660	v1.5	removed	non-viral score
CheckV-005217	DTR_053674	v1.5	removed	non-viral score
CheckV-005218	DTR_053694	v1.5	removed	non-viral score
CheckV-005287	DTR_056599	v1.5	removed	non-viral score
CheckV-005291	DTR_056850	v1.5	removed	non-viral score
CheckV-005302	DTR_057150	v1.5	removed	non-viral score
CheckV-005304	DTR_057291	v1.5	removed	non-viral score
CheckV-005309	DTR_057628	v1.5	removed	non-viral score
CheckV-005316	DTR_057746	v1.5	removed	non-viral score
CheckV-005319	DTR_057879	v1.5	removed	non-viral score
CheckV-005320	DTR_058000	v1.5	removed	non-viral score
CheckV-005325	DTR_058195	v1.5	removed	non-viral score
CheckV-005332	DTR_058230	v1.5	removed	non-viral score
CheckV-005333	DTR_058234	v1.5	removed	non-viral score
CheckV-005335	DTR_058238	v1.5	removed	non-viral score
CheckV-005336	DTR_058245	v1.5	removed	non-viral score
CheckV-005338	DTR_058261	v1.5	removed	non-viral score
CheckV-005341	DTR_058344	v1.5	removed	non-viral score
CheckV-005398	DTR_059651	v1.5	removed	non-viral score
CheckV-005408	DTR_060268	v1.5	removed	non-viral score
CheckV-005429	DTR_060794	v1.5	removed	non-viral score
CheckV-005461	DTR_061465	v1.5	removed	non-viral score
CheckV-005477	DTR_062142	v1.5	removed	non-viral score
CheckV-005583	DTR_064502	v1.5	removed	non-viral score
CheckV-005584	DTR_064525	v1.5	removed	non-viral score
CheckV-005670	DTR_066059	v1.5	removed	non-viral score
CheckV-005717	DTR_066640	v1.5	removed	non-viral score
CheckV-005775	DTR_067351	v1.5	removed	non-viral score
CheckV-005776	DTR_067354	v1.5	removed	non-viral score
CheckV-005777	DTR_067364	v1.5	removed	non-viral score
CheckV-005844	DTR_069040	v1.5	removed	non-viral score
CheckV-005845	DTR_069041	v1.5	removed	non-viral score
CheckV-005846	DTR_069045	v1.5	removed	non-viral score
CheckV-005848	DTR_069060	v1.5	removed	non-viral score
CheckV-005896	DTR_070494	v1.5	removed	non-viral score
CheckV-005903	DTR_070561	v1.5	removed	non-viral score
CheckV-005904	DTR_070577	v1.5	removed	non-viral score
CheckV-005917	DTR_070794	v1.5	removed	non-viral score
CheckV-005918	DTR_070880	v1.5	removed	non-viral score
CheckV-005928	DTR_070989	v1.5	removed	non-viral score
CheckV-005958	DTR_071300	v1.5	removed	non-viral score
CheckV-005962	DTR_071554	v1.5	removed	non-viral score
CheckV-005965	DTR_072391	v1.5	removed	non-viral score
CheckV-005979	DTR_073593	v1.5	removed	non-viral score
CheckV-005984	DTR_073783	v1.5	removed	non-viral score
CheckV-005997	DTR_074011	v1.5	removed	non-viral score
CheckV-006007	DTR_074139	v1.5	removed	non-viral score
CheckV-006012	DTR_074145	v1.5	removed	non-viral score
CheckV-006013	DTR_074146	v1.5	removed	non-viral score
CheckV-006025	DTR_074255	v1.5	removed	non-viral score
CheckV-006033	DTR_074285	v1.5	removed	non-viral score
CheckV-006045	DTR_074732	v1.5	removed	non-viral score
CheckV-006046	DTR_074733	v1.5	removed	non-viral score
CheckV-006047	DTR_074738	v1.5	removed	non-viral score
CheckV-006057	DTR_074862	v1.5	removed	non-viral score
CheckV-006058	DTR_074863	v1.5	removed	non-viral score
CheckV-006085	DTR_075363	v1.5	removed	non-viral score
CheckV-006097	DTR_075491	v1.5	removed	non-viral score
CheckV-006098	DTR_075493	v1.5	removed	non-viral score
CheckV-006100	DTR_075516	v1.5	removed	non-viral score
CheckV-006102	DTR_075521	v1.5	removed	non-viral score
CheckV-006103	DTR_075561	v1.5	removed	non-viral score
CheckV-006121	DTR_075797	v1.5	removed	non-viral score
CheckV-006129	DTR_075810	v1.5	removed	non-viral score
CheckV-006130	DTR_075812	v1.5	removed	non-viral score
CheckV-006137	DTR_075872	v1.5	removed	non-viral score
CheckV-006138	DTR_075875	v1.5	removed	non-viral score
CheckV-006141	DTR_075882	v1.5	removed	non-viral score
CheckV-006144	DTR_075891	v1.5	removed	non-viral score
CheckV-006172	DTR_076576	v1.5	removed	non-viral score
CheckV-006310	DTR_079188	v1.5	removed	non-viral score
CheckV-006311	DTR_079360	v1.5	removed	non-viral score
CheckV-006312	DTR_079384	v1.5	removed	non-viral score
CheckV-006313	DTR_081573	v1.5	removed	non-viral score
CheckV-006314	DTR_081692	v1.5	removed	non-viral score
CheckV-006315	DTR_081781	v1.5	removed	non-viral score
CheckV-006316	DTR_081782	v1.5	removed	non-viral score
CheckV-006317	DTR_082759	v1.5	removed	non-viral score
CheckV-006321	DTR_083951	v1.5	removed	non-viral score
CheckV-006323	DTR_083993	v1.5	removed	non-viral score
CheckV-006367	DTR_087712	v1.5	removed	non-viral score
CheckV-006397	DTR_088692	v1.5	removed	non-viral score
CheckV-006404	DTR_088892	v1.5	removed	non-viral score
CheckV-006405	DTR_088895	v1.5	removed	non-viral score
CheckV-006422	DTR_089329	v1.5	removed	non-viral score
CheckV-006448	DTR_090188	v1.5	removed	non-viral score
CheckV-006496	DTR_091535	v1.5	removed	non-viral score
CheckV-006520	DTR_093671	v1.5	removed	non-viral score
CheckV-006521	DTR_093731	v1.5	removed	non-viral score
CheckV-006530	DTR_094318	v1.5	removed	non-viral score
CheckV-006531	DTR_094381	v1.5	removed	non-viral score
CheckV-006532	DTR_094405	v1.5	removed	non-viral score
CheckV-006534	DTR_094452	v1.5	removed	non-viral score
CheckV-006536	DTR_094537	v1.5	removed	non-viral score
CheckV-006538	DTR_094845	v1.5	removed	non-viral score
CheckV-006539	DTR_094847	v1.5	removed	non-viral score
CheckV-006543	DTR_094910	v1.5	removed	non-viral score
CheckV-006547	DTR_094939	v1.5	removed	non-viral score
CheckV-006548	DTR_094954	v1.5	removed	non-viral score
CheckV-006550	DTR_095037	v1.5	removed	non-viral score
CheckV-006553	DTR_095159	v1.5	removed	non-viral score
CheckV-006592	DTR_096071	v1.5	removed	non-viral score
CheckV-006694	DTR_097800	v1.5	removed	non-viral score
CheckV-006698	DTR_097911	v1.5	removed	non-viral score
CheckV-006699	DTR_097913	v1.5	removed	non-viral score
CheckV-006701	DTR_097937	v1.5	removed	non-viral score
CheckV-006707	DTR_098062	v1.5	removed	non-viral score
CheckV-006714	DTR_098998	v1.5	removed	non-viral score
CheckV-006912	DTR_101695	v1.5	removed	non-viral score
CheckV-007054	DTR_103634	v1.5	removed	non-viral score
CheckV-007090	DTR_104685	v1.5	removed	non-viral score
CheckV-007101	DTR_105367	v1.5	removed	non-viral score
CheckV-007103	DTR_105375	v1.5	removed	non-viral score
CheckV-007124	DTR_105884	v1.5	removed	non-viral score
CheckV-007127	DTR_105889	v1.5	removed	non-viral score
CheckV-007130	DTR_105895	v1.5	removed	non-viral score
CheckV-007131	DTR_105896	v1.5	removed	non-viral score
CheckV-007148	DTR_106286	v1.5	removed	non-viral score
CheckV-007149	DTR_106298	v1.5	removed	non-viral score
CheckV-007159	DTR_106414	v1.5	removed	non-viral score
CheckV-007191	DTR_107204	v1.5	removed	non-viral score
CheckV-007193	DTR_107267	v1.5	removed	non-viral score
CheckV-007231	DTR_107810	v1.5	removed	non-viral score
CheckV-007265	DTR_108617	v1.5	removed	non-viral score
CheckV-007324	DTR_109530	v1.5	removed	non-viral score
CheckV-007337	DTR_109676	v1.5	removed	non-viral score
CheckV-007339	DTR_109684	v1.5	removed	non-viral score
CheckV-007353	DTR_109802	v1.5	removed	non-viral score
CheckV-007356	DTR_109807	v1.5	removed	non-viral score
CheckV-007358	DTR_109818	v1.5	removed	non-viral score
CheckV-007440	DTR_110497	v1.5	removed	non-viral score
CheckV-007532	DTR_111663	v1.5	removed	non-viral score
