length	aai	cov	error	count
500	30	5	NA	0
500	30	10	NA	0
500	30	15	NA	0
500	30	20	NA	0
500	30	25	NA	0
500	30	30	NA	0
500	30	35	NA	0
500	30	40	0.481189851268591	3
500	30	45	9.10805945806946	12
500	30	50	2.77178544122092	156
500	30	55	13.1442080378251	185
500	30	60	20.3383039509442	488
500	30	65	11.5201220675186	788
500	30	70	19.7366538467411	1260
500	30	75	21.0646871890366	2084
500	30	80	18.6620361908243	2939
500	30	85	15.900926451125	4235
500	30	90	19.4894727035588	5834
500	30	95	17.4865488086088	8961
500	30	100	17.4033660070279	14967
500	35	5	NA	0
500	35	10	NA	0
500	35	15	NA	0
500	35	20	NA	0
500	35	25	NA	0
500	35	30	NA	0
500	35	35	2.20805827452766	1
500	35	40	4.74335016577234	196
500	35	45	9.41011767610588	660
500	35	50	10.8935638408665	2137
500	35	55	13.1770797958444	5034
500	35	60	14.789550443927	8620
500	35	65	14.3564356435644	13826
500	35	70	16.4049993826392	16202
500	35	75	16.7969494756911	18391
500	35	80	16.136174923886	26866
500	35	85	16.0791589363018	28067
500	35	90	16.8455821635012	30397
500	35	95	15.8745682300553	41341
500	35	100	13.9485388013915	67155
500	40	5	NA	0
500	40	10	NA	0
500	40	15	NA	0
500	40	20	NA	0
500	40	25	NA	0
500	40	30	1.13224637681159	5
500	40	35	15.1628825271471	210
500	40	40	10.6956653271422	2276
500	40	45	9.81383589979315	4619
500	40	50	10.8262108262108	10079
500	40	55	12.4777251609732	20026
500	40	60	13.5960820895522	28399
500	40	65	14.784096664322	33958
500	40	70	12.5627295506814	39234
500	40	75	12.4562078530996	39684
500	40	80	14.0716260548981	43128
500	40	85	12.4785346307957	46671
500	40	90	13.5245901639344	50061
500	40	95	12.8905441754604	65571
500	40	100	11.1130808491328	118890
500	45	5	NA	0
500	45	10	NA	0
500	45	15	NA	0
500	45	20	NA	0
500	45	25	NA	0
500	45	30	18.5918591859186	193
500	45	35	9.53629032258065	1641
500	45	40	10.9058614564831	7095
500	45	45	9.13680781758958	13587
500	45	50	9.60057316854738	19380
500	45	55	12.3267689962186	35338
500	45	60	12.1953912871885	41578
500	45	65	10.8481744531967	48484
500	45	70	9.77479763844736	51922
500	45	75	9.39701583915946	46320
500	45	80	10.2982781355488	49800
500	45	85	9.76253298153034	52613
500	45	90	9.57257346393589	53361
500	45	95	9.57116221255438	70951
500	45	100	8.53135956369303	143608
500	50	5	NA	0
500	50	10	NA	0
500	50	15	NA	0
500	50	20	NA	0
500	50	25	20.3647656638633	56
500	50	30	13.776319560496	716
500	50	35	13.3319357197377	4978
500	50	40	8.46362257960279	11243
500	50	45	7.84639697883956	17350
500	50	50	7.8759800427655	21815
500	50	55	9.01084705571864	32918
500	50	60	8.8286542612647	38246
500	50	65	8.65622069323649	43530
500	50	70	8.46393780989099	45426
500	50	75	7.79911931262128	38970
500	50	80	7.90437870733099	41004
500	50	85	7.37729081707856	44497
500	50	90	6.60424210238141	45026
500	50	95	7.74630290488559	62700
500	50	100	6.1640696608616	143089
500	55	5	NA	0
500	55	10	NA	0
500	55	15	NA	0
500	55	20	NA	0
500	55	25	18.9441332415752	116
500	55	30	9.80444235397834	2284
500	55	35	10.5892070484581	9151
500	55	40	8.31710709318498	15751
500	55	45	7.42499606130855	20189
500	55	50	6.79626629638201	24724
500	55	55	7.15802739981796	33301
500	55	60	6.81637624714882	33468
500	55	65	7.81020983258876	37806
500	55	70	7.36887732986563	35335
500	55	75	6.15577889447236	34173
500	55	80	6.53224559894072	29684
500	55	85	5.8295004267231	34292
500	55	90	5.79131055654199	33818
500	55	95	6.01005138473042	54940
500	55	100	5.96170220052112	120380
500	60	5	NA	0
500	60	10	NA	0
500	60	15	NA	0
500	60	20	4.4839255499154	5
500	60	25	10.6180344478217	726
500	60	30	10.0384704758462	4645
500	60	35	9.8420013166557	9917
500	60	40	6.23242393556966	13450
500	60	45	5.84937507775864	17736
500	60	50	6.19852622453403	17993
500	60	55	6.74483196851523	25703
500	60	60	7.42313413371824	24850
500	60	65	7.199499142223	25728
500	60	70	6.08683527215615	26572
500	60	75	5.93942319295282	24109
500	60	80	6.31494039084014	22582
500	60	85	5.5031924597142	24478
500	60	90	6.44351464435146	19735
500	60	95	6.59744810043766	29536
500	60	100	5.23040480181473	74679
500	65	5	NA	0
500	65	10	NA	0
500	65	15	NA	0
500	65	20	20.1592832254853	60
500	65	25	11.9383347977889	1152
500	65	30	11.1671288127048	5188
500	65	35	8.0472706809229	9553
500	65	40	5.44274563664866	10864
500	65	45	4.41426146010187	16443
500	65	50	4.78160165211584	15788
500	65	55	4.96169281284203	19965
500	65	60	4.93975903614458	21486
500	65	65	4.30629991867036	19223
500	65	70	4.39917836357412	18974
500	65	75	3.59486078902751	18738
500	65	80	3.70627038187064	16354
500	65	85	4.70904207699194	18035
500	65	90	4.30930326218284	13557
500	65	95	5.42703988028739	20479
500	65	100	4.12645375211592	64666
500	70	5	NA	0
500	70	10	NA	0
500	70	15	NA	0
500	70	20	10.8378256963163	64
500	70	25	5.37727666955768	1801
500	70	30	7.63918792088678	5606
500	70	35	5.93038246669532	7331
500	70	40	5.92026736691334	9399
500	70	45	3.92706872370266	10593
500	70	50	3.84824832092939	12889
500	70	55	3.24647586501495	16713
500	70	60	3.27930012133377	17218
500	70	65	3.28235803096138	15297
500	70	70	3.47574221578566	13864
500	70	75	3.16318170484095	15891
500	70	80	2.84928996793404	14553
500	70	85	3.17468275732468	12998
500	70	90	3.76308171899354	9009
500	70	95	2.98564350146106	17775
500	70	100	3.02751237481294	59069
500	75	5	NA	0
500	75	10	NA	0
500	75	15	NA	0
500	75	20	5.30423157043808	120
500	75	25	4.27086341322553	2652
500	75	30	6.8903173965448	5311
500	75	35	4.45544554455446	6531
500	75	40	4.76351351351351	8485
500	75	45	4.06399162863937	8976
500	75	50	3.2630430830758	9829
500	75	55	2.65760197775031	11817
500	75	60	2.90644868301544	12183
500	75	65	3.31686661961891	10413
500	75	70	2.58289950537711	9945
500	75	75	2.40210681002472	11034
500	75	80	2.5042492917847	11923
500	75	85	2.66225174144375	10622
500	75	90	2.74973894883397	6993
500	75	95	2.88820931022766	12598
500	75	100	2.89243748116903	47490
500	80	5	NA	0
500	80	10	NA	0
500	80	15	NA	0
500	80	20	6.37788321255893	214
500	80	25	3.27185432140697	2352
500	80	30	4.52278688997146	4329
500	80	35	3.80150899593732	5647
500	80	40	3.22773418324879	7885
500	80	45	3.04308932581742	9350
500	80	50	2.69007036350243	9117
500	80	55	2.15595406004433	11909
500	80	60	2.39831469777994	10383
500	80	65	2.558837466435	10824
500	80	70	2.33631354677583	10586
500	80	75	2.15991771742029	12762
500	80	80	2.16670149421752	14216
500	80	85	2.27592277180188	11845
500	80	90	2.48722082944567	8504
500	80	95	2.535375954857	11114
500	80	100	2.59008894240112	49918
500	85	5	NA	0
500	85	10	NA	0
500	85	15	NA	0
500	85	20	3.05053799837934	490
500	85	25	3.99189686678637	2452
500	85	30	2.90739046457253	2791
500	85	35	2.99414183876839	4748
500	85	40	2.89179104477612	6387
500	85	45	2.48334615929082	6552
500	85	50	1.85892116182573	8201
500	85	55	1.91720649974804	10764
500	85	60	2.15381803061607	8438
500	85	65	2.00705136261284	10508
500	85	70	1.96471531676022	10061
500	85	75	2.26023075536326	11187
500	85	80	1.78361426891415	13991
500	85	85	2.03087301773207	10445
500	85	90	1.51889796331009	8412
500	85	95	2.28076029903731	10256
500	85	100	1.71640221531559	44255
500	90	5	NA	0
500	90	10	NA	0
500	90	15	7.54039497307002	1
500	90	20	2.87176570941143	349
500	90	25	2.87176570941143	1313
500	90	30	1.87424285263013	2694
500	90	35	1.87171808336068	3697
500	90	40	2.48295866569978	7105
500	90	45	2.06475050197768	6436
500	90	50	1.61596646910508	8803
500	90	55	2.07805691362588	9708
500	90	60	2.04241979024321	8598
500	90	65	1.96245733788396	11551
500	90	70	2.10887976693122	12938
500	90	75	1.87143116563427	13367
500	90	80	1.7643599294256	13519
500	90	85	1.76003693863164	11640
500	90	90	1.22772645502379	8186
500	90	95	0.938224298918566	11990
500	90	100	0.749304925009914	45244
500	95	5	NA	0
500	95	10	NA	0
500	95	15	3.81593714927048	3
500	95	20	5.70006018493188	475
500	95	25	2.22310440651052	1775
500	95	30	1.79424132278526	2921
500	95	35	1.71730212009066	5649
500	95	40	1.96263328601183	7309
500	95	45	1.97624975214259	8941
500	95	50	1.47074108720507	10671
500	95	55	1.76254112869236	11748
500	95	60	1.84104176021554	14650
500	95	65	1.58768683130069	15901
500	95	70	1.75825494376588	14714
500	95	75	1.47704590818363	16641
500	95	80	1.36710404269326	15742
500	95	85	1.41573033707865	15189
500	95	90	1.46305602853807	11506
500	95	95	0.773063047586325	15633
500	95	100	0.282965478211658	60278
500	100	5	NA	0
500	100	10	NA	0
500	100	15	3.84230173905126	23
500	100	20	8.22959889349931	333
500	100	25	1.8049225159526	1785
500	100	30	1.8049225159526	4415
500	100	35	1.19835893692172	6190
500	100	40	1.46964856230032	10081
500	100	45	1.87048441060951	13195
500	100	50	1.5581073287104	19190
500	100	55	1.37144745538665	20115
500	100	60	1.79646984953838	28432
500	100	65	1.46678170836928	31909
500	100	70	1.50710901126791	30894
500	100	75	1.46188652975983	34819
500	100	80	1.34266049870247	39753
500	100	85	1.36413269019287	36940
500	100	90	1.02607952116289	28419
500	100	95	0.778301886792453	29124
500	100	100	0.268346392174937	89599
1000	5	5	NA	0
1000	5	10	NA	0
1000	5	15	NA	0
1000	5	20	NA	0
1000	5	25	NA	0
1000	5	30	NA	0
1000	5	35	NA	0
1000	5	40	NA	0
1000	5	45	NA	0
1000	5	50	NA	0
1000	5	55	NA	0
1000	5	60	NA	0
1000	5	65	NA	0
1000	5	70	NA	0
1000	5	75	NA	0
1000	5	80	NA	0
1000	5	85	NA	0
1000	5	90	NA	0
1000	5	95	NA	0
1000	5	100	NA	0
1000	10	5	NA	0
1000	10	10	NA	0
1000	10	15	NA	0
1000	10	20	NA	0
1000	10	25	NA	0
1000	10	30	NA	0
1000	10	35	NA	0
1000	10	40	NA	0
1000	10	45	NA	0
1000	10	50	NA	0
1000	10	55	NA	0
1000	10	60	NA	0
1000	10	65	NA	0
1000	10	70	NA	0
1000	10	75	NA	0
1000	10	80	NA	0
1000	10	85	NA	0
1000	10	90	NA	0
1000	10	95	NA	0
1000	10	100	NA	0
1000	15	5	NA	0
1000	15	10	NA	0
1000	15	15	NA	0
1000	15	20	NA	0
1000	15	25	NA	0
1000	15	30	NA	0
1000	15	35	NA	0
1000	15	40	NA	0
1000	15	45	NA	0
1000	15	50	NA	0
1000	15	55	NA	0
1000	15	60	NA	0
1000	15	65	NA	0
1000	15	70	NA	0
1000	15	75	NA	0
1000	15	80	NA	0
1000	15	85	NA	0
1000	15	90	NA	0
1000	15	95	NA	0
1000	15	100	NA	0
1000	20	5	NA	0
1000	20	10	NA	0
1000	20	15	NA	0
1000	20	20	NA	0
1000	20	25	NA	0
1000	20	30	NA	0
1000	20	35	NA	0
1000	20	40	NA	0
1000	20	45	NA	0
1000	20	50	NA	0
1000	20	55	NA	0
1000	20	60	NA	0
1000	20	65	932.427961742934	2
1000	20	70	18.4371807967314	21
1000	20	75	16.8840990735489	3
1000	20	80	18.4371807967314	41
1000	20	85	9.00173282755888	12
1000	20	90	36.6912580192523	88
1000	20	95	14.8424850534282	20
1000	20	100	29.44699151428	42
1000	25	5	NA	0
1000	25	10	NA	0
1000	25	15	NA	0
1000	25	20	NA	0
1000	25	25	NA	0
1000	25	30	6.41494329553035	4
1000	25	35	17.9005475330232	18
1000	25	40	11.9803434155459	60
1000	25	45	40.483827350576	306
1000	25	50	15.2821785468968	637
1000	25	55	18.6750526161226	1493
1000	25	60	22.408712705263	2190
1000	25	65	30.2620342487303	3310
1000	25	70	21.5175375805297	5212
1000	25	75	31.5733896515312	7603
1000	25	80	27.2766386020296	10246
1000	25	85	27.4132662232608	11686
1000	25	90	27.8875317648988	11551
1000	25	95	27.3285119438966	15019
1000	25	100	28.2796463774007	18283
1000	30	5	NA	0
1000	30	10	NA	0
1000	30	15	NA	0
1000	30	20	NA	0
1000	30	25	8.81772318490897	174
1000	30	30	9.3902347558689	979
1000	30	35	15.6775484311716	3317
1000	30	40	18.9871240422095	7726
1000	30	45	17.9982275693531	14739
1000	30	50	17.9409267776344	22114
1000	30	55	17.8799711493024	33835
1000	30	60	18.5122354407915	47132
1000	30	65	18.3455780942327	57916
1000	30	70	18.9819526322458	71310
1000	30	75	19.9248772031205	80817
1000	30	80	20.0089325591782	85785
1000	30	85	19.838337182448	88444
1000	30	90	19.9779518633113	89568
1000	30	95	20.4534537419541	97323
1000	30	100	19.0715755774068	116267
1000	35	5	NA	0
1000	35	10	NA	0
1000	35	15	NA	0
1000	35	20	9.65684937534007	164
1000	35	25	9.32935933119225	3286
1000	35	30	12.2511878772313	17489
1000	35	35	15.3725496558318	44124
1000	35	40	15.5702184012636	65790
1000	35	45	17.3716005451868	88666
1000	35	50	16.0413971539457	99452
1000	35	55	14.4123550401427	125952
1000	35	60	13.8078132016165	138037
1000	35	65	13.9180409795102	156385
1000	35	70	14.6621127104172	166117
1000	35	75	14.602903501281	178757
1000	35	80	15.1046859421735	190497
1000	35	85	14.386066809884	189832
1000	35	90	13.9604954804151	190979
1000	35	95	15.1180229826029	219790
1000	35	100	13.92	276966
1000	40	5	NA	0
1000	40	10	NA	0
1000	40	15	9.34253008511887	3
1000	40	20	7.7824144533864	2580
1000	40	25	10.8503425550577	20821
1000	40	30	13.1305637982196	61896
1000	40	35	13.8001033911972	106490
1000	40	40	14.1542002301496	129419
1000	40	45	13.7461268634142	146226
1000	40	50	12.972234865726	147751
1000	40	55	12.3950755456072	161867
1000	40	60	11.2165417334718	175670
1000	40	65	10.7012750455373	183173
1000	40	70	11.0823071937784	206929
1000	40	75	10.9098357507713	212117
1000	40	80	11.4280670985553	215018
1000	40	85	11.6489254870456	212913
1000	40	90	11.0079848272345	221282
1000	40	95	12.2636936500242	243773
1000	40	100	11.4280975286117	346639
1000	45	5	NA	0
1000	45	10	NA	0
1000	45	15	9.37800708603607	182
1000	45	20	9.96724597484611	10920
1000	45	25	11.2856911752811	49025
1000	45	30	12.5268446162251	98664
1000	45	35	10.4094095052806	134638
1000	45	40	11.7908597461902	134204
1000	45	45	11.3225278032974	141510
1000	45	50	10.6198315369057	136161
1000	45	55	9.83914388195859	147800
1000	45	60	9.21794557489581	156933
1000	45	65	9.40391650527222	169158
1000	45	70	9.12158367084226	182948
1000	45	75	8.84353741496599	187535
1000	45	80	9.28434547078065	179670
1000	45	85	9.0304258705784	163019
1000	45	90	9.43002938697405	157505
1000	45	95	10.2282704126427	170353
1000	45	100	10.6764514907398	275764
1000	50	5	NA	0
1000	50	10	NA	0
1000	50	15	15.1039926495155	521
1000	50	20	10.5500982318271	21391
1000	50	25	10.0651710208396	58016
1000	50	30	9.71165752697683	87591
1000	50	35	8.68542326048555	101578
1000	50	40	9.60051358370539	106830
1000	50	45	8.38252894195698	114500
1000	50	50	8.35028413344106	109356
