barcode,x,y
embryo1_Pos22_cell364_z2,1553.08307742689,1514.54568567238
embryo1_Pos15_cell95_z2,1620.51087450799,1424.84599199368
embryo1_Pos28_cell327_z2,1561.72811285493,1520.87523670487
embryo1_Pos12_cell42_z2,1523.46925897113,1437.04012596001
embryo1_Pos14_cell178_z2,1608.9686155855,1446.17971767468
embryo1_Pos5_cell94_z2,1589.74142337155,1387.13394442472
embryo1_Pos27_cell314_z2,1587.59184544409,1537.75319843646
embryo1_Pos17_cell74_z2,1644.6104749232,1459.80385907357
embryo1_Pos5_cell235_z2,1596.64158475282,1382.0750184106
embryo1_Pos20_cell345_z2,1569.16966877509,1461.12390472692
embryo1_Pos16_cell332_z2,1664.02764939649,1423.54170787978
embryo1_Pos13_cell195_z2,1565.34856785765,1452.83509308701
embryo1_Pos7_cell261_z2,1663.56628806964,1416.74573254043
embryo1_Pos21_cell377_z2,1545.98904184195,1472.86432354267
embryo1_Pos25_cell444_z2,1643.65784813133,1509.50680294552
embryo1_Pos27_cell41_z2,1571.31445216002,1532.01106931664
embryo1_Pos15_cell349_z2,1634.52365214713,1444.98825667208
embryo1_Pos25_cell328_z2,1637.29547232871,1504.97051357483
embryo1_Pos12_cell78_z2,1526.44849874206,1425.13118420617
embryo1_Pos18_cell17_z2,1610.26999280052,1464.87170641823
embryo1_Pos4_cell409_z2,1583.02974473562,1377.51102836558
embryo1_Pos27_cell360_z2,1589.97762751925,1536.01184966599
embryo1_Pos20_cell172_z2,1557.2479607771,1468.36000363262
embryo1_Pos13_cell283_z2,1573.97244552786,1441.79753315857
embryo1_Pos1_cell330_z2,1616.58914036106,1346.99342667863
embryo1_Pos9_cell186_z2,1595.10140478084,1406.7328777482
embryo1_Pos28_cell145_z2,1551.46108398437,1527.88967285156
embryo1_Pos8_cell383_z2,1644.31862325745,1406.26121928171
embryo1_Pos0_cell67_z2,1622.51273461859,1358.90653510753
embryo1_Pos3_cell491_z2,1553.35497043557,1360.98295363335
embryo1_Pos5_cell194_z2,1594.40848174562,1383.47968850103
embryo1_Pos20_cell89_z2,1552.05422371729,1463.61280395085
embryo1_Pos25_cell251_z2,1633.46741440717,1507.08753848805
embryo1_Pos20_cell339_z2,1568.72970818159,1481.72598304844
embryo1_Pos21_cell336_z2,1542.46170532595,1455.03204732935
embryo1_Pos15_cell139_z2,1623.56282843179,1444.47596752588
embryo1_Pos9_cell378_z2,1608.2317923114,1393.62779668111
embryo1_Pos8_cell384_z2,1644.46876233033,1413.25135880287
embryo1_Pos16_cell202_z2,1656.41991992187,1422.30763867188
embryo1_Pos11_cell166_z2,1530.18386743077,1397.8449481136
embryo1_Pos8_cell293_z2,1638.83052821395,1418.06584690207
embryo1_Pos3_cell89_z2,1527.7419364334,1387.73338516271
embryo1_Pos23_cell160_z2,1565.55245359337,1493.05162200181
embryo1_Pos20_cell95_z2,1552.56348613664,1470.567349303
embryo1_Pos3_cell411_z2,1546.09284575257,1375.5027399377
embryo1_Pos23_cell67_z2,1559.345909445,1506.44179546378
embryo1_Pos9_cell58_z2,1585.92844922377,1415.67777391448
embryo1_Pos3_cell44_z2,1525.23783709055,1390.70082184206
embryo1_Pos15_cell457_z2,1640.39336140951,1434.72840372721
embryo1_Pos26_cell105_z2,1605.29545651206,1525.15938880373
embryo1_Pos7_cell317_z2,1667.05881666101,1399.91190769361
embryo1_Pos22_cell379_z2,1554.01249201213,1499.65863765327
embryo1_Pos26_cell419_z2,1627.37413803412,1525.36590302136
embryo1_Pos23_cell89_z2,1559.99557311276,1507.25100303558
embryo1_Pos18_cell40_z2,1612.37796971055,1459.76276335169
embryo1_Pos6_cell55_z2,1620.76721818645,1378.88802244164
embryo1_Pos20_cell302_z2,1565.23253389246,1466.2887543494
embryo1_Pos23_cell18_z2,1555.99319049811,1509.84141589122
embryo1_Pos0_cell21_z2,1618.13735030626,1358.85135045298
embryo1_Pos27_cell34_z2,1571.30432028259,1524.56908949637
embryo1_Pos6_cell17_z2,1617.99484532113,1390.24586193193
embryo1_Pos10_cell326_z2,1577.60138196689,1401.62380174659
embryo1_Pos16_cell281_z2,1661.36917741331,1422.65508815818
embryo1_Pos5_cell367_z2,1605.06644723246,1373.48822527785
embryo1_Pos20_cell314_z2,1566.78688975059,1462.05755283244
embryo1_Pos5_cell77_z2,1589.22639715293,1363.24756635372
embryo1_Pos13_cell214_z2,1566.74506177581,1452.5508816494
embryo1_Pos13_cell22_z2,1552.91863327182,1452.5664676596
embryo1_Pos22_cell314_z2,1549.64376678867,1501.63743579294
embryo1_Pos6_cell317_z2,1639.40014131738,1360.96654756738
embryo1_Pos9_cell243_z2,1600.17957619523,1408.30410908013
embryo1_Pos19_cell297_z2,1603.22766679687,1475.67762617188
embryo1_Pos21_cell121_z2,1523.43772291101,1476.8739618716
embryo1_Pos25_cell439_z2,1643.26999162946,1485.85554547991
embryo1_Pos6_cell373_z2,1643.60364401333,1373.09929222619
embryo1_Pos1_cell61_z2,1588.82117833205,1346.20784371798
embryo1_Pos1_cell151_z2,1596.67291190144,1352.10274792805
embryo1_Pos6_cell403_z2,1644.31787109375,1376.58642578125
embryo1_Pos1_cell222_z2,1603.23783119536,1346.97526432428
embryo1_Pos17_cell58_z2,1643.05063273716,1461.61573497195
embryo1_Pos10_cell370_z2,1580.22691821852,1397.99222793419
embryo1_Pos5_cell285_z2,1599.6352859933,1377.32172572545
embryo1_Pos14_cell190_z2,1610.41519171928,1438.44987181239
embryo1_Pos22_cell310_z2,1549.02307236933,1484.77994287541
embryo1_Pos2_cell64_z2,1565.10609795795,1354.64916992188
embryo1_Pos8_cell294_z2,1638.39871620921,1420.71840215362
embryo1_Pos1_cell82_z2,1589.79627491603,1341.97195577176
embryo1_Pos26_cell379_z2,1624.19318521605,1528.74845483637
embryo1_Pos26_cell455_z2,1630.61749645672,1524.27391929964
embryo1_Pos13_cell133_z2,1561.28738940267,1448.49534284086
embryo1_Pos8_cell81_z2,1618.86388469192,1397.17306806456
embryo1_Pos15_cell81_z2,1619.50799503808,1435.50666701683
embryo1_Pos20_cell178_z2,1557.57808656084,1477.90244660073
embryo1_Pos0_cell425_z2,1645.38022641782,1342.27153862847
embryo1_Pos5_cell267_z2,1598.88020721854,1385.44347642872
embryo1_Pos8_cell62_z2,1617.2091141183,1400.86165876116
embryo1_Pos26_cell71_z2,1603.94292543226,1540.42377990914
embryo1_Pos20_cell243_z2,1561.72506581182,1457.83806197836
embryo1_Pos23_cell24_z2,1556.90623072574,1487.71855404502
embryo1_Pos21_cell285_z2,1535.73800094039,1483.54943033854
embryo1_Pos23_cell175_z2,1566.45396956302,1502.76522199275
embryo1_Pos3_cell268_z2,1535.01873837426,1366.3684500558
embryo1_Pos14_cell105_z2,1593.04597136262,1444.60243020326
embryo1_Pos14_cell221_z2,1612.57987554023,1448.97202252327
embryo1_Pos27_cell372_z2,1590.87380116021,1543.94976533349
embryo1_Pos19_cell94_z2,1587.25916020358,1479.74468688472
embryo1_Pos4_cell17_z2,1556.3168863137,1366.18509172901
embryo1_Pos0_cell367_z2,1641.64159501852,1357.92232150048
embryo1_Pos24_cell72_z2,1597.54820228228,1498.94113236635
embryo1_Pos15_cell369_z2,1635.4592822385,1446.56435940843
embryo1_Pos0_cell130_z2,1627.25509535246,1346.7435682452
embryo1_Pos0_cell135_z2,1627.59399784909,1336.13700121143
embryo1_Pos12_cell148_z2,1540.36283079335,1446.45500362199
embryo1_Pos23_cell217_z2,1568.51254882813,1502.09342447917
embryo1_Pos24_cell174_z2,1615.86088973625,1493.5164798248
embryo1_Pos9_cell174_z2,1593.96954908143,1410.87241944193
embryo1_Pos1_cell206_z2,1602.03423512394,1343.71577001586
embryo1_Pos10_cell77_z2,1560.16194241973,1419.91391568004
embryo1_Pos18_cell29_z2,1610.95270490217,1465.76604949676
embryo1_Pos17_cell152_z2,1648.33149003211,1460.48148244716
embryo1_Pos4_cell132_z2,1566.48626509233,1380.55640713778
embryo1_Pos5_cell345_z2,1602.99856081171,1360.33708702993
embryo1_Pos11_cell114_z2,1527.52317726219,1417.41049697373
embryo1_Pos27_cell48_z2,1571.69801199777,1523.2596749442
embryo1_Pos20_cell234_z2,1561.28306712162,1455.52861852175
embryo1_Pos13_cell14_z2,1551.50973988493,1444.00620179588
embryo1_Pos5_cell264_z2,1598.68068101671,1360.60851711697
embryo1_Pos12_cell123_z2,1538.43133924994,1438.34679683923
embryo1_Pos11_cell71_z2,1525.10504292333,1421.6658774679
embryo1_Pos18_cell38_z2,1611.91831054688,1453.86635742187
embryo1_Pos0_cell181_z2,1630.85774526546,1340.91675827266
embryo1_Pos4_cell280_z2,1577.36369721618,1377.16800892504
embryo1_Pos15_cell479_z2,1642.52630250706,1440.27209416575
embryo1_Pos15_cell219_z2,1627.98890576442,1426.66967773438
embryo1_Pos0_cell36_z2,1619.35183817772,1349.61299143496
embryo1_Pos17_cell227_z2,1652.38179147005,1455.69749312619
embryo1_Pos2_cell177_z2,1577.05519179047,1344.42605340676
embryo1_Pos12_cell149_z2,1540.2108933782,1448.67554887519
embryo1_Pos23_cell81_z2,1559.84028003018,1486.15741958343
embryo1_Pos0_cell227_z2,1633.42147712115,1347.09530957681
embryo1_Pos23_cell5_z2,1555.7020792464,1489.23562653439
embryo1_Pos26_cell19_z2,1600.28036754757,1542.37729273961
embryo1_Pos4_cell189_z2,1570.82160968091,1386.82047231896
embryo1_Pos14_cell21_z2,1584.59505027488,1442.9181604456
embryo1_Pos23_cell99_z2,1561.00079774378,1499.82052887881
embryo1_Pos21_cell195_z2,1527.83311647958,1468.58466376042
embryo1_Pos9_cell447_z2,1613.34586230984,1408.03948942429
embryo1_Pos3_cell241_z2,1533.67419865995,1376.7461396511
embryo1_Pos4_cell384_z2,1582.32352028895,1375.75597899259
embryo1_Pos1_cell285_z2,1612.77120221734,1348.13397261348
embryo1_Pos17_cell31_z2,1641.73282523777,1472.22165845788
embryo1_Pos15_cell77_z2,1619.12227532257,1445.21326576791
embryo1_Pos21_cell239_z2,1530.53073952415,1466.71889056581
embryo1_Pos0_cell408_z2,1644.43293567548,1343.25365005305
