SYMBOL	TRANSCRIPT	COHORT	CANCER_TYPE	METHODS	MUTATIONS	SAMPLES	QVALUE_COMBINATION	ROLE	CGC_GENE	CGC_CANCER_GENE	DOMAINS	2D_CLUSTERS	3D_CLUSTERS	EXCESS_MIS	EXCESS_NON	EXCESS_SPL
ACVR2A	ENST00000241416	ICGC_WXS_COADREAD_COCA_CN_VARSCAN_2019	COADREAD	cbase	4.0	4.0	4.892660248093674e-06	LoF	True	True				0.9001840661713489	0.988538189388064	0.0
ACVR2A	ENST00000241416	TCGA_WXS_COADREAD	COADREAD	dndscv,mutpanning	14.0	6.0	2.0105895811473043e-08	LoF	True	True				0.8475491309353049	0.985056068897283	0.985056068897283
ACVR2A	ENST00000241416	OTHER_WXS_SCC_NATCOM2018	CSCC	combination	6.0	6.0	5.71961839522785e-05	LoF	True	False		179:179		0.0	0.9503529019687024	0.0
ACVR2A	ENST00000241416	ICGC_WXS_HCC_LICA_FR_2019	HCC	dndscv,mutpanning	11.0	7.0	9.81698739191232e-05	LoF	True	False				0.9179206900298472	0.9803968393858224	0.9803968393858224
ACVR2A	ENST00000241416	ICGC_WXS_HCC_LINC_JP_2019	HCC	dndscv	13.0	9.0	6.728497683982062e-08	LoF	True	False				0.9424796737786054	0.9552775396205082	0.0
ACVR2A	ENST00000241416	TCGA_WXS_HCC	HCC	combination	11.0	11.0	1.830335443173288e-05	LoF	True	False				0.5397847613216911	0.9622808424439624	0.9622808424439624
ACVR2A	ENST00000241416	CPTAC_WXS_PAAD_2021	PAAD	combination	5.0	3.0	0.0442202254574235	Act	True	True				0.9492680787978128	0.0	0.0
ACVR2A	ENST00000241416	ICGC_WGS_PAAD_PACA_CA_2019	PAAD	combination	3.0	3.0	0.0020631850345007	LoF	True	True				0.9543474510476304	0.993910760937649	0.0
ACVR2A	ENST00000241416	ICGC_WGS_PAAD_PACA_AU_2019	PAAD	combination	3.0	2.0	0.0001756735731899	LoF	True	True				0.9794659202724936	0.9941776950028496	0.0
ACVR2A	ENST00000241416	ICGC_WXS_PAAD_PACA_AU_2019	PAAD	dndscv,cbase	4.0	3.0	0.0003778372941131	LoF	True	True				0.9906702816041886	0.9986453563886356	0.0
ACVR2A	ENST00000241416	PCAWG_WGS_PANC_ADENOCA	PAAD	combination	6.0	3.0	0.0034845290764933	LoF	True	True				0.925019250994398	0.9901065834999916	0.0
ACVR2A	ENST00000241416	CBIOP_WXS_PRAD_SU2C_2019	PRAD	combination	6.0	3.0	0.0028935775130393	LoF	True	False				0.0	0.940132196801917	0.0
ACVR2A	ENST00000241416	TCGA_WXS_STAD	STAD	mutpanning	18.0	8.0	0.0009000694617522	LoF	True	True				0.8896725627100286	0.9391822990890716	0.0
ACVR2A	ENST00000241416	TCGA_WXS_UCEC	UCEC	mutpanning	30.0	10.0	0.0905517966972404	Act	True	False				0.6893935155261506	0.0	0.0
AFDN	ENST00000366806	ICGC_WGS_BRCA_BRCA_FR_2019	BRCA	combination	2.0	2.0	0.0410520241543669	LoF	True	False				0.7437042374110897	0.96954900565061	0.0
AFDN	ENST00000366806	ICGC_WGS_BRCA_BRCA_EU_2019	BRCA	combination	7.0	6.0	0.0012647395866053	LoF	True	False				0.2116101996279138	0.9111142274237128	0.0
AFDN	ENST00000366806	TCGA_WXS_BRCA	BRCA	combination	17.0	13.0	0.0341125859244245	LoF	True	False				0.4917645566683743	0.90104413481451	0.90104413481451
AFDN	ENST00000366806	HARTWIG_WGS_COADREAD_2020	COADREAD	smregions	9.0	6.0	0.22683321984477	ambiguous	True	False	PF00498:388:451			0.0	0.0	0.710380394207526
AFF1	ENST00000395146	ICGC_WGS_MEL_MELA_AU_2019	MEL	combination	2.0	2.0	0.0701177901235663	LoF	True	False				0.4775172287494539	0.9605291540468712	0.0
AJUBA	ENST00000262713	TCGA_WXS_HNSC	HNSC	oncodrivefml,dndscv,cbase,mutpanning	34.0	26.0	5.951625433579476e-12	LoF	False	False				0.5600933674100552	0.9778477930461914	0.9778477930461914
AKAP9	ENST00000356239	CBIOP_WXS_BCC_UNIGE_2016_UNTREAT	BCC	mutpanning	30.0	20.0	0.2113539655249267	ambiguous	True	False				0.0	0.0	0.0
AKAP9	ENST00000356239	HARTWIG_WGS_BLCA_2020	BLCA	hotmaps	20.0	13.0	0.0005920157991684	LoF	True	False				0.4238060979117097	0.6338864047733579	0.0
AKAP9	ENST00000356239	CBIOP_WXS_BLCA_VALLEN_2018	BLCA	smregions	5.0	4.0	0.0024162160260927	Act	True	False	PF10495:3704:3785			0.5797615906284811	0.0	0.0
AKAP9	ENST00000356239	HARTWIG_WGS_BRCA_2020	BRCA	combination	22.0	17.0	0.128333382809219	Act	True	False				0.2654500987865209	0.0	0.0
AKAP9	ENST00000356239	TCGA_WXS_CCRCC	CCRCC	cbase	12.0	10.0	0.0125486348353336	Act	True	False				0.5725981313760784	0.4538134282509993	0.0
AKAP9	ENST00000356239	TCGA_WXS_ESCA	ESCA	cbase	12.0	8.0	2.8359837019541344e-06	LoF	True	False				0.7722905904478101	0.8548594515219555	0.0
AKAP9	ENST00000356239	ICGC_WGS_HCC_LICA_FR_2019	HCC	combination	5.0	5.0	0.0003315409870936	Act	True	False				0.8500031938268309	0.0	0.0
AKAP9	ENST00000356239	HARTWIG_WGS_HNSC_2020	HNSC	combination	4.0	4.0	0.0082880974360046	LoF	True	False				0.3984980764865026	0.9206815420276588	0.0
AKT1	ENST00000554581	CBIOP_WXS_ACY_2019	ACYC	combination	2.0	2.0	0.0059160415451853	Act	True	False				0.980667898632085	0.0	0.0
AKT1	ENST00000554581	PEDCBIOP_WXS_BALL_REL	ALL	combination	2.0	2.0	3.405137727912663e-05	Act	True	False				0.9933558313262416	0.0	0.0
AKT1	ENST00000554581	HARTWIG_WGS_BRCA_2020	BRCA	oncodrivefml,oncodriveclustl,dndscv,smregions,cbase,mutpanning,hotmaps	40.0	38.0	1.5264963537139893e-52	Act	True	True	PF00169:7:106	17:17	17,52	0.9580618639714896	0.0	0.8378445993453579
AKT1	ENST00000554581	CPTAC_WXS_BRCA_2020	BRCA	smregions	5.0	4.0	2.2353914232200985e-08	Act	True	True	PF00169:7:106	17:17		0.9319076724788468	0.0	0.0
AKT1	ENST00000554581	ICGC_WGS_BRCA_BRCA_EU_2019	BRCA	oncodriveclustl,dndscv,smregions,cbase,mutpanning,hotmaps	14.0	14.0	4.846548922701269e-32	Act	True	True	PF00169:7:106	17:17	17	0.9578429037687024	0.0	0.0
AKT1	ENST00000554581	ICGC_WXS_BRCA_BRCA_UK_2019	BRCA	oncodriveclustl,dndscv,smregions	5.0	5.0	2.279737041280005e-09	Act	True	True	PF00169:7:106	17:17		0.976203000941284	0.0	0.0
AKT1	ENST00000554581	ICGC_WXS_BRCA_BRCA_KR_2019	BRCA	oncodriveclustl,smregions,mutpanning,hotmaps	4.0	4.0	2.4298202850195705e-15	Act	True	True	PF00169:7:106	17:17	17.0	0.9827709688079276	0.0	0.0
AKT1	ENST00000554581	PCAWG_WGS_BREAST_ADENOCA	BRCA	oncodriveclustl,smregions,mutpanning,hotmaps	5.0	5.0	3.58071602139358e-12	Act	True	True	PF00169:7:106	17:17	17	0.9345826069478328	0.0	0.0
AKT1	ENST00000554581	TCGA_WXS_BRCA	BRCA	oncodrivefml,oncodriveclustl,dndscv,smregions,cbase,mutpanning,hotmaps	28.0	28.0	4.822817035731544e-61	Act	True	True	PF00169:7:106	17:17	52,17	0.936644537214861	0.0	0.0
AKT1	ENST00000554581	TCGA_WXS_CESC	CESC	combination	5.0	5.0	0.000306929323466	Act	True	False		15:17		0.8381926203962747	0.0	0.0
AKT1	ENST00000554581	TCGA_WXS_COADREAD	COADREAD	combination	4.0	4.0	0.1458172154411817	Act	True	True				0.5195769658088017	0.0	0.0
AKT1	ENST00000554581	HARTWIG_WGS_OS_2020	OS	smregions	4.0	3.0	8.641509606020256e-08	Act	True	False	PF00169:7:106	17:17		0.92633074368375	0.0	0.0
AKT1	ENST00000554581	HARTWIG_WGS_PRAD_2020	PRAD	smregions,mutpanning,hotmaps	7.0	7.0	4.9478376674459296e-14	Act	True	False	PF00169:7:106	17:17	17,52	0.918819539635332	0.0	0.0
AKT1	ENST00000554581	CBIOP_WXS_PRAD_MSKCC_DCFI_2018_MET	PRAD	combination	3.0	3.0	0.0003371484724623	Act	True	False		17:17		0.8876038390764721	0.0	0.0
AKT1	ENST00000554581	CBIOP_WXS_PRAD_SU2C_2019	PRAD	combination	5.0	5.0	0.0016449419971907	Act	True	False		17:17		0.740428119218622	0.0	0.0
AKT1	ENST00000554581	OTHER_WGS_PRAD_CPGEA_2021	PRAD	combination	4.0	4.0	9.554021191228668e-05	Act	True	False		17:17		0.9852053514138612	0.0	0.0
AKT1	ENST00000554581	TCGA_WXS_PRAD	PRAD	combination	3.0	3.0	0.0001713862487746	Act	True	False		17:17		0.876793726483386	0.0	0.0
AKT1	ENST00000554581	CPTAC_WXS_UCEC_2020	UCEC	smregions	6.0	5.0	0.0005438349017987	Act	True	False	PF00169:7:106			0.8443753318300247	0.0	0.0
AKT1	ENST00000554581	PCAWG_WGS_UTERUS_ADENOCA	UCEC	combination	2.0	2.0	0.005071243032703	Act	True	False				0.9311988100307492	0.0	0.0
AKT1	ENST00000554581	TCGA_WXS_UCEC	UCEC	oncodriveclustl,smregions,mutpanning,hotmaps	15.0	14.0	1.6457611753587978e-12	Act	True	False	PF00169:7:106	17:17	80,17	0.7699064236587078	0.0	0.0
AKT1	ENST00000554581	TCGA_WXS_WDTC	WDTC	oncodriveclustl	5.0	5.0	3.332314397602058e-09	Act	True	False		17:17		0.9542808012043652	0.0	0.0
AKT3	ENST00000673466	HARTWIG_WGS_MEL_2020	MEL	mutpanning,hotmaps	5.0	5.0	3.4555513590014317e-09	Act	True	False		17:17	17	0.8648793708364938	0.0	0.0
AKT3	ENST00000673466	HARTWIG_WGS_PRAD_2020	PRAD	oncodriveclustl	5.0	5.0	8.449728864725356e-05	Act	True	False		17:17		0.9331805890006628	0.0	0.0
ALDH2	ENST00000261733	TARGET_WXS_OS_2020	OS	combination	3.0	2.0	0.014240384397425	Act	True	False				0.9402188646098242	0.0	0.0
ALK	ENST00000389048	PCAWG_WGS_BREAST_ADENOCA	BRCA	combination	2.0	2.0	0.0175392870310083	LoF	True	False				0.2763187578167122	0.9332336418215492	0.0
ALK	ENST00000389048	ICGC_WXS_HCC_LIAD_FR_2019	HCC	combination	2.0	2.0	0.0003822655712889	Act	True	False				0.9629319745678276	0.0	0.0
ALK	ENST00000389048	STJUDE_WGS_R_NB_2018	NBL	oncodriveclustl	2.0	2.0	6.379281751716064e-06	Act	True	True		1174:1174		0.9937325015374692	0.0	0.0
ALK	ENST00000389048	STJUDE_WGS_D_NB_2018	NBL	oncodriveclustl,dndscv,smregions,cbase	6.0	6.0	3.1806793156623482e-18	Act	True	True	PF07714:1117:1382	1174:1174		0.9941400271325028	0.0	0.0
ALK	ENST00000389048	OTHER_WXS_NBL_SCIENCE_COLOGNE_2018	NBL	oncodriveclustl,smregions,mutpanning,hotmaps	7.0	6.0	1.0771929968035239e-15	Act	True	True	PF07714:1117:1382	1170:1174	1174,1245,1170	0.9614242953008948	0.0	0.0
ALK	ENST00000389048	PEDCBIOP_WXS_NBL_UCOLOGNE_2015	NBL	oncodriveclustl,dndscv,smregions,cbase	5.0	5.0	1.1996812880142683e-19	Act	True	True	PF07714:1117:1382			0.9849084529596888	0.0	0.0
ALK	ENST00000389048	TARGET_WGS_NBL_US	NBL	oncodrivefml,oncodriveclustl,dndscv,smregions,cbase,mutpanning,hotmaps	17.0	17.0	7.614184804180904e-49	Act	True	True	PF07714:1117:1382	1275:1275,1174:1174	1240,1275,1245,1174	0.9791424161407516	0.0	0.0
ALK	ENST00000389048	HARTWIG_WGS_NSCLC_2020	NSCLC	oncodriveclustl,smregions,mutpanning,hotmaps	39.0	32.0	1.5677389838427982e-21	Act	True	False	PF07714:1117:1382	1171:1174	1196,1202,1174,1171	0.5715832015156456	0.0	0.0
ALK	ENST00000389048	CBIOP_WXS_SCLC_UCOLOGNE_2015	SCLC	combination	8.0	5.0	0.0309050521465716	Act	True	False				0.874876055712829	0.0	0.9254654550456848
ALPK1	ENST00000650871	CPTAC_WXS_PAAD_2021	PAAD	oncodrivefml,smregions	7.0	4.0	1.931619144154527e-05	Act	False	False	PF02816:1043:1229	1180:1180		0.8801860137814849	0.0	0.0
AMER1	ENST00000374869	CPTAC_WXS_COAD_2020	COAD	dndscv,cbase,mutpanning	6.0	5.0	4.638453856865656e-08	LoF	True	False				0.0	0.993353771129691	0.0
AMER1	ENST00000374869	HARTWIG_WGS_COADREAD_2020	COADREAD	oncodrivefml,oncodriveclustl,dndscv,cbase,mutpanning	49.0	41.0	2.070163649062543e-28	LoF	True	False		497:500,626:631		0.1085027718464225	0.982673292315702	0.0
AMER1	ENST00000374869	ICGC_WXS_COADREAD_COCA_CN_TORRENT_2019	COADREAD	combination	2.0	2.0	2.236753038893471e-06	LoF	True	False				0.0	0.995519693782702	0.0
AMER1	ENST00000374869	ICGC_WXS_COADREAD_COCA_CN_CASPOINT_2019	COADREAD	combination	3.0	3.0	0.0011771922445014	LoF	True	False				0.0	0.9913679067849062	0.0
AMER1	ENST00000374869	PCAWG_WGS_COLORECT_ADENOCA	COADREAD	dndscv,cbase	4.0	4.0	7.265014388346658e-08	LoF	True	False				0.0	0.995945599810354	0.0
AMER1	ENST00000374869	TCGA_WXS_COADREAD	COADREAD	oncodrivefml,dndscv,cbase,mutpanning	45.0	41.0	1.0527756386471583e-25	LoF	True	False				0.0	0.9909832106482044	0.0
AMER1	ENST00000374869	TARGET_WGS_WT_US	WT	oncodrivefml	2.0	2.0	2.103782587542168e-05	LoF	True	True				0.0	0.9992473384878504	0.0
ANK1	ENST00000265709	PCAWG_WGS_BILIARY_ADENOCA	CHOL	combination	3.0	3.0	0.0003719608139469	Act	True	False				0.9553002787199962	0.0	0.0
ANK1	ENST00000265709	CPTAC_WXS_COAD_2020	COAD	combination	8.0	7.0	0.0098868234817684	Act	True	False				0.8433749194327391	0.0	0.0
ANK1	ENST00000265709	CBIOP_WXS_PRAD_MSKCC_DCFI_2018_PRY	PRAD	smregions	3.0	3.0	0.0004246712358558	LoF	True	False	PF12796:471:531			0.7756540487008537	0.959489374808886	0.0
ANK1	ENST00000265709	CBIOP_WXS_PRAD_MSKCC_DCFI_2018_MET	PRAD	combination	9.0	8.0	0.0059348682234864	Act	True	False				0.9096528618846154	0.0	0.0
ANKRD11	ENST00000301030	ICGC_WGS_MLYM_MALY_DE_AD_2019	MLYM	oncodrivefml,cbase	7.0	5.0	1.887299226608901e-15	LoF	False	False				0.2512495404044059	0.9745983325405998	0.0
APC	ENST00000257430	HARTWIG_WGS_ANSC_2020	ANSC	oncodrivefml,dndscv,cbase,mutpanning	6.0	5.0	6.613430635225186e-18	LoF	True	False				0.0	0.9952708189290942	0.0
APC	ENST00000257430	ICGC_WXS_CHOL_BTCA_JP_2019	CHOL	cbase,mutpanning	12.0	7.0	3.1683797956972906e-08	LoF	True	False				0.7972437600647514	0.9777218131598892	0.9777218131598892
APC	ENST00000257430	CPTAC_WXS_COAD_2020	COAD	oncodrivefml,oncodriveclustl,dndscv,smregions,cbase,mutpanning	97.0	63.0	5.2410277578574953e-36	LoF	True	True	PF16633:1282:1368	213:216,1450:1450		0.7492606074555371	0.9971583426067846	0.9971583426067846
APC	ENST00000257430	HARTWIG_WGS_COADREAD_2020	COADREAD	oncodrivefml,oncodriveclustl,dndscv,smregions,cbase,mutpanning,hotmaps	732.0	415.0	1.1465332855939828e-48	LoF	True	True	PF05923:1372:1393,PF16633:1282:1368	213:216,876:879,1447:1450	1490,1492,1494	0.4097624010747532	0.9965930016034588	0.9965930016034588
APC	ENST00000257430	ICGC_WGS_COADREAD_COCA_CN_VARSCAN_2019	COADREAD	oncodrivefml,dndscv,smregions,cbase,mutpanning	11.0	9.0	1.5605191822550562e-32	LoF	True	True	PF16633:1282:1368,PF00514:515:552			0.0	0.9987931428297088	0.9987931428297088
APC	ENST00000257430	ICGC_WXS_COADREAD_COCA_CN_TORRENT_2019	COADREAD	oncodrivefml,dndscv,cbase,mutpanning	22.0	15.0	2.0825467438143577e-23	LoF	True	True				0.0	0.9975659054617558	0.0
APC	ENST00000257430	ICGC_WXS_COADREAD_COCA_CN_CASPOINT_2019	COADREAD	oncodrivefml,dndscv,smregions,cbase,mutpanning	27.0	18.0	3.500937484439511e-34	LoF	True	True	PF16633:1282:1368			0.3627042836130939	0.9968361773935944	0.9968361773935944
APC	ENST00000257430	ICGC_WXS_COADREAD_COCA_CN_VARSCAN_2019	COADREAD	oncodrivefml,oncodriveclustl,dndscv,smregions,cbase,mutpanning	47.0	35.0	7.035781764655809e-27	LoF	True	True	PF16633:1282:1368	1114:1114,283:283		0.0	0.9887475743916946	0.9887475743916946
APC	ENST00000257430	PCAWG_WGS_COLORECT_ADENOCA	COADREAD	oncodrivefml,dndscv,smregions,cbase,mutpanning	57.0	28.0	1.7446320719936723e-35	LoF	True	True	PF16633:1282:1368,PF05923:1372:1393			0.6852350244467712	0.9985528772872736	0.9985528772872736
APC	ENST00000257430	TCGA_WXS_COADREAD	COADREAD	oncodrivefml,oncodriveclustl,dndscv,smregions,cbase,mutpanning	553.0	329.0	1.3615914323543097e-58	LoF	True	True	PF16633:1282:1368,PF05923:1372:1393	874:876,211:216,1444:1451		0.7537860955362233	0.9981927064242616	0.9981927064242616
APC	ENST00000257430	HARTWIG_WGS_ESCA_2020	ESCA	oncodrivefml,dndscv,cbase,mutpanning	21.0	19.0	5.574843646482582e-15	LoF	True	False				0.3964041470500698	0.9671870404861942	0.0
APC	ENST00000257430	CBIOP_WXS_ESCA_EGC_TRAP_2020	ESCA	combination	3.0	2.0	1.775413975128873e-06	LoF	True	False				0.0	0.9963277498300606	0.0
APC	ENST00000257430	ICGC_WGS_ESCA_ESAD_UK_2019	ESCA	oncodrivefml,dndscv,cbase,mutpanning	20.0	14.0	6.87347329403813e-14	LoF	True	False				0.4582931929915131	0.967364104335618	0.0
APC	ENST00000257430	PCAWG_WGS_ESO_ADENOCA	ESCA	mutpanning	11.0	9.0	0.0001493016680833	LoF	True	False				0.7614522811105608	0.9577350094484982	0.0
APC	ENST00000257430	PCAWG_WGS_LIVER_HCC	HCC	combination	15.0	15.0	0.0005688248267679	LoF	True	True				0.2999579469515801	0.9025926723276132	0.0
APC	ENST00000257430	ICGC_WXS_HCC_LICA_CN_STRELKA_2019	HCC	oncodrivefml	73.0	29.0	2.2834718435292824e-06	LoF	True	True				0.0	0.817887522738855	0.817887522738855
APC	ENST00000257430	CPTAC_WXS_HNSC_2020	HNSC	combination	4.0	4.0	0.0716956857605863	LoF	True	False				0.0	0.772245287793588	0.0
APC	ENST00000257430	CBIOP_WXS_LUAD_ONCOSG_2020	LUAD	dndscv,cbase	47.0	15.0	6.787630191569992e-11	LoF	True	False				0.4946553782897822	0.96114448987065	0.0
APC	ENST00000257430	TCGA_WXS_LUAD	LUAD	combination	34.0	27.0	0.0010235673929786	LoF	True	False		418:418		0.4005425236041398	0.768395815992836	0.768395815992836
APC	ENST00000257430	CBIOP_WXS_SKCM_BROAD	MEL	combination	16.0	7.0	0.001023458594857	LoF	True	False				0.8827377320855265	0.9627442985704344	0.0
APC	ENST00000257430	TCGA_WXS_MEL	MEL	combination	72.0	62.0	1.2639392767040002e-05	LoF	True	False				0.3129328415417995	0.6662625918791278	0.0
APC	ENST00000257430	HARTWIG_WGS_NSCLC_2020	NSCLC	cbase,mutpanning	36.0	24.0	1.737826758852658e-07	LoF	True	False		1550:1554		0.7773299673594705	0.8972607667479134	0.0
APC	ENST00000257430	HARTWIG_WGS_PANCREAS_2020	PANCREAS	combination	3.0	3.0	0.0159246925784644	LoF	True	False				0.6457883478756331	0.9594698480466654	0.0
APC	ENST00000257430	HARTWIG_WGS_PRAD_2020	PRAD	dndscv,cbase,mutpanning	26.0	19.0	1.7538384497000342e-18	LoF	True	False				0.5299493509148608	0.974814341320032	0.0
APC	ENST00000257430	CBIOP_WXS_PRAD_MSKCC_DCFI_2018_PRY	PRAD	mutpanning	13.0	12.0	4.016598554181704e-06	LoF	True	False				0.6386092057723703	0.9489350825035392	0.0
APC	ENST00000257430	CBIOP_WXS_PRAD_BROAD	PRAD	combination	4.0	4.0	0.0066235471963212	LoF	True	False				0.0	0.8879907167144769	0.0
APC	ENST00000257430	CBIOP_WXS_PRAD_MSKCC_DCFI_2018_MET	PRAD	mutpanning	13.0	9.0	4.586451631536377e-06	LoF	True	False				0.0	0.9449209441211428	0.9449209441211428
APC	ENST00000257430	CBIOP_WXS_PRAD_SU2C_2019	PRAD	cbase,mutpanning	35.0	24.0	6.039473191009965e-18	LoF	True	False		1307:1307		0.5801868492380763	0.9478225267711068	0.9478225267711068
APC	ENST00000257430	OTHER_WGS_PRAD_CPGEA_2021	PRAD	mutpanning	9.0	7.0	2.4282098247548557e-09	LoF	True	False				0.9298921087389994	0.9930090506059048	0.0
APC	ENST00000257430	TCGA_WXS_PRAD	PRAD	cbase,mutpanning	10.0	9.0	3.134686106969459e-12	LoF	True	False				0.416046339735476	0.9753467666325484	0.0
APC	ENST00000257430	HARTWIG_WGS_SBC_2020	SBC	mutpanning	8.0	5.0	4.587827879686458e-05	LoF	True	False				0.0	0.9573538031962424	0.0
APC	ENST00000257430	HARTWIG_WGS_STAD_2020	STAD	combination	4.0	4.0	0.0006102095930175	LoF	True	False				0.7123568063485192	0.9864962892993792	0.0
APC	ENST00000257430	CBIOP_WGS_STAD_ONCOSG_2018	STAD	combination	10.0	8.0	0.0001073079831659	LoF	True	False				0.6138618185095792	0.9250435777232566	0.0
APC	ENST00000257430	CBIOP_WXS_EGC_TMUCIH_2015	STAD	combination	9.0	8.0	0.0014283723520264	LoF	True	False				0.6620014851577953	0.9479254111572112	0.0
APC	ENST00000257430	PCAWG_WGS_STOMACH_ADENOCA	STAD	combination	3.0	2.0	7.177685559523205e-07	LoF	True	False				0.0	0.982523899252825	0.0
APC	ENST00000257430	TCGA_WXS_STAD	STAD	oncodrivefml,dndscv,cbase,mutpanning	37.0	28.0	1.3114113533533442e-14	LoF	True	False				0.0579804156067881	0.9211165181770692	0.9211165181770692
APC	ENST00000257430	CBIOP_WXS_VSC_CUK_2018	VULVA	smregions	3.0	3.0	0.0052403738486673	Act	True	False	PF05937:2670:2843			0.937712690416094	0.0	0.0
AR	ENST00000374690	ICGC_WXS_CHOL_BTCA_JP_2019	CHOL	combination	6.0	5.0	0.0743860916284097	Act	True	False				0.7589141431019	0.0	0.0
AR	ENST00000374690	CBIOP_WXS_DLBCL_DFCI_2018	DLBCLNOS	combination	6.0	5.0	0.0657002080079427	Act	True	False				0.7090279191889367	0.0	0.0
AR	ENST00000374690	HARTWIG_WGS_ESCA_2020	ESCA	combination	11.0	8.0	0.0020840895126317	LoF	True	False				0.8348601248490094	0.9338863789583928	0.0
AR	ENST00000374690	CPTAC_WXS_GBM_2020	GBM	combination	3.0	3.0	0.0001007896122483	LoF	True	False				0.9827712294543688	0.9978227956508836	0.0
AR	ENST00000374690	ICGC_WGS_NPC_ORCA_IN_2019	NPC	combination	2.0	2.0	3.757443132040816e-05	Act	True	False				0.9719857231469626	0.0	0.0
AR	ENST00000374690	HARTWIG_WGS_OS_2020	OS	combination	6.0	4.0	0.0145992466317899	Act	True	False				0.8627635123602183	0.0	0.0
AR	ENST00000374690	OTHER_WGS_MM_NATLEUK2018	PCM	cbase	13.0	13.0	0.0156552752909815	LoF	True	False				0.7655302301174279	0.9074787276996018	0.0
AR	ENST00000374690	HARTWIG_WGS_PRAD_2020	PRAD	oncodrivefml,oncodriveclustl,dndscv,smregions,cbase,mutpanning,hotmaps	99.0	68.0	5.620402065755239e-57	Act	True	True	PF00104:695:879	702:702,875:878	891,896,878,875,702,742,877	0.988789266622544	0.9729665172691382	0.0
AR	ENST00000374690	CBIOP_WXS_PRAD_MSKCC_DCFI_2018_PRY	PRAD	oncodriveclustl,smregions,mutpanning,hotmaps	19.0	18.0	2.359167782375663e-26	Act	True	True	PF00104:695:879	702:702,878:878	742,878,702	0.8799113612390816	0.0	0.0
AR	ENST00000374690	CBIOP_WXS_PRAD_MSKCC_DCFI_2018_MET	PRAD	oncodrivefml,oncodriveclustl,dndscv,smregions,mutpanning,hotmaps	39.0	35.0	3.583482391363337e-39	Act	True	True	PF00104:695:879	875:878	903,878,702,875,742	0.8737785122357956	0.0	0.0
AR	ENST00000374690	CBIOP_WXS_PRAD_SU2C_2019	PRAD	oncodrivefml,oncodriveclustl,dndscv,smregions,mutpanning,hotmaps	86.0	69.0	2.1226602319437917e-55	Act	True	True	PF00104:695:879	702:702,875:878	877,889,702,875,742,903,716,893,878	0.8494085287268319	0.0	0.0
