CellID,X_centroid,Y_centroid,sampleid,phenotype
89,1111.97718,96.88834556,sample2,CD4+ Tcells
90,1425.761749,95.23387978,sample2,MDSC
91,1337.223385,97.95938462,sample2,CD4+ Tcells
92,1960,99.34410339,sample2,MDSC
93,27.05072127,102.2242904,sample2,MDSC
94,2535.373634,101.7334304,sample2,CD16/CD14
95,181.5955598,103.2982625,sample2,MDSC
96,1870.213675,104.011396,sample2,CD4+ Tcells
98,2318.468254,105.4410431,sample2,CD4+ Tcells
99,292.6138211,108.304878,sample2,CD16/CD14
100,1988.482869,107.7762313,sample2,MDSC
101,2206.346375,106.283084,sample2,MDSC
102,1237.069391,108.4734002,sample2,MDSC
103,1073.64899,111.7954545,sample2,MDSC
104,2423.897436,111.574359,sample2,MDSC
105,850.2968981,113.5472674,sample2,MDSC
106,1387.477551,113.2728863,sample2,MDSC
107,800.8796642,116.9309701,sample2,MDSC
108,681.9540776,117.6096595,sample2,Treg
109,1525.5,118.7443609,sample2,MDSC
110,1927.413271,118.580908,sample2,MDSC
111,2152.627863,118.139313,sample2,MDSC
112,983.6844037,123.3565749,sample2,MDSC
113,1173.504519,121.3163517,sample2,MDSC
115,934.3743842,124.8472906,sample2,CD16/CD14
116,1958.134454,123.8163265,sample2,MDSC
117,2368.634849,125.4477899,sample2,MDSC
118,366.3973412,128.8404727,sample2,MDSC
119,2129.171733,129.3951368,sample2,MDSC
120,626.4503311,132.6324503,sample2,MDSC
121,125.4541213,135.6376361,sample2,MDSC
122,865.3948087,138.5806011,sample2,CD4+ Tcells
123,2489.831336,139.0700461,sample2,MDSC
124,1972.907666,141.3170732,sample2,MDSC
125,2063.815138,143.5545852,sample2,Treg
126,819.6849616,142.6212953,sample2,CD16/CD14
127,1515.24381,141.08,sample2,MDSC
128,2525.20989,142.2659341,sample2,CD16/CD14
129,508.6169231,146.0415385,sample2,MDSC
131,238.4671141,147.0120805,sample2,MDSC
132,331.3666667,148.4466667,sample2,MDSC
133,437.1232033,149.0691307,sample2,MDSC
134,1019.673291,149.3720191,sample2,Macrophages
136,1201.854862,150.0696662,sample2,MDSC
137,1944.215367,150.8370198,sample2,CD4+ Tcells
138,2031.386948,150.7027027,sample2,CD16/CD14
139,2560.757746,151.1830986,sample2,MDSC
140,729.3357026,153.1656643,sample2,MDSC
141,1139.140092,153.7806452,sample2,MDSC
142,1911.504792,154.3461129,sample2,CD4+ Tcells
143,2265.32853,155.0902978,sample2,CD4+ Tcells
144,377.7228222,159.0136789,sample2,MDSC
145,1785.355662,161.2001595,sample2,CD4+ Tcells
146,1882.912162,160.3465251,sample2,CD4+ Tcells
147,202.3640054,165.9093369,sample2,MDSC
148,836.7237569,162.7403315,sample2,CD16/CD14
149,1339.035835,162.4313725,sample2,MDSC
150,2428.976498,167.6850764,sample2,MDSC
151,530.3420502,167.7416318,sample2,MDSC
152,1468.481406,169.8262863,sample2,CD16/CD14
153,2228.13754,167.5307443,sample2,CD4+ Tcells
154,2137.577483,170.8092715,sample2,MDSC
155,935.2992908,174.2609929,sample2,MDSC
157,2361.911229,172.538695,sample2,Macrophages
158,301.4623044,174.685633,sample2,CD4+ Tcells
159,998.059633,174.2691131,sample2,MDSC
160,1921.829268,174.8311445,sample2,MDSC
161,2498.861564,176.7654723,sample2,CD16/CD14
162,888.6322957,179.3677043,sample2,MDSC
163,2470.395813,180.9361914,sample2,MDSC
165,23.83196159,186.930727,sample2,CD16/CD14
166,269.3769124,186.930459,sample2,CD16/CD14
167,1751.810142,185.3322515,sample2,CD4+ Tcells
168,2523.421555,186.9699864,sample2,MDSC
169,488.4253333,188.648,sample2,CD16/CD14
170,2553.679028,191.1304348,sample2,CD16/CD14
171,1815.902151,186.0895212,sample2,CD16/CD14
172,2212.538995,189.7556326,sample2,MDSC
173,102.7530266,192.3450363,sample2,CD16/CD14
174,136.1709402,193.2726496,sample2,MDSC
175,965.391926,191.0857864,sample2,CD4+ Tcells
176,1075.161,193.092,sample2,MDSC
177,1137.188368,191.8203125,sample2,CD4+ Tcells
178,2236.607143,194.6613757,sample2,CD4+ Tcells
180,515.858885,195.6097561,sample2,CD16/CD14
181,575.0219161,196.8553538,sample2,MDSC
182,1274.231293,197.5360544,sample2,MDSC
183,1488.826907,198.1028278,sample2,CD16/CD14
184,454.9186795,200.1731079,sample2,MDSC
185,1215.246914,198.1481481,sample2,MDSC
186,2263.938776,195.6902761,sample2,CD4+ Tcells
187,2492.781982,200.3045045,sample2,MDSC
188,927.6523569,200.9335017,sample2,CD4+ Tcells
189,1612.167382,203.9148784,sample2,MDSC
190,2170.945244,207.6131976,sample2,CD4+ Tcells
191,2415.857937,205.1984127,sample2,MDSC
192,222.8257386,206.4421632,sample2,CD16/CD14
193,1355.162667,207.632,sample2,Vimentin+ cells
194,2450.4375,207.3665123,sample2,CD16/CD14
195,361.8577649,209.7271408,sample2,CD4+ Tcells
196,1875.772654,213.1658576,sample2,Macrophages
197,88.13648294,214.2755906,sample2,CD16/CD14
198,2362.90949,214.0274273,sample2,MDSC
199,2525.754491,212.6916168,sample2,MDSC
200,1090.321133,216.5483425,sample2,MDSC
201,8.726694915,218.4766949,sample2,CD16/CD14
202,434.0401786,218.6116071,sample2,MDSC
203,751.625,219.9069635,sample2,MDSC
204,1160.044132,220.5115346,sample2,MDSC
205,1487.922179,220.5564202,sample2,Macrophages
206,1919.138549,221.6356968,sample2,CD4+ Tcells
207,2249.749275,221.4536232,sample2,MDSC
208,1332.496552,221.8862069,sample2,Vimentin+ cells
209,1628.546689,224.6451613,sample2,MDSC
210,2491.941679,221.6045519,sample2,MDSC
211,1994.421296,225.4398148,sample2,CD16/CD14
212,2019.521739,229.5,sample2,CD16/CD14
213,44.62837838,229.8682432,sample2,Treg
214,1562.588937,229.3969631,sample2,CD16/CD14
215,869.8416988,232.4517375,sample2,MDSC
217,894.237819,234.0684455,sample2,MDSC
218,974.2372488,234.9520866,sample2,CD16/CD14
219,2552.747673,228.7352637,sample2,CD16/CD14
220,75.23602484,237.2748447,sample2,MDSC
221,2449.75572,239.9394834,sample2,MDSC
222,1686.500464,239.6053853,sample2,Treg
223,2235.466981,241.5754717,sample2,CD4+ Tcells
224,1616.709832,241.4748201,sample2,MDSC
225,2168.868188,242.4588086,sample2,MDSC
226,2299.456647,243.1404624,sample2,MDSC
228,18.55446355,249.8452088,sample2,CD16/CD14
229,1548.071651,249.6199377,sample2,CD16/CD14
230,2198.875117,247.3258216,sample2,CD4+ Tcells
231,327.1054994,250.9365881,sample2,MDSC
232,853.3909465,250.4557613,sample2,MDSC
233,452.0549828,253.3264605,sample2,MDSC
234,1001.234875,252.9217082,sample2,CD16/CD14
236,2540.015029,255.867052,sample2,MDSC
237,1085.051149,258.1134173,sample2,Macrophages
238,2024.215739,257.036635,sample2,CD16/CD14
239,287.7018927,260.9227129,sample2,MDSC
241,2333.458874,259.3571429,sample2,Macrophages
242,1222.628903,261.7323818,sample2,Vimentin+ cells
243,1460.920924,265.4864505,sample2,Vimentin+ cells
244,2151.405498,265.2611684,sample2,CD4+ Tcells
245,2239.675676,266.6238739,sample2,MDSC
246,965.6098563,268.1468172,sample2,MDSC
247,2212.092929,270.3979798,sample2,CD4+ Tcells
248,2495.504334,266.8739165,sample2,MDSC
249,2175.948557,269.770389,sample2,CD4+ Tcells
250,2418.880711,270.4416244,sample2,MDSC
251,2289.544576,271.3834586,sample2,CD4+ Tcells
252,1290.61293,280.2962357,sample2,Unclassified
253,2379.263158,277.6675021,sample2,MDSC
254,848.7566766,278.7418398,sample2,MDSC
255,2470.485795,278.7698864,sample2,MDSC
256,802.7290323,282.5032258,sample2,CD16/CD14
257,1011.324903,281.1906615,sample2,CD16/CD14
258,1055.276824,281.9291845,sample2,CD16/CD14
259,1696.42476,281.5635005,sample2,MDSC
260,388.6429232,283.800185,sample2,CD16/CD14
261,1551.492398,282.9894737,sample2,MDSC
262,272.488024,283.6422156,sample2,MDSC
263,1353.731191,283.6880878,sample2,CK+
264,774.8636735,288.5477551,sample2,Treg
265,1388.716098,289.6510706,sample2,CK+
266,2195.861199,288.681388,sample2,CD4+ Tcells
267,1317.585347,286.5900234,sample2,CK+
268,2031.106913,289.7853698,sample2,CD4+ Tcells
269,2111.878159,292.6299639,sample2,CD4+ Tcells
270,2225.710306,289.1810585,sample2,MDSC
271,224.341394,291.9089616,sample2,CD4+ Tcells
272,1997.072386,292.6045576,sample2,MDSC
273,2160.398608,292.5049702,sample2,CD4+ Tcells
274,1950.730077,296.7583548,sample2,MDSC
275,861.5981183,298.4139785,sample2,MDSC
276,1087.10687,299.6293469,sample2,Vimentin+ cells
277,1262.219895,302.1623037,sample2,CK+
278,1411.617068,302.7330416,sample2,CK+
279,1671.800373,299.6623134,sample2,CD16/CD14
280,1894.594086,300.0600358,sample2,MDSC
281,1332.101695,304.0480226,sample2,CK+
282,1469.973926,301.4769939,sample2,Vimentin+ cells
283,2563.558442,303.5,sample2,CK+
284,1059.509217,304.9677419,sample2,Vimentin+ cells
285,186.877175,306.2845445,sample2,CD16/CD14
286,808.042966,309.5821206,sample2,CD16/CD14
287,2206.424051,311.6240506,sample2,CD4+ Tcells
288,224.9895969,314.4902471,sample2,Treg
289,710.1109859,312.7076056,sample2,CD4+ Tcells
290,1617.163225,315.1372418,sample2,MDSC
291,2443.909574,318.0083587,sample2,MDSC
292,2368.398704,315.0058893,sample2,CD16/CD14
293,1374.979798,315.8703704,sample2,CK+
294,742.7111717,320.0926431,sample2,CD16/CD14
295,875.8974175,319.8938307,sample2,Vimentin+ cells
296,1234.804225,321.8295775,sample2,CK+
297,1350.00761,320.4307458,sample2,CK+
298,1855.204444,321.2733333,sample2,CD16/CD14
299,1208.480455,325.9758351,sample2,CK+
300,1535.651852,322.2839506,sample2,Vimentin+ cells
301,131.0644172,326.4294479,sample2,MDSC
302,946.0800801,324.2942943,sample2,CK+
303,1581.561978,325.485376,sample2,MDSC
304,2232.200688,325.6100917,sample2,CD16/CD14
305,1184.627329,328.5465839,sample2,CK+
306,1451.805271,329.4392387,sample2,CK+
307,1886.086902,328.5642317,sample2,CD16/CD14
308,2178.711045,326.5088757,sample2,MDSC
309,1324.143035,327.1106965,sample2,CK+
310,2255.759465,330.7082405,sample2,CD16/CD14
311,1410.067715,331.7128174,sample2,CK+
312,2100.555155,330.2927181,sample2,MDSC
313,1258.95559,331.5987749,sample2,Unclassified
314,1648.161616,333.0808081,sample2,CD16/CD14
315,1905.16408,340.1086475,sample2,MDSC
317,2455.483135,340.5168651,sample2,MDSC
318,689.5287356,343.3816092,sample2,MDSC
319,787.9692029,341.9619565,sample2,CD16/CD14
320,147.379562,343.1532847,sample2,CD16/CD14
321,412.8916256,344.9224138,sample2,MDSC
322,370.0406007,344.3103448,sample2,MDSC
323,1027.716636,346.8226691,sample2,CK+
324,1167.109012,348.3037791,sample2,Unclassified
326,1855.474196,347.0560957,sample2,CD16/CD14
327,95.56924198,350.6982507,sample2,CD16/CD14
328,813.805042,346.4336134,sample2,CD16/CD14
329,1478.832084,349.8950525,sample2,CK+
330,1781.630564,348.0014837,sample2,MDSC
331,2137.781316,351.2452229,sample2,MDSC
332,2395.111015,351.8499566,sample2,MDSC
333,1002.122371,353.9655832,sample2,CK+
334,1120.033732,355.3939064,sample2,CK+
335,1625.102156,353.4789128,sample2,Vimentin+ cells
337,665.0592755,353.183315,sample2,MDSC
338,1048.921797,357.9816972,sample2,CK+
339,1454.887798,356.3646564,sample2,CK+
340,2220.057118,357.3796134,sample2,CD16/CD14
342,1677.07113,363.1527197,sample2,MDSC
343,273.0129032,361.4630824,sample2,MDSC
344,342.2758621,363.8735632,sample2,MDSC
345,1146.441061,363.9400786,sample2,CK+
347,1710.473094,361.132287,sample2,Vimentin+ cells
348,1098.36732,366.6575163,sample2,CK+
349,1995.212034,365.9761223,sample2,CD16/CD14
350,2251.16523,364.6135057,sample2,CD16/CD14
351,1074.116346,367.0115385,sample2,Unclassified
353,1424.596413,361.0573991,sample2,Unclassified
354,1962.070796,366.0246523,sample2,MDSC
355,34.27692308,368.8473373,sample2,CD16/CD14
356,2557.802209,369.3955823,sample2,CK+
357,642.22049,375.8351893,sample2,MDSC
358,970.7889073,368.7524834,sample2,CK+
359,1653.016766,370.9389222,sample2,MDSC
360,714.4205975,372.3199686,sample2,MDSC
362,1590.55113,375.3347206,sample2,Vimentin+ cells
363,2386.561966,376.6089744,sample2,CD16/CD14
365,1820.985322,375.259732,sample2,CD16/CD14
366,2192.716518,376.7410714,sample2,CD16/CD14
367,124.4891975,381.4182099,sample2,MDSC
368,1030.001112,381.9699666,sample2,Unclassified
369,678.4432718,382.0461741,sample2,MDSC
370,1694.304622,382.4264706,sample2,Vimentin+ cells
371,1510.514026,387.6724422,sample2,CK+
372,1740.422446,387.2068096,sample2,MDSC
373,92.52194149,387.3969415,sample2,MDSC
374,957.1190476,391.1587302,sample2,CK+
375,1451.186548,386.8756345,sample2,CK+
376,1479.314554,388.2347418,sample2,CK+
377,2482.537327,388.721659,sample2,MDSC
378,521.3154229,390.7631841,sample2,MDSC
379,2268.843687,389.1643287,sample2,CD16/CD14
380,2308.065549,389.6448171,sample2,CD16/CD14
381,56.56413613,392.0536649,sample2,CD4+ Tcells
382,601.8465637,392.1965903,sample2,MDSC
383,1053.909677,391.644086,sample2,Unclassified
385,1889.94898,392.5597668,sample2,Treg
386,2221.323775,392.8960573,sample2,CD16/CD14
387,317.8483146,395.2977528,sample2,MDSC
388,890.4301435,397.2770335,sample2,CK+
390,926.3031646,398.0892405,sample2,CK+
391,999.7567128,397.369406,sample2,CK+
393,2002.078261,395.8550725,sample2,MDSC
396,2157.296327,398.7836735,sample2,MDSC
398,1099.505051,402.3156566,sample2,Unclassified
400,2190.755342,405.0106838,sample2,MDSC
401,1768.707265,405.9038462,sample2,MDSC
402,646.4712871,410.7455446,sample2,Vimentin+ cells
403,2083.401798,409.9868603,sample2,MDSC
404,2412.143079,409.0759298,sample2,MDSC
405,827.0891784,414.5601202,sample2,CK+
406,239.1503906,416.2285156,sample2,MDSC
407,276.3269406,413.4520548,sample2,MDSC
408,2352.512821,415.8205128,sample2,Macrophages
410,860.4331112,420.9554075,sample2,CK+
411,308.2457786,422.5234522,sample2,CD16/CD14
413,1857.94683,421.4130879,sample2,MDSC
414,1547.142249,434.6571429,sample2,Unclassified
415,203.0112281,427.0336842,sample2,MDSC
417,1451.207178,424.4168026,sample2,Unclassified
418,1479.773632,422.9875622,sample2,Unclassified
419,970.9484848,426.2666667,sample2,CK+
421,84.60671463,432.2230216,sample2,CD16/CD14
422,497.9735772,430.49729,sample2,MDSC
423,782.8094645,433.2141968,sample2,Unclassified
424,808.8968655,433.7917088,sample2,CK+
425,33.84550562,435.8735955,sample2,MDSC
427,2239.961812,435.2628774,sample2,CD16/CD14
428,2278.93523,433.2318402,sample2,CD16/CD14
429,2492.315574,435.2530738,sample2,MDSC
430,640.4497354,434.042328,sample2,Vimentin+ cells
431,334.7115646,431.270068,sample2,CD16/CD14
432,725.0645793,438.2328767,sample2,CK+
433,2063.252336,437.8878505,sample2,CD16/CD14
434,2371.882494,438.0155875,sample2,CD16/CD14
435,587.7029927,441.4003388,sample2,Vimentin+ cells
436,1664.110083,441.0971323,sample2,CK+
437,1949.043046,440.5518764,sample2,MDSC
438,1979.103226,442.7741935,sample2,MDSC
439,234.8020679,440.4844904,sample2,MDSC
440,546.5557075,442.9583049,sample2,MDSC
441,917.6840514,442.3393802,sample2,CK+
442,2008.588877,443.6717557,sample2,MDSC
443,57.98003328,443.8103161,sample2,MDSC
444,114.9608611,443.8855186,sample2,MDSC
445,889.241573,444.261236,sample2,CK+
446,1697.01784,446.6234742,sample2,CK+
448,1602.257315,441.4363167,sample2,CK+
449,2342.032454,447.3945233,sample2,CD16/CD14
450,1627.656134,449.2899628,sample2,CK+
451,165.8080357,451.8065476,sample2,MDSC
452,842.7610536,453.1279398,sample2,CK+
454,211.9761635,457.6867196,sample2,MDSC
455,309.9595828,456.2542373,sample2,CD16/CD14
456,1725.866523,463.6006459,sample2,CK+
457,693.5168132,463.3155717,sample2,CK+
458,1802.159341,464.1758242,sample2,CK+
459,2201.684383,462.0825838,sample2,CD16/CD14
460,736.2503577,466.6852647,sample2,CK+
461,1750.981508,462.8990043,sample2,Vimentin+ cells
462,2380.69036,464.677702,sample2,CD16/CD14
463,500.2306748,466.7631902,sample2,MDSC
464,768.7251064,464.7276596,sample2,CK+
466,2318.323202,469.2087133,sample2,CD16/CD14
467,15.7952381,472.2083333,sample2,MDSC
468,658.2044888,471.7830424,sample2,CK+
469,1895.256506,471.7379182,sample2,CK+
470,807.5928398,472.723301,sample2,Unclassified
474,1979.54133,474.6289621,sample2,MDSC
475,2159.212435,477.0944157,sample2,MDSC
477,1827.034893,480.1157811,sample2,Unclassified
478,2401.616552,481.1765517,sample2,CD16/CD14
479,881.5478827,482.1003257,sample2,Unclassified
480,1620.021782,482.2257426,sample2,CK+
481,2102.096304,482.4922179,sample2,MDSC
482,2474.308201,482.0357143,sample2,MDSC
483,1705.229808,483.0221154,sample2,Unclassified
484,2359.519651,483.7772926,sample2,CD16/CD14
485,846.6632219,490.4455927,sample2,CK+
487,2435.665021,484.6773663,sample2,MDSC
488,336.7623008,491.1898822,sample2,MDSC
490,618.364011,500.4306319,sample2,CK+
492,447.2660944,499.5862661,sample2,Macrophages
493,497.8528428,498.3918618,sample2,MDSC
494,728.1928447,498.8359511,sample2,CK+
495,2295.181452,499.3817204,sample2,CD16/CD14
496,1885.40202,499.1343434,sample2,CK+
497,682.3437065,501.4677195,sample2,CK+
498,1911.909091,506.4665775,sample2,CK+
499,786.678,509.61,sample2,CK+
500,813.5166858,510.4879171,sample2,CK+
502,2270.412304,512.3259162,sample2,CD16/CD14
504,2204.129332,517.8833474,sample2,CD16/CD14
505,2392.008937,517.8560079,sample2,MDSC
506,647.6111111,522.4672619,sample2,Vimentin+ cells
507,2233.395034,524.9650113,sample2,CD16/CD14
508,2305.289113,525.1033852,sample2,CD16/CD14
509,447.1945701,528.260181,sample2,MDSC
510,747.04375,526.19375,sample2,CK+
511,1993.295724,525.7529691,sample2,CD16/CD14
512,2357.715753,528.2157534,sample2,MDSC
513,520.3048128,530.6069519,sample2,CK+
514,2524.069565,533.3826087,sample2,CD16/CD14
515,595.5433071,535.5826772,sample2,CK+
516,681.7652174,534.966087,sample2,CK+
518,2111.946953,536.2293907,sample2,MDSC
519,2561.715556,537.0111111,sample2,CK+
520,625.1089494,541.8677043,sample2,CK+
521,1854.908475,540.7559322,sample2,CD16/CD14
522,1907.685921,543.709988,sample2,Unclassified
523,1937.014918,542.7854938,sample2,Unclassified
524,87.82741117,547.4974619,sample2,MDSC
525,2021.407071,547.0060606,sample2,MDSC
526,2172.154298,546.5797208,sample2,CD16/CD14
527,2277.989145,547.7510176,sample2,CD16/CD14
528,337.0139721,555.3273453,sample2,CD16/CD14
529,580.4636015,556.9904215,sample2,CK+
530,429.3833333,557.8194444,sample2,CD31+ endothelial
531,550.5756272,557.7562724,sample2,CK+
532,665.7932099,556.4506173,sample2,CK+
533,53.70616883,560.336039,sample2,CD4+ Tcells
534,2074.546162,564.3264739,sample2,CD31+ endothelial
535,2113.091114,564.7941507,sample2,MDSC
536,2550.737676,565.159331,sample2,CK+
537,290.3282937,568.6976242,sample2,MDSC
538,2161.235659,570.5488372,sample2,CD16/CD14
539,2508.535186,568.4807806,sample2,CK+
540,638.0922509,576.9935424,sample2,CK+
541,342.1949749,579.2085427,sample2,Vimentin+ cells
542,493.0905486,579.6074025,sample2,CK+
543,604.5963303,581.1957187,sample2,CK+
544,1962.214171,580.9991948,sample2,CK+
545,2246.255422,580.8138554,sample2,CD16/CD14
546,525.7663755,583.5851528,sample2,CK+
547,2430.531693,584.4623415,sample2,CD16/CD14
548,31.0460691,586.539309,sample2,CD16/CD14
549,561.7312925,591.7197279,sample2,CK+
550,2549.619768,594.6651825,sample2,CK+
551,171.4937729,596.3912088,sample2,MDSC
552,244.6505148,595.4815263,sample2,MDSC
553,2466.093023,598.7339762,sample2,CK+
554,2177.595111,599.7402597,sample2,CD16/CD14
555,475.3431085,606.9970674,sample2,CK+
556,2502.945231,604.6024615,sample2,CK+
557,67.50900277,609.781856,sample2,MDSC
558,450.5623974,609.9901478,sample2,CK+
559,195.7700092,612.650414,sample2,MDSC
560,1978.862434,612.383157,sample2,CK+
561,106.8706038,618.3231586,sample2,MDSC
562,253.8588335,620.5798817,sample2,Vimentin+ cells
563,501.3585781,622.118238,sample2,CK+
564,2130.318252,620.870437,sample2,CD16/CD14
565,2440.575115,622.640553,sample2,CK+
566,409.2756717,629.0684579,sample2,CK+
567,533.3825956,623.1687922,sample2,CK+
568,2415.899822,631.8109069,sample2,CK+
569,2200.98686,631.4847856,sample2,CD16/CD14
570,2368.566516,636.8484163,sample2,CK+
571,132.869483,643.3556116,sample2,Vimentin+ cells
572,2481.582114,642.099187,sample2,CK+
573,1994.904915,647.1579371,sample2,CK+
574,2290.346154,650.8247863,sample2,CK+
575,370.1349925,653.8898944,sample2,CK+
576,2266.772379,656.6227621,sample2,CK+
577,2460.817384,654.5048288,sample2,Unclassified
578,277.1745763,660.4101695,sample2,MDSC
579,2158.654663,657.6592798,sample2,Vimentin+ cells
580,2027.311482,660.7927524,sample2,CK+
581,206.0832049,664.0208012,sample2,Vimentin+ cells
582,20.51576355,663.5458128,sample2,MDSC
583,411.8924205,667.794621,sample2,CK+
584,2400.721074,667.3367769,sample2,CK+
585,258.0094787,672.521327,sample2,MDSC
586,2057.389932,674.8549962,sample2,CK+
587,2346.197302,675.6998314,sample2,CK+
588,303.8806262,676.8013699,sample2,CK+
589,340.3165829,680.5217755,sample2,CK+
590,2285.822023,676.68758,sample2,CK+
591,2314.018963,673.880531,sample2,CK+
592,2471.577493,696.2931267,sample2,Unclassified
593,183.3458213,694.581172,sample2,CD16/CD14
594,2244.647887,695.5690141,sample2,CK+
595,417.346586,698.1521175,sample2,CK+
596,42.12334802,704.6123348,sample2,Vimentin+ cells
597,377.7983003,696.0957507,sample2,CK+
598,2404.914286,701.8178571,sample2,CK+
599,2291.754768,706.0367847,sample2,CK+
600,218.2504817,706.1840077,sample2,MDSC
601,324.3352436,708.5673352,sample2,CK+
602,2379.806034,703.6405172,sample2,CK+
603,2434.111516,706.8957726,sample2,CK+
604,75.28534031,709.5776614,sample2,MDSC
606,2080.738889,704.8722222,sample2,CK+
607,2267.32376,711.4212359,sample2,CK+
608,2315.694915,715.2661017,sample2,CK+
609,2030.85116,717.7171392,sample2,Unclassified
610,2227.183398,717.6409266,sample2,CK+
611,2339.456628,717.695581,sample2,CK+
612,146.2379958,720.9812109,sample2,CD16/CD14
613,178.8448276,721.0658307,sample2,CD16/CD14
614,2099.92,719.6,sample2,Unclassified
615,2174.851508,728.2320186,sample2,CK+
616,2460.141657,727.8343337,sample2,CK+
617,368.8623124,728.7405119,sample2,CK+
618,255.1991979,734.907754,sample2,CK+
619,38.15332835,734.9506358,sample2,MDSC
620,292.4791667,738.0303571,sample2,CK+
621,2146.777439,737.0457317,sample2,CK+
622,2197.807453,735,sample2,CK+
623,2418.555556,736.3304094,sample2,CK+
624,79.18895706,740.5730061,sample2,MDSC
625,2215.77,739.545,sample2,CK+
626,2327.321739,741.5463768,sample2,CK+
627,337.4865979,741.7546392,sample2,CK+
628,2046.299354,739.9906676,sample2,Unclassified
629,2244.86148,744.0151803,sample2,CK+
630,2363.809639,743.846988,sample2,CK+
631,2493.634904,743.245182,sample2,Unclassified
632,2112.825635,747.7775212,sample2,CK+
633,2282.094633,750.25,sample2,CK+
634,2519.894954,753.5324408,sample2,Unclassified
635,2312.937365,762.1922246,sample2,CK+
636,2451.112229,758.9040248,sample2,CK+
637,258.1030769,763,sample2,CK+
