sample_id,enable,report_group_ids,color_by,ncbi_accession,ref_group_ids,year,country,Country/inferred country of contamination,Inferred Continent of contamination,strain_name,Inferred Region of contamination (for Figures),origin,type,Place of sampling (Water),species,serotype,STM 3356  d-Tar- specific SNV,phage_type,MLST,lineage,genotype,antimicrobial,Chromosomal coverage (%),Average chromosomal read depth,% reads mapped,Total reads,Num SNVs,Num heterozygous SNVs,Num indels,Num contigs,Genome size (bp),Ratio heterozygous/homozygous SNVs,Accession nos (circularized genomes),Accession nos (draft genomes),publication_source,ploidy
B73-1117__1973__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737623,Salmonella_enterica_GCF_039778255_1,1973,France,France,Europe,B73-1117,Europe,Human,Stools,NA,S. enterica,Paratyphi B,Present,1,86,Lineage 2,2.1,"blaTEM-1D, strAB, aadA1, aadA2b,  sul1, cmlA1, tetA",98.91,129.58,91.2197,4816614,667,65,23,93,4747573,0.097451274,,,This study,1
B76__1940__UK__Unknown,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737624,Salmonella_enterica_GCF_039778255_1,1940,United Kingdom,United Kingdom,Europe,B76,Europe,Unknown,,NA,S. enterica,Paratyphi B,Present,1,86,Lineage 2,2.1,none,98.93,147.98,97.9989,5131520,649,65,23,75,4652951,0.100154083,CP147905,,This study,1
72-66__1966__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737556,Salmonella_enterica_GCF_039778255_1,1966,France,France,Europe,72-66,Europe,Human,Blood,NA,S. enterica,Paratyphi B,Present,1,86,Lineage 2,2.1,none,99.06,124.04,97.569,5565442,681,16,24,80,4631886,0.02349486,,,This study,1
76-2469__1976__USA__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737570,Salmonella_enterica_GCF_039778255_1,1976,United States (District of Columbia),United States of America,America,76-2469,America,Human,Stools,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 2,2.1,none,98.9,147.26,97.5531,4947054,659,66,22,78,4569577,0.100151745,,,This study,1
200107858__2001__Turkey__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737404,Salmonella_enterica_GCF_039778255_1,2001,France,Turkey,Asia,200107858,Middle East,Human,Stools,NA,S. enterica,Paratyphi B,Present,1,86,Lineage 2,2.1.1_Turkey1,none,98.86,96.6,98.1966,3298034,671,91,22,119,4599295,0.13561848,,,This study,1
06-6420__2006__Turkey__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR460160,Salmonella_enterica_GCF_039778255_1,2006,France,Turkey,Asia,06-6420,Middle East,Human,Blood,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 2,2.1.1_Turkey1,none,98.92,97.19,97.4123,4975676,687,60,20,81,4663720,0.087336245,,,Connor et al. Mbio. 2016,1
41977__2014__UK__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,SRR1966704,Salmonella_enterica_GCF_039778255_1,2014,United Kingdom,United Kingdom,Europe,41977,Europe,Human,Stools,NA,S. enterica,Paratyphi B,Present,RDNC,86,Lineage 2,2.1.1_Turkey1,gyrA_D87Y,98.39,46.65,98.3077,2368808,679,82,21,48,4620538,0.120765832,,,This study,1
1125478__2004__UKOrElsewhere__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,SRR13895112,Salmonella_enterica_GCF_039778255_1,2004,United Kingdom,UK or elsewhere,Unknown,1125478,Unknown,Human,Blood,NA,S. enterica,Paratyphi B,Present,1,86,Lineage 2,2.1.1_Turkey1,gyrA_D87Y,98.91,98.67,98.0363,4504250,625,138,4,77,4655293,0.2208,,,This study,1
H93680197__2009__Turkey__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR129891,Salmonella_enterica_GCF_039778255_1,2009,United Kingdom,Turkey,Asia,H093680197,Middle East,Human,Blood,NA,S. enterica,Paratyphi B,Present,Dundee,86,Lineage 2,2.1.1_Turkey1,gyrA_D87Y,99.94,148.14,96.6775,7384422,665,67,18,85,4664644,0.10075188,,,Connor et al. Mbio. 2016,1
SH14SF018__2014__China__Animal,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,NMDC40010651,Salmonella_enterica_GCF_039778255_1,2014,China,China,Asia,SH14SF018,Asia,Animal,Freshwater snail,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 3,3,gyrA_D82N,99.06,227.65,96.3968,8127736,664,42,21,73,4732771,0.063253012,,,Wang et al. Natl Sci Rev. 2022,1
CIPA214__1898__Germany__Unknown,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR460157,Salmonella_enterica_GCF_039778255_1,1898,Germany,Germany,Europe,CIP A214,Europe,Unknown,,NA,S. enterica,Paratyphi B (monophasic),Present,Not available,86,Lineage 4,4,none,99.83,104.32,99.2599,5442130,465,0,16,80,4640262,0,CP147904,,Connor et al. Mbio. 2016,1
1190_221K_222K__1938__Sweden__Animal,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR460133,Salmonella_enterica_GCF_039778255_1,1938,Sweden,Sweden,Europe,1190=221K+222K,Europe,Animal,Dog,NA,S. enterica,Paratyphi B (monophasic),Present,Not available,86,Lineage 4,4,none,98.85,94.69,99.1686,4789640,457,0,11,75,4588119,0,,,Connor et al. Mbio. 2016,1
138-75__1975__Spain__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737446,Salmonella_enterica_GCF_039778255_1,1975,Spain,Spain,Europe,138-75,Europe,Human,Stools,NA,S. enterica,Paratyphi B,Present,3a,86,Lineage 4,4,none,99.16,80.43,95.756,3698706,484,15,15,62,4689182,0.030991736,,,This study,1
MS160191__2016__Ireland__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR1815671,Salmonella_enterica_GCF_039778255_1,2016,Ireland,Ireland,Europe,MS160191,Europe,Human,Blood,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 4,4,none,98.77,64.85,97.9373,3103162,471,50,14,45,4671031,0.106157113,,,This study,1
NCTC20180__1932__Canada__Unknown,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR279276,Salmonella_enterica_GCF_039778255_1,1932,Canada,Canada,America,NCTC 20180,America,Unknown,,NA,S. enterica,Paratyphi B (monophasic),Present,Not available,86,Lineage 4,4,none,98.87,82.3,98.5275,4028088,453,9,14,76,4626142,0.01986755,,,Baker et al. Genome Med. 2015,1
28-67__1967__France__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737492,Salmonella_enterica_GCF_039778255_1,1967,France,France,Europe,28-67,Europe,Human,Stools,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 11,11,none,99.13,208.38,96.4354,8096506,246,97,14,74,4711645,0.394308943,,,This study,1
SL210015__1978__Japan__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,DRR289657,Salmonella_enterica_GCF_039778255_1,1978,Japan,Japan,Asia,SL210015,Asia,Human,Unknown,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 5,5,none,99.79,59.04,98.0769,1429160,262,12,0,77,4701267,0.045801527,,,This study,1
SL210004__1972__Japan__Environment,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,DRR289649,Salmonella_enterica_GCF_039778255_1,1972,Japan (Toyama),Japan,Asia,SL210004,Asia,Environment,Unknown,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 5,5,none,99.79,55.16,98.0462,1353484,266,26,1,79,4701694,0.097744361,,,This study,1
SL210002__1971__Japan__Environment,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,DRR289647,Salmonella_enterica_GCF_039778255_1,1971,Japan (Toyama),Japan,Asia,SL210002,Asia,Environment,Unknown,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 5,5,none,99.62,64.56,98.0387,1569796,255,14,0,70,4688363,0.054901961,,,This study,1
SL210028__1980__Japan__Environment,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,DRR289665,Salmonella_enterica_GCF_039778255_1,1980,Japan (Toyama),Japan,Asia,SL210028,Asia,Environment,Unknown,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 5,5,none,99.8,65.48,98.2157,1587874,268,21,1,74,4701157,0.078358209,,,This study,1
SL210024__1980__Japan__Environment,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,DRR289664,Salmonella_enterica_GCF_039778255_1,1980,Japan (Toyama),Japan,Asia,SL210024,Asia,Environment,Unknown,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 5,5,none,99.76,58.81,98.0622,1456496,258,35,0,69,4745773,0.135658915,,,This study,1
SPPI_33__1958__RussianFederation__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737659,Salmonella_enterica_GCF_039778255_1,1958,Russian Federation (St-Petersburg region),Russian Federation,Europe,SPPI_33,Europe,Human,Unknown,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 5,5,none,99.83,115.23,97.4187,3950462,318,81,5,83,4622944,0.254716981,,,This study,1
CIP106246__1926__UK__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737641,Salmonella_enterica_GCF_039778255_1,1926,United Kingdom,United Kingdom,Europe,CIP 106246,Europe,Human,Blood,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 5,5,none,99.04,91.02,96.5846,3068602,265,98,6,129,4658545,0.369811321,,,This study,1
116K__1935__Japan__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12736510,Salmonella_enterica_GCF_039778255_1,1935,Japan,Japan,Asia,116K,Asia,Human,unknown,NA,S. enterica,"Onarimon (9:b:1,2)",Present,Not available,6558,Lineage 5,5,none,99.48,61.31,97.4636,2012036,571,134,11,200,4545073,0.234676007,,,This study,1
7K__1934__Denmark__Unknown,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12736511,Salmonella_enterica_GCF_039778255_1,1934,Denmark,Denmark,Europe,7K,Europe,Unknown,,NA,S. enterica,Paratyphi B,Present,3a,86,Lineage 5,5,none,99.64,140.67,98.0945,5047812,265,61,8,60,4637165,0.230188679,,,This study,1
748852__2019__UK__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,SRR9261109,Salmonella_enterica_GCF_039778255_1,2019,United Kingdom,United Kingdom,Europe,748852,Europe,Human,Stools,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 5,5,none,98.76,137.18,97.605,6562004,454,88,9,76,4672771,0.193832599,,,Chattaway et al. Microb Genom. 2021,1
SH16G0260__2016__China__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,NMDC40011931,Salmonella_enterica_GCF_039778255_1,2016,China,China,Asia,SH16G0260,Asia,Human,Stools,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 5,5,gyrA_S83F,99.09,157.53,97.3835,5412908,282,68,8,81,4693324,0.241134752,,,Wang et al. Natl Sci Rev. 2022,1
SH16SF1222__2016__China__Animal,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,NMDC40010780,Salmonella_enterica_GCF_039778255_1,2016,China,China,Asia,SH16SF1222,Asia,Animal,Shrimp,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 5,5,gyrA_S83F,99.08,251.55,97.8566,8437914,285,57,9,81,4693307,0.2,,,Wang et al. Natl Sci Rev. 2022,1
17-87__1987__France__Animal,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737468,Salmonella_enterica_GCF_039778255_1,1987,France,France,Europe,17-87,Europe,Animal,Mussels,NA,S. enterica,Paratyphi B,Present,3aI,86,Lineage 6,6,none,99.26,105.1,97.4563,3576322,287,82,12,96,4683854,0.285714286,,,This study,1
B624__1941__UK__Unknown,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737616,Salmonella_enterica_GCF_039778255_1,1941,United Kingdom,United Kingdom,Europe,B624,Europe,Unknown,,NA,S. enterica,Paratyphi B,Present,3aI,86,Lineage 6,6,none,99.95,154.08,97.3537,5213124,251,54,11,79,4720747,0.215139442,CP147903,,This study,1
77-1018__1977__USA__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737574,Salmonella_enterica_GCF_039778255_1,1977,United States (Washington),United States of America,America,77-1018,America,Human,Stools,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 6,6,none,99.9,125.71,98.2744,4269600,255,69,10,75,4581039,0.270588235,,,This study,1
CIP106229__1943__Canada__Unknown,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737640,Salmonella_enterica_GCF_039778255_1,1943,Canada,Canada,America,CIP 106229,America,Unknown,,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 6,6,none,99.71,67.72,96.1423,2303530,244,71,7,129,4678004,0.290983607,,,This study,1
NCTC20182__1943__Canada__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR279278,Salmonella_enterica_GCF_039778255_1,1943,Canada,Canada,America,NCTC 20182,America,Human,Stools,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 6,6,none,99.82,86,97.0663,4286328,245,62,11,97,4733885,0.253061224,,,Baker et al. Genome Med. 2015,1
NCTC20183__1943__Canada__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR279279,Salmonella_enterica_GCF_039778255_1,1943,Canada,Canada,America,NCTC 20183,America,Human,Stools,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 6,6,none,99.81,85.73,97.8687,4231320,234,30,12,76,4690726,0.128205128,,,Baker et al. Genome Med. 2015,1
NCTC20232__1943__Canada__Human,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR298743,Salmonella_enterica_GCF_039778255_1,1943,Canada,Canada,America,NCTC 20232,America,Human,Stools,NA,S. enterica,Paratyphi B,Present,Not available,86,Lineage 6,6,none,99.82,187.54,96.7735,9308942,243,48,13,88,4733890,0.197530864,,,Baker et al. Genome Med. 2015,1
CIP54_105__1953__Austria__Unknown,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737645,Salmonella_enterica_GCF_039778255_1,1953,Austria,Austria,Europe,CIP 54.105,Europe,Unknown,,NA,S. enterica,Paratyphi B,Present,Beccles,86,Lineage 7,7,none,99.78,81.55,97.0539,2759296,253,59,4,117,4663409,0.233201581,,,This study,1
12-80__1980__France__Environment,TRUE,validation_salmonella,year;country;origin;type;species;serotype;phage_type;lineage;genotype;antimicrobial;publication_source,ERR12737395,Salmonella_enterica_GCF_039778255_1,1980,France,France,Europe,12-80,Europe,Environment,Superficial water,Seine Maritime,S. enterica,Paratyphi B,Present,Taunton,8931,Lineage 7,7.1,none,99.69,176.65,96.6275,6164036,258,69,6,90,4700836,0.26744186,,,This study,1
