sample_id,enabled,name,report_group_ids,color_by,ref_group_ids,gcf_id,strain,host,source,generic_source,country,year,given_species_name,fastani_derived_species,lineage,phylogroup,assembly_method,sequence_type,sequencing_technology,assembly_length,num_contigs,wgGC_content,grimont_biotype,ncbi_accession,BioProject,dataset_in_paper,publication_doi,ploidy
26968_7_110,TRUE,26968_7_110,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,337,,,,Unknown,Unknown,Serratia entomophila,Serratia quinivorans,8,1,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5631011,21,54.8,,ERR3566530,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_111,TRUE,26968_7_111,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,398,,,,Unknown,Unknown,Serratia entomophila,Serratia entomophila,19,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5094018,36,59.03,,ERR3566531,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_113,TRUE,26968_7_113,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,9107465,,,,Unknown,Unknown,Serratia entomophila,Serratia entomophila,18,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5088648,23,58.91,,ERR3566533,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_114,TRUE,26968_7_114,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,201,,,,Unknown,Unknown,Serratia entomophila,Serratia entomophila,19,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,4914386,39,59.3,,ERR3566534,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_115,TRUE,26968_7_115,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,A2,,Montalto (Canterbury; New Zealand); mature pasture; 122 grass grubs/m2; 32% diseased,Costelytra zealandica,New Zealand,Unknown,Serratia entomophila,Serratia entomophila,19,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5077249,33,58.98,Sen 1b,ERR3566535,PRJEB24638,Grimont collection (Institut Pasteur),10.1099/00207713-38-1-1,1
26968_7_116,TRUE,26968_7_116,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,4364,,Mushroom,Plant,Unknown,Unknown,Serratia proteamaculans,Serratia quinivorans,7,1,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5663606,13,54.8,RQ,ERR3566536,PRJEB24638,Grimont collection (Institut Pasteur),10.1007/BF01568416,1
26968_7_117,TRUE,26968_7_117,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,358,,,,Unknown,Unknown,Serratia entomophila,Serratia quinivorans,8,1,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5319669,16,54.98,,ERR3566537,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_118,TRUE,26968_7_118,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,430,,,,Unknown,Unknown,Serratia entomophila,Serratia entomophila,19,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,4918548,31,59.3,,ERR3566538,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_12,TRUE,26968_7_12,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,5680,,,,Unknown,Unknown,Serratia fonticola,Serratia fonticola,1,3,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5966755,44,53.79,,ERR3566432,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_120,TRUE,26968_7_120,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,9107474,,,,Unknown,Unknown,Serratia entomophila,Serratia entomophila,19,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5074378,34,59.08,,ERR3566540,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_121,TRUE,26968_7_121,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,197,,,,Unknown,Unknown,Serratia entomophila,Serratia quinivorans,8,1,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5345219,32,54.95,,ERR3566541,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_122,TRUE,26968_7_122,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,A11,,,,Unknown,Unknown,Serratia entomophila,Serratia entomophila,19,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,4924446,25,59.29,,ERR3566542,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_123,TRUE,26968_7_123,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,3980,,,,Unknown,Unknown,Serratia ficaria,Serratia ficaria,20,6,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5261115,20,60.05,,ERR3566543,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_124,TRUE,26968_7_124,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,1450,,,,Unknown,Unknown,Serratia proteamaculans,Serratia proteamaculans,6,9,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5351899,10,55.29,RB,ERR3566544,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_125,TRUE,26968_7_125,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,4121,,,,Unknown,Unknown,Serratia proteamaculans,Serratia quinivorans,7,1,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5343005,29,55.07,,ERR3566545,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_126,TRUE,26968_7_126,validation_serratia;smarcescens,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,493,,,,Unknown,Unknown,Serratia entomophila,Serratia marcescens,15,2,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,4930949,9,59.87,,ERR3566546,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_127,TRUE,26968_7_127,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,9107477,,,,Unknown,Unknown,Serratia entomophila,Serratia entomophila,19,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,4978664,35,59.21,,ERR3566547,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_128,TRUE,26968_7_128,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,8806219,,,,Unknown,Unknown,Serratia entomophila,Serratia entomophila,19,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,4869581,25,59.36,,ERR3566548,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_129,TRUE,26968_7_129,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,201,,,,Unknown,Unknown,Serratia entomophila,Serratia quinivorans,8,1,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5286936,11,55.09,,ERR3566549,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_13,TRUE,26968_7_13,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,A12,,Wakanui (Canterbury; New Zealand); mature pasture; 100-200 grass grubslm2; 3% diseased,Costelytra zealandica,New Zealand,Unknown,Serratia entomophila,Serratia entomophila,19,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5138007,30,58.94,,ERR3566433,PRJEB24638,Grimont collection (Institut Pasteur),10.1099/00207713-38-1-1,1
26968_7_131,TRUE,26968_7_131,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,4742,,Black fig,Plant,Sicily,Unknown,Serratia ficaria,Serratia ficaria,20,6,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5293885,110,59.92,,ERR3566551,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_132,TRUE,26968_7_132,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,3883,,,,Unknown,Unknown,Serratia proteamaculans,Serratia proteamaculans,6,9,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5244177,13,55.04,EB,ERR3566552,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_133,TRUE,26968_7_133,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,371,,,,Unknown,Unknown,Serratia entomophila,Serratia proteamaculans,6,9,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5481643,16,55.15,,ERR3566553,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_135,TRUE,26968_7_135,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,9107480,,,,Unknown,Unknown,Serratia entomophila,Serratia entomophila,19,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,4911552,31,59.25,,ERR3566555,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_136,TRUE,26968_7_136,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,9107482,,,,Unknown,Unknown,Serratia entomophila,Serratia entomophila,19,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,4983991,39,59.2,,ERR3566556,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_137,TRUE,26968_7_137,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,301,,,,Unknown,Unknown,Serratia entomophila,Serratia quinivorans,8,1,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5631644,22,54.8,,ERR3566557,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_138,TRUE,26968_7_138,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,4027,,Caprifig,Plant,USA,1977,Serratia ficaria,Serratia ficaria,20,6,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5158078,20,60.12,,ERR3566558,PRJEB24638,Grimont collection (Institut Pasteur),10.1007/BF02602859,1
26968_7_139,TRUE,26968_7_139,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,3888,,,,Unknown,Unknown,Serratia proteamaculans,Serratia quinivorans,7,1,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5238464,91,54.52,RQ,ERR3566559,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_140,TRUE,26968_7_140,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,372,,,,Unknown,Unknown,Serratia entomophila,Serratia quinivorans,8,1,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5207970,26,54.94,,ERR3566560,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_141,TRUE,26968_7_141,validation_serratia;smarcescens,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,505,,,,Unknown,Unknown,Serratia entomophila,Serratia marcescens,14,2,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5082639,16,59.74,,ERR3566561,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_142,TRUE,26968_7_142,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,8806192,,,,Unknown,Unknown,Serratia entomophila,Serratia entomophila,19,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,4827239,23,59.36,,ERR3566562,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_143,TRUE,26968_7_143,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,8904306,,,,Unknown,Unknown,Serratia entomophila,Serratia entomophila,18,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,4912507,17,59.17,,ERR3566563,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_144,TRUE,26968_7_144,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,314,,,,Unknown,Unknown,Serratia entomophila,Serratia entomophila,18,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,4844387,19,59.32,,ERR3566564,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_146,TRUE,26968_7_146,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,4751,,White fig,Plant,Sicily,Unknown,Serratia ficaria,Serratia ficaria,20,6,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5634810,91,59.59,,ERR3566566,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_147,TRUE,26968_7_147,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,4123,,Digestive tract of rodent Clethrionomys glareolus,Animal,Unknown,Unknown,Serratia proteamaculans,Serratia quinivorans,7,1,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5421039,27,54.97,RQ,ERR3566567,PRJEB24638,Grimont collection (Institut Pasteur),10.1007/BF01568416,1
26968_7_148,TRUE,26968_7_148,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,143,,,,Unknown,Unknown,Serratia entomophila,Serratia quinivorans,8,1,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5592861,17,54.98,,ERR3566568,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_149,TRUE,26968_7_149,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,149,,,,Unknown,Unknown,Serratia entomophila,Serratia quinivorans,8,1,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5634624,16,54.8,,ERR3566569,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_15,TRUE,26968_7_15,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,4622,,,,Unknown,Unknown,Serratia liquefaciens,Serratia proteamaculans,6,9,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5260204,20,54.97,,ERR3566435,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_150,TRUE,26968_7_150,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,,,,,Unknown,Unknown,Unknown,Serratia liquefaciens,2,4,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5359931,24,55.41,,ERR3566570,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_152,TRUE,26968_7_152,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,356,,,,Unknown,Unknown,Serratia entomophila,Serratia quinivorans,8,1,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5520265,16,54.93,,ERR3566572,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_153,TRUE,26968_7_153,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,Mo1,,Motueka (Nelson; New Zealand); new pasture; 200400 grass grubs/m2; no apparent disease,Costelytra zealandica,New Zealand,Unknown,Serratia entomophila,Serratia entomophila,19,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,4950377,38,59.22,,ERR3566573,PRJEB24638,Grimont collection (Institut Pasteur),10.1099/00207713-38-1-1,1
26968_7_154,TRUE,26968_7_154,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,5552,,,,Unknown,Unknown,Serratia ficaria,Serratia ficaria,20,6,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5202398,20,60.07,,ERR3566574,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_155,TRUE,26968_7_155,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,3630,,,,Unknown,Unknown,Serratia proteamaculans,Serratia proteamaculans,6,9,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5062316,14,55.12,C1c,ERR3566575,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_156,TRUE,26968_7_156,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,146,,,,Unknown,Unknown,Serratia entomophila,Serratia proteamaculans,6,9,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5583606,12,55.13,,ERR3566576,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_157,TRUE,26968_7_157,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,175,,,,Unknown,Unknown,Serratia entomophila,Serratia quinivorans,8,1,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5467689,23,55.02,,ERR3566577,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_159,TRUE,26968_7_159,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,8812283,,,,Unknown,Unknown,Serratia entomophila,Serratia entomophila,19,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5090470,35,58.99,,ERR3566579,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_16,TRUE,26968_7_16,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,4310,,,,Unknown,Unknown,Serratia proteamaculans,Serratia proteamaculans,6,9,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5341117,19,55.03,EB,ERR3566436,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_160,TRUE,26968_7_160,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,142,,,,Unknown,Unknown,Serratia entomophila,Serratia quinivorans,8,1,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5333131,11,55.06,,ERR3566580,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_161,TRUE,26968_7_161,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,3652,,,,Unknown,Unknown,Serratia liquefaciens,Serratia quinivorans,8,1,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5254531,16,55.06,,ERR3566581,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_162,TRUE,26968_7_162,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,5558,,,,Unknown,Unknown,Serratia ficaria,Serratia ficaria,20,6,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5539022,78,59.59,,ERR3566582,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_163,TRUE,26968_7_163,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,9908491,,,,Unknown,Unknown,Serratia proteamaculans,Serratia quinivorans,7,1,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5265570,16,55.24,C1c,ERR3566583,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_164,TRUE,26968_7_164,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,402,,,,Unknown,Unknown,Serratia entomophila,Serratia entomophila,19,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5169109,54,58.89,,ERR3566584,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_165,TRUE,26968_7_165,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,193,,,,Unknown,Unknown,Serratia entomophila,Serratia quinivorans,8,1,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5457769,11,54.79,,ERR3566585,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_166,TRUE,26968_7_166,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,9011388,,,,New Zealand,Unknown,Serratia entomophila,Serratia entomophila,19,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,4939300,37,59.17,,ERR3566586,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_167,TRUE,26968_7_167,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,8904305,,,,Unknown,Unknown,Serratia entomophila,Serratia entomophila,19,5,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5086431,45,58.99,,ERR3566587,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_168,TRUE,26968_7_168,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,491,,,,Unknown,Unknown,Serratia entomophila,Serratia quinivorans,7,1,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5495727,22,55.07,,ERR3566588,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_169,TRUE,26968_7_169,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,9904871,,,,Unknown,Unknown,Serratia liquefaciens,Serratia liquefaciens,2,4,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5485962,26,55.22,,ERR3566589,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_17,TRUE,26968_7_17,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,G3630,,ICPB XPI76; ATCC 19323; Type strain of S. proteamaculans,Plant,Unknown,Unknown,Serratia proteamaculans,Serratia proteamaculans,6,9,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5065443,12,55.12,C1c,ERR3566437,PRJEB24638,Grimont collection (Institut Pasteur),10.1007/BF01568416,1
26968_7_170,TRUE,26968_7_170,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,4029,,Caprifig,Plant,USA,1977,Serratia ficaria,Serratia ficaria,20,6,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5202187,32,60.07,,ERR3566590,PRJEB24638,Grimont collection (Institut Pasteur),10.1007/BF02602859,1
26968_7_172,TRUE,26968_7_172,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,437,,,,Unknown,Unknown,Serratia entomophila,Serratia quinivorans,8,1,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5629767,19,54.8,,ERR3566592,PRJEB24638,Grimont collection (Institut Pasteur),,1
26968_7_174,TRUE,26968_7_174,validation_serratia,lineage;fastani_derived_species;source;dataset_in_paper,S_marcescens_Db11,,9107437,,,,Unknown,Unknown,Serratia proteamaculans,Serratia quinivorans,8,1,Velvet v1.2; VelvetOptimiser v2.2.5,illumina,Illumina MiSeq,5632303,18,54.8,,ERR3566594,PRJEB24638,Grimont collection (Institut Pasteur),,1
