ENSMUSG00000056459,ENSMUSG00000038155
ENSMUSG00000056459,ENSMUSG00000022812
ENSMUSG00000056459,ENSMUSG00000029502
ENSMUSG00000056459,ENSMUSG00000029610
ENSMUSG00000056459,ENSMUSG00000096380
ENSMUSG00000056459,ENSMUSG00000013155
ENSMUSG00000056459,ENSMUSG00000007812
ENSMUSG00000056459,ENSMUSG00000009079
ENSMUSG00000056459,ENSMUSG00000014349
ENSMUSG00000056459,ENSMUSG00000026641
ENSMUSG00000056459,ENSMUSG00000028610
ENSMUSG00000056459,ENSMUSG00000028518
ENSMUSG00000056459,ENSMUSG00000019528
ENSMUSG00000056459,ENSMUSG00000025534
ENSMUSG00000056459,ENSMUSG00000013629
ENSMUSG00000056459,ENSMUSG00000022760
ENSMUSG00000056459,ENSMUSG00000025578
ENSMUSG00000056459,ENSMUSG00000037393
ENSMUSG00000056459,ENSMUSG00000037523
ENSMUSG00000056459,ENSMUSG00000007817
ENSMUSG00000056459,ENSMUSG00000008604
ENSMUSG00000056459,ENSMUSG00000036438
ENSMUSG00000056459,ENSMUSG00000001175
ENSMUSG00000056459,ENSMUSG00000111915
ENSMUSG00000056459,ENSMUSG00000053137
ENSMUSG00000056459,ENSMUSG00000016319
ENSMUSG00000056459,ENSMUSG00000079037
ENSMUSG00000056459,ENSMUSG00000035958
ENSMUSG00000110324,ENSMUSG00000021242
ENSMUSG00000110324,ENSMUSG00000079037
ENSMUSG00000110324,ENSMUSG00000037845
ENSMUSG00000018411,ENSMUSG00000066687
ENSMUSG00000018411,ENSMUSG00000068587
ENSMUSG00000018411,ENSMUSG00000038324
ENSMUSG00000018411,ENSMUSG00000018411
ENSMUSG00000018411,ENSMUSG00000079037
ENSMUSG00000029155,ENSMUSG00000079037
ENSMUSG00000054759,ENSMUSG00000061288
ENSMUSG00000054759,ENSMUSG00000025316
ENSMUSG00000054759,ENSMUSG00000079037
ENSMUSG00000054759,ENSMUSG00000026254
ENSMUSG00000112170,ENSMUSG00000079037
ENSMUSG00000112170,ENSMUSG00000063568
ENSMUSG00000112170,ENSMUSG00000020366
ENSMUSG00000112170,ENSMUSG00000037845
ENSMUSG00000007033,ENSMUSG00000013629
ENSMUSG00000007033,ENSMUSG00000057672
ENSMUSG00000007033,ENSMUSG00000062825
ENSMUSG00000007033,ENSMUSG00000057400
ENSMUSG00000007033,ENSMUSG00000001751
ENSMUSG00000007033,ENSMUSG00000021665
ENSMUSG00000007033,ENSMUSG00000061524
ENSMUSG00000007033,ENSMUSG00000017950
ENSMUSG00000007033,ENSMUSG00000008690
ENSMUSG00000007033,ENSMUSG00000038155
ENSMUSG00000007033,ENSMUSG00000022812
ENSMUSG00000007033,ENSMUSG00000057074
ENSMUSG00000007033,ENSMUSG00000066687
ENSMUSG00000007033,ENSMUSG00000025534
ENSMUSG00000007033,ENSMUSG00000007033
ENSMUSG00000007033,ENSMUSG00000024401
ENSMUSG00000007033,ENSMUSG00000004360
ENSMUSG00000007033,ENSMUSG00000096380
ENSMUSG00000007033,ENSMUSG00000050071
ENSMUSG00000007033,ENSMUSG00000005824
ENSMUSG00000007033,ENSMUSG00000032193
ENSMUSG00000007033,ENSMUSG00000026496
ENSMUSG00000007033,ENSMUSG00000028518
ENSMUSG00000007033,ENSMUSG00000037395
ENSMUSG00000007033,ENSMUSG00000024235
ENSMUSG00000007033,ENSMUSG00000019528
ENSMUSG00000007033,ENSMUSG00000008348
ENSMUSG00000007033,ENSMUSG00000021277
ENSMUSG00000007033,ENSMUSG00000001280
ENSMUSG00000007033,ENSMUSG00000061288
ENSMUSG00000007033,ENSMUSG00000058440
ENSMUSG00000007033,ENSMUSG00000024387
ENSMUSG00000007033,ENSMUSG00000022760
ENSMUSG00000007033,ENSMUSG00000020467
ENSMUSG00000007033,ENSMUSG00000025578
ENSMUSG00000007033,ENSMUSG00000037393
ENSMUSG00000007033,ENSMUSG00000047841
ENSMUSG00000007033,ENSMUSG00000057897
ENSMUSG00000007033,ENSMUSG00000036438
ENSMUSG00000007033,ENSMUSG00000001175
ENSMUSG00000007033,ENSMUSG00000062591
ENSMUSG00000007033,ENSMUSG00000059540
ENSMUSG00000007033,ENSMUSG00000053137
ENSMUSG00000007033,ENSMUSG00000079037
ENSMUSG00000046561,ENSMUSG00000037523
ENSMUSG00000046561,ENSMUSG00000046561
ENSMUSG00000046561,ENSMUSG00000059540
ENSMUSG00000046561,ENSMUSG00000007817
ENSMUSG00000046561,ENSMUSG00000008604
ENSMUSG00000046561,ENSMUSG00000028518
ENSMUSG00000046561,ENSMUSG00000039457
ENSMUSG00000046561,ENSMUSG00000025578
ENSMUSG00000046561,ENSMUSG00000013155
ENSMUSG00000046561,ENSMUSG00000079037
ENSMUSG00000034595,ENSMUSG00000079037
ENSMUSG00000028284,ENSMUSG00000062646
ENSMUSG00000028284,ENSMUSG00000003810
ENSMUSG00000037845,ENSMUSG00000071195
ENSMUSG00000037845,ENSMUSG00000028599
ENSMUSG00000037845,ENSMUSG00000014932
ENSMUSG00000037845,ENSMUSG00000074781
ENSMUSG00000037845,ENSMUSG00000046192
ENSMUSG00000037845,ENSMUSG00000029127
ENSMUSG00000037845,ENSMUSG00000040929
ENSMUSG00000037845,ENSMUSG00000020038
ENSMUSG00000037845,ENSMUSG00000112600
ENSMUSG00000037845,ENSMUSG00000026942
ENSMUSG00000037845,ENSMUSG00000029513
ENSMUSG00000037845,ENSMUSG00000020467
ENSMUSG00000037845,ENSMUSG00000032783
ENSMUSG00000037845,ENSMUSG00000000120
ENSMUSG00000037845,ENSMUSG00000021270
ENSMUSG00000037845,ENSMUSG00000004655
ENSMUSG00000002985,ENSMUSG00000023830
ENSMUSG00000002985,ENSMUSG00000024454
ENSMUSG00000002985,ENSMUSG00000047539
ENSMUSG00000002985,ENSMUSG00000029368
ENSMUSG00000002985,ENSMUSG00000034055
ENSMUSG00000002985,ENSMUSG00000031154
ENSMUSG00000002985,ENSMUSG00000032402
ENSMUSG00000002985,ENSMUSG00000060548
ENSMUSG00000002985,ENSMUSG00000002265
ENSMUSG00000002985,ENSMUSG00000090877
ENSMUSG00000002985,ENSMUSG00000032604
ENSMUSG00000002985,ENSMUSG00000030111
ENSMUSG00000002985,ENSMUSG00000020038
ENSMUSG00000002985,ENSMUSG00000002985
ENSMUSG00000002985,ENSMUSG00000030079
ENSMUSG00000002985,ENSMUSG00000025894
ENSMUSG00000002985,ENSMUSG00000074156
ENSMUSG00000002985,ENSMUSG00000047656
ENSMUSG00000002985,ENSMUSG00000028965
ENSMUSG00000002985,ENSMUSG00000021356
ENSMUSG00000002985,ENSMUSG00000047104
ENSMUSG00000002985,ENSMUSG00000028634
ENSMUSG00000002985,ENSMUSG00000022760
ENSMUSG00000002985,ENSMUSG00000032531
ENSMUSG00000002985,ENSMUSG00000037936
ENSMUSG00000002985,ENSMUSG00000051224
ENSMUSG00000002985,ENSMUSG00000068329
ENSMUSG00000002985,ENSMUSG00000031447
ENSMUSG00000002985,ENSMUSG00000079415
ENSMUSG00000002985,ENSMUSG00000022892
ENSMUSG00000002985,ENSMUSG00000006932
ENSMUSG00000002985,ENSMUSG00000053137
ENSMUSG00000002985,ENSMUSG00000094120
ENSMUSG00000002985,ENSMUSG00000031387
ENSMUSG00000019370,ENSMUSG00000020467
ENSMUSG00000019370,ENSMUSG00000019370
ENSMUSG00000038876,ENSMUSG00000008348
ENSMUSG00000038876,ENSMUSG00000027361
ENSMUSG00000038876,ENSMUSG00000045109
ENSMUSG00000038876,ENSMUSG00000079037
ENSMUSG00000022221,ENSMUSG00000079037
ENSMUSG00000024096,ENSMUSG00000015222
ENSMUSG00000024096,ENSMUSG00000071195
ENSMUSG00000024096,ENSMUSG00000063802
ENSMUSG00000024096,ENSMUSG00000026788
ENSMUSG00000024096,ENSMUSG00000004360
ENSMUSG00000024096,ENSMUSG00000010911
ENSMUSG00000024096,ENSMUSG00000026565
ENSMUSG00000037395,ENSMUSG00000005483
ENSMUSG00000037395,ENSMUSG00000057074
ENSMUSG00000037395,ENSMUSG00000037716
ENSMUSG00000037395,ENSMUSG00000008604
ENSMUSG00000037395,ENSMUSG00000057897
ENSMUSG00000037395,ENSMUSG00000037395
ENSMUSG00000037395,ENSMUSG00000036432
ENSMUSG00000037395,ENSMUSG00000005824
ENSMUSG00000037395,ENSMUSG00000003813
ENSMUSG00000037395,ENSMUSG00000020366
ENSMUSG00000037395,ENSMUSG00000079037
ENSMUSG00000024235,ENSMUSG00000045752
ENSMUSG00000024235,ENSMUSG00000029610
ENSMUSG00000024235,ENSMUSG00000058440
ENSMUSG00000024235,ENSMUSG00000057074
ENSMUSG00000024235,ENSMUSG00000042750
ENSMUSG00000024235,ENSMUSG00000000120
ENSMUSG00000024235,ENSMUSG00000057897
ENSMUSG00000024235,ENSMUSG00000032388
ENSMUSG00000024235,ENSMUSG00000027361
ENSMUSG00000024235,ENSMUSG00000039285
ENSMUSG00000024235,ENSMUSG00000036712
ENSMUSG00000024235,ENSMUSG00000034055
ENSMUSG00000024235,ENSMUSG00000031788
ENSMUSG00000024235,ENSMUSG00000079415
ENSMUSG00000024235,ENSMUSG00000021356
ENSMUSG00000024235,ENSMUSG00000046532
ENSMUSG00000024235,ENSMUSG00000031266
ENSMUSG00000024235,ENSMUSG00000028444
ENSMUSG00000024235,ENSMUSG00000079037
ENSMUSG00000028923,ENSMUSG00000057963
ENSMUSG00000028923,ENSMUSG00000021217
ENSMUSG00000028923,ENSMUSG00000057672
ENSMUSG00000028923,ENSMUSG00000031154
ENSMUSG00000028923,ENSMUSG00000038738
ENSMUSG00000028923,ENSMUSG00000039737
ENSMUSG00000028923,ENSMUSG00000060548
ENSMUSG00000028923,ENSMUSG00000079415
ENSMUSG00000028923,ENSMUSG00000001175
ENSMUSG00000028923,ENSMUSG00000042189
ENSMUSG00000028923,ENSMUSG00000036432
ENSMUSG00000028923,ENSMUSG00000028923
ENSMUSG00000028923,ENSMUSG00000057367
ENSMUSG00000028923,ENSMUSG00000029053
ENSMUSG00000028923,ENSMUSG00000079037
ENSMUSG00000047030,ENSMUSG00000015222
ENSMUSG00000047030,ENSMUSG00000063802
ENSMUSG00000047030,ENSMUSG00000071195
ENSMUSG00000047030,ENSMUSG00000026788
ENSMUSG00000047030,ENSMUSG00000010911
ENSMUSG00000044519,ENSMUSG00000028479
ENSMUSG00000044519,ENSMUSG00000000120
ENSMUSG00000044519,ENSMUSG00000066839
ENSMUSG00000044519,ENSMUSG00000038086
ENSMUSG00000044519,ENSMUSG00000036712
ENSMUSG00000044519,ENSMUSG00000031788
ENSMUSG00000044519,ENSMUSG00000040249
ENSMUSG00000044519,ENSMUSG00000048065
ENSMUSG00000044519,ENSMUSG00000005893
ENSMUSG00000044519,ENSMUSG00000061878
ENSMUSG00000044519,ENSMUSG00000024924
ENSMUSG00000044519,ENSMUSG00000079037
ENSMUSG00000044519,ENSMUSG00000112600
ENSMUSG00000079434,ENSMUSG00000074997
ENSMUSG00000079434,ENSMUSG00000025537
ENSMUSG00000079434,ENSMUSG00000007038
ENSMUSG00000079434,ENSMUSG00000079434
ENSMUSG00000079434,ENSMUSG00000031447
ENSMUSG00000079434,ENSMUSG00000013629
ENSMUSG00000020467,ENSMUSG00000032193
ENSMUSG00000020467,ENSMUSG00000026029
ENSMUSG00000020467,ENSMUSG00000032531
ENSMUSG00000020467,ENSMUSG00000048186
ENSMUSG00000020467,ENSMUSG00000031788
ENSMUSG00000020467,ENSMUSG00000017950
ENSMUSG00000020467,ENSMUSG00000034055
ENSMUSG00000020467,ENSMUSG00000028518
ENSMUSG00000020467,ENSMUSG00000038520
ENSMUSG00000020467,ENSMUSG00000046532
ENSMUSG00000020467,ENSMUSG00000029053
ENSMUSG00000020467,ENSMUSG00000026313
ENSMUSG00000020467,ENSMUSG00000013155
ENSMUSG00000020467,ENSMUSG00000032388
ENSMUSG00000020467,ENSMUSG00000079037
ENSMUSG00000056973,ENSMUSG00000066687
ENSMUSG00000056973,ENSMUSG00000015027
ENSMUSG00000056973,ENSMUSG00000056973
ENSMUSG00000032010,ENSMUSG00000021242
ENSMUSG00000032010,ENSMUSG00000079037
ENSMUSG00000018931,ENSMUSG00000079037
ENSMUSG00000018931,ENSMUSG00000018931
ENSMUSG00000016319,ENSMUSG00000032193
ENSMUSG00000016319,ENSMUSG00000038520
ENSMUSG00000016319,ENSMUSG00000045594
ENSMUSG00000016319,ENSMUSG00000037716
ENSMUSG00000016319,ENSMUSG00000030341
ENSMUSG00000016319,ENSMUSG00000042189
ENSMUSG00000016319,ENSMUSG00000030339
ENSMUSG00000016319,ENSMUSG00000039285
ENSMUSG00000016319,ENSMUSG00000005893
ENSMUSG00000016319,ENSMUSG00000017950
ENSMUSG00000016319,ENSMUSG00000019528
ENSMUSG00000016319,ENSMUSG00000036432
ENSMUSG00000016319,ENSMUSG00000029053
ENSMUSG00000016319,ENSMUSG00000057672
ENSMUSG00000016319,ENSMUSG00000016319
ENSMUSG00000016319,ENSMUSG00000020366
ENSMUSG00000016319,ENSMUSG00000079037
ENSMUSG00000016319,ENSMUSG00000029610
ENSMUSG00000094120,ENSMUSG00000024454
ENSMUSG00000094120,ENSMUSG00000047539
ENSMUSG00000094120,ENSMUSG00000022760
ENSMUSG00000094120,ENSMUSG00000063568
ENSMUSG00000094120,ENSMUSG00000030111
ENSMUSG00000094120,ENSMUSG00000017754
ENSMUSG00000094120,ENSMUSG00000022892
ENSMUSG00000032688,ENSMUSG00000024924
ENSMUSG00000032688,ENSMUSG00000007610
ENSMUSG00000032688,ENSMUSG00000079037
ENSMUSG00000039285,ENSMUSG00000046532
ENSMUSG00000039285,ENSMUSG00000005469
ENSMUSG00000039285,ENSMUSG00000038520
ENSMUSG00000039285,ENSMUSG00000025199
ENSMUSG00000039285,ENSMUSG00000029610
ENSMUSG00000039285,ENSMUSG00000030341
ENSMUSG00000039285,ENSMUSG00000021277
ENSMUSG00000039285,ENSMUSG00000008604
ENSMUSG00000039285,ENSMUSG00000028518
ENSMUSG00000039285,ENSMUSG00000017950
ENSMUSG00000039285,ENSMUSG00000019528
ENSMUSG00000039285,ENSMUSG00000005824
ENSMUSG00000039285,ENSMUSG00000057672
ENSMUSG00000039285,ENSMUSG00000024401
ENSMUSG00000039285,ENSMUSG00000079037
ENSMUSG00000039285,ENSMUSG00000013155
ENSMUSG00000022414,ENSMUSG00000079037
ENSMUSG00000029228,ENSMUSG00000035476
ENSMUSG00000029228,ENSMUSG00000040249
ENSMUSG00000029228,ENSMUSG00000079037
ENSMUSG00000015149,ENSMUSG00000033540
ENSMUSG00000015149,ENSMUSG00000063802
ENSMUSG00000015149,ENSMUSG00000015755
ENSMUSG00000015149,ENSMUSG00000079112
ENSMUSG00000015149,ENSMUSG00000026788
ENSMUSG00000015149,ENSMUSG00000010911
ENSMUSG00000015149,ENSMUSG00000004929
ENSMUSG00000024793,ENSMUSG00000024924
ENSMUSG00000024793,ENSMUSG00000040249
ENSMUSG00000024793,ENSMUSG00000079037
ENSMUSG00000031887,ENSMUSG00000079037
ENSMUSG00000036432,ENSMUSG00000030341
ENSMUSG00000036432,ENSMUSG00000021665
ENSMUSG00000036432,ENSMUSG00000061524
ENSMUSG00000036432,ENSMUSG00000017950
ENSMUSG00000036432,ENSMUSG00000008690
ENSMUSG00000036432,ENSMUSG00000038155
ENSMUSG00000036432,ENSMUSG00000022812
ENSMUSG00000036432,ENSMUSG00000029502
ENSMUSG00000036432,ENSMUSG00000057672
ENSMUSG00000036432,ENSMUSG00000024387
ENSMUSG00000036432,ENSMUSG00000035031
ENSMUSG00000036432,ENSMUSG00000096380
ENSMUSG00000036432,ENSMUSG00000050071
ENSMUSG00000036432,ENSMUSG00000042189
ENSMUSG00000036432,ENSMUSG00000036432
ENSMUSG00000036432,ENSMUSG00000057367
ENSMUSG00000036432,ENSMUSG00000013155
ENSMUSG00000036432,ENSMUSG00000014349
ENSMUSG00000036432,ENSMUSG00000032000
ENSMUSG00000036432,ENSMUSG00000028518
ENSMUSG00000036432,ENSMUSG00000038520
ENSMUSG00000036432,ENSMUSG00000062825
ENSMUSG00000036432,ENSMUSG00000025534
ENSMUSG00000036432,ENSMUSG00000024401
ENSMUSG00000036432,ENSMUSG00000057897
ENSMUSG00000036432,ENSMUSG00000037393
ENSMUSG00000036432,ENSMUSG00000037523
ENSMUSG00000036432,ENSMUSG00000029433
ENSMUSG00000036432,ENSMUSG00000019528
ENSMUSG00000036432,ENSMUSG00000001280
ENSMUSG00000036432,ENSMUSG00000020366
ENSMUSG00000036432,ENSMUSG00000079037
ENSMUSG00000036432,ENSMUSG00000019969
ENSMUSG00000019768,ENSMUSG00000019768
ENSMUSG00000019768,ENSMUSG00000074698
ENSMUSG00000047126,ENSMUSG00000007655
ENSMUSG00000047126,ENSMUSG00000047126
ENSMUSG00000047126,ENSMUSG00000046192
ENSMUSG00000047126,ENSMUSG00000079037
ENSMUSG00000094913,ENSMUSG00000040249
ENSMUSG00000094913,ENSMUSG00000063568
ENSMUSG00000094913,ENSMUSG00000005893
ENSMUSG00000094913,ENSMUSG00000079037
ENSMUSG00000024107,ENSMUSG00000024107
ENSMUSG00000024107,ENSMUSG00000021003
ENSMUSG00000024107,ENSMUSG00000003813
ENSMUSG00000024107,ENSMUSG00000024365
ENSMUSG00000024107,ENSMUSG00000022812
ENSMUSG00000024107,ENSMUSG00000029433
ENSMUSG00000024107,ENSMUSG00000008604
ENSMUSG00000024107,ENSMUSG00000028518
ENSMUSG00000024107,ENSMUSG00000029075
ENSMUSG00000024107,ENSMUSG00000022892
ENSMUSG00000024107,ENSMUSG00000066839
ENSMUSG00000024107,ENSMUSG00000020828
ENSMUSG00000024107,ENSMUSG00000020366
ENSMUSG00000024107,ENSMUSG00000079037
ENSMUSG00000024107,ENSMUSG00000019969
ENSMUSG00000025085,ENSMUSG00000017950
ENSMUSG00000025085,ENSMUSG00000025534
ENSMUSG00000025085,ENSMUSG00000022812
ENSMUSG00000025085,ENSMUSG00000079037
ENSMUSG00000028945,ENSMUSG00000028945
ENSMUSG00000028945,ENSMUSG00000037523
ENSMUSG00000028945,ENSMUSG00000046192
ENSMUSG00000028945,ENSMUSG00000031788
ENSMUSG00000028945,ENSMUSG00000021814
ENSMUSG00000028945,ENSMUSG00000060548
ENSMUSG00000028945,ENSMUSG00000071078
ENSMUSG00000028945,ENSMUSG00000079037
ENSMUSG00000028945,ENSMUSG00000015605
ENSMUSG00000028945,ENSMUSG00000046532
ENSMUSG00000028945,ENSMUSG00000014932
ENSMUSG00000028945,ENSMUSG00000005469
ENSMUSG00000028945,ENSMUSG00000067702
ENSMUSG00000028945,ENSMUSG00000019842
ENSMUSG00000014763,ENSMUSG00000014763
ENSMUSG00000014763,ENSMUSG00000079037
ENSMUSG00000021750,ENSMUSG00000054452
ENSMUSG00000021750,ENSMUSG00000079037
ENSMUSG00000022710,ENSMUSG00000032388
ENSMUSG00000022710,ENSMUSG00000079037
ENSMUSG00000038086,ENSMUSG00000039615
ENSMUSG00000038086,ENSMUSG00000023944
ENSMUSG00000038086,ENSMUSG00000019850
ENSMUSG00000038086,ENSMUSG00000095970
ENSMUSG00000038086,ENSMUSG00000038086
ENSMUSG00000038086,ENSMUSG00000063568
ENSMUSG00000038086,ENSMUSG00000019471
ENSMUSG00000038086,ENSMUSG00000026942
ENSMUSG00000038086,ENSMUSG00000007610
ENSMUSG00000038086,ENSMUSG00000112380
ENSMUSG00000038086,ENSMUSG00000054452
ENSMUSG00000038086,ENSMUSG00000079037
ENSMUSG00000038086,ENSMUSG00000112223
ENSMUSG00000032000,ENSMUSG00000017652
ENSMUSG00000032000,ENSMUSG00000057963
ENSMUSG00000032000,ENSMUSG00000021217
ENSMUSG00000032000,ENSMUSG00000057897
ENSMUSG00000032000,ENSMUSG00000014349
ENSMUSG00000032000,ENSMUSG00000037716
ENSMUSG00000032000,ENSMUSG00000037523
ENSMUSG00000032000,ENSMUSG00000059540
ENSMUSG00000032000,ENSMUSG00000032000
ENSMUSG00000032000,ENSMUSG00000018363
ENSMUSG00000032000,ENSMUSG00000064289
ENSMUSG00000032000,ENSMUSG00000071547
ENSMUSG00000032000,ENSMUSG00000042189
ENSMUSG00000032000,ENSMUSG00000021408
ENSMUSG00000032000,ENSMUSG00000057672
ENSMUSG00000032000,ENSMUSG00000020366
ENSMUSG00000032000,ENSMUSG00000079037
ENSMUSG00000032000,ENSMUSG00000019969
ENSMUSG00000048490,ENSMUSG00000031154
ENSMUSG00000048490,ENSMUSG00000028730
ENSMUSG00000048490,ENSMUSG00000024924
ENSMUSG00000048490,ENSMUSG00000039738
ENSMUSG00000061524,ENSMUSG00000032193
ENSMUSG00000061524,ENSMUSG00000038520
ENSMUSG00000061524,ENSMUSG00000025199
ENSMUSG00000061524,ENSMUSG00000057074
ENSMUSG00000061524,ENSMUSG00000005824
ENSMUSG00000061524,ENSMUSG00000042189
ENSMUSG00000061524,ENSMUSG00000021277
ENSMUSG00000061524,ENSMUSG00000024401
ENSMUSG00000061524,ENSMUSG00000008604
ENSMUSG00000061524,ENSMUSG00000071547
ENSMUSG00000061524,ENSMUSG00000028518
ENSMUSG00000061524,ENSMUSG00000029053
ENSMUSG00000061524,ENSMUSG00000057672
ENSMUSG00000061524,ENSMUSG00000013155
ENSMUSG00000061524,ENSMUSG00000020366
ENSMUSG00000061524,ENSMUSG00000079037
ENSMUSG00000078923,ENSMUSG00000026254
ENSMUSG00000078923,ENSMUSG00000078923
ENSMUSG00000078923,ENSMUSG00000023944
ENSMUSG00000078923,ENSMUSG00000079037
ENSMUSG00000074781,ENSMUSG00000023944
ENSMUSG00000074781,ENSMUSG00000046192
ENSMUSG00000074781,ENSMUSG00000014932
ENSMUSG00000074781,ENSMUSG00000004360
ENSMUSG00000074781,ENSMUSG00000026565
ENSMUSG00000074781,ENSMUSG00000029127
ENSMUSG00000074781,ENSMUSG00000035476
ENSMUSG00000074781,ENSMUSG00000021270
ENSMUSG00000074781,ENSMUSG00000074781
ENSMUSG00000026029,ENSMUSG00000024948
ENSMUSG00000026029,ENSMUSG00000017652
ENSMUSG00000026029,ENSMUSG00000026029
ENSMUSG00000026029,ENSMUSG00000021754
ENSMUSG00000026029,ENSMUSG00000031264
ENSMUSG00000026029,ENSMUSG00000032388
ENSMUSG00000026029,ENSMUSG00000042189
ENSMUSG00000026029,ENSMUSG00000024413
ENSMUSG00000026029,ENSMUSG00000002265
ENSMUSG00000026029,ENSMUSG00000008604
ENSMUSG00000026029,ENSMUSG00000079415
ENSMUSG00000026029,ENSMUSG00000028965
ENSMUSG00000026029,ENSMUSG00000022892
ENSMUSG00000026029,ENSMUSG00000008690
ENSMUSG00000026029,ENSMUSG00000046532
ENSMUSG00000026029,ENSMUSG00000029053
ENSMUSG00000026029,ENSMUSG00000079037
ENSMUSG00000019813,ENSMUSG00000019813
ENSMUSG00000019813,ENSMUSG00000021242
ENSMUSG00000019813,ENSMUSG00000036712
ENSMUSG00000019813,ENSMUSG00000008604
ENSMUSG00000019813,ENSMUSG00000014959
ENSMUSG00000019813,ENSMUSG00000079037
ENSMUSG00000028191,ENSMUSG00000024365
ENSMUSG00000028191,ENSMUSG00000079037
ENSMUSG00000028191,ENSMUSG00000028191
ENSMUSG00000030341,ENSMUSG00000029610
ENSMUSG00000030341,ENSMUSG00000038520
ENSMUSG00000030341,ENSMUSG00000005893
ENSMUSG00000030341,ENSMUSG00000037716
ENSMUSG00000030341,ENSMUSG00000030341
ENSMUSG00000030341,ENSMUSG00000045594
ENSMUSG00000030341,ENSMUSG00000007817
ENSMUSG00000030341,ENSMUSG00000030339
ENSMUSG00000030341,ENSMUSG00000039457
ENSMUSG00000030341,ENSMUSG00000017950
ENSMUSG00000030341,ENSMUSG00000019528
ENSMUSG00000030341,ENSMUSG00000029053
ENSMUSG00000030341,ENSMUSG00000057672
ENSMUSG00000030341,ENSMUSG00000024401
ENSMUSG00000030341,ENSMUSG00000079037
ENSMUSG00000030341,ENSMUSG00000013155
ENSMUSG00000045662,ENSMUSG00000034761
ENSMUSG00000045662,ENSMUSG00000079037
ENSMUSG00000071078,ENSMUSG00000079037
ENSMUSG00000024924,ENSMUSG00000078926
ENSMUSG00000024924,ENSMUSG00000039738
ENSMUSG00000024924,ENSMUSG00000038324
ENSMUSG00000024924,ENSMUSG00000096131
ENSMUSG00000024924,ENSMUSG00000018765
ENSMUSG00000024924,ENSMUSG00000063334
ENSMUSG00000024924,ENSMUSG00000112380
ENSMUSG00000024924,ENSMUSG00000026036
ENSMUSG00000024924,ENSMUSG00000026321
ENSMUSG00000024924,ENSMUSG00000039615
ENSMUSG00000024924,ENSMUSG00000005893
ENSMUSG00000024924,ENSMUSG00000004994
ENSMUSG00000024924,ENSMUSG00000023505
ENSMUSG00000024924,ENSMUSG00000054452
ENSMUSG00000024924,ENSMUSG00000024924
ENSMUSG00000024924,ENSMUSG00000025578
ENSMUSG00000024924,ENSMUSG00000037523
ENSMUSG00000024924,ENSMUSG00000039457
ENSMUSG00000024924,ENSMUSG00000014959
ENSMUSG00000024924,ENSMUSG00000004843
ENSMUSG00000024924,ENSMUSG00000112223
ENSMUSG00000024924,ENSMUSG00000079037
ENSMUSG00000024924,ENSMUSG00000023206
ENSMUSG00000024401,ENSMUSG00000013629
ENSMUSG00000024401,ENSMUSG00000020849
ENSMUSG00000024401,ENSMUSG00000057074
ENSMUSG00000024401,ENSMUSG00000026875
ENSMUSG00000024401,ENSMUSG00000021665
ENSMUSG00000024401,ENSMUSG00000017950
ENSMUSG00000024401,ENSMUSG00000008690
ENSMUSG00000024401,ENSMUSG00000025199
ENSMUSG00000024401,ENSMUSG00000038155
