geneID	TFCP2L1	ARID5A	ATF3	ESRRG	GLI2	NPAS2	NR5A2	SOX17	STAT4	TWIST2	NumPeaks	AvgPeakDistance	AvgPeakSize
ENSMUSG00000026388.15	0.0202469032	0.0234883831	0.0574918628	0.0489874781	0.0095593327	0.0472136163	0.0503889849	0.0015712752	0.0164731973	0.1031011514	3.0000000000	12005.6669921875	5762.6665039062
ENSMUSG00000026389.16	0.0082174353	0.0063257510	0.0763108807	0.0202463792	0.0003995995	0.0388819051	0.0638676933	0.0033969208	0.1048657740	0.2417431268	8.0000000000	11163.6250000000	2509.7500000000
ENSMUSG00000036907.9	0.0000344757	0.0000899734	0.0009693066	0.0000073097	0.0000157063	0.0000137176	0.0000014982	0.0000591959	0.0000017545	0.0000000470	1.0000000000	16473.0000000000	1243.0000000000
ENSMUSG00000058665.8	0.0001095377	0.0000002082	0.0000004858	0.0000001673	0.0002184140	0.0000036559	0.0000025029	0.0000001809	0.0000011904	0.0000839415	1.0000000000	1017.0000000000	218.0000000000
ENSMUSG00000099957.3	0.0000036041	0.0000000069	0.0000000160	0.0000000055	0.0000071864	0.0000001203	0.0000000824	0.0000000060	0.0000000392	0.0000027619	1.0000000000	18088.0000000000	218.0000000000
ENSMUSG00000104332.1	0.0000219041	0.0000165765	0.0002781155	0.0000000507	0.0000001501	0.0000069636	0.0000001944	0.0002070756	0.0004614651	0.0000000280	1.0000000000	22586.0000000000	1231.0000000000
ENSMUSG00000003721.14	0.0002437263	0.0006551768	0.0004543956	0.0000153763	0.0000092050	0.0000060066	0.0000210429	0.0004216132	0.0002059497	0.0320526801	1.0000000000	3598.0000000000	2222.0000000000
ENSMUSG00000104253.1	0.0005005192	0.0013454787	0.0009331521	0.0000315770	0.0000189035	0.0000123352	0.0000432140	0.0008658298	0.0004229408	0.0658237558	1.0000000000	0.0000000000	2222.0000000000
ENSMUSG00000026339.18	0.0081595323	0.0001859385	0.0000727004	0.0000840604	0.0001762522	0.0000022979	0.0002268601	0.0000668839	0.0003960517	0.0328015773	1.0000000000	0.0000000000	1254.0000000000
ENSMUSG00000001674.11	0.0300274770	0.0048072646	0.0006275529	0.0000517407	0.0005148801	0.0225565135	0.0000130479	0.0002118322	0.0002041415	0.0033980694	2.0000000000	5755.5000000000	916.0000000000
ENSMUSG00000102940.1	0.0000284550	0.0168369931	0.0011457653	0.0000391669	0.0000034359	0.0001221451	0.0000203200	0.0001769603	0.0021304960	0.0000044621	2.0000000000	12383.0000000000	2651.5000000000
ENSMUSG00000026341.16	0.0035307260	0.0683611234	0.0032170358	0.0042551923	0.0033133464	0.0025812627	0.0027380918	0.0004437312	0.0345478475	0.1158986786	6.0000000000	7793.8334960938	1792.6666259766
ENSMUSG00000102063.1	0.0009570327	0.0172522853	0.0009855662	0.0017346123	0.0006858467	0.0008458340	0.0019060349	0.0001312841	0.0076063289	0.0408859864	7.0000000000	13394.1425781250	1776.0000000000
ENSMUSG00000026342.10	0.0061374674	0.0072104596	0.0313429038	0.0015456797	0.0448940077	0.0003218358	0.0231437967	0.0001481108	0.0051311791	0.0330248237	2.0000000000	4712.0000000000	2517.5000000000
ENSMUSG00000036155.13	0.0084517052	0.0002229689	0.0007406856	0.0094996073	0.0001106236	0.0008501243	0.0006218091	0.0001838060	0.0010827571	0.0000189432	1.0000000000	0.0000000000	2434.0000000000
ENSMUSG00000104039.1	0.0024418103	0.0003172870	0.0014286767	0.0000013099	0.0000006425	0.0000049271	0.0000477275	0.0000283037	0.0000404849	0.0309466862	2.0000000000	5896.5000000000	378.0000000000
ENSMUSG00000104378.1	0.0000574271	0.0009636973	0.0000034554	0.0000004145	0.0000001638	0.0007783491	0.0000001469	0.0000186210	0.0024261404	0.0000003179	2.0000000000	10344.5000000000	222.5000000000
ENSMUSG00000099471.1	0.0000046376	0.0113770930	0.0000204260	0.0000038295	0.0000020192	0.0000630730	0.0000010799	0.0000168735	0.0001958622	0.0000008972	2.0000000000	10344.5000000000	222.5000000000
ENSMUSG00000106307.1	0.0000060931	0.0000560982	0.0000119184	0.0001485071	0.0000019471	0.0000699502	0.0000137740	0.0003968333	0.0000520445	0.0000011478	1.0000000000	7019.0000000000	437.0000000000
ENSMUSG00000106489.1	0.0000060943	0.0000561095	0.0000119207	0.0001485368	0.0000019475	0.0000699642	0.0000137767	0.0003969126	0.0000520549	0.0000011481	1.0000000000	7018.0000000000	437.0000000000
ENSMUSG00000102014.1	0.0359013105	0.0050867838	0.0069023508	0.0247112350	0.0001294788	0.0028819709	0.0255836064	0.0002169011	0.0000561657	0.0328597761	4.0000000000	7093.2500000000	1157.2500000000
ENSMUSG00000026349.14	0.0359013399	0.0051065029	0.0069794315	0.0247112423	0.0001295209	0.0028827088	0.0255836102	0.0002180094	0.0000562022	0.0328597887	4.0000000000	7039.2500000000	1157.2500000000
ENSMUSG00000051590.9	0.0000136921	0.0007941479	0.0000462144	0.0000055030	0.0000616096	0.0015229526	0.0000097352	0.0002559867	0.0000765439	0.0022632001	2.0000000000	8768.0000000000	733.5000000000
ENSMUSG00000036104.11	0.0001717867	0.0114238756	0.0006541288	0.0000767437	0.0008938931	0.0221058441	0.0001215038	0.0001237641	0.0001709557	0.0328492777	2.0000000000	4708.0000000000	733.5000000000
ENSMUSG00000036086.16	0.0104791012	0.0067458999	0.0017938642	0.0003870691	0.0000573197	0.0005154695	0.0276317564	0.0002840283	0.0005403419	0.0659119162	2.0000000000	3137.0000000000	1790.0000000000
ENSMUSG00000104164.1	0.0000000323	0.0000016373	0.0001245605	0.0000000024	0.0000002578	0.0000001393	0.0000002108	0.0000115494	0.0000002642	0.0109628802	1.0000000000	5479.0000000000	167.0000000000
ENSMUSG00000102782.1	0.0007932252	0.0004907637	0.0001332198	0.0000274292	0.0000043336	0.0000379129	0.0020008788	0.0000188708	0.0000409005	0.0049904050	2.0000000000	16447.0000000000	1790.0000000000
ENSMUSG00000103999.1	0.0089903510	0.0055622764	0.0015099029	0.0003108809	0.0000491167	0.0004297018	0.0226778002	0.0002138798	0.0004635625	0.0565608509	2.0000000000	4308.0000000000	1790.0000000000
ENSMUSG00000056211.13	0.0104799427	0.0068376936	0.0018058014	0.0003956881	0.0000573485	0.0005205895	0.0280505882	0.0002961226	0.0005403909	0.0659119662	2.0000000000	3010.0000000000	1790.0000000000
ENSMUSG00000101535.1	0.0000845874	0.0001932478	0.0000324175	0.0000161866	0.0000004994	0.0000118854	0.0008567142	0.0000206536	0.0000043701	0.0005240671	2.0000000000	21322.0000000000	1790.0000000000
ENSMUSG00000104239.1	0.0000007326	0.0000799096	0.0000103917	0.0000075031	0.0000000250	0.0000044571	0.0003646073	0.0000105285	0.0000000426	0.0000000435	1.0000000000	21739.0000000000	1098.0000000000
ENSMUSG00000103497.1	0.0000000419	0.0000143814	0.0000049575	0.0000034594	0.0000000067	0.0000000011	0.0000003539	0.0000003684	0.0000113414	0.0000000049	1.0000000000	24675.0000000000	750.0000000000
ENSMUSG00000065520.2	0.0000003742	0.0001285522	0.0000443139	0.0000309231	0.0000000596	0.0000000100	0.0000031639	0.0000032928	0.0001013788	0.0000000435	1.0000000000	13723.0000000000	750.0000000000
ENSMUSG00000026353.9	0.0123284754	0.0050738420	0.0014643299	0.0441839696	0.0000479921	0.0021889875	0.0439359970	0.0000361445	0.0000045969	0.0315338752	1.0000000000	213.0000000000	2194.0000000000
ENSMUSG00000026355.11	0.0000940252	0.0084432558	0.0263406910	0.0004348151	0.0001544353	0.0048867727	0.0394648596	0.0003381667	0.0488728815	0.0657683915	1.0000000000	0.0000000000	3143.0000000000
ENSMUSG00000026356.15	0.0000933546	0.0430064324	0.0003830142	0.0000047236	0.0001837541	0.0137208780	0.0002154829	0.0001692330	0.0023731331	0.0328690981	1.0000000000	0.0000000000	2044.0000000000
ENSMUSG00000045382.6	0.0617133755	0.0039662341	0.0014622112	0.0007296873	0.0000918598	0.0231945739	0.0018975586	0.0000967111	0.0006381816	0.0339878832	2.0000000000	10518.5000000000	2884.5000000000
ENSMUSG00000097283.1	0.0053045339	0.0000966916	0.0001304131	0.0000052746	0.0000176136	0.0001059403	0.0000416581	0.0000153739	0.0000008028	0.0017033892	4.0000000000	15235.7500000000	613.0000000000
ENSMUSG00000086633.1	0.0000003080	0.0002600119	0.0000000846	0.0000000152	0.0000019611	0.0000000242	0.0000000057	0.0000010351	0.0000149614	0.0000001085	1.0000000000	18677.0000000000	362.0000000000
ENSMUSG00000086825.1	0.0003436989	0.0000110280	0.0000054559	0.0000002613	0.0000011666	0.0000000526	0.0000007174	0.0000007903	0.0000003684	0.0005150836	1.0000000000	24259.0000000000	2083.0000000000
ENSMUSG00000026399.12	0.0440794545	0.0051057121	0.0013560585	0.0000671216	0.0001564090	0.0000306310	0.0001337844	0.0003475105	0.0001246214	0.0694888466	4.0000000000	13691.0000000000	1800.7500000000
ENSMUSG00000085526.1	0.0440762785	0.0049836407	0.0013343217	0.0000660085	0.0001561736	0.0000298412	0.0001323974	0.0003393698	0.0001220614	0.0693707775	4.0000000000	13817.0000000000	1800.7500000000
ENSMUSG00000102139.1	0.0183716477	0.0110918177	0.0021589691	0.0001096038	0.0000816968	0.0000707765	0.0001572062	0.0007425763	0.0002398276	0.0372892670	4.0000000000	10880.0000000000	1800.7500000000
ENSMUSG00000103751.1	0.0065738635	0.0335189535	0.0060265764	0.0003083142	0.0000836528	0.0002165602	0.0003906807	0.0022362093	0.0007052023	0.0407949411	4.0000000000	7994.5000000000	1800.7500000000
ENSMUSG00000101904.1	0.0340769726	0.0046410935	0.0072768100	0.0003339721	0.0002669321	0.0060565944	0.0006333035	0.0004889109	0.0166669972	0.0461711987	6.0000000000	11291.8330078125	1934.0000000000
ENSMUSG00000100257.1	0.0000001840	0.0004437309	0.0000060958	0.0000044031	0.0000008028	0.0000001027	0.0000006676	0.0000013526	0.0007643885	0.0000000062	2.0000000000	17598.0000000000	378.5000000000
ENSMUSG00000026409.14	0.0389971807	0.0118602736	0.0550966457	0.0023348557	0.0018920500	0.0240445127	0.0015209333	0.0005046299	0.1245544839	0.1392071752	5.0000000000	8908.2001953125	2486.8000488281
ENSMUSG00000046404.5	0.0352945349	0.0056173359	0.0091760809	0.0004105976	0.0003317602	0.0068845277	0.0006825585	0.0005132257	0.0202440852	0.0507799130	6.0000000000	11037.1669921875	1934.0000000000
ENSMUSG00000104515.1	0.0392806753	0.0119397097	0.0548866598	0.0023333574	0.0018898538	0.0240821462	0.0015149723	0.0005078982	0.1245656881	0.1392454812	5.0000000000	8908.2001953125	2486.8000488281
ENSMUSG00000042510.7	0.0378949405	0.0115027607	0.0570232186	0.0023519652	0.0019150268	0.0238835062	0.0015952474	0.0004987819	0.1245241199	0.1403669229	5.0000000000	8908.2001953125	2486.8000488281
ENSMUSG00000099556.1	0.0134269682	0.0023572170	0.0354608296	0.0006840545	0.0007205640	0.0047267489	0.0015465319	0.0003763124	0.0225142752	0.0677025037	7.0000000000	14481.7138671875	2151.0000000000
ENSMUSG00000100106.1	0.0017117437	0.0026925704	0.0287219046	0.0005778800	0.0002185506	0.0235166913	0.0011832801	0.0020785080	0.0106482068	0.0878928138	8.0000000000	10514.1250000000	1142.1250000000
ENSMUSG00000026415.11	0.0017531040	0.0033911434	0.0044676861	0.0007725548	0.0001210596	0.0005597342	0.0015707891	0.0017754061	0.0167189436	0.0075678157	6.0000000000	10833.1669921875	3402.0000000000
ENSMUSG00000086706.7	0.0205830871	0.0661367580	0.0604736807	0.0119250420	0.0027746131	0.0086785506	0.0138808054	0.0401522335	0.0770071438	0.1642556163	3.0000000000	11276.0000000000	7135.0000000000
ENSMUSG00000026417.13	0.0206036115	0.0669581649	0.0615606519	0.0129090377	0.0027760224	0.0095891130	0.0140233100	0.0401590583	0.0783105615	0.1642575841	3.0000000000	11276.0000000000	7135.0000000000
ENSMUSG00000042474.6	0.0002436602	0.0002486343	0.0002139728	0.0003126903	0.0000012088	0.0001560049	0.0000857245	0.0000065644	0.0002427456	0.0000059335	2.0000000000	13123.5000000000	1503.5000000000
ENSMUSG00000026420.16	0.0000267152	0.0014560863	0.0237494310	0.0000713901	0.0000026683	0.0000796433	0.0080283176	0.0000633092	0.0189225518	0.0385383680	3.0000000000	14212.3330078125	992.6666870117
ENSMUSG00000026416.12	0.0000098043	0.0006170591	0.0117942612	0.0000133064	0.0000013337	0.0000159300	0.0018591180	0.0000186508	0.0015150618	0.0028289291	2.0000000000	12928.0000000000	1340.5000000000
ENSMUSG00000016528.10	0.0045930174	0.0005387706	0.0263644273	0.0334219497	0.0004210426	0.0005643197	0.0049558456	0.0007086535	0.0591947624	0.0679868106	3.0000000000	8851.0000000000	1157.6666259766
ENSMUSG00000088705.1	0.0000613624	0.0000339806	0.0003371520	0.0004302806	0.0000175374	0.0000136299	0.0000682075	0.0005742103	0.0007464655	0.0052646319	2.0000000000	15944.5000000000	1492.0000000000
ENSMUSG00000102856.1	0.0022889071	0.0003005753	0.0131284373	0.0166455135	0.0002249793	0.0002890954	0.0024736176	0.0010587315	0.0294638569	0.0393948292	3.0000000000	10014.0000000000	1157.6666259766
ENSMUSG00000089256.1	0.0018833695	0.0002441807	0.0106857919	0.0135591610	0.0001704768	0.0002285781	0.0020126265	0.0003697310	0.0239856189	0.0274817845	3.0000000000	10356.6669921875	1157.6666259766
ENSMUSG00000016526.8	0.0023951537	0.0314069923	0.0023523778	0.0237382532	0.0010368751	0.0031819738	0.0234513967	0.0024250778	0.0240539103	0.0693999693	3.0000000000	12273.3330078125	3020.3332519531
ENSMUSG00000026427.16	0.0011918042	0.0058206940	0.0016144052	0.0020839489	0.0001788161	0.0010659545	0.0021870161	0.0003293659	0.0032080217	0.0709758726	4.0000000000	7775.0000000000	2487.2500000000
ENSMUSG00000026430.15	0.0082482879	0.0188432041	0.0024219937	0.0003175597	0.0033256195	0.0004128229	0.0002078545	0.0000932770	0.0078868295	0.0666202969	5.0000000000	6427.3999023438	1013.7999877930
ENSMUSG00000101729.1	0.0021661999	0.0006474290	0.0078012643	0.0003689716	0.0001759715	0.0000931918	0.0001806243	0.0001020641	0.0043071253	0.0325460876	5.0000000000	16242.2001953125	830.2000122070
ENSMUSG00000042349.13	0.0034048023	0.0042170650	0.0022151510	0.0066663119	0.0035697997	0.0019655544	0.0065181272	0.0001645304	0.0088260942	0.0519336064	3.0000000000	3648.0000000000	2094.0000000000
ENSMUSG00000102027.1	0.0046967640	0.0016610259	0.0004911779	0.0006580331	0.0007984049	0.0001963495	0.0001015944	0.0000300918	0.0078836617	0.0156005604	6.0000000000	15333.3330078125	1369.8333740234
ENSMUSG00000102055.1	0.0024886607	0.0010031661	0.0004438798	0.0012080240	0.0008870545	0.0003694511	0.0003056220	0.0000267794	0.0049388851	0.0112070708	7.0000000000	17734.8574218750	1589.1428222656
ENSMUSG00000026425.15	0.0073047361	0.0017227049	0.0006837711	0.0001913194	0.0001035346	0.0005114959	0.0012331794	0.0005319806	0.0003354298	0.0340101603	4.0000000000	5964.0000000000	964.0000000000
ENSMUSG00000104060.1	0.0248139862	0.0008672792	0.0243569395	0.0000042230	0.0001626477	0.0011382010	0.0000193558	0.0015994783	0.0242230439	0.0313129708	2.0000000000	2934.0000000000	907.0000000000
ENSMUSG00000101778.1	0.0000000383	0.0000051166	0.0000011568	0.0000000262	0.0000000393	0.0000001124	0.0000000912	0.0000005148	0.0000000290	0.0000000609	1.0000000000	24158.0000000000	890.0000000000
ENSMUSG00000099959.1	0.0000000362	0.0005520638	0.0001224594	0.0000654468	0.0000000567	0.0008030668	0.0000015989	0.0000703564	0.0000330251	0.0000034321	2.0000000000	441.5000000000	241.0000000000
ENSMUSG00000055184.4	0.0066924100	0.0016229090	0.0007200609	0.0001752579	0.0000935968	0.0005225798	0.0011220134	0.0004800844	0.0003400957	0.0308137602	4.0000000000	5958.5000000000	964.0000000000
ENSMUSG00000026432.7	0.0000264986	0.0000399247	0.0000035543	0.0000372276	0.0000117389	0.0000003479	0.0000007552	0.0000023335	0.0000001174	0.0000000006	1.0000000000	14367.0000000000	489.0000000000
ENSMUSG00000095841.2	0.0061510951	0.0045959873	0.0012470724	0.0092750145	0.0004391181	0.0002554386	0.0016009725	0.0024317490	0.0167638911	0.0494996404	4.0000000000	17272.5000000000	1139.7500000000
ENSMUSG00000004552.16	0.0163578654	0.0122041322	0.0033634755	0.0246685976	0.0011585115	0.0006800858	0.0042650596	0.0064745968	0.0447873855	0.1318948548	4.0000000000	14713.7500000000	1139.7500000000
ENSMUSG00000052688.12	0.0248425744	0.0049942855	0.0281468647	0.0074999872	0.0018490812	0.0342476251	0.0021122998	0.0019921054	0.0180129978	0.1055174621	4.0000000000	10216.0000000000	2318.0000000000
ENSMUSG00000042268.10	0.0138629484	0.0007576899	0.0106870630	0.0004966772	0.0000566595	0.0089946825	0.0024719613	0.0059262906	0.0063879035	0.0483388085	5.0000000000	8182.6000976562	1240.5999755859
ENSMUSG00000042251.12	0.0006991282	0.0000200152	0.0015253897	0.0000006224	0.0000073190	0.0000202100	0.0000008060	0.0005529716	0.0010623025	0.0336458261	3.0000000000	11770.3330078125	375.0000000000
ENSMUSG00000013275.9	0.0350530399	0.0129775983	0.0307139053	0.0236622816	0.0011117291	0.0018506647	0.0061896296	0.0006294601	0.0396699774	0.2366353692	3.0000000000	7819.0000000000	2924.6667480469
ENSMUSG00000026433.13	0.0006530192	0.0026637252	0.0005632771	0.0000093512	0.0001436339	0.0004829421	0.0004168647	0.0000437053	0.0467732639	0.0329097513	2.0000000000	5331.0000000000	1001.5000000000
ENSMUSG00000100026.1	0.0006696069	0.0011164796	0.0013557003	0.0004663799	0.0001234179	0.0001698009	0.0001286700	0.0000339612	0.0000232289	0.0000993686	1.0000000000	2620.0000000000	2153.0000000000
ENSMUSG00000026434.12	0.0011308115	0.0018854764	0.0022894650	0.0007876080	0.0002084243	0.0002867545	0.0002172940	0.0000573526	0.0000392283	0.0001678107	1.0000000000	0.0000000000	2153.0000000000
ENSMUSG00000103569.1	0.0006733672	0.0011227494	0.0013633135	0.0004689989	0.0001241110	0.0001707545	0.0001293926	0.0000341519	0.0000233594	0.0000999267	1.0000000000	2592.0000000000	2153.0000000000
ENSMUSG00000103975.1	0.0003078689	0.0075442918	0.0008306977	0.0020241374	0.0000478954	0.0003431909	0.0001234639	0.0005376357	0.0033760393	0.0259935189	3.0000000000	13552.3330078125	2222.3332519531
ENSMUSG00000100037.1	0.0026115862	0.0024974918	0.0375238075	0.0115058254	0.0036319543	0.0018639323	0.0120605120	0.0005388456	0.0046415198	0.0582314393	7.0000000000	11890.7138671875	1706.4285888672
ENSMUSG00000026435.15	0.0026179937	0.0024975878	0.0376209316	0.0115309509	0.0036413487	0.0018683793	0.0120917055	0.0005399993	0.0046521727	0.0583664263	7.0000000000	11885.1425781250	1706.4285888672
ENSMUSG00000026436.15	0.0022546738	0.0222458425	0.0580980567	0.0033402848	0.0051466858	0.0021132304	0.0244620281	0.0049347274	0.0059341880	0.1513964900	4.0000000000	9196.7500000000	1905.2500000000
ENSMUSG00000059149.17	0.0056777001	0.0020931818	0.0044245263	0.0004873208	0.0006019212	0.0378834146	0.0011036864	0.0004703715	0.0114547160	0.1236144914	8.0000000000	12345.0000000000	1273.0000000000
ENSMUSG00000097454.1	0.0079227405	0.0013665181	0.0200820003	0.0035351099	0.0007292053	0.0012107919	0.0017969046	0.0001806008	0.0463774986	0.0399106834	6.0000000000	11997.6669921875	1636.6666259766
ENSMUSG00000088779.1	0.0001066306	0.0001373315	0.0015984684	0.0000147264	0.0000031880	0.0000097798	0.0012286329	0.0001128735	0.0031627999	0.0044428061	4.0000000000	15449.0000000000	1205.2500000000
ENSMUSG00000103966.1	0.0000987338	0.0001182008	0.0011336335	0.0000185735	0.0000035235	0.0000106643	0.0009074743	0.0001025392	0.0040540503	0.0035011161	4.0000000000	14586.0000000000	1205.2500000000
ENSMUSG00000026437.11	0.0044042728	0.0038540908	0.0109216699	0.0007906253	0.0012045389	0.0065413925	0.0040518552	0.0002110678	0.0052975046	0.0793045358	4.0000000000	7247.5000000000	2068.0000000000
ENSMUSG00000099874.1	0.0044111587	0.0037814646	0.0105755600	0.0007929086	0.0012043754	0.0063832062	0.0040642824	0.0002111696	0.0052385820	0.0792260976	4.0000000000	7292.5000000000	2068.0000000000
ENSMUSG00000079330.8	0.0000001692	0.0000019073	0.0000007359	0.0000000011	0.0000000706	0.0000001278	0.0000000097	0.0000000512	0.0000000000	0.0000007691	1.0000000000	20773.0000000000	328.0000000000
ENSMUSG00000065435.1	0.0000006408	0.0000072218	0.0000027864	0.0000000042	0.0000002674	0.0000004837	0.0000000367	0.0000001938	0.0000000001	0.0000029122	1.0000000000	14116.0000000000	328.0000000000
ENSMUSG00000097540.1	0.0000020095	0.0000226489	0.0000087387	0.0000000132	0.0000008385	0.0000015170	0.0000001150	0.0000006079	0.0000000005	0.0000091333	1.0000000000	8401.0000000000	328.0000000000
ENSMUSG00000066936.4	0.0000003433	0.0000038694	0.0000014930	0.0000000023	0.0000001432	0.0000002592	0.0000000196	0.0000001039	0.0000000001	0.0000015604	1.0000000000	17236.0000000000	328.0000000000
ENSMUSG00000101549.1	0.0000060564	0.0000000015	0.0000000004	0.0000023819	0.0000000178	0.0000001151	0.0000003439	0.0000000005	0.0000011258	0.0000028059	1.0000000000	18278.0000000000	244.0000000000
ENSMUSG00000089808.3	0.0000135925	0.0000000034	0.0000000009	0.0000053456	0.0000000400	0.0000002583	0.0000007718	0.0000000012	0.0000025265	0.0000062974	1.0000000000	14236.0000000000	244.0000000000
ENSMUSG00000042115.4	0.0004262015	0.0002432210	0.0008628236	0.0001220429	0.0013637161	0.0000747353	0.0000583514	0.0000275161	0.0017209824	0.0014093005	3.0000000000	13709.0000000000	2271.0000000000
ENSMUSG00000009772.15	0.0064730078	0.0080131308	0.0284560293	0.0010254710	0.0448953985	0.0023182616	0.0014958411	0.0009092834	0.0552817239	0.0429447636	5.0000000000	12018.5996093750	1643.5999755859
ENSMUSG00000100658.1	0.0007733191	0.0005972273	0.0024713420	0.0897364632	0.0011282895	0.0004474622	0.0894928347	0.0010153866	0.0014324433	0.0052259877	7.0000000000	12728.8574218750	1839.0000000000
ENSMUSG00000042066.15	0.0109784023	0.0097933540	0.0826584628	0.0045164563	0.0004856262	0.0055780794	0.0017699243	0.0008789635	0.0005022492	0.0893542603	9.0000000000	14061.7773437500	2525.8889160156
ENSMUSG00000090079.1	0.0451643999	0.0253433766	0.0511243135	0.0126286411	0.0009448397	0.0162634086	0.0116604384	0.0028820772	0.0021590479	0.3329529567	8.0000000000	9877.6250000000	2313.7500000000
ENSMUSG00000042046.15	0.0095017992	0.0044589972	0.0352184353	0.0030629293	0.0002213518	0.0009198038	0.0005536901	0.0006966565	0.0022436629	0.0764517284	4.0000000000	10863.7500000000	1715.7500000000
ENSMUSG00000097760.2	0.0001104391	0.0311113603	0.0005241565	0.0000749092	0.0000245916	0.0000570043	0.0000119743	0.0000327258	0.0000753836	0.0000626657	1.0000000000	0.0000000000	1587.0000000000
ENSMUSG00000026439.14	0.0001104391	0.0311113603	0.0005241565	0.0000749092	0.0000245916	0.0000570043	0.0000119743	0.0000327258	0.0000753836	0.0000626657	1.0000000000	0.0000000000	1587.0000000000
ENSMUSG00000026443.3	0.0007756143	0.0000573275	0.0000720586	0.0019915052	0.0001236604	0.0004078045	0.0003267373	0.0000170055	0.0000220205	0.0001586364	2.0000000000	6190.0000000000	750.0000000000
ENSMUSG00000054387.13	0.0021188830	0.0030231246	0.0119820082	0.0014456730	0.0003954700	0.0002141933	0.0016741894	0.0006191808	0.0040438561	0.0255966245	6.0000000000	14165.0000000000	1671.0000000000
ENSMUSG00000100228.1	0.0009210187	0.0050752284	0.0269444598	0.0009391106	0.0008707741	0.0004080052	0.0007474903	0.0010972434	0.0077166600	0.0098536655	4.0000000000	12518.7500000000	2106.5000000000
ENSMUSG00000026447.16	0.0362671336	0.0065925023	0.0053954590	0.0233856108	0.0001774767	0.0008112224	0.0330782790	0.0020770622	0.0185709075	0.1304577968	8.0000000000	10303.6250000000	1837.1250000000
