"Feature","MS55_01","MS55_02","MS55_03","MS55_04","MS55_05","MS55_06","MS55_07","MS55_08","MS55_09","MS55_10","MS55_11","MS55_12","MS55_13","MS55_14","MS55_15","MS55_16","MS55_17","MS55_18","MS55_19","MS55_20","MS55_21","MS55_22","MS55_23","MS55_24","MS55_25","MS55_26","MS55_27","MS55_28","MS55_29","MS55_30","MS55_31","MS55_32","MS55_33","MS55_34","MS55_35","MS55_36","MS55_37","MS55_38","MS55_39","MS55_40","MS55_41","MS55_42","MS55_43","MS55_44","MS55_45","MS55_46","MS55_47","MS55_48","POOL0","POOL1","POOL2","POOL3","POOL4","POOL5","POOL6","POOL7","POOL8","POOL9"
"5-methylthioadenosine (MTA)",43026516.14,35533830.86,29526208.76,25034866.39,15871028.84,29965765.28,26256162.16,14241849.2,12878774.1,11376759.85,12027493.66,11898524.88,18764703.19,11168109.27,10634294.51,10925007.41,18765463.24,36524367.55,22937861.19,26355612.52,17895154.98,16632682.99,16083630.68,13524222.89,14716857.67,17372907.57,20867182.42,18346732.18,19513726.44,18126779.88,19015230.82,16802646.17,25320498.89,37688989.6,34681784.3,29653104.43,23458375.21,15836657.39,16561502.34,19090487.07,22754843.67,15182013.93,18404995.25,21940750.89,20111357.75,16678378.99,24375866.25,25283803.92,12856625.76,13132474.97,13676850.11,12997957.88,14957300.33,16670267.85,18717999.73,20582651.96,22682816.98,24150600.73
"6-phosphogluconate",1591439.759,1644528.686,1293651.989,1149429.56,847985.7378,1547603.028,1544128.33,327721.4059,1039201.493,619584.9827,738050.0131,1082308.729,883142.859,582097.8683,495747.7934,653513.9016,1040214.763,1908093.574,1589070.321,1312726.42,504245.0536,792221.9437,784087.8116,1212748.281,589303.4501,634177.6036,715052.7386,650623.7353,957924.9975,2121432.548,2313334.124,1853869.873,1668393.99,1600776.305,1807753.135,1351073.854,549298.1324,611484.8241,705050.5458,1395193.829,1934868.111,717302.5019,1067279.973,1951440.607,1110667.048,1079290.193,920629.7758,1603405.633,806350.7459,924178.8522,1051878.731,1152935.36,1167553.447,1123992.788,1146090.171,1331356.228,1513085.408,1296711.78
"acetylcarnitine",7700044871,7972554663,8811315404,7300955528,6278750791,6165625209,5774539001,5583028217,3946332730,3779937723,3129814775,3545015850,3896703641,3667764599,3227301053,3785235920,3322460400,3672285834,3571241218,4048601030,4145126714,5231463440,5475294211,4960256378,3312417775,3358285462,3252389729,3125699719,4336205919,4739651179,3868797687,4131078778,4125524063,3845862621,4623531158,3607961799,6504153149,6523632154,6646284736,6865002236,5755103753,5016637439,5413805174,5669591431,4749945916,4959202920,4762534848,4680181545,4976358727,5049037803,5000788209,4902046331,5125531155,5009477907,5071312334,4880537813,5001017524,4976360712
"acetylcholine",59258010.77,58272083.3,59500662.79,57220363.64,47840179.96,46311260.52,48465837.37,47360555.82,25489226.8,25108481.95,25078448.84,25560851.5,25700704.2,26536870.93,23995154.36,24471310.27,40451011.5,43285119.54,42278293.48,45825088.89,32665386.34,35389593.21,39243824.85,36151050.46,26326792.36,24918505.44,25698303.7,26595202.48,21828413.12,24774095.71,24368625.96,24990407.14,40545374.06,39819393.5,44343404.26,40974893.55,37632437.22,38551526.86,38495135.15,40560281.9,27351794.93,26083038.77,27503764.53,29977666.45,24352868.15,26798635.09,24949971.26,25811453.65,36382283.87,37594859.47,35613158.63,34713923.07,36405282.4,36135102.13,35421933.98,35723551.06,34830005.65,37300016.88
"acetyl-CoA",3861437.801,3891050.092,4314352.951,3411720.635,3459321.015,4258991.026,4172216.828,3267544.778,2630230.911,2569036.243,2198423.718,3071008.758,2621251.421,3256281.038,2770257.607,2902960.098,2294958.24,2957889.13,2779921.925,2649110.203,2583273.348,3432356.312,3158347.417,3494049.801,2209431.973,1458187.814,2103247.751,2225741.115,2620199.193,3333484.776,3578269.332,3262493.837,3912366.163,3177510.589,3633064.834,2568650.02,2781667.581,2492259.366,2464536.312,3014378.645,2769657.946,2319142.158,2797356.78,3526398.658,3569012.16,3428132.497,3266658.576,3457118.783,3119953.754,3079755.005,3148975.086,3107153.517,3143543.53,3127730.828,3308347.445,3181113.232,2935374.058,3039613.187
"adenosine",18101709.73,21298679.81,21852973.21,13271785.34,23990902.08,31720118.86,25272514.61,24550399.24,8673427.876,10483285.6,10929874.17,11412161.43,14786357.95,17550573.66,15345131.79,19138414.24,10650718.75,15031235.29,13757347.05,12861813.41,10948718.02,12424742.98,10925116.94,11197651.79,8603815.312,7264160.816,12157732.11,11169528.86,6798671.61,8554500.508,15235982.8,10348799.18,15328760.46,15414777.12,14375665.35,13181333.96,8615172.218,11419786.31,10713015.24,7259045.23,12377673.95,11094007.3,11276347.75,5972946.009,16652767.4,16810888.56,14101947.43,18001928.79,13328235.29,13930198.7,13733401.08,13600021.62,14441188,14231972.55,13615030.52,14164161.22,14600544.9,14559708.8
"ADP",77105413.08,78102479.62,76592597.11,70633915.91,61574159.02,64130251.31,62278929.39,53687653.7,44951139.85,46051842.53,44068996.33,43698854.54,56010946.26,52883381.18,51613675.43,53813338.01,48734653.11,54047071.8,55045695.05,52631587.59,35518536.87,38030559.51,42202345.48,38951433.25,30846929.81,29976591.81,36559653.42,31861066.22,41981257.15,49734843.19,57117083.03,51133442.2,56715921.49,56161054.31,59625245.07,56349980.54,39050715.38,41862818.32,42816181.07,43438731.95,49653192.55,43729954,49232935.29,48733741.45,66222938.16,62627477.67,58187012.3,64444805.93,47072490.13,51914511.35,51742963.19,51715569.18,53840618.69,52829698.47,53539869.72,53194634.69,54000376.84,54878406.06
"ADP-ribose",2417484.465,2159520.181,2427804.954,1988317.024,1732016.406,1953002.79,1738575.131,1374284.721,1467666.362,1356613.813,1573634,1528970.128,1861659.666,1507219.726,1621276.752,1574049.568,1706327.242,2258242.413,1638404.974,2198484.77,1692482.441,1771731.225,1542067.552,1665298.606,1676821.086,1930927.88,1893675.478,1888192.419,1860124.279,2010217.94,2036868.539,1800414.619,1598699.393,1896304.111,2015991.405,1993231.372,1844990.159,1488994.921,1698395.013,1566676.494,1917737.038,1652050.032,2045379.287,1969286.404,1818830.605,1767199.926,1864459.022,1896977.851,1631126.486,1434358.511,1579144.298,1627596.807,1596127.883,1722413.01,1654588.265,1864104.307,2080645.628,2122486.609
"AICAR",130057.716,245131.1488,276362.4925,185641.6825,1859331.145,2000060.675,2318217.696,1320455.642,2158379.69,2026670.996,2021531.341,1658330.335,1234275.806,1367825.455,815141.2253,1104559.789,0,0,0,0,3430132.702,3506454.639,3093226.688,2917617.953,3262939.737,3823009.58,3208733.947,3220222.928,149683.206,363686.1107,597058.9242,513252.5906,0,0,0,0,2590777.199,2569827.139,2611336.023,2630195.8,2290545.548,2474945.423,1823519.657,2074048.468,0,0,0,0,1340356.323,1291765.194,1435767.385,1379314.819,1376701.093,1486596.213,1410265.447,1392807.699,1319714.12,1351602.205
"alanine",1317070925,1330003561,1433336229,1261521621,263531616.1,250854616,254877271.7,250721020.6,237630603.2,237863343.6,232146617.8,230238527.5,251453739.2,245405932.9,230399762.6,241690665.5,967472310.1,964344544.2,1026301966,1023085234,216596887.7,247096531.9,245718553.5,235662457.6,247045663.9,234447357.6,251882811.6,244624656.5,250223362.5,260794610.3,266077750.6,255404396.4,843350015.1,805962347.7,914158387.4,807793746.9,242601295.7,237274786.1,236575002,244787861.2,267277545.7,237054656.3,241339963.5,259420217.2,241223288.5,235586595.3,240694508.8,231853278.1,451557903.8,455690189.9,447506225.7,455240982.4,459202574.1,453472440,467152333.9,448956499,470522750.1,461466271.7
"AMP",19317320.2,18851292.66,18567036.19,17582510.11,17183465.8,17253662.95,17031933.57,16654430.31,14520403.99,15301920.07,14490287.46,14921594.68,17918608.15,17218647.41,17159567.47,16762647.34,14446757.14,15835000.8,15316872.34,15983844.87,13724358.65,14397667.23,13998411.63,13780677.74,12843512.41,12212263.02,13965785.23,13479858.82,15059710.14,15585915.56,16510667.5,15604468.08,16137449.96,16772640.58,17116214.09,16353613.07,14387420.99,14867073.5,14806163.09,15688644.7,15524156.85,14203592.75,15485401.73,15148169.19,18371638.92,17813713.22,17598384.05,17913062.53,15622126.37,15620422.08,15824986.26,15252275.15,15574046.94,15460390.93,16335994.93,15921083.15,16621864.03,16184028.32
"arginine",150429833.7,115878930.6,110544901.6,99484221.9,118512774.5,122218835.4,114631802.7,121732359.5,150187955.3,121236391.9,94891168.92,117811852.7,129967367.4,106559398.1,91336301.53,109888693.9,93465966.25,113176295.6,97848881.3,101612527.7,92989430.14,122977409.2,99942901.37,87364414.17,113930335.8,128186189.2,117250121.2,104985071.3,200148832.4,173860466.5,116070802.5,141350772.6,145848979.3,146417966.8,160697925,129713762.1,129079458.8,116027260.7,134184815.3,120761448.1,148804109.5,119392039,116348171.4,143500518.2,116884170.3,107365600.8,113138064.8,100118163.6,129109419.3,123965695.6,124287019.2,120787383.3,124284713.5,124251949.4,124707442.3,125542290.5,127333852.6,129582332.3
"argininosuccinate",971471.1755,704352.0886,847700.1936,770860.3393,152143.0626,94365.76381,126658.5308,114952.3691,294370.8476,560068.5852,385225.7759,387534.3614,370544.8718,255215.5058,341542.6992,384110.4141,640219.9039,582549.6375,804322.7781,536883.5063,175097.9358,53465.75169,30617.60989,87947.03441,359602.7369,465329.5963,443024.7097,356904.1284,203303.9133,315522.0911,320133.3399,279176.868,493644.1334,578496.0054,672192.2172,528328.7944,123472.3533,106578.8757,61546.17885,70599.17832,478877.0785,488268.1083,491651.8528,532131.9468,220278.5971,383264.2591,248140.5376,440147.8311,562795.5617,410190.0815,395064.8661,490672.7321,486383.0628,312015.0306,415670.3502,223660.5062,454031.3935,481302.2646
"asparagine",134482211.3,130151265.9,145084643.3,128394296.8,27076131.58,24109483.76,26331742.94,25648370.98,29390488.65,26461935.97,24520557.87,27345482.7,31335211.91,27394008.56,25772728.05,26961868.33,112771718.1,113165635.4,124610727,121046465,19314603.88,22263199.04,21626463.51,20443995.94,26681251.11,27758209.59,27391359.81,26355065.46,35472856.63,37127285.04,33332518.4,34497142.67,107562634.9,103327798.2,116816979,106603807.6,23410411.55,20876530.68,23436128,22965267.45,29276707.55,24841330.92,26803969.4,29371973.65,29330188.88,29721425.21,31401077.61,29727581.86,54760758.21,54075455.85,52832329.74,53468032.37,52281941.28,54031237.58,53236846.02,53854504.27,55136766.8,52730635.28
"aspartate",1326974959,1330359350,1248837112,1240799962,1448158917,1352791370,1490702322,1400854906,1432044028,1387881543,1432713334,1424176849,1562128106,1574416958,1602834103,1563595885,1352689000,1377896715,1392856597,1324547209,1141448221,1127368688,1170940943,1134071341,1437917313,1454498545,1472513342,1455667573,1487425046,1704668602,1744723784,1711858192,1232157618,1202259738,1260611409,1250407008,1297328234,1238689408,1267113607,1273017940,1407226169,1390163521,1373414478,1421712626,1567668864,1619861107,1576689459,1594018723,1348066061,1336983725,1325427589,1328274309,1322477383,1313420036,1298732136,1293570266,1285038017,1225524514
"ATP",368799720.2,401005295.7,391269873.7,337752918.7,305763292.3,321346562,304665383.5,272748959.5,188048045,183552725.6,175695971.6,168150310,213216472.6,233696138.8,221625822.9,223910795.3,176121227.3,201675899.7,228967631.9,196835877.4,120130931.1,138914963.5,146828903,153510918.6,109486035,104681112.8,122588896.5,100203099.3,137385441.6,203512438.7,246521084.9,209752266,250209540.4,225306572.9,258483797.1,218213641.2,147378862,163661496.9,161839984.2,165543400.5,205049718.4,190711760,208145549.4,201331453.5,293619747,281071670.1,238477787.6,286373076.4,230484301.8,234967829.8,233668642.7,231227345.8,223200460.1,223474482.1,234114528.9,220864600.9,220134567.2,215105423.1
"beta-alanine",161184352.8,162208995.8,158837422.9,147226889.6,56784201.6,49119195.02,48760207.71,54551628.75,42840637.02,40748882.57,41947455.18,41010116.88,47963714.39,48415089.83,47431895.77,47083000.44,123508757.8,117888876,127643426.5,135122923.5,40242371.85,41315001.21,48101658.53,45038616.74,45290210.33,41731870.09,41539691.3,43251894.08,40603577.07,50940849.6,51426749.43,51190602.95,111697225.3,102063953.6,119159304.4,103542230.7,40544201.36,38436137.48,41396879.97,42400171.53,42375986.74,38479718.65,41205928.34,40929850.27,47056320.1,50831590,44501587.84,46857573.71,65228315.66,69069485.52,73452907.46,71090380.63,72449499.06,69628945.96,72538641.93,66512423.75,73637429.36,66579629.73
"beta-citrylglutamic acid",300483876.1,312784508.1,293378376.6,284827181.8,194650818.2,203183064.9,189881996.8,181703899.4,187411725.1,184618158.8,169399293.4,173266727.4,209975538.8,214881014.2,202097738.5,208557265.7,256983754.7,275588638.9,250219164.7,268563969.2,135714899.4,151189100.3,146089205.2,139272206.2,168542750.3,177338003.4,172256063.8,162914757.5,187715998,218038952.2,209233160.1,207100944.7,261342119,264178340.2,272750012.7,245397271.9,148850626.8,147223620.2,138581598.3,141172222.9,173514331.2,172422463.1,168445572.8,169252988.4,204616200.8,210873416.8,196464625.2,199734626.4,220411652.1,214536189.4,212121400.2,213230467.2,209429528,212474174.1,205663450.5,207650244.9,206576647.3,207073057.3
"betaine",9706476848,9706443247,10091665683,8932024037,5296775852,4931850207,5675481879,5170815737,3627084749,3356986555,2883567748,3108466410,3063983159,2950302110,2738871632,2948783781,7192228724,7717628978,7817508169,7965536595,2956918778,3614116505,3928875549,3708849658,2864867812,3070827995,2814488237,2830203991,3716142595,4079827123,3234600028,3506943063,7863080641,7176958882,8794721763,7242045530,4480990860,4211031936,4547634607,4382722852,3994380198,3387038975,3504378460,3847619212,3130307348,3263654975,3091259334,3145187702,5098757943,5106935669,5021727911,4976141321,5306562808,5043921862,5134857750,4870108878,4847406445,5025839946
"butyrylcarnitine C4",1121934830,1187393377,1154724211,1105621572,742598277.4,711659877.8,723207336.4,663256550.2,547104290.6,531938582.4,538600633.1,540360649.1,448958148.1,454133656,430643285.7,462437361.6,997199230,1083996044,1082965004,1108852522,572876367.8,665649746.1,730350200.3,697580716.5,599394516.4,606649899.1,595978659.5,625907751.7,414092415.6,536024698.8,547162305.4,553085878.6,837813410.7,819378480.3,932517947.7,830037109.5,702335625.6,712227683.7,704735062.5,765703099.5,674806171.6,679365636.3,716333034.9,731381592.6,536167702.7,564936477.6,537005538.5,553513655.1,736902013,732332274.7,740834908.3,733590198.9,734500976.5,728449747.6,716015901.1,710930919.3,716145669.1,709315428
"cAMP",579173.9766,647771.7795,588567.3989,532623.7966,511338.3059,556945.8927,444921.151,516467.7759,254001.2744,247460.9787,229459.0211,262201.0197,382344.1443,479548.046,334153.6705,369236.2548,406282.4248,600166.8535,444730.2976,525714.8038,404782.661,452532.1768,433937.088,392285.3784,265938.371,416004.116,262211.586,309998.8145,411491.0081,442957.55,445167.0543,443700.308,474467.5546,454795.6755,519965.4431,534466.6465,515204.2365,441242.1065,385524.5249,521683.7652,436630.5459,375258.8631,303283.669,387875.4622,365193.5087,458980.8297,329507.4644,465688.8205,482661.4176,432406.5398,418247.0389,562584.3369,453376.9219,352761.5124,460240.2185,427990.9285,440321.2814,476547.8411
"carnitinamide",3652982.63,3774974.364,3711205.809,3500174.441,3669234.481,3653766.069,3471776.556,3742402.931,2895923.787,3193578.613,2861628.883,3002700.877,2770741.733,3116890.079,2970497.581,2820058.542,2772658.834,2975644.887,2726275.465,3005158.94,2919623.841,3141406.448,3329549.731,3091143.547,3388537.026,3477633.096,2920302.888,3109050.175,2941922.311,3574399.272,2918690.768,3125350.46,3105915.909,2879090.503,3223892.997,3249116.028,3595400.526,3415408.979,3603202.29,3575230.974,3907107.915,3204082.653,3702236.418,3872151.71,3028712.098,3183509.441,3144902.133,3033047.075,3642088.1,3385403.373,3304206.944,3476431.881,3266392.647,3233543.54,3476166.661,3161823.014,2969183.282,3209119.295
"carnitine",19247251165,19505338581,18724817449,18144045746,26209921884,26327391246,26269454747,26124140876,15383570889,15677264159,15368721621,15261458200,15981048498,15806791754,15161469951,15505996032,13341732102,14181055487,13758138132,14423869704,20111724864,21031304665,23089963071,21115890184,15860161454,15977017350,15679155761,16594564249,13014342872,15577321907,15328804181,15619209559,11145092474,10931922627,12173835776,11286913287,21953684657,21664966753,21655903415,22494821658,15830683001,14894974250,15543937545,16730177040,14058631870,14195457308,13506517339,13803969231,17653639983,17665662830,17369198635,17606138771,17147076423,17463477376,17130543953,17467309547,17225723753,17159632301
"carnosine",12296394.57,9424707.419,8060542.259,8266902.16,9401332.127,6944219.122,6698459.618,7456322.685,14076072.54,11535230.05,6271089.982,10375805.15,9983637.226,7884044.051,7698529.796,8038301.02,7000794.843,10622253.29,7744671.033,7984487.368,5417246.574,7094633.985,5490880.496,5530048.618,7447925.731,9757170.782,7710261.076,6727497.467,20442713.38,16658203.82,8114852.032,10732441.94,14579922.46,12489029.1,14903781.75,11581214.77,9420814.96,8019834.099,9804113.453,6754606.195,11859307.12,9398773.733,7497852.37,10969095.62,8128609.479,7511987.085,7631559.385,6536253.75,10206817.76,9635569.433,8852536.177,10591547.57,9252620.366,9556355.767,9922830.778,8950016.884,9367503.566,9800645.3
"CDP",9443503.169,9695602.599,9488327.01,8317746.404,8272370.271,8488586.114,8244517.022,7148225.996,5244211.901,5328386.323,5176045.57,4785505.052,6142000.772,6634732.114,6292953.52,6380755.237,3382754.816,3704469.843,4699510.362,3746133.109,3284554.235,3570758.983,3751953.85,3681136.519,2685865.497,2652937.53,3847244.592,2674472.399,2795222.373,4054868.497,5610529.946,4396661.931,4865772.365,4280719.726,4739960.59,3894150.418,3673503.928,3984214.432,3807491.189,3937293.862,5706780.789,4919975.519,5447955.527,5343727.844,4785810.692,4589448.344,4067479.607,4375658.652,4603251.173,5018847.878,5223637,5220954.901,5353691.408,5070542.185,5743439.977,5534994.13,5557983.473,5359922.984
"CDP-ethanolamine",12578997.27,13579762.76,12986372.65,12209128.69,865360.302,768817.9575,831521.2013,784239.8453,1104149.864,956489.2436,859354.3764,968332.9784,3392753.604,3404086.024,3012089.058,3299183.62,7831181.113,8181701.046,8038917.784,8496423.147,369452.4079,436817.0047,452437.9262,494371.7017,1323796.869,1569022.249,1396783.588,1423282.525,2909614.727,3794473.956,3709697.481,3856108.883,7210393.326,6786601.328,7542399.243,6541269.148,683802.5536,591430.0493,450967.3996,615100.2995,1372699.132,1428253.66,1164599.883,1347514.154,2736575.434,2664722.679,2400425.905,2504894.378,3809521.448,3904824.095,3644377.466,3855678.532,3822944.061,3909949.576,3702923.25,3742064.804,3412615.161,3592951.048
"choline",894128758.9,1059944269,993103369.8,812703482.6,420547286.8,442798206.5,421288031,395430676.1,539215546.9,495770226.9,513506437.4,579663889.9,678537589.9,772801485.1,684703212.5,767106693.4,569321800.4,707935082.3,681499128.9,672739899.8,206354123.7,236723087.3,222978097.7,202342886.1,446585479.5,448224554.2,458063604.9,451118707,518476668.1,632789461.2,717855068.2,680074042.2,695429929.8,645849021.9,639785938.6,644512815.8,267466679.7,267962967,264066182.8,249137005.5,617345489.5,549944679.3,511819147.4,429506052.8,786077309.1,796195654.1,582648517.7,778344911.1,604320122.3,582718365,598841516.5,599586174.4,595345745.6,608327577.1,571297777.3,585944092.9,593643658.1,556274839.7
"aconitate",91227121.67,87750484.94,77590558.84,98487326.07,120066605.9,115201014.3,95431779.04,105207751.2,81709811.51,79740867.53,71516104.75,81387241.45,103777623.7,99081749.85,81773157.31,101446638.1,51579764.09,47486795.8,40830481.37,59336730.69,77572791.47,92141861.39,94933339.47,87346934.03,94334783.71,87620004.43,74267229.1,87326455.99,74100389.42,92994455.34,81723623,87786068.92,57122023.53,52187754.92,58808219.64,57344483.48,121385539.9,123087564.3,120237807.7,120174832.1,117461202,103130913.2,107830603.4,120250794.5,110838307,114482760.9,101443794.2,103949259.7,94123197.17,93960153.54,95625927.37,93575443.06,95427426.77,95546917.94,91800595.68,91534353.63,90651943.32,89003526.22
