Channel State,Experiment Time (minutes),State Time (samples)
adapter,115,573596
adapter,116,546403
adapter,117,540348
adapter,118,507655
adapter,119,512036
adapter,120,529170
adapter,121,541930
adapter,122,529801
adapter,123,527866
adapter,124,564762
adapter,125,541580
adapter,126,541333
adapter,127,553731
adapter,128,537612
adapter,129,532351
adapter,130,555124
adapter,131,554681
adapter,132,544901
adapter,133,528499
adapter,134,549039
adapter,135,507269
adapter,136,518069
adapter,137,555165
adapter,138,566918
adapter,139,496267
adapter,140,544111
adapter,141,582170
adapter,142,539633
adapter,143,564918
adapter,144,571587
adapter,145,534793
adapter,146,573274
adapter,147,549986
adapter,148,562042
adapter,149,533643
adapter,150,554994
adapter,151,545369
adapter,152,560651
adapter,153,542361
adapter,154,560973
adapter,155,523858
adapter,156,538569
adapter,157,526202
adapter,158,576233
adapter,159,512214
adapter,160,550558
adapter,161,538797
adapter,162,517640
adapter,163,530658
adapter,164,547311
adapter,165,523984
adapter,166,530301
adapter,167,598797
adapter,168,541931
adapter,169,540281
adapter,170,551830
adapter,171,504994
adapter,172,509098
adapter,173,567008
adapter,174,604499
adapter,175,535673
adapter,176,545403
adapter,177,537062
adapter,178,556829
adapter,179,549305
adapter,180,541200
adapter,181,554589
adapter,182,524003
adapter,183,521326
adapter,184,568098
adapter,185,588188
adapter,186,533980
adapter,187,551691
adapter,188,401888
adapter,189,110339
adapter,190,0
adapter,191,1020066
adapter,192,953406
adapter,193,745876
adapter,194,566180
adapter,195,611445
adapter,196,602125
adapter,197,533027
adapter,198,573638
adapter,199,511440
adapter,200,561459
adapter,201,512219
adapter,202,488869
adapter,203,570300
adapter,204,535861
adapter,205,531774
adapter,206,533819
adapter,207,539375
adapter,208,549963
adapter,209,527583
adapter,210,542182
adapter,211,543789
adapter,212,589065
adapter,213,535063
adapter,214,528194
adapter,215,553546
adapter,216,565512
adapter,217,514548
adapter,218,556954
adapter,219,469258
adapter,220,500827
adapter,221,581526
adapter,222,567185
adapter,223,550572
adapter,224,536549
adapter,225,482529
adapter,226,572832
adapter,227,542936
adapter,228,517666
adapter,229,540248
adapter,230,526922
adapter,231,550665
adapter,232,536137
adapter,233,551954
adapter,234,523395
adapter,235,532717
adapter,236,537342
adapter,237,554422
adapter,238,535239
adapter,239,552219
adapter,240,520690
adapter,241,526731
adapter,242,516650
adapter,243,496217
adapter,244,527705
adapter,245,536132
adapter,246,503187
adapter,247,566684
adapter,248,541859
adapter,249,537824
adapter,250,568067
adapter,251,533245
adapter,252,606613
adapter,253,530053
adapter,254,599512
adapter,255,526326
adapter,256,498129
adapter,257,541158
adapter,258,541390
adapter,259,541378
adapter,260,517944
adapter,261,542267
adapter,262,500587
adapter,263,580400
adapter,264,521007
adapter,265,553129
adapter,266,530621
adapter,267,546472
adapter,268,541485
adapter,269,500892
adapter,270,518996
adapter,271,541724
adapter,272,539063
adapter,273,574112
adapter,274,498454
adapter,275,521149
adapter,276,575930
adapter,277,573470
adapter,278,555750
adapter,279,573486
adapter,280,521247
adapter,281,547020
adapter,282,509495
adapter,283,399826
adapter,284,126215
adapter,285,0
adapter,286,933198
adapter,287,800999
adapter,288,731042
adapter,289,565100
adapter,290,571431
adapter,291,546160
adapter,292,546609
adapter,293,589835
adapter,294,585304
adapter,295,592194
adapter,296,620155
adapter,297,591127
adapter,298,569647
adapter,299,558847
adapter,300,514701
adapter,301,555934
adapter,302,506108
adapter,303,543540
adapter,304,584455
adapter,305,505077
adapter,306,484520
adapter,307,558920
adapter,308,499763
adapter,309,448425
adapter,310,559800
adapter,311,535187
adapter,312,446888
adapter,313,509035
adapter,314,454437
adapter,315,486704
adapter,316,520088
adapter,317,513042
adapter,318,507798
adapter,319,495208
adapter,320,538580
adapter,321,541293
adapter,322,553485
adapter,323,496527
adapter,324,543794
adapter,325,461253
adapter,326,546072
adapter,327,545797
adapter,328,526331
adapter,329,518869
adapter,330,596316
adapter,331,482164
adapter,332,541387
adapter,333,516437
adapter,334,492152
adapter,335,495880
adapter,336,527462
adapter,337,514624
adapter,338,515291
adapter,339,510568
adapter,340,511900
adapter,341,468595
adapter,342,487847
adapter,343,504982
adapter,344,467330
adapter,345,495731
adapter,346,475194
adapter,347,506134
adapter,348,501533
adapter,349,460929
adapter,350,571589
adapter,351,480469
adapter,352,490170
adapter,353,489658
adapter,354,518487
adapter,355,521372
adapter,356,446599
adapter,357,529660
adapter,358,527798
adapter,359,467556
adapter,360,527467
adapter,361,491675
adapter,362,507649
adapter,363,482082
adapter,364,495765
adapter,365,505413
adapter,366,496104
adapter,367,508801
adapter,368,517648
adapter,369,540034
adapter,370,514487
adapter,371,508327
adapter,372,479241
adapter,373,501178
adapter,374,523015
adapter,375,483394
adapter,376,493516
adapter,377,523087
adapter,378,383901
adapter,379,90021
adapter,380,0
adapter,381,923987
adapter,382,757053
adapter,383,663754
adapter,384,562109
adapter,385,644605
adapter,386,575215
adapter,387,518200
adapter,388,485536
adapter,389,517924
adapter,390,488160
adapter,391,505479
adapter,392,508104
adapter,393,504220
adapter,394,508617
adapter,395,498804
adapter,396,515207
adapter,397,460591
adapter,398,522694
adapter,399,507437
adapter,400,466578
adapter,401,520400
adapter,402,525309
adapter,403,503972
adapter,404,477307
adapter,405,537540
adapter,406,543626
adapter,407,552324
adapter,408,520471
adapter,409,467150
adapter,410,523203
adapter,411,523675
adapter,412,605749
adapter,413,527896
adapter,414,515988
adapter,415,525190
adapter,416,547827
adapter,417,507720
adapter,418,454509
adapter,419,444999
adapter,420,568267
adapter,421,573011
adapter,422,512302
adapter,423,533480
adapter,424,531496
adapter,425,502744
adapter,426,523869
adapter,427,471484
adapter,428,497887
adapter,429,523490
adapter,430,489999
adapter,431,460077
adapter,432,477219
adapter,433,497826
adapter,434,518978
adapter,435,497153
adapter,436,469241
adapter,437,463057
adapter,438,511405
adapter,439,479907
adapter,440,488205
adapter,441,497160
adapter,442,500793
adapter,443,507268
adapter,444,459831
adapter,445,504786
adapter,446,499462
adapter,447,485395
adapter,448,503477
adapter,449,517862
adapter,450,448506
adapter,451,435026
adapter,452,483947
adapter,453,486761
adapter,454,472145
adapter,455,474795
adapter,456,501191
adapter,457,510099
adapter,458,503050
adapter,459,490708
adapter,460,519115
adapter,461,507561
adapter,462,541885
adapter,463,556865
adapter,464,470826
adapter,465,505555
adapter,466,537133
adapter,467,488161
adapter,468,482122
adapter,469,538512
adapter,470,482278
adapter,471,502449
adapter,472,458453
adapter,473,431452
adapter,474,88178
adapter,475,0
adapter,476,775527
adapter,477,793458
adapter,478,618021
adapter,479,591444
adapter,480,580814
adapter,481,576428
adapter,482,652822
adapter,483,633084
adapter,484,551418
adapter,485,504249
adapter,486,482270
adapter,487,514916
adapter,488,517516
adapter,489,547766
adapter,490,496883
adapter,491,510185
adapter,492,437853
adapter,493,574511
adapter,494,585174
adapter,495,706597
adapter,496,632211
adapter,497,623813
adapter,498,512648
adapter,499,526163
adapter,500,489786
adapter,501,517651
adapter,502,536185
adapter,503,513663
adapter,504,512868
adapter,505,475123
adapter,506,487514
adapter,507,515248
adapter,508,529432
adapter,509,468546
adapter,510,528989
adapter,511,516649
adapter,512,507861
adapter,513,486931
adapter,514,481362
adapter,515,459743
adapter,516,454912
adapter,517,476281
adapter,518,475648
adapter,519,433034
adapter,520,538026
adapter,521,465906
adapter,522,474316
adapter,523,479658
adapter,524,504574
adapter,525,457149
adapter,526,516394
adapter,527,495439
adapter,528,464418
adapter,529,475962
adapter,530,526777
adapter,531,512443
adapter,532,535199
adapter,533,443919
adapter,534,503851
adapter,535,482604
adapter,536,477129
adapter,537,466001
adapter,538,489766
adapter,539,478863
adapter,540,451094
adapter,541,445775
adapter,542,465685
adapter,543,497646
adapter,544,495182
adapter,545,484332
adapter,546,492737
adapter,547,477062
adapter,548,510416
adapter,549,484192
adapter,550,470084
adapter,551,495493
adapter,552,500734
adapter,553,478607
adapter,554,529995
adapter,555,504446
adapter,556,506927
adapter,557,493426
adapter,558,491632
adapter,559,466040
adapter,560,554043
adapter,561,438079
adapter,562,532309
adapter,563,525035
adapter,564,453061
adapter,565,462786
adapter,566,479089
adapter,567,503339
adapter,568,364432
adapter,569,108000
adapter,570,0
adapter,571,692927
adapter,572,659783
adapter,573,696285
adapter,574,592903
adapter,575,560005
adapter,576,596483
adapter,577,538897
adapter,578,489960
adapter,579,529100
adapter,580,533280
adapter,581,507188
adapter,582,490346
adapter,583,501775
adapter,584,490035
adapter,585,500144
adapter,586,509387
adapter,587,483199
adapter,588,552313
adapter,589,550737
adapter,590,540734
adapter,591,484933
adapter,592,462412
adapter,593,484114
adapter,594,509701
adapter,595,464717
adapter,596,484070
adapter,597,500813
adapter,598,477348
adapter,599,453969
adapter,600,499155
adapter,601,469095
adapter,602,499650
adapter,603,509753
adapter,604,419715
adapter,605,493487
adapter,606,468654
adapter,607,484224
adapter,608,460119
adapter,609,481243
adapter,610,466537
adapter,611,465006
adapter,612,547041
adapter,613,559512
adapter,614,470979
adapter,615,477801
adapter,616,463060
adapter,617,470759
adapter,618,502663
adapter,619,469485
adapter,620,477105
adapter,621,489387
adapter,622,468953
adapter,623,497279
adapter,624,516644
adapter,625,510995
adapter,626,556221
adapter,627,435313
adapter,628,480888
adapter,629,503851
adapter,630,468965
adapter,631,495991
adapter,632,500956
adapter,633,509570
adapter,634,444258
adapter,635,483636
adapter,636,515208
adapter,637,494331
adapter,638,525381
adapter,639,485634
adapter,640,465113
adapter,641,448143
adapter,642,498927
adapter,643,426151
adapter,644,443106
adapter,645,462554
adapter,646,478451
adapter,647,504802
adapter,648,465542
adapter,649,438219
adapter,650,479850
adapter,651,481406
adapter,652,500830
adapter,653,516443
adapter,654,537474
adapter,655,531168
adapter,656,481611
adapter,657,484678
adapter,658,447212
adapter,659,520887
adapter,660,570836
adapter,661,503575
adapter,662,529621
adapter,663,360958
adapter,664,27706
adapter,665,0
adapter,666,701795
adapter,667,746270
adapter,668,599186
adapter,669,508524
adapter,670,509476
adapter,671,422123
adapter,672,497404
adapter,673,466930
adapter,674,465869
adapter,675,400751
adapter,676,469097
adapter,677,519514
adapter,678,453707
adapter,679,476178
adapter,680,459893
adapter,681,494766
adapter,682,514824
adapter,683,440769
adapter,684,492786
adapter,685,492711
adapter,686,493705
adapter,687,502927
adapter,688,504715
adapter,689,449894
adapter,690,425775
adapter,691,436952
adapter,692,504805
adapter,693,424115
adapter,694,423563
adapter,695,488399
adapter,696,490733
adapter,697,429127
adapter,698,478921
adapter,699,429300
adapter,700,420931
adapter,701,438018
adapter,702,396564
adapter,703,429564
adapter,704,444231
adapter,705,457865
adapter,706,466574
adapter,707,429096
adapter,708,447375
adapter,709,505642
adapter,710,473989
adapter,711,481110
adapter,712,438233
adapter,713,480577
adapter,714,424522
adapter,715,438326
adapter,716,426860
adapter,717,466346
adapter,718,459616
adapter,719,482452
adapter,720,484335
adapter,721,503784
adapter,722,481257
adapter,723,456930
adapter,724,470550
adapter,725,466460
adapter,726,453770
adapter,727,456658
adapter,728,545193
adapter,729,520168
adapter,730,484663
adapter,731,531893
adapter,732,477189
adapter,733,428825
adapter,734,482251
adapter,735,467337
adapter,736,432485
adapter,737,464760
adapter,738,437845
adapter,739,497308
adapter,740,435325
adapter,741,424657
adapter,742,448145
adapter,743,479306
adapter,744,462298
adapter,745,490935
adapter,746,463379
adapter,747,387684
adapter,748,460637
adapter,749,456456
adapter,750,419181
adapter,751,485973
adapter,752,443395
adapter,753,450421
adapter,754,446344
adapter,755,436464
adapter,756,443170
adapter,757,428013
adapter,758,383586
adapter,759,95394
adapter,760,0
adapter,761,696639
adapter,762,594695
adapter,763,590254
adapter,764,504120
adapter,765,511920
adapter,766,469185
adapter,767,421631
adapter,768,486074
adapter,769,455547
adapter,770,468020
adapter,771,444822
adapter,772,409776
adapter,773,493976
adapter,774,466872
adapter,775,459117
adapter,776,453799
adapter,777,509776
adapter,778,436167
adapter,779,438965
adapter,780,417146
adapter,781,464898
adapter,782,449767
adapter,783,498924
adapter,784,451996
adapter,785,430837
adapter,786,474949
adapter,787,379757
adapter,788,404307
adapter,789,431936
adapter,790,455083
adapter,791,464225
adapter,792,539502
adapter,793,419995
adapter,794,417936
adapter,795,510078
adapter,796,476046
adapter,797,459772
adapter,798,415060
adapter,799,455781
adapter,800,460027
adapter,801,438290
adapter,802,436321
adapter,803,469093
adapter,804,429194
adapter,805,436472
adapter,806,404846
adapter,807,398066
adapter,808,444489
adapter,809,465257
adapter,810,441410
adapter,811,433129
adapter,812,406870
adapter,813,413684
adapter,814,383928
adapter,815,419704
adapter,816,418891
adapter,817,434135
adapter,818,486723
adapter,819,418605
adapter,820,415091
adapter,821,420027
adapter,822,402460
adapter,823,427240
adapter,824,479889
adapter,825,464701
adapter,826,412606
adapter,827,428597
adapter,828,448663
adapter,829,418772
adapter,830,376506
adapter,831,410933
adapter,832,443586
adapter,833,428503
adapter,834,437065
adapter,835,407559
adapter,836,453123
adapter,837,445140
adapter,838,417586
adapter,839,417320
adapter,840,430006
adapter,841,413131
adapter,842,436499
adapter,843,431092
adapter,844,390100
adapter,845,449999
adapter,846,421333
adapter,847,446320
adapter,848,407649
adapter,849,449315
adapter,850,453409
adapter,851,424857
adapter,852,385706
adapter,853,369838
adapter,854,123333
adapter,855,0
adapter,856,616514
adapter,857,599407
adapter,858,521781
adapter,859,442094
adapter,860,457516
adapter,861,394067
adapter,862,430057
adapter,863,424518
adapter,864,439608
adapter,865,464553
adapter,866,425435
adapter,867,427282
adapter,868,376890
adapter,869,427333
adapter,870,408327
adapter,871,473614
adapter,872,410964
adapter,873,380713
adapter,874,420310
adapter,875,412875
adapter,876,396725
adapter,877,380934
adapter,878,415216
adapter,879,435595
adapter,880,413958
adapter,881,380490
adapter,882,443642
adapter,883,425459
adapter,884,432989
adapter,885,528907
adapter,886,455441
adapter,887,447019
adapter,888,430051
adapter,889,401488
adapter,890,448891
adapter,891,381085
adapter,892,449987
adapter,893,424315
adapter,894,448297
adapter,895,432763
adapter,896,423270
adapter,897,458860
adapter,898,416822
adapter,899,407419
adapter,900,418277
adapter,901,383919
adapter,902,423606
adapter,903,417162
adapter,904,375761
adapter,905,448863
adapter,906,432600
adapter,907,432445
adapter,908,444913
adapter,909,427585
adapter,910,398465
adapter,911,422922
adapter,912,426565
adapter,913,417048
adapter,914,395123
adapter,915,419635
adapter,916,385083
adapter,917,448567
adapter,918,434358
adapter,919,404343
adapter,920,417602
adapter,921,427373
adapter,922,391685
adapter,923,426219
adapter,924,435972
adapter,925,375559
adapter,926,426616
adapter,927,392802
adapter,928,449588
adapter,929,389332
adapter,930,424950
adapter,931,394526
adapter,932,422338
adapter,933,401225
adapter,934,454916
adapter,935,429958
adapter,936,427280
adapter,937,443754
adapter,938,401498
adapter,939,415123
adapter,940,390093
adapter,941,400324
adapter,942,427937
adapter,943,430274
adapter,944,412383
adapter,945,457452
adapter,946,410332
adapter,947,456846
adapter,948,339705
adapter,949,91939
adapter,950,0
adapter,951,628501
adapter,952,612868
adapter,953,495743
adapter,954,513025
adapter,955,522395
adapter,956,561158
adapter,957,553494
adapter,958,501700
adapter,959,483714
adapter,960,470011
adapter,961,442649
adapter,962,437160
adapter,963,405894
adapter,964,432914
adapter,965,419042
adapter,966,450302
adapter,967,428109
adapter,968,395385
adapter,969,430958
adapter,970,473442
adapter,971,467192
adapter,972,415774
adapter,973,415673
adapter,974,431617
adapter,975,420522
adapter,976,386411
adapter,977,439744
adapter,978,429496
adapter,979,455453
adapter,980,352598
adapter,981,381219
adapter,982,376666
adapter,983,378654
adapter,984,425967
adapter,985,358068
adapter,986,414236
adapter,987,422612
adapter,988,409550
adapter,989,431099
adapter,990,408862
adapter,991,398855
adapter,992,390808
adapter,993,404493
adapter,994,430944
adapter,995,366870
adapter,996,448114
adapter,997,427113
adapter,998,360657
adapter,999,385704
adapter,1000,411955
adapter,1001,456657
adapter,1002,408914
adapter,1003,459403
adapter,1004,406019
adapter,1005,417117
adapter,1006,434093
adapter,1007,438738
adapter,1008,413326
adapter,1009,432029
adapter,1010,415254
adapter,1011,441023
adapter,1012,417921
adapter,1013,429302
adapter,1014,378531
adapter,1015,425188
adapter,1016,419392
adapter,1017,426204
adapter,1018,420628
adapter,1019,362525
adapter,1020,496766
adapter,1021,465766
adapter,1022,383802
adapter,1023,439842
adapter,1024,406080
adapter,1025,448293
adapter,1026,372892
adapter,1027,410880
adapter,1028,397809
adapter,1029,412293
adapter,1030,451160
adapter,1031,390823
adapter,1032,381844
adapter,1033,456417
adapter,1034,398798
adapter,1035,422273
adapter,1036,462944
adapter,1037,431776
adapter,1038,414615
adapter,1039,434052
adapter,1040,453009
adapter,1041,414263
adapter,1042,450845
adapter,1043,324140
adapter,1044,99625
adapter,1045,0
adapter,1046,535113
adapter,1047,564098
adapter,1048,485108
adapter,1049,500029
adapter,1050,509229
adapter,1051,551001
adapter,1052,483898
adapter,1053,527678
adapter,1054,518950
adapter,1055,592451
adapter,1056,498734
adapter,1057,494655
adapter,1058,417674
adapter,1059,345773
adapter,1060,385998
adapter,1061,425871
adapter,1062,388145
adapter,1063,366719
adapter,1064,356867
adapter,1065,385323
adapter,1066,387591
adapter,1067,390363
adapter,1068,363996
adapter,1069,380368
adapter,1070,418160
adapter,1071,375898
adapter,1072,376070
adapter,1073,382861
adapter,1074,377159
adapter,1075,382044
adapter,1076,423043
adapter,1077,340949
adapter,1078,375415
adapter,1079,428847
adapter,1080,392491
adapter,1081,407103
adapter,1082,399095
adapter,1083,373989
adapter,1084,380691
adapter,1085,396067
adapter,1086,373799
adapter,1087,395706
adapter,1088,383231
adapter,1089,424148
adapter,1090,396907
adapter,1091,396392
adapter,1092,403434
adapter,1093,398259
adapter,1094,409861
adapter,1095,418990
adapter,1096,424026
adapter,1097,377313
adapter,1098,460283
adapter,1099,427522
adapter,1100,411798
adapter,1101,415528
adapter,1102,367526
adapter,1103,411487
adapter,1104,411434
adapter,1105,389702
adapter,1106,358273
adapter,1107,383159
adapter,1108,383654
adapter,1109,362087
adapter,1110,369478
adapter,1111,351998
adapter,1112,362765
adapter,1113,408160
adapter,1114,376000
adapter,1115,408047
adapter,1116,356032
adapter,1117,404592
adapter,1118,421526
adapter,1119,366056
adapter,1120,399291
adapter,1121,336185
adapter,1122,402160
adapter,1123,418217
adapter,1124,425942
adapter,1125,386389
adapter,1126,422168
adapter,1127,371456
adapter,1128,398739
adapter,1129,395759
adapter,1130,439338
adapter,1131,386904
adapter,1132,417998
adapter,1133,413083
adapter,1134,378230
adapter,1135,422318
adapter,1136,409798
adapter,1137,409585
adapter,1138,322184
adapter,1139,98354
adapter,1140,0
adapter,1141,616907
adapter,1142,530430
adapter,1143,489981
adapter,1144,622398
adapter,1145,516370
adapter,1146,574791
adapter,1147,459371
adapter,1148,475753
adapter,1149,424902
adapter,1150,439475
adapter,1151,424530
adapter,1152,448513
adapter,1153,432460
adapter,1154,479801
adapter,1155,485818
adapter,1156,465169
adapter,1157,440025
adapter,1158,379315
adapter,1159,407914
adapter,1160,348873
adapter,1161,373140
adapter,1162,358279
adapter,1163,378864
adapter,1164,356760
adapter,1165,406595
adapter,1166,363721
adapter,1167,363173
adapter,1168,372361
adapter,1169,350672
adapter,1170,386296
adapter,1171,412053
adapter,1172,386699
adapter,1173,345504
adapter,1174,340875
adapter,1175,375575
adapter,1176,399447
adapter,1177,373369
adapter,1178,384098
adapter,1179,379638
adapter,1180,399884
adapter,1181,373263
adapter,1182,432230
adapter,1183,357269
adapter,1184,378420
adapter,1185,356085
adapter,1186,390581
adapter,1187,401344
adapter,1188,361959
adapter,1189,378786
adapter,1190,355750
adapter,1191,348688
adapter,1192,380576
adapter,1193,372196
adapter,1194,366655
adapter,1195,382430
adapter,1196,411593
adapter,1197,356636
adapter,1198,372389
adapter,1199,345157
adapter,1200,352193
adapter,1201,335975
adapter,1202,366246
adapter,1203,374808
adapter,1204,385098
adapter,1205,364309
adapter,1206,338708
adapter,1207,390835
adapter,1208,372475
adapter,1209,369777
adapter,1210,355681
adapter,1211,329049
adapter,1212,351008
adapter,1213,371530
adapter,1214,388894
adapter,1215,380007
adapter,1216,398411
adapter,1217,410945
adapter,1218,381550
adapter,1219,375815
adapter,1220,431057
adapter,1221,358410
adapter,1222,387189
adapter,1223,370796
adapter,1224,343898
adapter,1225,379845
adapter,1226,380049
adapter,1227,377333
adapter,1228,404495
adapter,1229,382539
adapter,1230,418658
adapter,1231,413565
adapter,1232,359104
adapter,1233,307144
adapter,1234,81740
adapter,1235,0
adapter,1236,470723
adapter,1237,476815
adapter,1238,518281
adapter,1239,455522
adapter,1240,420612
adapter,1241,414744
adapter,1242,345551
adapter,1243,348139
adapter,1244,420972
adapter,1245,350615
adapter,1246,354630
adapter,1247,355614
adapter,1248,419021
adapter,1249,352120
adapter,1250,336543
adapter,1251,326673
adapter,1252,356533
adapter,1253,350209
adapter,1254,358942
adapter,1255,379463
adapter,1256,374120
adapter,1257,366908
adapter,1258,356902
adapter,1259,355571
adapter,1260,346410
adapter,1261,355171
adapter,1262,352002
adapter,1263,415156
adapter,1264,411481
adapter,1265,395182
adapter,1266,376713
adapter,1267,376329
adapter,1268,362809
adapter,1269,387245
adapter,1270,340581
adapter,1271,353380
adapter,1272,376107
adapter,1273,370240
adapter,1274,368041
adapter,1275,396256
adapter,1276,395404
adapter,1277,395819
adapter,1278,394041
adapter,1279,398010
adapter,1280,409825
adapter,1281,392047
adapter,1282,361089
adapter,1283,354494
adapter,1284,300595
adapter,1285,360626
adapter,1286,309098
adapter,1287,357277
adapter,1288,363766
adapter,1289,370866
adapter,1290,313846
adapter,1291,371928
adapter,1292,360653
adapter,1293,360022
adapter,1294,327287
adapter,1295,351172
adapter,1296,351100
adapter,1297,349450
adapter,1298,357515
adapter,1299,349809
adapter,1300,319830
adapter,1301,356693
adapter,1302,364194
adapter,1303,384676
adapter,1304,370574
adapter,1305,364564
adapter,1306,345633
adapter,1307,356838
adapter,1308,371870
adapter,1309,340797
adapter,1310,358659
adapter,1311,315333
adapter,1312,344344
adapter,1313,357521
adapter,1314,378078
adapter,1315,321324
adapter,1316,379486
adapter,1317,392686
adapter,1318,341464
adapter,1319,362514
adapter,1320,335907
adapter,1321,371989
adapter,1322,350475
adapter,1323,338258
adapter,1324,381104
adapter,1325,363092
adapter,1326,359918
adapter,1327,369428
adapter,1328,251855
adapter,1329,85796
adapter,1330,0
adapter,1331,475282
adapter,1332,431018
adapter,1333,460376
adapter,1334,443047
adapter,1335,494438
adapter,1336,426046
adapter,1337,407748
adapter,1338,404756
adapter,1339,387459
adapter,1340,422388
adapter,1341,416232
adapter,1342,404975
adapter,1343,344852
adapter,1344,349019
adapter,1345,336076
adapter,1346,357617
adapter,1347,367932
adapter,1348,394459
adapter,1349,396028
adapter,1350,393552
adapter,1351,365406
adapter,1352,431274
adapter,1353,321088
adapter,1354,368610
adapter,1355,349984
adapter,1356,337261
adapter,1357,352859
adapter,1358,376542
adapter,1359,326847
adapter,1360,380529
adapter,1361,349350
adapter,1362,321782
adapter,1363,331054
adapter,1364,343769
adapter,1365,326376
adapter,1366,356944
adapter,1367,335883
adapter,1368,392424
adapter,1369,407085
adapter,1370,380658
adapter,1371,365031
adapter,1372,356663
adapter,1373,321060
adapter,1374,341704
adapter,1375,374030
adapter,1376,378674
adapter,1377,353629
adapter,1378,375832
adapter,1379,362684
adapter,1380,338453
adapter,1381,384015
adapter,1382,344710
adapter,1383,324884
adapter,1384,352690
adapter,1385,380370
adapter,1386,336915
adapter,1387,392728
adapter,1388,406510
adapter,1389,399777
adapter,1390,376129
adapter,1391,422351
adapter,1392,394026
adapter,1393,406690
adapter,1394,382013
adapter,1395,382825
adapter,1396,362464
adapter,1397,340266
adapter,1398,391841
adapter,1399,431387
adapter,1400,401946
adapter,1401,355084
adapter,1402,358861
adapter,1403,361550
adapter,1404,404678
adapter,1405,347111
adapter,1406,353343
adapter,1407,315180
adapter,1408,331847
adapter,1409,356094
adapter,1410,313818
adapter,1411,334374
adapter,1412,389311
adapter,1413,354116
adapter,1414,343828
adapter,1415,404637
adapter,1416,377226
adapter,1417,327550
adapter,1418,311337
adapter,1419,364195
adapter,1420,388590
adapter,1421,295740
adapter,1422,372556
adapter,1423,306044
adapter,1424,101894
adapter,1425,0
adapter,1426,579563
adapter,1427,473071
adapter,1428,449941
adapter,1429,452129
adapter,1430,502317
adapter,1431,416836
adapter,1432,452539
adapter,1433,505501
adapter,1434,435935
adapter,1435,444536
adapter,1436,421054
adapter,1437,437728
adapter,1438,434558
adapter,1439,349034
adapter,1440,354423
adapter,1441,516091
adapter,1442,451040
adapter,1443,520364
adapter,1444,440733
adapter,1445,465106
adapter,1446,471574
adapter,1447,436148
adapter,1448,448455
adapter,1449,462853
adapter,1450,398253
adapter,1451,365621
adapter,1452,390386
adapter,1453,372107
adapter,1454,395825
adapter,1455,463458
adapter,1456,421956
adapter,1457,458206
adapter,1458,423386
adapter,1459,348551
adapter,1460,354030
adapter,1461,318128
adapter,1462,300629
adapter,1463,344467
adapter,1464,396927
adapter,1465,380650
adapter,1466,410356
adapter,1467,342456
adapter,1468,366497
adapter,1469,355373
adapter,1470,384402
adapter,1471,423066
adapter,1472,410165
adapter,1473,410775
adapter,1474,392933
adapter,1475,400827
adapter,1476,393760
adapter,1477,421819
adapter,1478,367797
adapter,1479,341198
adapter,1480,358216
adapter,1481,388963
adapter,1482,438021
adapter,1483,437328
adapter,1484,455214
adapter,1485,402337
adapter,1486,358097
adapter,1487,398826
adapter,1488,397420
adapter,1489,335772
adapter,1490,417978
adapter,1491,411463
adapter,1492,444297
adapter,1493,425525
adapter,1494,449568
adapter,1495,382412
