source name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[disease]	Characteristics[protein_coding_gene]	Characteristics[concentration of]	Characteristics[biological replicate]	Material Type	assay name	technology type	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[file uri]	comment[data file]	factor value[protein_coding_gene]	factor value[concentration of]
Sample 4	Saccharomyces cerevisiae	whole plant	not available	not available	not available	UPS1	2500 amol	1	lysate	run 11	profiling by mass spectrometry	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2015/12/PXD001819/UPS1_2500amol_R2.raw	UPS1_2500amol_R2.raw	UPS1	2500 amol
Sample 4	Saccharomyces cerevisiae	whole plant	not available	not available	not available	UPS1	2500 amol	1	lysate	run 12	profiling by mass spectrometry	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2015/12/PXD001819/UPS1_2500amol_R3.raw	UPS1_2500amol_R3.raw	UPS1	2500 amol
Sample 5	Saccharomyces cerevisiae	whole plant	not available	not available	not available	UPS1	250 amol	1	lysate	run 13	profiling by mass spectrometry	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2015/12/PXD001819/UPS1_250amol_R1.raw	UPS1_250amol_R1.raw	UPS1	250 amol
Sample 5	Saccharomyces cerevisiae	whole plant	not available	not available	not available	UPS1	250 amol	1	lysate	run 14	profiling by mass spectrometry	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2015/12/PXD001819/UPS1_250amol_R2.raw	UPS1_250amol_R2.raw	UPS1	250 amol
Sample 5	Saccharomyces cerevisiae	whole plant	not available	not available	not available	UPS1	250 amol	1	lysate	run 15	profiling by mass spectrometry	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2015/12/PXD001819/UPS1_250amol_R3.raw	UPS1_250amol_R3.raw	UPS1	250 amol
Sample 6	Saccharomyces cerevisiae	whole plant	not available	not available	not available	UPS1	50000 amol	1	lysate	run 16	profiling by mass spectrometry	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2015/12/PXD001819/UPS1_50000amol_R1.raw	UPS1_50000amol_R1.raw	UPS1	50000 amol
Sample 6	Saccharomyces cerevisiae	whole plant	not available	not available	not available	UPS1	50000 amol	1	lysate	run 17	profiling by mass spectrometry	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2015/12/PXD001819/UPS1_50000amol_R2.raw	UPS1_50000amol_R2.raw	UPS1	50000 amol
Sample 6	Saccharomyces cerevisiae	whole plant	not available	not available	not available	UPS1	50000 amol	1	lysate	run 18	profiling by mass spectrometry	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2015/12/PXD001819/UPS1_50000amol_R3.raw	UPS1_50000amol_R3.raw	UPS1	50000 amol
Sample 7	Saccharomyces cerevisiae	whole plant	not available	not available	not available	UPS1	5000 amol	1	lysate	run 19	profiling by mass spectrometry	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2015/12/PXD001819/UPS1_5000amol_R1.raw	UPS1_5000amol_R1.raw	UPS1	5000 amol
Sample 7	Saccharomyces cerevisiae	whole plant	not available	not available	not available	UPS1	5000 amol	1	lysate	run 20	profiling by mass spectrometry	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2015/12/PXD001819/UPS1_5000amol_R2.raw	UPS1_5000amol_R2.raw	UPS1	5000 amol
Sample 7	Saccharomyces cerevisiae	whole plant	not available	not available	not available	UPS1	5000 amol	1	lysate	run 21	profiling by mass spectrometry	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2015/12/PXD001819/UPS1_5000amol_R3.raw	UPS1_5000amol_R3.raw	UPS1	5000 amol
Sample 8	Saccharomyces cerevisiae	whole plant	not available	not available	not available	UPS1	500 amol	1	lysate	run 22	profiling by mass spectrometry	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2015/12/PXD001819/UPS1_500amol_R1.raw	UPS1_500amol_R1.raw	UPS1	500 amol
Sample 8	Saccharomyces cerevisiae	whole plant	not available	not available	not available	UPS1	500 amol	1	lysate	run 23	profiling by mass spectrometry	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2015/12/PXD001819/UPS1_500amol_R2.raw	UPS1_500amol_R2.raw	UPS1	500 amol
Sample 8	Saccharomyces cerevisiae	whole plant	not available	not available	not available	UPS1	500 amol	1	lysate	run 24	profiling by mass spectrometry	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2015/12/PXD001819/UPS1_500amol_R3.raw	UPS1_500amol_R3.raw	UPS1	500 amol
Sample 9	Saccharomyces cerevisiae	whole plant	not available	not available	not available	UPS1	50 amol	1	lysate	run 25	profiling by mass spectrometry	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2015/12/PXD001819/UPS1_50amol_R1.raw	UPS1_50amol_R1.raw	UPS1	50 amol
Sample 9	Saccharomyces cerevisiae	whole plant	not available	not available	not available	UPS1	50 amol	1	lysate	run 26	profiling by mass spectrometry	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2015/12/PXD001819/UPS1_50amol_R2.raw	UPS1_50amol_R2.raw	UPS1	50 amol
Sample 9	Saccharomyces cerevisiae	whole plant	not available	not available	not available	UPS1	50 amol	1	lysate	run 27	profiling by mass spectrometry	3	1	AC=MS:1002038;NT=label free sample	AC=MS:1001742;NT=LTQ Orbitrap Velos	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	20 ppm	0.5 Da	http://ftp.ebi.ac.uk/pride-archive/2015/12/PXD001819/UPS1_50amol_R3.raw	UPS1_50amol_R3.raw	UPS1	50 amol
